[일시]BYC,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,241000,241000,240500,240500,▼1000,－0.41%,241300,243775,244258,251679,648,8750
2019/01/29,241500,242000,241000,241500,0.0,0.00%,241400,244550,244250,251825,265,8750
2019/01/28,241500,242000,240500,241500,0.0,0.00%,241300,244775,244192,251967,496,8750
2019/01/25,242000,242000,240500,241500,0.0,0.00%,241200,245000,244058,252100,516,8750
2019/01/24,240000,242000,240000,241500,▲500,＋0.21%,241400,245350,243983,252217,215,8750
2019/01/23,240000,242000,240000,241000,0.0,0.00%,241600,245525,243900,252342,940,8750
2019/01/22,241500,241500,240000,241000,0.0,0.00%,241500,245675,243917,252450,325,8750
2019/01/21,242000,242000,240000,241000,▼1500,－0.62%,241400,245725,243967,252542,216,8750
2019/01/18,241500,242500,241000,242500,0.0,0.00%,241200,245750,244058,252658,226,8750
2019/01/17,241000,242500,240000,242500,▲2000,＋0.83%,241100,245775,244150,252783,278,8750
2019/01/16,240500,241000,238000,240500,0.0,0.00%,241000,245825,244267,252917,103,8750
2019/01/15,242000,242000,240000,240500,▲500,＋0.21%,241900,246150,244458,253067,306,8750
2019/01/14,239500,240000,236000,240000,▼2000,－0.83%,244200,246275,244667,253213,320,8750
2019/01/11,242000,242000,240500,242000,0.0,0.00%,246800,246325,244933,253388,193,8750
2019/01/10,245000,245000,240000,242000,▼3000,－1.22%,248900,246225,245167,253546,241,8750
2019/01/09,252000,252000,245000,245000,▼7000,－2.78%,251200,246125,245392,253738,900,8750
2019/01/08,253000,253000,252000,252000,▼1000,－0.40%,253400,245875,245567,253896,32,8750
2019/01/07,250500,254500,250500,253000,▲500,＋0.20%,252200,245325,245575,253950,111,8750
2019/01/04,253500,255500,247000,252500,▼1000,－0.39%,250800,244700,245608,253883,312,8750
2019/01/03,252500,259000,251000,253500,▼2500,－0.98%,250000,244225,245717,253821,221,8750
2019/01/02,246500,266000,246000,256000,▲10000,＋4.07%,248300,243725,245892,253746,679,8750
2018/12/28,245000,246000,244000,246000,0.0,0.00%,245900,243175,246108,253650,89,8750
2018/12/27,263500,263500,243000,246000,▼2500,－1.01%,245100,243225,246508,253642,237,8750
2018/12/26,242500,249000,242500,248500,▲3500,＋1.43%,244200,243250,246908,253633,1284,8750
2018/12/24,242000,245000,242000,245000,▲1000,＋0.41%,243100,243375,247300,253625,44,8750
2018/12/21,242000,244000,241500,244000,▲2000,＋0.83%,242800,243675,247767,253650,40,8750
2018/12/20,241500,242000,241000,242000,▲500,＋0.21%,243400,243825,248250,253696,64,8750
2018/12/19,242000,242000,236000,241500,▼1500,－0.62%,243600,244275,248775,253767,141,8750
2018/12/18,247000,247000,241000,243000,▼500,－0.21%,243500,245000,249258,253867,60,8750
2018/12/17,247500,247500,242500,243500,▼3500,－1.42%,242900,245750,249775,253996,47,9550
2018/12/14,240000,247500,240000,247000,▲4000,＋1.65%,242200,246475,250242,254121,52,9550
2018/12/13,239000,243000,239000,243000,▲2000,＋0.83%,240800,246775,250692,254217,21,9550
2018/12/12,240500,241000,239500,241000,▲1000,＋0.42%,240400,246875,251217,254346,45,9550
2018/12/11,240500,240500,239000,240000,0.0,0.00%,240300,246625,251875,254492,19,9550
2018/12/10,240000,240000,238500,240000,0.0,0.00%,240900,246400,252508,254688,117,9550
2018/12/07,241000,241000,239500,240000,▼1000,－0.41%,241600,246175,253100,254946,257,9550
2018/12/06,241500,242000,241000,241000,▲500,＋0.21%,242600,246050,253708,255208,27,9550
2018/12/05,244000,245500,240500,240500,▼2500,－1.03%,243800,245975,254192,255471,95,9550
2018/12/04,243500,244000,242000,243000,▼500,－0.21%,245000,245825,254592,255742,94,9550
2018/12/03,241000,244000,241000,243500,▼1500,－0.61%,246600,245550,254983,255992,315,9550
2018/11/30,246000,246000,245000,245000,▼2000,－0.81%,248100,245275,255417,256238,121,9550
2018/11/29,248500,248500,246500,247000,▲500,＋0.20%,248500,245025,255650,256471,46,9550
2018/11/28,248000,248000,244500,246500,▼4500,－1.79%,249300,244575,255850,256688,89,9550
2018/11/27,248000,251000,248000,251000,0.0,0.00%,251200,243925,256083,256883,15,9550
2018/11/26,247000,251500,247000,251000,▲4000,＋1.62%,252600,243225,256192,257038,19,9550
2018/11/23,251000,251000,246500,247000,▼4000,－1.59%,254000,242500,256317,257192,119,9550
2018/11/22,253000,256000,251000,251000,▼5000,－1.95%,255200,242250,256542,257388,48,9550
2018/11/21,257500,257500,250000,256000,▼2000,－0.78%,254000,241900,256717,257554,26,9550
2018/11/20,258000,258500,257000,258000,0.0,0.00%,250000,241425,256833,257679,67,9550
2018/11/19,254000,259000,254000,258000,▲5000,＋1.98%,245500,240925,256892,257792,79,9550
2018/11/16,245000,253000,245000,253000,▲8000,＋3.27%,241000,240500,256908,257925,121,9550
2018/11/15,237000,245000,237000,245000,▲9000,＋3.81%,237900,240450,257008,258117,101,9550
2018/11/14,236000,236000,234500,236000,▲500,＋0.21%,236800,240850,257208,258379,72,9550
2018/11/13,234500,235500,232000,235500,0.0,0.00%,237100,241850,257467,258704,143,9550
2018/11/12,237000,237000,232000,235500,▼2000,－0.84%,237500,242875,257708,259033,162,9550
2018/11/09,240000,240000,237000,237500,▼2000,－0.84%,238000,243875,257883,259379,67,9550
2018/11/08,237500,241500,237500,239500,▲2000,＋0.84%,238500,244775,258058,259708,41,9550
2018/11/07,241000,241500,237500,237500,0.0,0.00%,238200,245425,258250,260021,163,9550
2018/11/06,237500,238500,237500,237500,▼500,－0.21%,237400,246300,258525,260358,56,9550
2018/11/05,239000,239000,236000,238000,▼2000,－0.83%,237300,247375,258800,260708,131,9550
2018/11/02,239000,241000,238000,240000,▲2000,＋0.84%,237000,248675,259100,261071,220,9550
2018/11/01,233500,238000,233500,238000,▲4500,＋1.93%,237400,250125,259400,261417,215,9550
2018/10/31,234000,234000,227000,233500,▼3500,－1.48%,238600,251725,259742,261779,128,9550
2018/10/30,237500,238000,234500,237000,▲500,＋0.21%,241200,253550,260142,262192,38,9550
2018/10/29,245500,245500,234000,236500,▼5500,－2.27%,243400,255300,260450,262571,291,9550
2018/10/26,244000,244000,240000,242000,▼2000,－0.82%,246000,257125,260783,262950,332,9550
2018/10/25,243000,245500,243000,244000,▼2500,－1.01%,248000,258675,260983,263283,154,9550
2018/10/24,248000,248000,245000,246500,▼1500,－0.60%,249800,260150,261117,263600,279,9550
2018/10/23,253000,253000,248000,248000,▼1500,－0.60%,251700,261350,261258,263900,64,9550
2018/10/22,252000,252000,249500,249500,▼2500,－0.99%,253300,262650,261417,264188,108,9550
2018/10/19,253000,253000,251500,252000,▼1000,－0.40%,254500,263750,261567,264483,59,9550
2018/10/18,257500,257500,252500,253000,▼3000,－1.17%,255200,264850,261675,264729,67,9550
2018/10/17,256000,257000,255500,256000,0.0,0.00%,255100,265925,261758,264979,56,9550
2018/10/16,255500,256000,252000,256000,▲500,＋0.20%,254900,267150,261842,265213,39,9550
2018/10/15,250000,255500,250000,255500,0.0,0.00%,255500,268250,261925,265458,118,9550
2018/10/12,247000,255500,247000,255500,▲3000,＋1.19%,257200,269250,262083,265713,61,9550
2018/10/11,253000,254000,249500,252500,▼2500,－0.98%,259900,270300,262225,265988,485,9550
2018/10/10,258500,258500,253000,255000,▼4000,－1.54%,263400,271175,262325,266283,231,9550
2018/10/08,264000,264000,257000,259000,▼5000,－1.89%,266400,271650,262158,266563,90,9550
2018/10/05,268500,268500,257000,264000,▼5000,－1.86%,269000,272025,261925,266813,419,9550
2018/10/04,268500,270000,264500,269000,▼1000,－0.37%,270800,272300,261600,267017,108,9550
2018/10/02,269000,270000,268500,270000,0.0,0.00%,271600,271800,261192,267133,73,9550
2018/10/01,280000,280000,269500,270000,▼2000,－0.74%,272300,271250,260775,267242,175,9550
2018/09/28,274000,274000,270000,272000,▼1000,－0.37%,272400,270775,260358,267375,114,9550
2018/09/27,272000,274000,270000,273000,0.0,0.00%,272800,270050,259950,267500,130,9550
2018/09/21,273500,274000,271000,273000,▼500,－0.18%,272500,269325,259533,267625,118,9550
2018/09/20,274000,274000,270500,273500,▲3000,＋1.11%,272700,268700,259142,267725,123,9550
2018/09/19,274500,274500,269500,270500,▼3500,－1.28%,272900,268100,258758,267854,106,9550
2018/09/18,271000,274000,269000,274000,▲2500,＋0.92%,274900,267725,258475,268008,255,9550
2018/09/17,277500,277500,271500,271500,▼2500,－0.91%,275700,267100,258217,268125,111,9537
2018/09/14,273500,275000,272500,274000,▼500,－0.18%,276500,266475,258000,268263,166,9526
2018/09/13,280000,280000,273000,274500,▼6000,－2.14%,277000,265725,257742,268446,430,9510
2018/09/12,278500,281000,278000,280500,▲2500,＋0.90%,276100,264850,257475,268650,228,9491
2018/09/11,278000,280500,277000,278000,▲2500,＋0.91%,272900,263400,257108,268808,195,9471
2018/09/10,277500,278000,275000,275500,▼1000,－0.36%,270600,262000,256867,268983,179,9451
2018/09/07,272000,280000,272000,276500,▲6500,＋2.41%,269400,260525,256792,269150,836,9434
2018/09/06,264000,270000,264000,270000,▲5500,＋2.08%,265900,259100,256708,269321,54,9379
2018/09/05,266500,268000,264500,264500,▼2000,－0.75%,263700,258150,256750,269521,147,9374
2018/09/04,269500,270000,266500,266500,▼3000,－1.11%,262900,257625,256892,269763,213,9360
2018/09/03,259000,269500,258000,269500,▲10500,＋4.05%,261100,257000,257000,270013,426,9340
2018/08/31,259000,259000,258000,259000,0.0,0.00%,258900,256325,257058,270179,38,9319
2018/08/30,257500,260000,256000,259000,▼1500,－0.58%,259200,256275,257292,270408,121,9316
2018/08/29,257500,260500,257000,260500,▲3000,＋1.17%,259700,256250,257525,270633,63,9295
2018/08/28,257500,258500,256500,257500,▼1000,－0.39%,260200,256100,257683,270846,133,9295
2018/08/27,262000,262000,257500,258500,▼2000,－0.77%,261000,256000,257883,271088,333,9295
2018/08/24,261000,262000,260000,260500,▼1000,－0.38%,261100,255900,258067,271338,32,9295
2018/08/23,263000,263000,259500,261500,▼1500,－0.57%,260800,255575,258233,271579,339,9295
2018/08/22,262000,263000,259500,263000,▲1500,＋0.57%,259900,255100,258392,271825,261,9295
2018/08/21,261000,261500,259000,261500,▲2500,＋0.97%,257600,254700,258525,272054,118,9306
2018/08/20,260000,260000,256000,259000,0.0,0.00%,255300,254500,258692,272304,63,9306
2018/08/17,257000,263000,257000,259000,▲2000,＋0.78%,252700,254475,258942,272579,214,9306
2018/08/16,254500,260000,251500,257000,▲5500,＋2.19%,250500,254450,259225,272854,576,9313
2018/08/14,249500,252000,248000,251500,▲1500,＋0.60%,249300,254500,259550,273146,447,9313
2018/08/13,245000,250000,244000,250000,▲4000,＋1.63%,249800,254975,259942,273492,1047,9313
2018/08/10,250000,250000,246000,246000,▼2000,－0.81%,250600,255525,260358,273846,924,9304
2018/08/09,250000,250000,247000,248000,▼3000,－1.20%,252600,256475,260875,274238,598,9303
2018/08/08,253500,253500,251000,251000,▼3000,－1.18%,254600,257275,261358,274617,296,9303
2018/08/07,253500,255000,253000,254000,0.0,0.00%,256100,257650,261792,274992,44,9303
2018/08/06,258000,258000,253500,254000,▼2000,－0.78%,256800,257200,262192,275354,217,9303
2018/08/03,254000,259000,254000,256000,▼2000,－0.78%,257100,256750,262617,275713,406,9301
2018/08/02,254500,261000,254500,258000,▼500,－0.19%,257200,256175,263042,276088,137,9301
2018/08/01,254500,258500,253500,258500,▲1000,＋0.39%,256400,255500,263433,276446,191,9301
2018/07/31,255500,257500,255500,257500,▲2000,＋0.78%,255100,254825,263817,276813,43,9299
2018/07/30,256500,256500,254500,255500,▼1000,－0.39%,254600,254200,264242,277204,66,9299
2018/07/27,255000,256500,255000,256500,▲2500,＋0.98%,255000,253800,264692,277613,8,9295
2018/07/26,251500,256500,250500,254000,▲2000,＋0.79%,255400,253375,265117,278000,86,9295
2018/07/25,253500,253500,251000,252000,▼3000,－1.18%,256300,253150,265583,278417,141,9295
2018/07/24,255000,255000,253000,255000,▼2500,－0.97%,257500,253075,266083,278854,40,9295
2018/07/23,258500,258500,252500,257500,▼1000,－0.39%,258700,253000,266542,279296,92,9295
2018/07/20,258000,258500,256000,258500,0.0,0.00%,259400,253050,266958,279625,101,9295
2018/07/19,256500,260000,256500,258500,▲500,＋0.19%,260700,253050,267400,279933,23,9295
2018/07/18,261000,261000,258000,258000,▼3000,－1.15%,261800,253050,267783,280221,46,9295
2018/07/17,261000,261000,256000,261000,0.0,0.00%,261900,253075,268200,280521,105,9294
2018/07/16,264500,264500,258500,261000,▼4000,－1.51%,258700,252950,268583,280767,57,9294
2018/07/13,264500,267500,264500,265000,▲1000,＋0.38%,255500,253075,268992,281017,43,9294
2018/07/12,259000,269500,259000,264000,▲5500,＋2.13%,251400,253375,269342,281229,464,9294
2018/07/11,250000,260000,245500,258500,▲13500,＋5.51%,247500,253750,269750,281454,140,9294
2018/07/10,245500,245500,244500,245000,0.0,0.00%,244800,254450,270242,281742,543,9294
2018/07/09,244500,245500,243000,245000,▲500,＋0.20%,244800,255850,270967,282171,955,9294
2018/07/06,243000,244500,243000,244500,0.0,0.00%,245300,257250,271700,282617,324,9294
