[일시]CJ,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,121000,121000,116500,117500,▼2500,－2.08%,119600,118925,119241,120963,97668,5542423
2019/01/29,120500,121000,118500,120000,▼1000,－0.83%,119900,118850,119059,121088,43211,5537533
2019/01/28,121000,122000,119000,121000,▲500,＋0.41%,119500,118925,118787,121196,58566,5535034
2019/01/25,119000,121500,118000,120500,▲1500,＋1.26%,119000,118900,118484,121291,56258,5527047
2019/01/24,118000,119500,117500,119000,0.0,0.00%,118500,119075,118165,121372,45620,5518884
2019/01/23,117000,119000,117000,119000,▲1000,＋0.85%,118400,119443,117887,121468,50943,5517401
2019/01/22,118000,118500,117000,118000,▼500,－0.42%,118100,119929,117648,121577,49122,5508269
2019/01/21,119000,119000,117000,118500,▲500,＋0.42%,118100,120135,117489,121702,26813,5506473
2019/01/18,119000,120000,117000,118000,▼500,－0.42%,118100,120434,117369,121838,54368,5505571
2019/01/17,117000,119000,116000,118500,▲1000,＋0.85%,118300,120664,117233,121978,45141,5493766
2019/01/16,118000,118500,116000,117500,▼500,－0.42%,118200,120844,117160,122110,55593,5486695
2019/01/15,118500,120000,117500,118000,▼500,－0.42%,118800,121052,117087,122224,58461,5483985
2019/01/14,119000,120000,118000,118500,▼500,－0.42%,119000,121305,116967,122376,31287,5481106
2019/01/11,118500,119500,118000,119000,▲1000,＋0.85%,119300,121580,116870,122547,29099,5478612
2019/01/10,120000,121500,118000,118000,▼2500,－2.07%,119400,121595,116694,122719,154961,5469844
2019/01/09,119000,121500,118500,120500,▲1500,＋1.26%,119500,121706,116535,122902,44935,5468290
2019/01/08,122000,122000,117500,119000,▼1000,－0.83%,118600,121669,116374,123026,41468,5458865
2019/01/07,121000,122000,119500,120000,▲500,＋0.42%,119100,121778,116237,123170,56921,5459276
2019/01/04,119500,121000,116500,119500,▲1000,＋0.84%,119200,121860,116217,123297,65183,5449926
2019/01/03,115500,120000,115500,118500,▲2500,＋2.16%,120101,121968,116300,123433,55472,5448942
2019/01/02,121000,121500,116000,116000,▼5500,－4.53%,121673,122290,116408,123573,52125,5432097
2018/12/28,120500,121500,119000,121500,▲1000,＋0.83%,124217,122643,116549,123679,53727,5428781
2018/12/27,126000,127000,119000,120500,▼3505,－2.83%,124341,122698,116638,123759,112505,5418219
2018/12/26,124948,125891,123533,124005,▼2358,－1.87%,125136,122896,116759,123843,138628,5427578
2018/12/24,128720,130606,124948,126362,▼2358,－1.83%,124853,122755,116814,123902,135518,5455824
2018/12/21,124948,128720,122119,128720,▲6601,＋5.41%,124005,122472,116814,123965,251975,5481623
2018/12/20,124476,124948,120704,122119,▼2358,－1.89%,122590,122024,116798,123965,47083,5506818
2018/12/19,123533,125891,122119,124476,▲1886,＋1.54%,122779,121953,116861,124020,56423,5499060
2018/12/18,122119,124476,120704,122590,▲472,＋0.39%,122684,121930,116877,124056,44131,5494820
2018/12/17,122590,124476,120704,122119,▲472,＋0.39%,122024,121977,116963,124158,39060,5501869
2018/12/14,124005,124948,119761,121647,▼1415,－1.15%,121647,121977,117066,124244,53690,5502176
2018/12/13,123062,124948,123062,123062,▼943,－0.76%,121270,121788,117223,124331,151486,5513016
2018/12/12,121176,124476,119290,124005,▲4715,＋3.95%,120893,121529,117278,124425,43360,5512784
2018/12/11,119290,120233,118347,119290,▼943,－0.78%,120421,120963,117309,124511,39637,5500974
2018/12/10,117875,120233,117404,120233,▲472,＋0.39%,120893,120680,117419,124665,47706,5519774
2018/12/07,122590,122590,118347,119761,▼1415,－1.17%,121836,120374,117506,124837,37183,5518191
2018/12/06,122590,122590,120233,121176,▼472,－0.39%,122496,119997,117608,125022,24070,5515349
2018/12/05,120704,124005,120233,121647,0.0,0.00%,122779,119148,117686,125226,33702,5510742
2018/12/04,124476,124948,119761,121647,▼3301,－2.64%,123344,118347,117741,125427,71329,5496678
2018/12/03,124005,125891,123062,124948,▲1886,＋1.53%,123250,117569,117812,125600,37552,5469189
2018/11/30,123062,124005,122119,123062,▲472,＋0.38%,122401,116508,117804,125761,46377,5470507
2018/11/29,125419,125419,121647,122590,▼1886,－1.52%,121741,115683,117828,125891,36593,5465897
2018/11/28,121647,124476,119761,124476,▲3301,＋2.72%,121364,114740,117867,126020,49406,5468614
2018/11/27,120233,121647,118818,121176,▲472,＋0.39%,121270,113655,117922,126134,43534,5482493
2018/11/26,119761,123062,119290,120704,▲943,＋0.79%,121741,112665,118024,126287,68167,5476851
2018/11/23,121176,122590,118818,119761,▼943,－0.78%,122024,111746,118134,126429,36276,5480109
2018/11/22,122590,123062,120233,120704,▼3301,－2.66%,121647,110991,118252,126641,46865,5473163
2018/11/21,123062,124476,120704,124005,▲472,＋0.38%,121081,110378,118378,126865,65644,5470155
2018/11/20,120233,124948,119290,123533,▲1415,＋1.16%,118818,109742,118496,127050,95845,5474596
2018/11/19,116932,122590,116932,122119,▲4244,＋3.60%,116838,109058,118637,127281,95001,5465990
2018/11/16,117875,118347,114103,117875,0.0,0.00%,115235,108657,118763,127549,77030,5477749
2018/11/15,112689,118347,112217,117875,▲5187,＋4.60%,114103,108421,118975,127867,74419,5498740
2018/11/14,113632,113632,111274,112689,▼943,－0.83%,111368,108068,119227,128193,30783,5515770
2018/11/13,112689,114575,110803,113632,▼472,－0.41%,109954,108068,119588,128551,92309,5517013
2018/11/12,111274,115518,110803,114103,▲1886,＋1.68%,108445,107808,119926,128892,94112,5518129
2018/11/09,104673,114103,104673,112217,▲8016,＋7.69%,106370,107526,120319,129258,238656,5553194
2018/11/08,107031,108917,104202,104202,▼1415,－1.34%,105239,107455,120680,129655,182962,5563599
