[일시]DB손해보험,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,68900,69400,68000,69400,▲1100,＋1.61%,68480,68160,69933,68844,108702,33633094
2019/01/29,67900,68400,67700,68300,▲100,＋0.15%,68100,68165,69900,68798,143897,33609083
2019/01/28,67300,68300,67100,68200,▲500,＋0.74%,67980,68270,69888,68774,91859,33575847
2019/01/25,68000,68800,67400,67700,▼1100,－1.60%,67920,68410,69948,68743,127281,33564687
2019/01/24,66700,68800,66600,68800,▲1300,＋1.93%,68080,68630,69955,68712,109540,33557052
2019/01/23,67400,68400,66900,67500,▼200,－0.30%,68020,68890,69997,68652,120907,33482019
2019/01/22,67500,68200,67000,67700,▼200,－0.29%,68240,69215,70067,68598,155110,33476594
2019/01/21,69000,69000,67600,67900,▼600,－0.88%,68120,69475,70150,68558,73312,33410275
2019/01/18,68800,68900,67400,68500,0.0,0.00%,67700,69650,70232,68522,153795,33404016
2019/01/17,68600,69000,67800,68500,▼100,－0.15%,67440,69750,70285,68474,128873,33373098
2019/01/16,67400,68700,67200,68600,▲1500,＋2.24%,67300,69880,70353,68409,147425,33353334
2019/01/15,66400,67200,65800,67100,▲1300,＋1.98%,66960,70030,70405,68333,114495,33298528
2019/01/14,67000,67000,65200,65800,▼1400,－2.08%,67280,70240,70447,68277,186646,33289204
2019/01/11,67700,67900,67000,67200,▼600,－0.88%,67800,70500,70527,68230,87923,33256896
2019/01/10,66400,67800,66400,67800,▲900,＋1.35%,68500,70620,70575,68173,147726,33264638
2019/01/09,68700,69100,66500,66900,▼1800,－2.62%,68840,70675,70638,68120,250893,33236615
2019/01/08,69200,69300,67600,68700,▲300,＋0.44%,69360,70800,70697,68072,125933,33172484
2019/01/07,71000,71000,67900,68400,▼2300,－3.25%,69700,70850,70713,68007,169504,33134425
2019/01/04,70000,70900,68800,70700,▲1200,＋1.73%,70220,70950,70765,67954,111960,33071735
2019/01/03,69500,70200,69000,69500,0.0,0.00%,70500,70820,70770,67891,106281,33062561
2019/01/02,70600,71500,69000,69500,▼900,－1.28%,71400,70695,70832,67828,105712,33061425
2018/12/28,70800,71900,69900,70400,▼600,－0.85%,72300,70605,70890,67749,111155,33058178
2018/12/27,70000,72000,69200,71000,▼1100,－1.53%,72800,70525,70918,67668,109644,33016715
2018/12/26,73800,74600,70900,72100,▼1900,－2.57%,72880,70380,70963,67570,165479,33007943
2018/12/24,74000,74700,72900,74000,0.0,0.00%,72560,70300,70975,67447,114166,32974217
2018/12/21,73800,74000,72100,74000,▲1100,＋1.51%,71980,70125,70933,67322,199393,32978550
2018/12/20,72100,72900,70400,72900,▲1500,＋2.10%,71500,70005,70812,67198,130899,32929999
2018/12/19,70800,72300,70300,71400,▲900,＋1.28%,71180,70005,70682,67088,143764,32914798
2018/12/18,71800,72800,69500,70500,▼600,－0.84%,71100,70055,70560,66990,275238,32890539
2018/12/17,72900,73200,71000,71100,▼500,－0.70%,70920,70175,70428,66904,91098,32799589
2018/12/14,71300,72800,70500,71600,▲300,＋0.42%,70480,70225,70292,66817,131099,32819570
2018/12/13,71500,72900,71200,71300,▲300,＋0.42%,70040,70245,70145,66724,274570,32810265
2018/12/12,70900,71100,69600,71000,▲1400,＋2.01%,69720,70325,69997,66659,112262,32780550
2018/12/11,68200,71100,68000,69600,▲700,＋1.02%,69600,70445,69875,66613,120327,32787883
2018/12/10,68400,69900,67900,68900,▼500,－0.72%,69300,70670,69778,66558,100413,32796203
2018/12/07,69800,70200,68800,69400,▼300,－0.43%,68920,70935,69697,66484,118007,32838308
2018/12/06,71400,71500,68800,69700,▼700,－0.99%,68580,70975,69615,66408,158512,32831035
2018/12/05,68100,71000,67700,70400,▲2300,＋3.38%,68400,70925,69528,66336,145300,32799286
2018/12/04,67900,68400,67100,68100,▲1100,＋1.64%,67940,70815,69420,66258,139842,32827029
2018/12/03,68100,68900,66900,67000,▼700,－1.03%,68420,70895,69348,66199,133360,32816236
2018/11/30,67700,68900,67500,67700,▼1100,－1.60%,69120,70945,69287,66154,209042,32806288
2018/11/29,68900,69800,67400,68800,▲700,＋1.03%,69900,70930,69225,66098,179742,32811709
2018/11/28,70500,70500,66800,68100,▼2400,－3.40%,70720,70870,69127,66027,255727,32756571
2018/11/27,70200,70900,69600,70500,0.0,0.00%,71580,71055,69047,65947,97294,32742366
2018/11/26,71900,72700,70100,70500,▼1100,－1.54%,72060,70935,68937,65847,130192,32733554
2018/11/23,72900,73000,70500,71600,▼1300,－1.78%,72380,70975,68817,65736,85708,32767329
2018/11/22,71800,73000,71000,72900,▲500,＋0.69%,72460,70980,68725,65631,102575,32774293
2018/11/21,72700,73100,71300,72400,▼500,－0.69%,72460,70970,68632,65518,159983,32808040
2018/11/20,72700,73300,72100,72900,▲800,＋1.11%,72660,70990,68542,65416,123757,32831107
2018/11/19,72200,73900,71400,72100,▲100,＋0.14%,72900,70930,68457,65308,165764,32846771
2018/11/16,72100,72300,71100,72000,▼900,－1.23%,73320,70955,68397,65205,159197,32864581
2018/11/15,73100,73300,71600,72900,▼500,－0.68%,72960,70940,68333,65117,87890,32832982
2018/11/14,74100,74500,72400,73400,▼700,－0.94%,72120,70775,68257,65014,86577,32813056
2018/11/13,74200,74700,72800,74100,▼100,－0.13%,71080,70635,68168,64907,163239,32798649
2018/11/12,70700,74300,70400,74200,▲4000,＋5.70%,70200,70435,68053,64804,266592,32852727
2018/11/09,68300,70600,68300,70200,▲1500,＋2.18%,68960,70305,67943,64693,111630,32842716
2018/11/08,68500,69400,68200,68700,▲500,＋0.73%,68400,70315,67877,64620,201446,32839147
2018/11/07,68800,69200,67700,68200,▼1500,－2.15%,68180,70365,67835,64559,160245,32820211
2018/11/06,68300,69900,68200,69700,▲1700,＋2.50%,68900,70530,67833,64489,150072,32872047
2018/11/05,66900,68000,66400,68000,▲600,＋0.89%,68580,70595,67805,64419,95730,32854792
2018/11/02,68500,68600,66200,67400,▼200,－0.30%,69240,70855,67755,64365,152406,32853622
2018/11/01,70200,70900,67400,67600,▼4200,－5.85%,70100,71135,67695,64318,275833,32818181
2018/10/31,69400,72000,66500,71800,▲3700,＋5.43%,71120,71360,67660,64281,247234,32796596
2018/10/30,71700,71800,67400,68100,▼3200,－4.49%,71320,71455,67538,64203,261203,32704548
2018/10/29,72500,73500,70800,71300,▼400,－0.56%,72040,71690,67468,64159,135981,32653893
2018/10/26,71700,73700,70800,71700,▼1000,－1.38%,72300,71700,67307,64081,186366,32650800
