[일시]GS건설,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,47300,48150,46600,47600,▲1600,＋3.48%,47010,44890,43773,45991,681678,22225524
2019/01/29,46400,46850,45250,46000,▼500,－1.08%,46670,44618,43696,45966,453751,22224875
2019/01/28,47250,47400,46300,46500,▼900,－1.90%,46320,44505,43599,45960,312990,22168573
2019/01/25,47000,47500,46800,47400,▼150,－0.32%,46060,44405,43520,45950,303946,22242504
2019/01/24,46000,47550,45700,47550,▲1650,＋3.59%,45670,44155,43449,45921,581136,22216611
2019/01/23,44450,45900,44350,45900,▲1650,＋3.73%,45100,43970,43357,45885,383412,22077327
2019/01/22,45100,45650,43800,44250,▼950,－2.10%,45020,43938,43302,45860,378398,21836427
2019/01/21,45600,45950,45150,45200,▼250,－0.55%,44940,44048,43297,45888,203683,21819567
2019/01/18,45000,45450,44200,45450,▲750,＋1.68%,44590,44095,43283,45899,307836,21837208
2019/01/17,45200,45600,44250,44700,▼800,－1.76%,44230,44193,43328,45887,298681,21802993
2019/01/16,44000,46450,44000,45500,▲1650,＋3.76%,44320,44345,43395,45885,676712,21804716
2019/01/15,43500,44100,43350,43850,▲400,＋0.92%,44090,44450,43463,45873,341735,21640824
2019/01/14,43700,44100,42700,43450,▼200,－0.46%,43990,44628,43541,45872,484320,21502552
2019/01/11,45050,45150,43350,43650,▼1500,－3.32%,43980,44673,43657,45896,584277,21350896
2019/01/10,44400,45500,43550,45150,▲800,＋1.80%,43710,44673,43764,45912,482188,21371864
2019/01/09,43450,44400,43450,44350,▲1000,＋2.31%,43130,44570,43832,45928,318185,21362894
2019/01/08,43400,44400,43050,43350,▼50,－0.12%,42690,44540,43938,45932,263244,21373056
2019/01/07,43500,44550,42500,43400,▲1100,＋2.60%,42770,44585,44038,45951,631397,21368577
2019/01/04,42150,42400,40800,42300,▲50,＋0.12%,42990,44653,44174,45972,484998,21290280
2019/01/03,42150,42900,41350,42250,▲100,＋0.24%,43010,44780,44353,46009,397105,21279986
2019/01/02,44000,44400,42050,42150,▼1600,－3.66%,43330,44915,44540,46053,344776,21276432
2018/12/28,44000,44600,43600,43750,▼750,－1.69%,43950,44988,44739,46078,460584,21259040
2018/12/27,43150,44500,42800,44500,▲2100,＋4.95%,44490,44948,44922,46097,707136,21298170
2018/12/26,42650,43150,42200,42400,▼1450,－3.31%,44820,44840,45088,46103,619047,21217336
2018/12/24,45200,45200,43550,43850,▼1400,－3.09%,45820,44778,45253,46113,540511,21106236
2018/12/21,46400,46400,44100,45250,▼1200,－2.58%,46600,44575,45379,46131,864298,21037536
2018/12/20,46100,46700,45450,46450,▲300,＋0.65%,47070,44280,45485,46131,409376,21058515
2018/12/19,47650,47900,45450,46150,▼1250,－2.64%,47260,43925,45566,46129,641572,20987299
2018/12/18,47050,48250,46650,47400,▼350,－0.73%,46900,43670,45662,46147,427817,20881648
2018/12/17,47850,48050,47100,47750,▲150,＋0.32%,46150,43415,45733,46156,392617,20817239
2018/12/14,47450,47950,46650,47600,▲200,＋0.42%,45220,43160,45818,46146,557451,20821823
2018/12/13,44600,47400,43950,47400,▲3050,＋6.88%,44450,42900,45903,46120,925143,20870946
2018/12/12,43850,44950,43650,44350,▲700,＋1.60%,43820,42608,45989,46100,536459,20842421
2018/12/11,43450,43850,42150,43650,▲550,＋1.28%,43900,42420,46133,46086,379391,20764908
2018/12/10,42850,43900,42450,43100,▼650,－1.49%,44140,42363,46283,46091,460543,20672945
2018/12/07,44800,44850,42700,43750,▼500,－1.13%,44510,42333,46431,46113,658949,20476098
2018/12/06,44900,45150,43000,44250,▼500,－1.12%,44480,42213,46525,46130,519017,20462241
2018/12/05,44300,45550,43700,44750,▼100,－0.22%,44220,42070,46580,46144,566078,20388224
2018/12/04,44950,45600,44500,44850,▼100,－0.22%,43740,41850,46618,46167,400944,20287366
2018/12/03,44200,45050,44150,44950,▲1350,＋3.10%,43000,41683,46678,46181,552523,20196802
2018/11/30,43100,44850,43000,43600,▲650,＋1.51%,41970,41513,46728,46207,1247952,20151026
2018/11/29,43050,43700,42650,42950,▲600,＋1.42%,41120,41483,46800,46249,586241,20053033
2018/11/28,41200,42550,40700,42350,▲1200,＋2.92%,40400,41345,46889,46278,559371,20058850
2018/11/27,40150,41150,39850,41150,▲1350,＋3.39%,40140,41315,46998,46323,551546,20033115
2018/11/26,39750,40050,39300,39800,▲450,＋1.14%,40370,41415,47123,46388,492577,19795672
2018/11/23,39600,40050,38700,39350,0.0,0.00%,40940,41525,47259,46458,648784,19702838
2018/11/22,41050,41200,38850,39350,▼1700,－4.14%,41550,41688,47404,46529,989048,19413346
2018/11/21,41550,41650,40650,41050,▼1250,－2.96%,41990,41918,47550,46631,539054,19340033
2018/11/20,42100,42350,41600,42300,▼350,－0.82%,41900,42083,47634,46672,318624,19346756
2018/11/19,42700,43350,42150,42650,▲250,＋0.59%,41940,42375,47673,46714,359315,19365266
2018/11/16,41950,42500,41300,42400,▲850,＋2.05%,41910,42680,47711,46755,382800,19304044
2018/11/15,40600,41600,40400,41550,▲950,＋2.34%,41700,43040,47749,46798,443250,19194940
2018/11/14,42450,42450,40250,40600,▼1900,－4.47%,41670,43388,47808,46840,929325,19117171
2018/11/13,42000,42700,41100,42500,0.0,0.00%,41620,43878,47886,46883,652883,19084474
2018/11/12,41250,42850,40800,42500,▲1150,＋2.78%,41420,44258,47908,46899,498061,18993551
2018/11/09,41650,41900,41000,41350,▼50,－0.12%,41230,44593,47948,46937,356190,18980637
2018/11/08,41100,42400,41050,41400,▲1050,＋2.60%,41560,45060,47987,46982,620777,19015539
2018/11/07,41850,42650,39900,40350,▼1150,－2.77%,41320,45458,48026,47000,1010457,18884907
2018/11/06,42100,42450,40900,41500,▼50,－0.12%,41600,46020,48092,47022,628064,18797987
2018/11/05,42750,42750,41150,41550,▼1450,－3.37%,41930,46595,48143,47018,649012,18807273
2018/11/02,40600,43050,40600,43000,▲2800,＋6.97%,42020,47193,48210,47013,895115,18898991
2018/11/01,41950,42850,40200,40200,▼1550,－3.71%,41940,47748,48236,47009,1024092,18901968
2018/10/31,43200,43350,41300,41750,▼1400,－3.24%,42690,48473,48321,47010,839369,18843621
2018/10/30,41800,43250,41200,43150,▲1150,＋2.74%,43210,49110,48380,47000,694831,18989058
2018/10/29,42250,43750,41450,42000,▼600,－1.41%,44210,49568,48393,46980,883602,18945539
2018/10/26,44350,44400,40850,42600,▼1350,－3.07%,45560,50038,48413,46944,880568,18955043
2018/10/25,43000,45000,42200,43950,▼400,－0.90%,46960,50488,48419,46909,760538,18761801
2018/10/24,48600,48600,44000,44350,▼3800,－7.89%,47870,50855,48478,46851,1931892,18840618
2018/10/23,48750,49800,47450,48150,▼600,－1.23%,49080,51233,48516,46800,586303,18706328
2018/10/22,49400,49400,48000,48750,▼850,－1.71%,49470,51410,48447,46709,394504,18690762
2018/10/19,48200,49750,47600,49600,▲1100,＋2.27%,49560,51613,48376,46612,439369,18671925
2018/10/18,50500,50900,47900,48500,▼1900,－3.77%,49780,51768,48282,46506,557559,18599406
2018/10/17,51200,51200,50000,50400,▲300,＋0.60%,49950,51973,48203,46396,323697,18555355
2018/10/16,49500,50700,49100,50100,▲900,＋1.83%,50190,52103,48135,46258,274070,18512775
2018/10/15,50700,51900,48800,49200,▼1500,－2.96%,50770,52228,48060,46126,494469,18482024
2018/10/12,49250,51600,48500,50700,▲1350,＋2.74%,51630,52368,48023,46003,782983,18416634
2018/10/11,49000,50900,48250,49350,▼2250,－4.36%,52310,52303,47926,45868,1186200,18496269
2018/10/10,53900,53900,50700,51600,▼1400,－2.64%,53380,52213,47865,45735,795861,18554867
2018/10/08,53500,54800,52000,53000,▼500,－0.93%,53960,51985,47769,45586,644845,18587716
2018/10/05,53900,55500,52600,53500,▼600,－1.11%,53820,51758,47665,45426,645634,18542104
2018/10/04,55800,56500,53300,54100,▼600,－1.10%,53400,51480,47566,45225,753366,18472002
2018/10/02,54900,55900,54200,54700,▲200,＋0.37%,52900,51170,47418,45014,735578,18491819
2018/10/01,52600,54700,52100,54500,▲2200,＋4.21%,52220,50850,47272,44796,1001216,18561254
2018/09/28,51500,52300,51100,52300,▲900,＋1.75%,51700,50568,47117,44584,542214,18472703
2018/09/27,52200,52300,50800,51400,▼200,－0.39%,51580,50388,46973,44388,671659,18541435
2018/09/21,51500,52400,50700,51600,▲300,＋0.58%,51860,50215,46883,44207,1087475,18528310
2018/09/20,52600,52900,50600,51300,▼600,－1.16%,52080,50038,46778,44025,722087,18435083
2018/09/19,51800,52800,51000,51900,▲200,＋0.39%,52340,49878,46692,43843,529958,18417558
2018/09/18,52400,53200,51100,51700,▼1100,－2.08%,52560,49588,46633,43656,760061,18329625
2018/09/17,53100,53500,51800,52800,▲100,＋0.19%,52740,49235,46578,43465,428553,18245814
2018/09/14,52800,53200,51900,52700,▲100,＋0.19%,52580,48840,46475,43257,372646,18115062
2018/09/13,53000,53200,51800,52600,▼400,－0.75%,51920,48440,46338,43059,560427,18125596
2018/09/12,52300,53500,51000,53000,▲400,＋0.76%,50910,48065,46212,42866,614793,18044998
2018/09/11,52800,53300,51800,52600,▲600,＋1.15%,49720,47678,46039,42670,717615,18195575
2018/09/10,49950,52100,49800,52000,▲2600,＋5.26%,48890,47240,45899,42476,1299871,18128165
