[일시]GS글로벌,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2610,2680,2595,2680,▲70,＋2.68%,2668,2588,2557,2789,199104,3991581
2019/01/29,2605,2635,2580,2610,▼20,－0.76%,2675,2574,2554,2794,327323,3967737
2019/01/28,2725,2725,2620,2630,▼80,－2.95%,2695,2567,2552,2800,466136,3929790
2019/01/25,2700,2735,2675,2710,0.0,0.00%,2706,2557,2548,2805,316259,3974636
2019/01/24,2710,2760,2655,2710,▼5,－0.18%,2695,2545,2542,2810,309865,3937121
2019/01/23,2705,2720,2675,2715,▲5,＋0.18%,2676,2535,2534,2815,172777,3939913
2019/01/22,2695,2715,2655,2710,▲25,＋0.93%,2659,2526,2530,2819,182232,3934385
2019/01/21,2675,2715,2640,2685,▲30,＋1.13%,2640,2519,2526,2822,202583,3940788
2019/01/18,2625,2660,2615,2655,▲40,＋1.53%,2625,2512,2525,2826,140369,3932667
2019/01/17,2650,2675,2610,2615,▼15,－0.57%,2616,2505,2524,2830,133537,3897511
2019/01/16,2625,2665,2620,2630,▲15,＋0.57%,2589,2502,2526,2835,171337,3903592
2019/01/15,2620,2640,2585,2615,▲5,＋0.19%,2562,2498,2529,2840,134434,3891053
2019/01/14,2610,2640,2570,2610,0.0,0.00%,2527,2497,2533,2846,172563,3883497
2019/01/11,2485,2630,2485,2610,▲130,＋5.24%,2492,2492,2537,2852,531401,3869604
2019/01/10,2500,2510,2460,2480,▼15,－0.60%,2445,2484,2540,2859,162732,3771299
2019/01/09,2465,2500,2440,2495,▲55,＋2.25%,2418,2486,2545,2867,200681,3776715
2019/01/08,2440,2460,2430,2440,▲5,＋0.21%,2399,2492,2550,2875,97274,3735602
2019/01/07,2380,2445,2380,2435,▲60,＋2.53%,2404,2499,2555,2883,159372,3684537
2019/01/04,2335,2375,2285,2375,▲30,＋1.28%,2406,2510,2564,2891,192389,3633509
2019/01/03,2400,2420,2345,2345,▼55,－2.29%,2422,2525,2579,2898,206717,3624344
2019/01/02,2480,2515,2400,2400,▼65,－2.64%,2456,2541,2595,2907,238135,3607718
2018/12/28,2460,2480,2455,2465,▲20,＋0.82%,2483,2551,2609,2913,62312,3666013
2018/12/27,2485,2490,2435,2445,▼10,－0.41%,2505,2559,2623,2920,158527,3649756
2018/12/26,2485,2485,2415,2455,▼60,－2.39%,2525,2567,2639,2927,249575,3654554
2018/12/24,2560,2560,2510,2515,▼20,－0.79%,2537,2575,2653,2933,133433,3683407
2018/12/21,2560,2570,2525,2535,▼40,－1.55%,2546,2577,2667,2941,158297,3717119
2018/12/20,2545,2625,2520,2575,▲30,＋1.18%,2547,2576,2679,2948,181140,3786606
2018/12/19,2515,2555,2510,2545,▲30,＋1.19%,2550,2572,2689,2955,101643,3786819
2018/12/18,2510,2545,2510,2515,▼45,－1.76%,2543,2573,2700,2963,119401,3791228
2018/12/17,2530,2570,2500,2560,▲20,＋0.79%,2530,2575,2713,2973,102902,3810673
2018/12/14,2590,2615,2530,2540,▼50,－1.93%,2522,2576,2725,2980,136167,3807488
2018/12/13,2510,2600,2510,2590,▲80,＋3.19%,2539,2578,2740,2988,160682,3814386
2018/12/12,2470,2510,2450,2510,▲60,＋2.45%,2536,2573,2753,2996,86129,3796171
2018/12/11,2535,2545,2450,2450,▼70,－2.78%,2564,2570,2763,3004,245643,3761768
2018/12/10,2575,2600,2480,2520,▼105,－4.00%,2610,2570,2775,3013,236731,3787466
2018/12/07,2575,2635,2575,2625,▲50,＋1.94%,2641,2568,2785,3022,157078,3824554
2018/12/06,2640,2660,2565,2575,▼75,－2.83%,2634,2562,2792,3031,150769,3807974
2018/12/05,2630,2680,2615,2650,▼30,－1.12%,2643,2561,2800,3041,160132,3846022
2018/12/04,2680,2685,2645,2680,▲5,＋0.19%,2637,2556,2806,3051,148111,3818324
2018/12/03,2605,2680,2600,2675,▲85,＋3.28%,2623,2550,2812,3061,293460,3810513
2018/11/30,2630,2635,2545,2590,▼30,－1.15%,2598,2542,2819,3071,233660,3772214
