[일시]KCC,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,323000,323000,316500,321500,0.0,0.00%,321000,307975,291867,304508,31831,2098897
2019/01/29,317000,322000,316000,321500,▲2500,＋0.78%,321500,307325,290942,304621,23220,2096460
2019/01/28,316500,323000,314500,319000,▼1500,－0.47%,320600,306700,289900,304758,24921,2092659
2019/01/25,317500,323000,316000,320500,▼2000,－0.62%,318400,306050,288700,304925,16372,2086534
2019/01/24,316500,323000,315500,322500,▼1500,－0.46%,315400,305125,287533,304979,18914,2088843
2019/01/23,315000,324000,314000,324000,▲7000,＋2.21%,310500,304575,286400,304967,40977,2088595
2019/01/22,307000,317500,307000,317000,▲9000,＋2.92%,305500,304000,285358,304942,37097,2085186
2019/01/21,308000,311000,305000,308000,▲2500,＋0.82%,300500,303775,284500,304979,19437,2089909
2019/01/18,300500,306500,297000,305500,▲7500,＋2.52%,297200,303475,283958,305088,18383,2096118
2019/01/17,296500,301500,296000,298000,▼1000,－0.33%,295500,303100,283375,305192,16719,2095995
2019/01/16,292000,299500,290500,299000,▲7000,＋2.40%,294900,302875,283075,305342,24581,2100529
2019/01/15,293500,296500,291500,292000,▲500,＋0.17%,294000,302450,282758,305471,23324,2098298
2019/01/14,293000,297000,290000,291500,▼5500,－1.85%,296300,302425,282592,305675,18192,2098016
2019/01/11,294000,297000,291500,297000,▲2000,＋0.68%,298700,302350,282475,305900,12952,2096141
2019/01/10,294500,298500,293000,295000,▲500,＋0.17%,301200,301650,282258,306129,25377,2085050
2019/01/09,303000,303000,293000,294500,▼9000,－2.97%,305500,301075,282175,306363,43253,2078583
2019/01/08,305500,306000,298500,303500,0.0,0.00%,308300,300725,282158,306550,11861,2068029
2019/01/07,313500,313500,297000,303500,▼6000,－1.94%,309400,299925,282025,306650,31822,2064491
2019/01/04,314000,315000,308000,309500,▼7000,－2.21%,309900,299075,282058,306792,15735,2057478
2019/01/03,311500,318000,309000,316500,▲8000,＋2.59%,308400,297900,282117,306904,26968,2053493
2019/01/02,307000,311000,305000,308500,▼500,－0.16%,307400,296275,282142,306938,12004,2055516
2018/12/28,302500,311000,302500,309000,▲3000,＋0.98%,308200,294800,282358,307017,16154,2058272
2018/12/27,298000,306000,295000,306000,▲4000,＋1.32%,308900,293575,282692,307083,18722,2060217
2018/12/26,308500,313000,299000,302000,▼9500,－3.05%,308100,292325,283117,307171,25251,2057316
2018/12/24,313500,313500,307000,311500,▼1000,－0.32%,307300,291175,283733,307313,15220,2057628
2018/12/21,314000,314000,305000,312500,0.0,0.00%,303700,289450,284150,307450,36119,2061934
2018/12/20,299500,312500,299500,312500,▲10500,＋3.48%,299300,287250,284650,307579,35749,2060353
2018/12/19,301000,304500,296500,302000,▲4000,＋1.34%,295100,285125,285067,307717,19774,2056055
2018/12/18,293000,300000,293000,298000,▲4500,＋1.53%,292700,283900,285550,307958,21182,2059841
2018/12/17,293000,294500,291000,293500,▲3000,＋1.03%,289700,283000,286233,308267,12664,2059837
2018/12/14,291500,294000,288000,290500,▼1000,－0.34%,287700,282325,287008,308567,16588,2061974
2018/12/13,292000,293500,287500,291500,▲1500,＋0.52%,287100,281400,287883,308863,36670,2061698
