[일시]LG,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,76900,77200,75500,77200,▲1300,＋1.71%,76520,73160,71350,70564,281431,59751315
2019/01/29,76500,76800,75100,75900,▼1200,－1.56%,76060,72705,71180,70538,173312,59703032
2019/01/28,76700,77600,75700,77100,0.0,0.00%,75860,72405,71002,70531,202032,59671736
2019/01/25,75400,77200,75000,77100,▲1800,＋2.39%,75480,71985,70822,70517,302555,59669006
2019/01/24,73700,75300,73500,75300,▲400,＋0.53%,75160,71600,70593,70508,241607,59613456
2019/01/23,74600,75300,73100,74900,0.0,0.00%,74980,71410,70385,70504,177655,59563837
2019/01/22,74600,75800,74300,74900,▼300,－0.40%,74860,71245,70170,70516,115169,59588561
2019/01/21,75800,76200,74500,75200,▼300,－0.40%,74520,71070,69995,70520,164235,59588511
2019/01/18,75100,75500,74400,75500,▲1100,＋1.48%,73480,70875,69815,70523,187690,59579504
2019/01/17,74600,74900,74000,74400,▲100,＋0.13%,72540,70715,69613,70523,243924,59577239
2019/01/16,73400,74300,72600,74300,▲1100,＋1.50%,71740,70720,69453,70531,190700,59496401
2019/01/15,70700,73400,69900,73200,▲3200,＋4.57%,70940,70695,69295,70525,204124,59448802
2019/01/14,70800,70800,69100,70000,▼800,－1.13%,70060,70720,69165,70526,169610,59415879
2019/01/11,70800,71000,70000,70800,▲400,＋0.57%,70060,70785,69095,70561,214367,59385568
2019/01/10,70900,72500,70000,70400,▲100,＋0.14%,69800,70620,69002,70573,358356,59378303
2019/01/09,68600,70900,68300,70300,▲1500,＋2.18%,69400,70510,68922,70592,213079,59355749
2019/01/08,71000,71000,68600,68800,▼1200,－1.71%,68960,70520,68822,70604,119131,59340322
2019/01/07,70100,70600,69000,70000,▲500,＋0.72%,69180,70620,68723,70635,177297,59326613
2019/01/04,69600,69800,67500,69500,▲1100,＋1.61%,68920,70705,68677,70654,176280,59331412
2019/01/03,68200,69700,67600,68400,▲300,＋0.44%,68900,70815,68680,70662,117519,59337919
2019/01/02,69400,70000,67800,68100,▼1800,－2.58%,69520,71015,68738,70667,135878,59322163
2018/12/28,69000,70500,68700,69900,▲1200,＋1.75%,70220,71220,68810,70682,145775,59336340
2018/12/27,68400,69500,67200,68700,▼700,－1.01%,70520,71375,68855,70683,149994,59314467
2018/12/26,70700,71400,68700,69400,▼2100,－2.94%,71040,71515,68932,70690,173278,59339020
2018/12/24,71600,72200,70700,71500,▼100,－0.14%,71620,71665,68985,70700,135299,59360409
2018/12/21,72000,72000,70600,71600,▲200,＋0.28%,72220,71635,69000,70705,331052,59435473
2018/12/20,71600,72200,70400,71400,▲100,＋0.14%,72660,71550,69013,70698,180563,59509065
2018/12/19,72400,73300,71100,71300,▼1000,－1.38%,73120,71515,69017,70697,289797,59562536
2018/12/18,74600,74600,72100,72300,▼2200,－2.95%,73120,71505,69020,70696,331006,59624094
2018/12/17,74700,75900,74100,74500,▲700,＋0.95%,72160,71495,69008,70691,332291,59711597
2018/12/14,74500,74800,72700,73800,▲100,＋0.14%,70900,71410,68962,70669,383038,59771468
2018/12/13,71700,73700,71400,73700,▲2400,＋3.37%,70240,71265,68935,70643,546844,59720476
2018/12/12,68600,71600,67900,71300,▲3800,＋5.63%,69660,71025,68897,70642,230477,59712646
2018/12/11,67500,68200,67000,67500,▼700,－1.03%,69740,70905,68902,70654,266260,59696181
2018/12/10,69000,70000,67500,68200,▼2300,－3.26%,70580,70935,68958,70719,331029,59778028
2018/12/07,70700,71000,70100,70500,▼300,－0.42%,71420,70975,69003,70776,186050,59834849
2018/12/06,72500,72500,69800,70800,▼900,－1.26%,71760,70845,69020,70830,221289,59848983
2018/12/05,71400,72800,70900,71700,0.0,0.00%,72200,70670,69028,70898,157964,59839878
