[일시]LG상사,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,17350,17400,16900,17150,0.0,0.00%,17000,16095,16309,18550,127658,5089565
2019/01/29,16850,17250,16850,17150,▲150,＋0.88%,16960,16005,16295,18599,115566,5109816
2019/01/28,16700,17200,16700,17000,▲150,＋0.89%,16880,15915,16271,18653,135780,5108352
2019/01/25,16850,17000,16700,16850,0.0,0.00%,16830,15833,16248,18708,138819,5096710
2019/01/24,16900,17150,16800,16850,▼100,－0.59%,16710,15748,16226,18758,105122,5088859
2019/01/23,16550,17200,16550,16950,▲200,＋1.19%,16570,15698,16201,18808,162558,5065100
2019/01/22,16650,16900,16550,16750,0.0,0.00%,16380,15660,16186,18855,149331,5077296
2019/01/21,16450,16950,16200,16750,▲500,＋3.08%,16220,15620,16188,18902,224094,5107933
2019/01/18,16150,16500,16100,16250,▲100,＋0.62%,16020,15595,16208,18951,101685,5106661
2019/01/17,16000,16400,15900,16150,▲150,＋0.94%,15950,15615,16232,19005,122270,5104625
2019/01/16,15950,16300,15900,16000,▲50,＋0.31%,15830,15650,16268,19053,141862,5114408
2019/01/15,15750,16250,15750,15950,▲200,＋1.27%,15700,15680,16313,19104,167085,5157196
2019/01/14,16000,16000,15650,15750,▼150,－0.94%,15490,15693,16368,19158,113250,5146460
2019/01/11,15550,16150,15450,15900,▲350,＋2.25%,15320,15720,16424,19215,244726,5147519
2019/01/10,15300,15650,15250,15550,▲200,＋1.30%,15080,15733,16479,19270,144613,5105327
2019/01/09,14900,15550,14900,15350,▲450,＋3.02%,14980,15758,16533,19330,232583,5082519
2019/01/08,14850,15050,14600,14900,0.0,0.00%,14980,15810,16588,19391,238754,5080197
2019/01/07,14850,14900,14600,14900,▲200,＋1.36%,15070,15885,16644,19456,388770,5130126
2019/01/04,15000,15000,14600,14700,▼350,－2.33%,15160,15973,16724,19522,273618,5173776
2019/01/03,15350,15550,15050,15050,▼300,－1.95%,15250,16085,16824,19586,126478,5121292
2019/01/02,15350,15550,15100,15350,0.0,0.00%,15410,16195,16924,19650,141181,4952350
2018/12/28,15200,15650,15200,15350,0.0,0.00%,15580,16263,17025,19708,79580,4944762
2018/12/27,15150,15550,14950,15350,▲200,＋1.32%,15700,16330,17133,19770,261657,4946250
2018/12/26,15650,15650,14950,15150,▼700,－4.42%,15880,16405,17242,19831,302234,4971423
2018/12/24,16150,16200,15800,15850,▼350,－2.16%,16180,16485,17358,19897,128173,5126849
2018/12/21,16100,16200,15800,16200,▲250,＋1.57%,16380,16528,17460,19966,150438,5171844
2018/12/20,16150,16300,15700,15950,▼300,－1.85%,16460,16543,17551,20030,150899,5182584
2018/12/19,16600,16700,16100,16250,▼400,－2.40%,16510,16585,17643,20095,209254,5216724
2018/12/18,16800,16850,16400,16650,▼200,－1.19%,16520,16630,17734,20160,106893,5314626
2018/12/17,16700,16850,16500,16850,▲250,＋1.51%,16420,16648,17824,20220,111571,5347929
2018/12/14,16300,16800,16200,16600,▲400,＋2.47%,16260,16673,17907,20280,201838,5364984
2018/12/13,16350,16600,16200,16200,▼100,－0.61%,16220,16695,17996,20340,210854,5352148
2018/12/12,16350,16600,16100,16300,▲150,＋0.93%,16260,16703,18090,20410,112884,5357803
2018/12/11,16050,16250,15900,16150,▲100,＋0.62%,16330,16693,18173,20483,69478,5371097
2018/12/10,16200,16300,15950,16050,▼350,－2.13%,16490,16695,18267,20566,122254,5341622
2018/12/07,16600,16650,16250,16400,0.0,0.00%,16730,16723,18359,20653,83292,5667137
2018/12/06,16800,16800,16350,16400,▼250,－1.50%,16790,16730,18448,20736,112115,5667865
2018/12/05,16700,17050,16550,16650,▼300,－1.77%,16850,16733,18532,20828,176871,5685219
2018/12/04,17150,17400,16900,16950,▼300,－1.74%,16890,16703,18611,20922,114659,5725728
2018/12/03,16800,17250,16750,17250,▲550,＋3.29%,16850,16683,18679,21005,145517,5748230
2018/11/30,16700,16850,16500,16700,0.0,0.00%,16740,16638,18742,21087,87647,5703264
2018/11/29,17150,17200,16700,16700,▼150,－0.89%,16700,16618,18818,21176,95039,5694608
2018/11/28,16950,17000,16550,16850,▲100,＋0.60%,16720,16568,18900,21260,96008,5689603
2018/11/27,16800,16900,16650,16750,▲50,＋0.30%,16780,16508,18988,21340,68851,5695314
2018/11/26,16400,16900,16400,16700,▲200,＋1.21%,16830,16445,19078,21420,75310,5688187
2018/11/23,16800,16950,16500,16500,▼300,－1.79%,16960,16378,19165,21502,60156,5668313
2018/11/22,17100,17200,16750,16800,▼350,－2.04%,17070,16355,19261,21591,74046,5682408
