[일시]LS,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,55800,56300,55100,55900,▲600,＋1.08%,56040,53250,53004,59206,106392,5511772
2019/01/29,56600,56600,54600,55300,▼2000,－3.49%,56020,52885,53008,59340,146620,5518771
2019/01/28,56200,57500,55900,57300,▲1200,＋2.14%,55940,52575,52933,59494,116192,5533774
2019/01/25,55300,56700,55100,56100,▲500,＋0.90%,55560,52135,52819,59642,79990,5550911
2019/01/24,55100,56700,55100,55600,▼200,－0.36%,55480,51743,52710,59791,86567,5547351
2019/01/23,54300,56100,54300,55800,▲900,＋1.64%,55300,51463,52628,59941,48699,5569233
2019/01/22,55500,56100,54700,54900,▼500,－0.90%,55000,51163,52578,60106,67786,5565530
2019/01/21,56400,56900,55400,55400,▼300,－0.54%,54820,50908,52562,60288,125270,5575937
2019/01/18,55300,56300,55100,55700,▲1000,＋1.83%,54100,50693,52572,60431,94156,5615810
2019/01/17,54100,55300,54100,54700,▲400,＋0.74%,53500,50513,52585,60569,83866,5642730
2019/01/16,54200,56100,54200,54300,▲300,＋0.56%,52980,50473,52625,60710,137361,5641664
2019/01/15,51500,54700,51500,54000,▲2200,＋4.25%,52580,50453,52700,60855,110636,5659707
2019/01/14,52600,53300,51600,51800,▼900,－1.71%,51470,50428,52815,61004,88560,5664465
2019/01/11,52100,53300,51700,52700,▲600,＋1.15%,50820,50423,52972,61168,83178,5664159
2019/01/10,51800,53200,51300,52100,▼200,－0.38%,49720,50348,53102,61323,89187,5693619
2019/01/09,48900,52800,48750,52300,▲3850,＋7.95%,48680,50358,53233,61493,214645,5710560
2019/01/08,48950,49450,48150,48450,▼100,－0.21%,47940,50418,53390,61654,47473,5706278
2019/01/07,47750,50700,47750,48550,▲1350,＋2.86%,48070,50655,53618,61855,116820,5722916
2019/01/04,46850,47450,46150,47200,▲300,＋0.64%,48060,50958,53888,62048,102351,5698431
2019/01/03,48050,48600,46900,46900,▼1700,－3.50%,48270,51388,54212,62230,129931,5699733
2019/01/02,49400,49950,48550,48600,▼500,－1.02%,48890,51878,54550,62462,56142,5708240
2018/12/28,48400,49850,48400,49100,▲600,＋1.24%,49130,52098,54875,62663,65316,5709734
2018/12/27,48500,48750,48000,48500,▲250,＋0.52%,49270,52333,55200,62868,75612,5706536
2018/12/26,49200,49650,48050,48250,▼1750,－3.50%,49790,52573,55548,63063,144143,5708124
2018/12/24,49800,50600,49450,50000,▲200,＋0.40%,50560,52815,55886,63257,49092,5718454
2018/12/21,49500,51200,49500,49800,0.0,0.00%,51340,52955,56228,63465,111699,5731814
2018/12/20,50700,50900,49350,49800,▼1300,－2.54%,52160,53080,56576,63672,125721,5738676
2018/12/19,52200,52400,50900,51100,▼1000,－1.92%,52900,53225,56923,63879,114158,5739925
2018/12/18,53300,53500,51600,52100,▼1800,－3.34%,53020,53345,57264,64083,110511,5773585
2018/12/17,54200,54900,53500,53900,0.0,0.00%,52840,53400,57549,64286,76333,5787172
2018/12/14,53500,54300,52700,53900,▲400,＋0.75%,52520,53455,57811,64465,70755,5810111
2018/12/13,51700,54200,51600,53500,▲1800,＋3.48%,52440,53480,58093,64631,122743,5823357
2018/12/12,51200,52700,51200,51700,▲500,＋0.98%,52380,53510,58379,64839,91592,5807657
2018/12/11,52600,53000,51100,51200,▼1100,－2.10%,52960,53615,58613,65068,74030,5807274
2018/12/10,52700,52900,51900,52300,▼1200,－2.24%,53880,53755,58864,65312,61957,5817948
2018/12/07,53500,54000,52600,53500,▲300,＋0.56%,54760,53815,59124,65576,48198,5828619
2018/12/06,54600,54800,53100,53200,▼1400,－2.56%,54660,53895,59363,65835,71275,5842956
2018/12/05,55000,55200,54100,54600,▼1200,－2.15%,54780,53970,59584,66115,107071,5865802
2018/12/04,56200,57700,55500,55800,▼900,－1.59%,54520,53900,59793,66379,131082,5910584
2018/12/03,53500,58600,53500,56700,▲3700,＋6.98%,53980,53955,59991,66595,205305,5958613
2018/11/30,54100,54300,52800,53000,▼800,－1.49%,53200,53885,60173,66821,119229,5975853
2018/11/29,54000,55800,53600,53800,▲500,＋0.94%,53060,54040,60409,67076,118639,5998439
2018/11/28,52900,53500,52700,53300,▲200,＋0.38%,52840,53890,60631,67323,47083,6016934
2018/11/27,53000,53600,52500,53100,▲300,＋0.57%,52880,53750,60884,67581,38340,6021830
2018/11/26,52300,53500,52300,52800,▲500,＋0.96%,52900,53573,61148,67851,56485,6026354
2018/11/23,52600,53000,52000,52300,▼400,－0.76%,53340,53468,61373,68147,46429,6029915
2018/11/22,53600,53900,52700,52700,▼800,－1.50%,53760,53493,61623,68430,38088,6029608
2018/11/21,52200,53900,52100,53500,▲300,＋0.56%,54040,53553,61868,68742,59420,6042370
2018/11/20,54400,55000,53000,53200,▼1800,－3.27%,54100,53678,62109,68993,94989,6041887
2018/11/19,54100,56100,54000,55000,▲600,＋1.10%,54260,53843,62383,69267,122647,6055251
2018/11/16,55000,55300,53500,54400,▲300,＋0.55%,53960,53948,62633,69534,86367,6065656
2018/11/15,53400,54500,52000,54100,▲300,＋0.56%,54100,54168,62878,69800,125035,6078090
2018/11/14,54200,54300,52900,53800,▼200,－0.37%,54220,54508,63131,70075,63692,6073029
2018/11/13,52500,54000,51700,54000,▲500,＋0.93%,54100,54878,63403,70355,108938,6064823
2018/11/12,55000,55100,53100,53500,▼1600,－2.90%,54680,55203,63643,70614,140675,6037965
2018/11/09,54400,56000,54100,55100,▲400,＋0.73%,55040,55528,63961,70890,67262,6002314
2018/11/08,54300,56700,53900,54700,▲1500,＋2.82%,55240,55858,64241,71147,158296,5996874
2018/11/07,56900,58100,52800,53200,▼3700,－6.50%,54460,56228,64524,71382,221918,5975489
2018/11/06,55600,58700,55600,56900,▲1600,＋2.89%,53920,56808,64843,71621,155596,5929661
2018/11/05,55500,56600,53700,55300,▼800,－1.43%,52450,57293,65116,71799,136943,5973194
2018/11/02,51200,56700,51200,56100,▲5300,＋10.43%,51530,57888,65408,72007,230683,6004192
2018/11/01,50800,52200,50700,50800,▲300,＋0.59%,50870,58488,65673,72215,118599,6046081
2018/10/31,49650,50900,48600,50500,▲950,＋1.92%,51490,59378,66056,72453,174733,6036693
2018/10/30,49950,52700,48150,49550,▼1150,－2.27%,52590,60323,66464,72700,262220,5983554
2018/10/29,53000,53400,50600,50700,▼2100,－3.98%,53980,61270,66872,72937,201298,5890821
2018/10/26,54300,54300,51900,52800,▼1100,－2.04%,55260,62260,67253,73133,164020,5832559
2018/10/25,55000,55600,52900,53900,▼2100,－3.75%,56460,63155,67633,73311,186893,5757806
2018/10/24,57000,57000,54700,56000,▼500,－0.88%,57860,63990,68013,73484,160133,5702745
2018/10/23,57200,57700,55400,56500,▼600,－1.05%,58900,64770,68290,73648,157216,5669729
