[일시]NH투자증권,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,13800,13850,13550,13850,▲150,＋1.09%,13760,13213,13446,13180,623208,40450797
2019/01/29,13600,13700,13400,13700,▲50,＋0.37%,13680,13138,13439,13173,598847,40350796
2019/01/28,13750,13800,13600,13650,▼150,－1.09%,13650,13105,13416,13169,634079,40228051
2019/01/25,13650,13850,13500,13800,0.0,0.00%,13660,13070,13391,13163,686016,40313600
2019/01/24,13650,13850,13450,13800,▲350,＋2.60%,13640,13043,13359,13157,1171514,40216349
2019/01/23,13550,13650,13350,13450,▼100,－0.74%,13580,13043,13330,13151,642472,40146378
2019/01/22,13700,13800,13350,13550,▼150,－1.09%,13600,13063,13309,13150,480017,40164535
2019/01/21,13850,13900,13600,13700,0.0,0.00%,13560,13065,13287,13146,402335,40113194
2019/01/18,13650,13750,13450,13700,▲200,＋1.48%,13350,13085,13264,13140,566173,40101719
2019/01/17,13700,13750,13400,13500,▼50,－0.37%,13150,13095,13238,13134,675191,40018822
2019/01/16,13250,13800,13250,13550,▲200,＋1.50%,13020,13113,13220,13130,1198671,39911054
2019/01/15,12650,13450,12650,13350,▲700,＋5.53%,12890,13128,13197,13126,1425182,39752002
2019/01/14,12700,12700,12500,12650,▼50,－0.39%,12720,13158,13179,13127,527426,39634640
2019/01/11,12900,12950,12650,12700,▼150,－1.17%,12740,13215,13176,13134,663651,39477275
2019/01/10,12800,12950,12650,12850,▼50,－0.39%,12640,13263,13168,13143,454681,39554259
2019/01/09,12600,13050,12550,12900,▲400,＋3.20%,12490,13298,13157,13153,1381182,39593711
2019/01/08,12750,12850,12400,12500,▼250,－1.96%,12380,13335,13148,13160,733212,39700358
2019/01/07,12500,13000,12500,12750,▲550,＋4.51%,12490,13383,13141,13170,1271676,39601136
2019/01/04,12000,12250,11950,12200,▲100,＋0.83%,12530,13428,13140,13180,990591,39723489
2019/01/03,12350,12550,12050,12100,▼250,－2.02%,12740,13515,13160,13196,918010,39589114
2019/01/02,13100,13150,12250,12350,▼700,－5.36%,13080,13628,13183,13214,1139552,39217009
2018/12/28,13000,13150,12900,13050,▲100,＋0.77%,13380,13703,13202,13228,658710,39016847
2018/12/27,13250,13350,12900,12950,▼300,－2.26%,13490,13740,13215,13235,1044274,38946867
2018/12/26,13600,13800,13100,13250,▼550,－3.99%,13720,13778,13238,13245,1401787,38884031
2018/12/24,13800,13800,13600,13800,▼50,－0.36%,13850,13808,13255,13253,448082,38870469
2018/12/21,13550,13850,13500,13850,▲250,＋1.84%,13860,13803,13263,13262,705113,38925489
2018/12/20,14000,14050,13450,13600,▼500,－3.55%,13860,13780,13265,13269,1143047,38829946
2018/12/19,13900,14200,13850,14100,▲200,＋1.44%,13930,13783,13269,13279,807212,38786123
2018/12/18,13700,14050,13700,13900,▲50,＋0.36%,13870,13760,13264,13287,1039697,38814693
2018/12/17,13850,14050,13800,13850,0.0,0.00%,13820,13748,13256,13299,583259,39001531
2018/12/14,13950,14000,13650,13850,▼100,－0.72%,13760,13738,13250,13308,539551,39001571
2018/12/13,13800,14000,13750,13950,▲150,＋1.09%,13720,13710,13248,13319,895909,38972935
2018/12/12,13650,13850,13650,13800,▲150,＋1.10%,13620,13685,13238,13330,643400,38825399
2018/12/11,13550,13700,13500,13650,▲100,＋0.74%,13590,13643,13228,13339,518797,38978143
2018/12/10,13450,13650,13400,13550,▼100,－0.73%,13650,13628,13224,13353,569942,38984613
2018/12/07,13550,13700,13350,13650,▲200,＋1.49%,13810,13620,13223,13374,549355,39049962
2018/12/06,13600,13700,13300,13450,▼200,－1.47%,13850,13600,13216,13393,951707,39068176
2018/12/05,13650,13750,13450,13650,▼300,－2.15%,13920,13605,13208,13421,888351,38765088
2018/12/04,14350,14350,13800,13950,▼400,－2.79%,13930,13593,13201,13448,1149850,38613741
2018/12/03,14000,14350,14000,14350,▲500,＋3.61%,13910,13565,13194,13468,872023,38413269
2018/11/30,13800,13900,13650,13850,▲50,＋0.36%,13780,13498,13181,13489,758572,38200075
2018/11/29,14050,14100,13750,13800,▲100,＋0.73%,13690,13478,13174,13509,1405613,38145931
2018/11/28,13900,13950,13600,13700,▼150,－1.08%,13660,13403,13168,13527,489211,38150688
2018/11/27,13800,13900,13650,13850,▲150,＋1.09%,13650,13325,13163,13544,566114,38157716
2018/11/26,13450,13750,13400,13700,▲300,＋2.24%,13610,13228,13154,13561,667634,38068555
2018/11/23,13600,13700,13300,13400,▼250,－1.83%,13600,13145,13148,13579,433800,38032551
2018/11/22,13650,13750,13550,13650,0.0,0.00%,13580,13085,13138,13608,345868,38012039
2018/11/21,13500,13650,13350,13650,0.0,0.00%,13540,13013,13122,13637,504317,38003447
2018/11/20,13450,13750,13400,13650,0.0,0.00%,13400,12948,13106,13659,592668,38112131
2018/11/19,13400,13800,13350,13650,▲350,＋2.63%,13340,12870,13090,13683,966787,37994550
2018/11/16,13450,13500,13200,13300,▼150,－1.12%,13290,12810,13064,13705,485223,37898268
2018/11/15,12950,13450,12900,13450,▲500,＋3.86%,13280,12753,13043,13730,722097,37959338
2018/11/14,13400,13450,12900,12950,▼400,－3.00%,13300,12695,13016,13753,750294,37888999
2018/11/13,13150,13400,12850,13350,▼50,－0.37%,13390,12670,12998,13778,928843,37865708
