[일시]NPC,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,3885,3975,3865,3910,▼10,－0.26%,3914,3858,3766,4012,6942,1027914
2019/01/29,3935,3935,3855,3920,▼10,－0.25%,3914,3849,3767,4016,711,1027877
2019/01/28,3845,3965,3845,3930,▲40,＋1.03%,3913,3842,3768,4020,2615,1027876
2019/01/25,3930,3990,3890,3890,▼30,－0.77%,3903,3837,3767,4023,4149,1027876
2019/01/24,3930,3930,3805,3920,▲10,＋0.26%,3911,3830,3765,4027,1532,1027913
2019/01/23,3940,3955,3820,3910,▼5,－0.13%,3904,3819,3762,4031,1261,1027918
2019/01/22,3930,3930,3740,3915,▲35,＋0.90%,3898,3808,3760,4035,4024,1027918
2019/01/21,3930,3940,3870,3880,▼50,－1.27%,3896,3801,3758,4039,4525,1027884
2019/01/18,3925,3950,3870,3930,▲45,＋1.16%,3897,3794,3758,4043,3768,1027883
2019/01/17,3880,3925,3830,3885,▲5,＋0.13%,3886,3784,3757,4047,4103,1027877
2019/01/16,3905,3940,3835,3880,▼25,－0.64%,3877,3781,3757,4051,2521,1027877
2019/01/15,3805,3915,3805,3905,▲20,＋0.51%,3863,3776,3758,4056,4410,1027877
2019/01/14,3840,3885,3800,3885,▲10,＋0.26%,3843,3763,3759,4061,3353,1027877
2019/01/11,3840,3880,3790,3875,▲35,＋0.91%,3805,3748,3760,4067,2562,1027109
2019/01/10,3810,3840,3760,3840,▲30,＋0.79%,3768,3727,3759,4074,1091,1027109
2019/01/09,3805,3880,3750,3810,▲5,＋0.13%,3738,3708,3758,4080,5501,1027109
2019/01/08,3610,3810,3610,3805,▲110,＋2.98%,3722,3703,3759,4087,15010,1027109
2019/01/07,3625,3700,3625,3695,▲5,＋0.14%,3714,3697,3759,4094,1605,1027109
2019/01/04,3565,3695,3560,3690,0.0,0.00%,3741,3700,3762,4102,7558,1027009
2019/01/03,3635,3705,3635,3690,▼40,－1.07%,3753,3704,3767,4110,6270,1027009
2019/01/02,3760,3765,3690,3730,▼35,－0.93%,3755,3705,3773,4118,690,1027009
2018/12/28,3835,3840,3755,3765,▼65,－1.70%,3750,3703,3777,4125,2271,1027009
