[일시]SK네트웍스,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,6050,6070,5760,5820,▼210,－3.48%,5946,5826,5155,4984,2200878,31798603
2019/01/29,5920,6050,5890,6030,▲110,＋1.86%,5964,5794,5131,4973,1479894,31618851
2019/01/28,5930,5990,5880,5920,▼20,－0.34%,5930,5752,5103,4961,675572,31437356
2019/01/25,6010,6020,5930,5940,▼80,－1.33%,5920,5720,5075,4951,1010697,31376613
2019/01/24,5900,6040,5870,6020,▲110,＋1.86%,5910,5672,5048,4941,1796220,31496744
2019/01/23,5820,5920,5800,5910,▲50,＋0.85%,5882,5621,5019,4929,856159,31472481
2019/01/22,5920,5950,5850,5860,▼10,－0.17%,5872,5571,4996,4917,993626,31277184
2019/01/21,5900,5930,5810,5870,▼20,－0.34%,5864,5521,4975,4906,657402,31254717
2019/01/18,5880,5910,5800,5890,▲10,＋0.17%,5850,5469,4956,4895,818648,31177914
2019/01/17,5920,5920,5800,5880,▲20,＋0.34%,5828,5423,4934,4884,963116,31107937
2019/01/16,5810,5920,5770,5860,▲40,＋0.69%,5812,5381,4915,4872,1223598,30938566
2019/01/15,5800,5920,5780,5820,▲20,＋0.34%,5788,5339,4896,4861,1235010,30576524
2019/01/14,5790,5810,5700,5800,▲20,＋0.35%,5768,5298,4879,4851,1067813,30330583
2019/01/11,5800,5830,5580,5780,▼20,－0.34%,5750,5256,4866,4841,2134494,30018597
2019/01/10,5780,5810,5720,5800,▲60,＋1.05%,5724,5206,4854,4832,1462752,29692987
2019/01/09,5700,5790,5700,5740,▲20,＋0.35%,5662,5162,4842,4823,1463454,29305531
2019/01/08,5720,5800,5670,5720,▲10,＋0.18%,5550,5123,4831,4814,1392857,29089457
2019/01/07,5660,5760,5520,5710,▲60,＋1.06%,5446,5081,4817,4804,2298026,28852687
2019/01/04,5490,5700,5410,5650,▲160,＋2.91%,5358,5042,4809,4795,2735244,28865138
2019/01/03,5260,5560,5220,5490,▲310,＋5.98%,5226,5007,4803,4785,4795141,28927534
2019/01/02,5260,5270,5110,5180,▼20,－0.38%,5128,4985,4802,4776,902071,28123432
2018/12/28,5260,5320,5160,5200,▼70,－1.33%,5074,4974,4807,4769,1084547,28299774
2018/12/27,5050,5310,4970,5270,▲280,＋5.61%,5007,4960,4811,4762,1943731,28832040
2018/12/26,4930,5040,4930,4990,▼10,－0.20%,4919,4946,4817,4754,1047333,28896201
2018/12/24,4870,5050,4850,5000,▲90,＋1.83%,4914,4943,4825,4749,829226,29188923
2018/12/21,4870,4945,4820,4910,▲45,＋0.92%,4920,4943,4833,4745,1012111,29202018
2018/12/20,4800,4935,4790,4865,▲35,＋0.72%,4944,4939,4838,4741,933011,29330059
2018/12/19,4970,4970,4810,4830,▼135,－2.72%,4969,4939,4840,4738,1202970,29372504
2018/12/18,4990,5050,4910,4965,▼65,－1.29%,4995,4945,4841,4735,736140,29463110
2018/12/17,5040,5090,4995,5030,0.0,0.00%,4960,4932,4845,4732,713546,29529858
2018/12/14,4995,5070,4965,5030,▲40,＋0.80%,4938,4908,4847,4728,893244,29540702
2018/12/13,4960,5020,4930,4990,▲30,＋0.60%,4924,4883,4850,4724,1063886,29448180
2018/12/12,4820,4985,4800,4960,▲170,＋3.55%,4901,4861,4853,4721,958809,29219380
2018/12/11,4935,4945,4775,4790,▼130,－2.64%,4896,4832,4856,4719,704605,29316321
2018/12/10,4930,4980,4860,4920,▼40,－0.81%,4929,4814,4859,4720,581272,29392244
2018/12/07,4915,4970,4850,4960,▲85,＋1.74%,4955,4789,4859,4720,558851,29405360
2018/12/06,4950,4965,4840,4875,▼60,－1.22%,4953,4759,4858,4720,698801,29474906
