[일시]SK디스커버리,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,28650,28800,28200,28650,▲250,＋0.88%,28110,26598,27675,29493,38885,2566145
2019/01/29,28200,28500,28000,28400,▲50,＋0.18%,27890,26445,27666,29533,38343,2552685
2019/01/28,27900,28600,27650,28350,▲450,＋1.61%,27660,26330,27645,29577,54998,2547514
2019/01/25,27150,28000,27150,27900,▲650,＋2.39%,27540,26213,27623,29617,46267,2535763
2019/01/24,27550,27850,27250,27250,▼300,－1.09%,27440,26123,27601,29657,43053,2526956
2019/01/23,27000,27750,27000,27550,▲300,＋1.10%,27290,26108,27588,29702,42463,2528639
2019/01/22,27750,27750,27050,27250,▼500,－1.80%,27040,26080,27574,29745,33140,2511131
2019/01/21,27500,27750,27250,27750,▲350,＋1.28%,26820,26078,27581,29789,44238,2515952
2019/01/18,26550,27450,26550,27400,▲900,＋3.40%,26570,26070,27588,29866,49543,2513073
2019/01/17,26300,26950,26300,26500,▲200,＋0.76%,26400,26070,27595,29947,41093,2507199
2019/01/16,26150,26600,25950,26300,▲150,＋0.57%,26100,26150,27634,30039,51004,2514033
2019/01/15,26500,27150,25950,26150,▼350,－1.32%,25850,26228,27693,30133,60675,2502573
2019/01/14,26600,26850,26150,26500,▼50,－0.19%,25590,26370,27753,30228,45572,2494528
2019/01/11,25050,26600,25050,26550,▲1550,＋6.20%,25220,26483,27817,30327,111126,2500540
2019/01/10,25100,25200,25000,25000,▼50,－0.20%,24890,26555,27878,30425,45415,2487024
2019/01/09,25200,25300,24900,25050,▲200,＋0.80%,24890,26725,27967,30539,90771,2485689
2019/01/08,24700,25000,24650,24850,▲200,＋0.81%,25000,26915,28063,30648,118772,2492052
2019/01/07,24650,25100,24650,24650,▼250,－1.00%,25250,27135,28161,30756,67149,2489446
2019/01/04,25000,25350,24750,24900,▼100,－0.40%,25520,27378,28283,30868,31868,2498707
2019/01/03,25550,25800,25000,25000,▼600,－2.34%,25760,27605,28409,30969,38458,2504029
2019/01/02,26200,26200,25550,25600,▼500,－1.92%,26150,27870,28543,31066,25456,2508871
2018/12/28,26150,26600,26050,26100,▲100,＋0.38%,26430,28080,28669,31154,16877,2516715
2018/12/27,26050,26600,25950,26000,▼100,－0.38%,26650,28235,28790,31242,43803,2516441
2018/12/26,26700,27100,25900,26100,▼850,－3.15%,26970,28413,28920,31325,60464,2514436
2018/12/24,26900,27200,26900,26950,▼50,－0.19%,27230,28583,29044,31408,25366,2523258
2018/12/21,27400,27600,27000,27000,▼200,－0.74%,27460,28715,29149,31491,34606,2529446
2018/12/20,27500,27700,27100,27200,▼400,－1.45%,27630,28790,29223,31570,38251,2538714
2018/12/19,27600,27700,27350,27600,▲200,＋0.73%,27990,28888,29284,31650,29843,2541088
2018/12/18,27650,28200,27250,27400,▼700,－2.49%,28220,28978,29344,31723,61563,2546255
2018/12/17,27950,28300,27500,28100,▲250,＋0.90%,28340,29058,29415,31797,31008,2570495
2018/12/14,28900,29300,27700,27850,▼1150,－3.97%,28400,29073,29478,31865,55576,2571001
2018/12/13,28450,29450,28450,29000,▲250,＋0.87%,28600,29070,29553,31938,62625,2580868
2018/12/12,27600,28750,27600,28750,▲750,＋2.68%,28650,28995,29609,32011,35385,2573782
2018/12/11,28200,28500,27900,28000,▼400,－1.41%,28800,28920,29671,32087,39331,2570282
2018/12/10,28350,28550,28000,28400,▼450,－1.56%,29090,28903,29744,32179,37028,2559225
2018/12/07,29250,29600,28550,28850,▼400,－1.37%,29470,28893,29816,32269,30420,2559513
2018/12/06,29600,29600,29000,29250,▼250,－0.85%,29660,28880,29878,32356,44913,2558063
2018/12/05,29200,30350,29150,29500,▲50,＋0.17%,29650,28853,29928,32449,50006,2559229
2018/12/04,30200,30550,29400,29450,▼850,－2.81%,29660,28750,29974,32542,57602,2549732
2018/12/03,29700,31000,29700,30300,▲500,＋1.68%,29670,28685,30023,32630,60538,2543711
2018/11/30,29100,30100,29000,29800,▲600,＋2.05%,29530,28558,30053,32714,79674,2522618
2018/11/29,29600,29800,28950,29200,▼350,－1.18%,29270,28473,30093,32793,44241,2512455
2018/11/28,29500,29900,29450,29550,▲50,＋0.17%,29260,28370,30141,32883,27099,2499324
2018/11/27,29450,30050,29250,29500,▼100,－0.34%,29230,28245,30180,32967,55878,2493977
2018/11/26,28600,29750,28550,29600,▲1100,＋3.86%,29130,28098,30223,33050,30561,2496631
2018/11/23,28800,29300,28300,28500,▼650,－2.23%,28890,27940,30258,33133,35505,2488791
2018/11/22,29400,29600,28800,29150,▼250,－0.85%,28750,27853,30313,33221,29021,2495975
2018/11/21,28950,29500,28450,29400,▲400,＋1.38%,28420,27778,30354,33308,53100,2492907
