[일시]TCC동양,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2160,2195,2115,2170,▼10,－0.46%,2192,2045,1960,1988,15046,408966
2019/01/29,2160,2195,2105,2180,▼20,－0.91%,2183,2036,1955,1988,38032,407798
2019/01/28,2230,2275,2175,2200,▼50,－2.22%,2167,2027,1948,1987,34171,406795
2019/01/25,2165,2275,2160,2250,▲90,＋4.17%,2138,2017,1941,1986,125279,408750
2019/01/24,2145,2160,2125,2160,▲35,＋1.65%,2096,2001,1932,1985,30387,409339
2019/01/23,2100,2140,2100,2125,▲25,＋1.19%,2064,1991,1925,1984,37132,413947
2019/01/22,2055,2105,2055,2100,▲45,＋2.19%,2039,1984,1920,1983,41638,413687
2019/01/21,2045,2075,2035,2055,▲15,＋0.74%,2015,1976,1914,1982,37349,412889
2019/01/18,2000,2040,1995,2040,▲40,＋2.00%,1997,1972,1909,1981,33959,411809
2019/01/17,2040,2040,1990,2000,0.0,0.00%,1981,1968,1905,1981,12305,403369
2019/01/16,1995,2055,1995,2000,▲20,＋1.01%,1973,1967,1902,1982,33307,402599
2019/01/15,1965,2000,1965,1980,▲15,＋0.76%,1963,1965,1899,1983,14150,402178
2019/01/14,1960,1995,1950,1965,▲5,＋0.26%,1957,1966,1895,1984,22005,400941
2019/01/11,1960,1980,1935,1960,0.0,0.00%,1953,1967,1893,1985,30837,399585
2019/01/10,1945,1960,1930,1960,▲10,＋0.51%,1948,1967,1890,1987,21110,398918
2019/01/09,1940,1965,1895,1950,0.0,0.00%,1952,1967,1887,1988,49778,398187
2019/01/08,1945,1970,1935,1950,▲5,＋0.26%,1960,1968,1884,1989,34621,397963
2019/01/07,1935,1975,1935,1945,▲10,＋0.52%,1970,1971,1880,1990,4647,398695
2019/01/04,1960,1980,1910,1935,▼45,－2.27%,1979,1972,1879,1992,23580,398809
2019/01/03,1990,1990,1955,1980,▼10,－0.50%,1980,1973,1880,1993,7472,399432
2019/01/02,2040,2040,1955,1990,▼10,－0.50%,1976,1970,1881,1994,25236,400358
2018/12/28,1990,2010,1960,2000,▲10,＋0.50%,1972,1966,1881,1994,16893,400137
2018/12/27,1940,2055,1915,1990,▲50,＋2.58%,1963,1962,1882,1994,23664,434895
2018/12/26,1960,1960,1930,1940,▼20,－1.02%,1958,1958,1883,1994,11876,435992
2018/12/24,1990,1990,1940,1960,▼10,－0.51%,1963,1957,1885,1995,13686,437235
2018/12/21,1995,1995,1945,1970,▲15,＋0.77%,1965,1956,1888,1998,18540,437774
2018/12/20,1955,1985,1955,1955,▼10,－0.51%,1966,1953,1889,2001,5610,439485
2018/12/19,1990,2000,1945,1965,0.0,0.00%,1973,1950,1893,2005,13490,440606
2018/12/18,1975,1990,1955,1965,▼5,－0.25%,1978,1945,1897,2008,7117,443154
2018/12/17,1950,1995,1950,1970,▼5,－0.25%,1977,1941,1901,2010,8940,443988
2018/12/14,1990,1990,1960,1975,▼15,－0.75%,1973,1939,1906,2012,13076,444754
2018/12/13,1970,2020,1960,1990,0.0,0.00%,1974,1934,1910,2015,12707,445625
2018/12/12,1950,1990,1950,1990,▲30,＋1.53%,1976,1927,1914,2017,7173,445567
2018/12/11,1950,1970,1930,1960,▲10,＋0.51%,1972,1920,1918,2019,19710,446158
2018/12/10,1980,1980,1915,1950,▼30,－1.52%,1970,1912,1922,2022,39278,448754
2018/12/07,2180,2285,1955,1980,▼20,－1.00%,1964,1904,1926,2025,309610,447788
2018/12/06,1990,2035,1970,2000,▲30,＋1.52%,1951,1896,1928,2028,88652,454046
2018/12/05,1925,1975,1895,1970,▲20,＋1.03%,1935,1887,1931,2031,16537,455914
2018/12/04,1920,1955,1910,1950,▲30,＋1.56%,1925,1878,1934,2033,26158,457032
2018/12/03,1950,1950,1915,1920,▲5,＋0.26%,1918,1871,1938,2035,10592,457281
2018/11/30,1920,1935,1890,1915,▼5,－0.26%,1922,1866,1943,2036,12034,458056
2018/11/29,1920,1945,1905,1920,0.0,0.00%,1919,1862,1947,2038,15488,458620
2018/11/28,1905,1940,1900,1920,▲5,＋0.26%,1914,1856,1950,2039,23275,460406
2018/11/27,1955,1955,1915,1915,▼25,－1.29%,1905,1848,1954,2040,17329,460109
2018/11/26,1880,1940,1875,1940,▲40,＋2.11%,1898,1838,1957,2041,33993,461934
2018/11/23,1925,1930,1895,1900,▲5,＋0.26%,1896,1828,1960,2042,40416,463718
2018/11/22,1880,1905,1850,1895,▲20,＋1.07%,1892,1824,1963,2043,48975,465150
2018/11/21,1850,1880,1845,1875,▼5,－0.27%,1882,1817,1966,2045,31481,464857
2018/11/20,1905,1905,1865,1880,▼50,－2.59%,1878,1811,1970,2046,25659,464518
2018/11/19,1880,1965,1880,1930,▲50,＋2.66%,1861,1806,1974,2047,88862,463573
2018/11/16,1875,1920,1845,1880,▲35,＋1.90%,1834,1800,1976,2049,57065,460930
2018/11/15,1870,1875,1835,1845,▼10,－0.54%,1821,1796,1979,2051,29256,462577
2018/11/14,1795,1925,1745,1855,▲60,＋3.34%,1816,1794,1983,2054,194656,463691
2018/11/13,1795,1815,1765,1795,0.0,0.00%,1804,1792,1986,2057,19236,463199
2018/11/12,1775,1810,1775,1795,▼20,－1.10%,1807,1791,1989,2059,17285,466739
2018/11/09,1800,1830,1750,1815,▼5,－0.27%,1810,1790,1993,2063,21440,467974
2018/11/08,1795,1830,1795,1820,▲25,＋1.39%,1817,1787,1997,2067,31691,468481
2018/11/07,1820,1820,1785,1795,▼15,－0.83%,1813,1783,2002,2070,25708,464781
2018/11/06,1810,1830,1790,1810,0.0,0.00%,1803,1788,2006,2074,53021,469301
2018/11/05,1845,1845,1800,1810,▼40,－2.16%,1787,1797,2011,2077,32544,463880
2018/11/02,1785,1850,1785,1850,▲50,＋2.78%,1770,1808,2017,2079,162280,467631
2018/11/01,1795,1840,1750,1800,▲55,＋3.15%,1765,1816,2021,2081,37477,460619
2018/10/31,1730,1780,1665,1745,▲15,＋0.87%,1757,1828,2026,2084,46628,459441
2018/10/30,1630,1740,1630,1730,▲5,＋0.29%,1760,1843,2032,2087,62748,457480
2018/10/29,1825,1840,1720,1725,▼100,－5.48%,1769,1861,2038,2090,77495,463519
2018/10/26,1760,1890,1640,1825,▲65,＋3.69%,1787,1879,2043,2093,170999,465317
2018/10/25,1705,1760,1700,1760,0.0,0.00%,1782,1892,2046,2095,49400,471611
2018/10/24,1765,1815,1740,1760,▼15,－0.85%,1789,1913,2050,2098,18862,475864
2018/10/23,1815,1820,1760,1775,▼40,－2.20%,1801,1933,2054,2101,22788,478085
2018/10/22,1795,1815,1775,1815,▲15,＋0.83%,1802,1957,2057,2103,6512,479872
2018/10/19,1770,1825,1750,1800,▲5,＋0.28%,1791,1978,2062,2105,30296,480981
2018/10/18,1820,1820,1780,1795,▼25,－1.37%,1783,2000,2067,2106,16094,482463
2018/10/17,1820,1875,1785,1820,▲40,＋2.25%,1774,2022,2072,2108,29673,483044
2018/10/16,1795,1870,1750,1780,▲20,＋1.14%,1788,2043,2077,2108,28248,478651
2018/10/15,1765,1785,1750,1760,0.0,0.00%,1829,2064,2083,2109,85820,473764
2018/10/12,1695,1795,1695,1760,▲10,＋0.57%,1883,2083,2089,2110,123346,470458
2018/10/11,1795,1840,1705,1750,▼140,－7.41%,1933,2102,2094,2111,211426,463977
2018/10/10,1985,2015,1890,1890,▼95,－4.79%,1992,2122,2100,2112,78707,461575
2018/10/08,1985,2005,1970,1985,▼45,－2.22%,2022,2137,2104,2112,24091,465390
2018/10/05,1995,2030,1970,2030,▲20,＋1.00%,2043,2148,2106,2111,25373,467541
2018/10/04,2020,2040,1985,2010,▼35,－1.71%,2055,2155,2107,2110,52213,467503
2018/10/02,2040,2160,2020,2045,▲5,＋0.25%,2070,2162,2107,2109,51909,468276
2018/10/01,2085,2100,2040,2040,▼50,－2.39%,2097,2166,2106,2108,38014,467476
2018/09/28,2105,2105,2040,2090,0.0,0.00%,2122,2171,2106,2106,16354,466350
2018/09/27,2085,2115,2060,2090,▲5,＋0.24%,2152,2172,2105,2104,43701,464404
2018/09/21,2150,2175,2080,2085,▼95,－4.36%,2181,2172,2108,2103,164810,462737
2018/09/20,2165,2200,2145,2180,▲15,＋0.69%,2212,2172,2112,2101,10033,463592
2018/09/19,2240,2250,2165,2165,▼75,－3.35%,2224,2167,2117,2099,25385,463460
2018/09/18,2210,2280,2210,2240,▲5,＋0.22%,2238,2165,2119,2097,31833,460294
2018/09/17,2235,2255,2200,2235,▼5,－0.22%,2233,2159,2119,2094,5126,459642
2018/09/14,2245,2255,2220,2240,0.0,0.00%,2213,2151,2119,2091,23354,459249
2018/09/13,2230,2260,2210,2240,▲5,＋0.22%,2191,2142,2121,2089,19087,459186
2018/09/12,2215,2250,2180,2235,▲20,＋0.90%,2176,2134,2121,2087,29716,458764
2018/09/11,2145,2220,2145,2215,▲80,＋3.75%,2166,2124,2119,2085,34650,461177
2018/09/10,2150,2150,2095,2135,▲5,＋0.23%,2162,2111,2121,2083,21442,459504
2018/09/07,2160,2185,2080,2130,▼35,－1.62%,2169,2106,2125,2082,66612,458355
2018/09/06,2175,2210,2150,2165,▼20,－0.92%,2173,2104,2128,2081,39719,459468
2018/09/05,2195,2200,2165,2185,▼10,－0.46%,2168,2100,2131,2080,44302,462453
2018/09/04,2170,2195,2155,2195,▲25,＋1.15%,2157,2094,2132,2078,24374,463143
2018/09/03,2170,2180,2120,2170,▲20,＋0.93%,2140,2090,2131,2076,42100,463362
2018/08/31,2155,2155,2120,2150,▲10,＋0.47%,2125,2088,2130,2073,8281,463036
2018/08/30,2130,2165,2120,2140,▲10,＋0.47%,2111,2086,2129,2071,23794,462526
2018/08/29,2110,2140,2110,2130,▲20,＋0.95%,2101,2084,2127,2069,46666,459492
2018/08/28,2095,2150,2075,2110,▲15,＋0.72%,2098,2083,2126,2067,39354,455613
2018/08/27,2110,2110,2070,2095,▲15,＋0.72%,2099,2082,2125,2065,21616,453837
2018/08/24,2075,2110,2075,2080,▼10,－0.48%,2096,2079,2124,2064,12449,453982
2018/08/23,2125,2130,2085,2090,▼25,－1.18%,2094,2075,2124,2063,24634,453529
2018/08/22,2125,2125,2090,2115,0.0,0.00%,2092,2070,2124,2062,9184,451290
2018/08/21,2080,2125,2080,2115,▲35,＋1.68%,2074,2063,2122,2061,38204,449777
2018/08/20,2075,2095,2055,2080,▲10,＋0.48%,2041,2056,2121,2060,67111,446916
2018/08/17,2095,2130,2065,2070,▼10,－0.48%,2035,2056,2122,2060,30088,452166
2018/08/16,2025,2080,2000,2080,▲55,＋2.72%,2037,2058,2124,2060,27910,451068
2018/08/14,1925,2065,1925,2025,▲75,＋3.85%,2038,2061,2125,2060,90235,451156
2018/08/13,2080,2080,1930,1950,▼100,－4.88%,2047,2066,2127,2060,130182,450393
2018/08/10,2095,2095,2045,2050,▼30,－1.44%,2080,2074,2130,2061,17762,457811
2018/08/09,2085,2100,2050,2080,▼5,－0.24%,2095,2077,2133,2061,21302,458223
2018/08/08,2070,2100,2065,2085,▲15,＋0.72%,2100,2078,2136,2061,18470,458207
2018/08/07,2110,2110,2070,2070,▼45,－2.13%,2106,2078,2138,2060,21634,455933
2018/08/06,2125,2130,2090,2115,▼10,－0.47%,2112,2081,2141,2061,17121,457263
2018/08/03,2105,2140,2090,2125,▲20,＋0.95%,2106,2080,2142,2061,22189,457675
