[일시]고려제강,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,25200,25200,24150,24700,▲100,＋0.41%,24530,24210,22743,23927,9302,1530451
2019/01/29,24450,25050,24300,24600,▼450,－1.80%,24440,24148,22681,23952,8134,1528888
2019/01/28,24350,25050,24300,25050,▲300,＋1.21%,24270,24080,22618,23985,11623,1530678
2019/01/25,23500,24900,23200,24750,▲1200,＋5.10%,24030,24013,22561,24010,14381,1534155
2019/01/24,23800,24100,23550,23550,▼700,－2.89%,23900,23980,22514,24027,6872,1536869
2019/01/23,23900,24400,23750,24250,▲500,＋2.11%,23940,24020,22483,24054,8721,1538215
2019/01/22,23950,24200,23600,23750,▼100,－0.42%,23850,24020,22450,24077,5408,1538374
2019/01/21,24300,24400,23700,23850,▼250,－1.04%,23880,24015,22413,24104,5903,1537984
2019/01/18,24200,24350,23700,24100,▲350,＋1.47%,23990,23975,22380,24128,6271,1538035
2019/01/17,23800,24500,23700,23750,▼50,－0.21%,24080,23898,22328,24147,9606,1538076
2019/01/16,23700,24450,23700,23800,▼100,－0.42%,24240,23885,22282,24166,14912,1535680
2019/01/15,24750,25100,23900,23900,▼500,－2.05%,24450,23880,22242,24184,19124,1529814
2019/01/14,24600,25000,24200,24400,▼150,－0.61%,24560,23840,22208,24201,11784,1522200
2019/01/11,24250,25000,23800,24550,0.0,0.00%,24560,23768,22176,24217,9375,1520458
2019/01/10,24550,25350,24300,24550,▼300,－1.21%,24390,23668,22143,24230,9188,1518636
2019/01/09,24100,25500,24100,24850,▲400,＋1.64%,24130,23548,22118,24245,13044,1518357
2019/01/08,25000,25000,24400,24450,▲50,＋0.20%,23850,23393,22096,24254,11214,1514937
2019/01/07,24000,25000,23700,24400,▲700,＋2.95%,23610,23260,22091,24265,11825,1514741
2019/01/04,23450,24100,23000,23700,▲450,＋1.94%,23470,23140,22106,24286,13199,1511594
2019/01/03,23700,23800,22900,23250,▼200,－0.85%,23550,23080,22135,24316,9445,1510322
2019/01/02,22950,23650,22500,23450,▲200,＋0.86%,23770,23053,22166,24358,9884,1508749
2018/12/28,23250,24350,23100,23250,▼450,－1.90%,23930,23015,22201,24395,24943,1510685
2018/12/27,23600,25050,23350,23700,▼400,－1.66%,24010,22973,22236,24434,15915,1507615
2018/12/26,24400,24450,23750,24100,▼250,－1.03%,23880,22890,22269,24469,8474,1509903
2018/12/24,24050,24750,23900,24350,▲100,＋0.41%,23570,22783,22308,24505,9339,1516680
2018/12/21,24250,24350,23650,24250,▲600,＋2.54%,23400,22665,22343,24545,14945,1522935
2018/12/20,23300,23900,23200,23650,▲600,＋2.60%,23290,22510,22378,24581,8442,1521952
2018/12/19,23050,23150,22550,23050,▲500,＋2.22%,23180,22385,22398,24622,11776,1523822
2018/12/18,24000,24000,22550,22550,▼950,－4.04%,23160,22295,22436,24672,17950,1524356
2018/12/17,23650,24400,23400,23500,▼200,－0.84%,23160,22193,22488,24726,11825,1521118
2018/12/14,23450,23750,23000,23700,▲600,＋2.60%,22890,22035,22520,24770,10967,1520918
2018/12/13,22700,23700,22700,23100,▲150,＋0.65%,22500,21863,22554,24812,25236,1519610
2018/12/12,22700,23200,22550,22950,▲400,＋1.77%,22240,21705,22593,24865,13196,1514977
2018/12/11,21850,22600,21850,22550,▲400,＋1.81%,22050,21568,22626,24919,11864,1514927
2018/12/10,21500,22250,21450,22150,▲400,＋1.84%,22040,21450,22678,24975,8594,1517066
2018/12/07,21800,22650,21700,21750,▼50,－0.23%,22150,21365,22737,25041,8165,1518394
2018/12/06,21100,22200,21100,21800,▼200,－0.91%,22340,21313,22802,25113,19431,1518397
2018/12/05,22400,22650,21950,22000,▼500,－2.22%,22460,21270,22862,25179,7352,1510793
2018/12/04,22650,22950,22400,22500,▼200,－0.88%,22470,21188,22919,25243,7741,1511597
2018/12/03,22950,23000,22300,22700,0.0,0.00%,22360,21098,22969,25297,13036,1511588
2018/11/30,22350,22700,22050,22700,▲300,＋1.34%,22220,20968,23019,25353,11621,1514896
2018/11/29,22250,22600,22250,22400,▲350,＋1.59%,21910,20880,23075,25401,8474,1515623
2018/11/28,22100,22200,21800,22050,▲100,＋0.46%,21660,20803,23143,25458,7980,1514346
2018/11/27,22300,22300,21600,21950,▼50,－0.23%,21500,20780,23226,25515,8030,1517905
2018/11/26,21350,22350,21350,22000,▲850,＋4.02%,21210,20780,23303,25582,10922,1527122
2018/11/23,21150,21600,21050,21150,0.0,0.00%,20880,20763,23383,25639,7502,1527331
2018/11/22,21200,21400,21100,21150,▼100,－0.47%,20700,20820,23471,25701,6812,1530291
2018/11/21,20500,21400,20450,21250,▲750,＋3.66%,20460,20840,23562,25769,13292,1529549
2018/11/20,20500,20700,20350,20500,▲150,＋0.74%,20250,20870,23653,25826,7660,1528630
2018/11/19,20200,20550,20200,20350,▲100,＋0.49%,20190,20893,23762,25896,9696,1528819
2018/11/16,20000,20600,19850,20250,▲300,＋1.50%,20210,20925,23890,25966,12638,1531351
2018/11/15,20200,20200,19700,19950,▼250,－1.24%,20300,20983,24020,26043,16365,1527635
2018/11/14,20400,20600,20150,20200,0.0,0.00%,20500,21080,24148,26125,6077,1536806
2018/11/13,20450,20450,19900,20200,▼250,－1.22%,20530,21193,24275,26208,10296,1536216
2018/11/12,20350,20700,20200,20450,▼250,－1.21%,20630,21310,24395,26285,7139,1538031
2018/11/09,20600,21350,20600,20700,▼250,－1.19%,20560,21440,24513,26371,10936,1537384
2018/11/08,20400,21400,20400,20950,▲600,＋2.95%,20610,21583,24626,26448,21257,1538302
2018/11/07,20600,21250,20200,20350,▼350,－1.69%,20590,21743,24733,26517,10814,1536319
2018/11/06,20100,20800,20000,20700,▲600,＋2.99%,20840,21990,24860,26591,21819,1535236
2018/11/05,20950,21000,19900,20100,▼850,－4.06%,21090,22228,24982,26660,22733,1527287
2018/11/02,20600,21400,20600,20950,▲100,＋0.48%,21400,22478,25111,26736,16040,1529401
2018/11/01,21350,21650,20850,20850,▼750,－3.47%,21670,22708,25223,26805,9198,1531865
2018/10/31,21750,22200,21350,21600,▼350,－1.59%,21810,22933,25353,26874,24685,1533843
2018/10/30,21200,22450,21200,21950,▲300,＋1.39%,21860,23138,25458,26945,13110,1531625
