[일시]금양,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2360,2470,2345,2345,▼5,－0.21%,2381,2425,2445,2395,134040,290938
2019/01/29,2305,2350,2305,2350,▲10,＋0.43%,2407,2419,2447,2394,45111,286835
2019/01/28,2370,2420,2315,2340,▼50,－2.09%,2425,2418,2449,2393,92442,290112
2019/01/25,2480,2495,2380,2390,▼90,－3.63%,2447,2421,2450,2392,123032,291466
2019/01/24,2470,2505,2455,2480,▲5,＋0.20%,2458,2420,2450,2390,56682,298481
2019/01/23,2450,2475,2435,2475,▲35,＋1.43%,2454,2420,2448,2388,52588,292323
2019/01/22,2485,2485,2425,2440,▼10,－0.41%,2465,2415,2448,2386,40254,285337
2019/01/21,2465,2480,2415,2450,▲5,＋0.20%,2469,2410,2451,2384,57288,284217
2019/01/18,2490,2490,2380,2445,▼15,－0.61%,2468,2403,2455,2381,58749,271949
2019/01/17,2535,2560,2460,2460,▼70,－2.77%,2482,2396,2459,2379,70990,263418
2019/01/16,2470,2570,2465,2530,▲70,＋2.85%,2482,2399,2462,2377,180655,264622
2019/01/15,2420,2550,2420,2460,▲15,＋0.61%,2470,2392,2464,2375,120937,234987
2019/01/14,2465,2475,2350,2445,▼70,－2.78%,2464,2389,2464,2373,138058,223015
2019/01/11,2460,2550,2435,2515,▲55,＋2.24%,2465,2392,2466,2371,147892,208819
2019/01/10,2485,2485,2430,2460,▼10,－0.40%,2427,2396,2466,2369,36590,197751
2019/01/09,2410,2470,2410,2470,▲40,＋1.65%,2383,2402,2468,2367,40914,201176
2019/01/08,2455,2480,2400,2430,▼20,－0.82%,2333,2410,2467,2365,69104,197268
2019/01/07,2325,2470,2325,2450,▲125,＋5.38%,2314,2421,2464,2363,118452,200152
2019/01/04,2210,2345,2210,2325,▲85,＋3.79%,2303,2434,2463,2361,31704,192108
2019/01/03,2250,2255,2170,2240,▲20,＋0.90%,2311,2448,2464,2360,94210,198574
2019/01/02,2350,2350,2220,2220,▼115,－4.93%,2359,2464,2466,2360,62835,198717
2018/12/28,2395,2395,2335,2335,▼60,－2.51%,2391,2481,2469,2360,49783,207563
2018/12/27,2400,2420,2335,2395,▲30,＋1.27%,2393,2494,2470,2359,41316,220657
2018/12/26,2385,2500,2360,2365,▼115,－4.64%,2376,2499,2469,2358,80669,222406
2018/12/24,2380,2480,2380,2480,▲100,＋4.20%,2363,2503,2469,2356,89317,226534
2018/12/21,2305,2405,2305,2380,▲35,＋1.49%,2370,2502,2465,2354,41394,226515
2018/12/20,2310,2350,2300,2345,▲35,＋1.52%,2375,2505,2462,2354,47941,233777
2018/12/19,2340,2365,2295,2310,▲10,＋0.43%,2386,2511,2460,2353,72140,233789
2018/12/18,2500,2500,2290,2300,▼215,－8.55%,2423,2515,2457,2353,189958,220670
2018/12/17,2405,2520,2400,2515,▲110,＋4.57%,2482,2518,2455,2353,124603,231958
2018/12/14,2430,2430,2335,2405,▲5,＋0.21%,2494,2511,2450,2351,121719,236255
2018/12/13,2510,2510,2380,2400,▼95,－3.81%,2542,2513,2447,2350,192457,224668
2018/12/12,2620,2630,2490,2495,▼100,－3.85%,2591,2513,2444,2350,190083,194481
2018/12/11,2580,2630,2545,2595,▲20,＋0.78%,2632,2509,2440,2350,85540,173427
2018/12/10,2660,2680,2505,2575,▼70,－2.65%,2636,2499,2434,2348,133343,174763
2018/12/07,2645,2735,2585,2645,0.0,0.00%,2634,2491,2428,2348,161331,170258
2018/12/06,2680,2760,2590,2645,▼55,－2.04%,2614,2482,2422,2346,462417,177113
2018/12/05,2545,2730,2535,2700,▲85,＋3.25%,2604,2472,2416,2344,427868,165008
2018/12/04,2535,2660,2535,2615,▲50,＋1.95%,2564,2458,2409,2342,180004,153255
2018/12/03,2545,2605,2535,2565,▲20,＋0.79%,2532,2451,2404,2341,271985,150433
2018/11/30,2565,2650,2490,2545,▼50,－1.93%,2510,2446,2399,2339,241379,147017
2018/11/29,2530,2665,2525,2595,▲95,＋3.80%,2489,2442,2396,2338,388706,160795
2018/11/28,2465,2520,2435,2500,▲45,＋1.83%,2462,2434,2391,2336,55763,165257
2018/11/27,2510,2510,2360,2455,0.0,0.00%,2441,2431,2387,2335,26695,165603
2018/11/26,2425,2500,2425,2455,▲15,＋0.61%,2423,2427,2384,2334,12526,166641
2018/11/23,2500,2500,2410,2440,▼20,－0.81%,2406,2421,2381,2333,18186,165594
2018/11/22,2395,2500,2390,2460,▲65,＋2.71%,2406,2425,2378,2333,40965,165618
2018/11/21,2320,2400,2290,2395,▲30,＋1.27%,2396,2433,2375,2332,29625,166039
2018/11/20,2325,2385,2325,2365,▼5,－0.21%,2400,2446,2373,2332,9470,167584
2018/11/19,2390,2430,2340,2370,▼70,－2.87%,2406,2462,2372,2333,30437,168798
2018/11/16,2410,2440,2370,2440,▲30,＋1.24%,2415,2478,2370,2334,18094,169309
2018/11/15,2420,2440,2340,2410,▼5,－0.21%,2418,2486,2367,2334,27395,168105
2018/11/14,2480,2480,2415,2415,▲20,＋0.84%,2426,2491,2365,2333,40414,171374
2018/11/13,2415,2430,2325,2395,▼20,－0.83%,2425,2496,2362,2333,16104,171087
2018/11/12,2465,2465,2400,2415,▼40,－1.63%,2442,2504,2361,2334,14451,173240
2018/11/09,2450,2470,2395,2455,▲5,＋0.20%,2454,2512,2359,2334,11608,175006
2018/11/08,2490,2490,2400,2450,▲40,＋1.66%,2453,2508,2357,2334,20341,176911
2018/11/07,2480,2515,2355,2410,▼70,－2.82%,2453,2500,2355,2334,39631,179126
2018/11/06,2495,2495,2415,2480,▲5,＋0.20%,2456,2497,2353,2333,31425,182306
2018/11/05,2430,2475,2405,2475,▲25,＋1.02%,2435,2492,2349,2332,30227,181894
2018/11/02,2410,2480,2410,2450,0.0,0.00%,2410,2488,2345,2332,85332,183391
2018/11/01,2495,2495,2380,2450,▲25,＋1.03%,2424,2485,2341,2331,53557,185603
2018/10/31,2380,2430,2355,2425,▲50,＋2.11%,2455,2483,2337,2330,24844,182182
2018/10/30,2230,2380,2225,2375,▲25,＋1.06%,2504,2479,2334,2329,72875,181909
2018/10/29,2570,2570,2230,2350,▼170,－6.75%,2565,2476,2331,2328,83576,183571
2018/10/26,2635,2675,2385,2520,▼85,－3.26%,2632,2473,2328,2328,57126,176547
2018/10/25,2670,2685,2525,2605,▼65,－2.43%,2648,2457,2323,2326,141068,175148
