[일시]금호산업,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,12600,13550,12500,13500,▲900,＋7.14%,12820,11785,11866,11416,597185,3912544
2019/01/29,12800,12850,12250,12600,▼350,－2.70%,12570,11678,11814,11392,437986,3757826
2019/01/28,12850,13300,12550,12950,▲250,＋1.97%,12360,11638,11769,11376,404249,3770898
2019/01/25,12350,12800,12200,12700,▲350,＋2.83%,12080,11595,11716,11355,249401,3922566
2019/01/24,12250,12500,11950,12350,▲100,＋0.82%,11850,11595,11668,11337,150178,3897922
2019/01/23,11550,12300,11450,12250,▲700,＋6.06%,11640,11615,11623,11320,261895,3925463
2019/01/22,11550,11650,11450,11550,0.0,0.00%,11490,11643,11589,11305,80291,3974549
2019/01/21,11550,11600,11300,11550,0.0,0.00%,11480,11705,11569,11292,68504,3983125
2019/01/18,11300,11550,11250,11550,▲250,＋2.21%,11400,11768,11552,11281,98368,3985334
2019/01/17,11500,11550,11000,11300,▼200,－1.74%,11300,11840,11544,11266,144078,3986523
2019/01/16,11600,11600,11300,11500,0.0,0.00%,11280,11920,11541,11255,87655,4001821
2019/01/15,11300,11500,11100,11500,▲350,＋3.14%,11250,11975,11539,11242,163939,4017004
2019/01/14,11150,11350,10950,11150,▲100,＋0.90%,11240,12033,11534,11229,119533,3974721
2019/01/11,11200,11200,10950,11050,▼150,－1.34%,11300,12085,11532,11221,86603,3957210
2019/01/10,11400,11400,11050,11200,▼150,－1.32%,11380,12115,11529,11212,80286,3960886
2019/01/09,11450,11450,11200,11350,▼100,－0.87%,11400,12135,11522,11203,71133,3978443
2019/01/08,11550,11550,11300,11450,0.0,0.00%,11400,12155,11511,11192,63345,3996736
2019/01/07,11550,11650,11400,11450,0.0,0.00%,11470,12170,11483,11179,94680,3993866
2019/01/04,11100,11450,11100,11450,▲150,＋1.33%,11600,12200,11463,11167,97442,3990223
2019/01/03,11400,11600,11200,11300,▼50,－0.44%,11850,12235,11457,11151,67216,3981711
2019/01/02,11950,11950,11300,11350,▼450,－3.81%,12140,12275,11459,11138,82992,3967099
2018/12/28,12150,12150,11550,11800,▼300,－2.48%,12430,12298,11465,11122,80988,3987019
2018/12/27,12300,12500,12000,12100,▼600,－4.72%,12630,12290,11462,11104,105924,4012261
2018/12/26,12750,12750,12550,12700,▼50,－0.39%,12770,12283,11464,11083,125318,4012048
2018/12/24,12700,12950,12600,12750,▼50,－0.39%,12830,12245,11451,11060,91615,4016084
2018/12/21,12800,12950,12550,12800,0.0,0.00%,12860,12200,11437,11041,79926,4012779
2018/12/20,12700,13050,12400,12800,0.0,0.00%,12820,12140,11422,11019,133284,4061319
2018/12/19,13000,13100,12600,12800,▼200,－1.54%,12790,12070,11399,10999,120357,4049557
2018/12/18,12900,13150,12600,13000,▲100,＋0.78%,12670,12020,11376,10983,94057,4053146
2018/12/17,12500,12900,12450,12900,▲300,＋2.38%,12400,11960,11354,10968,145810,4033924
2018/12/14,12750,12750,12150,12600,▼50,－0.40%,12140,11920,11344,10951,86560,4034447
2018/12/13,12250,12750,12250,12650,▲450,＋3.69%,11970,11895,11335,10941,197747,4041139
2018/12/12,11650,12250,11650,12200,▲550,＋4.72%,11790,11860,11317,10933,156945,4019011
2018/12/11,11750,11750,11150,11650,▲50,＋0.43%,11760,11845,11305,10926,60768,3999261
2018/12/10,11700,11750,11550,11600,▼150,－1.28%,11860,11835,11304,10928,45763,3996120
2018/12/07,11850,11850,11700,11750,0.0,0.00%,11960,11820,11300,10936,34207,3998244
2018/12/06,12000,12100,11600,11750,▼300,－2.49%,11970,11780,11291,10941,100163,3988657
2018/12/05,12000,12050,11900,12050,▼100,－0.82%,11950,11750,11281,10953,79289,4016880
2018/12/04,12200,12200,12000,12150,▲50,＋0.41%,11930,11695,11262,10962,88539,4028623
2018/12/03,11900,12100,11800,12100,▲300,＋2.54%,11890,11625,11241,10968,100529,4009670
2018/11/30,11700,11850,11550,11800,▲150,＋1.29%,11840,11538,11219,10974,65599,4000212
2018/11/29,12050,12050,11650,11650,▼300,－2.51%,11800,11468,11201,10985,86869,3991535
2018/11/28,11900,12000,11700,11950,0.0,0.00%,11750,11380,11187,10996,48935,4007201
2018/11/27,11900,12000,11700,11950,▲100,＋0.84%,11720,11271,11165,11006,80233,3983401
2018/11/26,11600,11950,11600,11850,▲250,＋2.16%,11690,11164,11148,11020,59897,3995049
2018/11/23,11400,11700,11300,11600,▲200,＋1.75%,11740,11055,11133,11035,57003,3974653
2018/11/22,11700,11800,11250,11400,▼400,－3.39%,11840,10985,11127,11049,83012,3965530
2018/11/21,11600,11800,11500,11800,0.0,0.00%,11950,10932,11125,11074,72523,3968071
2018/11/20,11750,12050,11650,11800,▼300,－2.48%,11970,10870,11114,11075,103251,3958193
2018/11/19,12150,12400,11900,12100,0.0,0.00%,11900,10832,11097,11091,156994,3939593
2018/11/16,12000,12200,11950,12100,▲150,＋1.26%,11740,10782,11082,11106,105144,3948753
2018/11/15,11900,12250,11800,11950,▲50,＋0.42%,11510,10747,11061,11126,204673,3936429
2018/11/14,11600,12100,11500,11900,▲450,＋3.93%,11350,10710,11045,11143,299438,3934967
2018/11/13,11150,11550,10850,11450,▲150,＋1.33%,11160,10667,11028,11159,148915,3905111
2018/11/12,10850,11300,10850,11300,▲350,＋3.20%,11020,10637,11014,11182,136142,3890867
2018/11/09,11150,11200,10900,10950,▼200,－1.79%,10830,10612,11003,11217,53946,3853206
2018/11/08,11300,11350,11000,11150,▲200,＋1.83%,10720,10597,10994,11256,79837,3849138
2018/11/07,10800,11650,10800,10950,▲200,＋1.86%,10470,10530,10979,11281,341091,3837579
2018/11/06,10450,11000,10400,10750,▲400,＋3.86%,10232,10495,10969,11305,134408,3785250
2018/11/05,10400,10400,10100,10350,▼50,－0.48%,10044,10512,10962,11335,29592,3773579
2018/11/02,9930,10400,9930,10400,▲500,＋5.05%,9908,10565,10967,11363,112967,3766500
2018/11/01,10000,10150,9840,9900,▲140,＋1.43%,9868,10630,10971,11398,99269,3735744
2018/10/31,9930,10000,9670,9760,▼50,－0.51%,9958,10717,10982,11434,114239,3773791
2018/10/30,9250,9950,9250,9810,▲140,＋1.45%,10116,10839,10994,11477,104575,3808194
2018/10/29,9910,10350,9660,9670,▼530,－5.20%,10364,10944,11007,11505,168207,3838021
2018/10/26,10500,10650,10000,10200,▼150,－1.45%,10650,11055,11018,11524,216289,3871398
2018/10/25,10300,10450,9950,10350,▼200,－1.90%,10890,11143,11020,11540,159794,3865902
2018/10/24,11100,11300,10450,10550,▼500,－4.52%,11060,11195,11016,11557,237115,3848292
2018/10/23,11200,11250,10900,11050,▼50,－0.45%,11160,11238,11009,11569,46886,3893115
2018/10/22,11350,11350,11050,11100,▼300,－2.63%,11120,11270,10988,11575,52276,3874472
2018/10/19,11200,11400,10800,11400,▲200,＋1.79%,11060,11330,10969,11581,108626,3860461
2018/10/18,11100,11450,11050,11200,▲150,＋1.36%,10910,11363,10945,11584,68123,3832233
2018/10/17,11000,11100,10900,11050,▲200,＋1.84%,10630,11380,10925,11587,35115,3814649
2018/10/16,10650,11050,10550,10850,▲50,＋0.46%,10470,11403,10910,11584,74602,3812078
2018/10/15,10600,10800,10350,10800,▲150,＋1.41%,10520,11440,10895,11584,88978,3809691
2018/10/12,9700,10650,9700,10650,▲850,＋8.67%,10640,11468,10884,11585,161700,3820381
