[일시]금호전기,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,6280,6290,6200,6250,▼30,－0.48%,6272,6250,6524,6871,11075,103992
2019/01/29,6290,6300,6210,6280,0.0,0.00%,6266,6264,6532,6879,11774,103302
2019/01/28,6320,6330,6230,6280,0.0,0.00%,6250,6281,6537,6888,17453,104233
2019/01/25,6280,6310,6250,6280,▲10,＋0.16%,6238,6296,6539,6895,20029,105722
2019/01/24,6220,6290,6150,6270,▲50,＋0.80%,6236,6312,6539,6903,31361,104830
2019/01/23,6190,6220,6070,6220,▲20,＋0.32%,6236,6333,6551,6911,27655,100896
2019/01/22,6160,6220,6160,6200,▼20,－0.32%,6250,6357,6571,6919,16317,98214
2019/01/21,6260,6270,6150,6220,▼50,－0.80%,6258,6385,6590,6926,41543,98390
2019/01/18,6270,6350,6210,6270,0.0,0.00%,6260,6414,6606,6932,26721,103980
2019/01/17,6290,6310,6230,6270,▼20,－0.32%,6242,6440,6627,6939,21386,111828
2019/01/16,6240,6320,6180,6290,▲50,＋0.80%,6246,6466,6655,6946,17301,121911
2019/01/15,6230,6300,6180,6240,▲10,＋0.16%,6244,6508,6677,6953,17911,125969
2019/01/14,6160,6240,6150,6230,▲50,＋0.81%,6234,6545,6689,6960,28778,130150
2019/01/11,6300,6320,6100,6180,▼110,－1.75%,6224,6573,6702,6968,36007,138442
2019/01/10,6250,6300,6190,6290,▲10,＋0.16%,6218,6609,6715,6976,11537,143750
2019/01/09,6190,6280,6180,6280,▲90,＋1.45%,6244,6647,6725,6984,16329,143617
2019/01/08,6180,6250,6100,6190,▲10,＋0.16%,6296,6695,6735,6992,10858,149352
2019/01/07,6190,6260,6140,6180,▲30,＋0.49%,6380,6755,6746,7000,22164,151587
2019/01/04,6420,6420,5960,6150,▼270,－4.21%,6460,6788,6761,7009,62218,154404
2019/01/03,6490,6530,6380,6420,▼120,－1.83%,6550,6803,6776,7017,9784,152798
2019/01/02,6670,6670,6460,6540,▼70,－1.06%,6604,6801,6786,7023,4659,152862
2018/12/28,6580,6640,6490,6610,▲30,＋0.46%,6636,6792,6795,7027,13059,147868
2018/12/27,6650,6650,6490,6580,▼20,－0.30%,6666,6784,6802,7032,8334,147633
2018/12/26,6390,6600,6390,6600,▼90,－1.35%,6710,6780,6813,7038,9519,147660
2018/12/24,6860,6860,6600,6690,▼10,－0.15%,6750,6775,6825,7043,2431,147274
2018/12/21,6820,6820,6610,6700,▼60,－0.89%,6768,6765,6837,7050,5352,147274
2018/12/20,6800,6880,6670,6760,▼40,－0.59%,6856,6753,6849,7055,6842,142391
2018/12/19,6800,6980,6620,6800,0.0,0.00%,6900,6742,6861,7061,6906,142670
2018/12/18,6900,6900,6720,6800,▲20,＋0.29%,6896,6731,6871,7067,11234,142239
2018/12/17,7080,7120,6780,6780,▼360,－5.04%,6916,6718,6882,7073,22063,142269
2018/12/14,7110,7270,6980,7140,▲160,＋2.29%,6970,6706,6893,7080,65387,141418
2018/12/13,6820,6980,6640,6980,▲200,＋2.95%,6992,6672,6899,7082,21708,143723
2018/12/12,6860,7060,6700,6780,▼120,－1.74%,7074,6643,6906,7087,25330,143114
2018/12/11,7020,7120,6790,6900,▼150,－2.13%,7086,6628,6917,7094,21222,152199
2018/12/10,7250,7440,6900,7050,▼200,－2.76%,6996,6606,6925,7100,35529,152874
2018/12/07,7360,7400,7210,7250,▼140,－1.89%,6862,6580,6931,7107,30168,153476
2018/12/06,6910,7960,6910,7390,▲550,＋8.04%,6684,6547,6934,7112,293096,152997
2018/12/05,6450,6870,6380,6840,▲390,＋6.05%,6494,6507,6935,7118,71544,153027
2018/12/04,6400,6490,6350,6450,▲70,＋1.10%,6426,6499,6945,7128,5871,153691
2018/12/03,6260,6390,6250,6380,▲20,＋0.31%,6436,6504,6961,7143,17645,154072
2018/11/30,6330,6400,6240,6360,▼80,－1.24%,6458,6522,6979,7158,7623,153863
2018/11/29,6500,6500,6310,6440,▼60,－0.92%,6478,6540,6997,7174,8106,153727
2018/11/28,6500,6510,6410,6500,0.0,0.00%,6500,6547,7013,7190,7002,153317
2018/11/27,6400,6530,6400,6500,▲10,＋0.15%,6516,6542,7026,7206,6785,153907
