[일시]기아차,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,35050,36200,34700,36150,▲1200,＋3.43%,35670,34940,32097,32070,1195389,167688532
2019/01/29,34350,35000,34100,34950,▲100,＋0.29%,35750,34773,31987,32027,1002443,167465562
2019/01/28,35500,35850,34600,34850,▼900,－2.52%,35930,34710,31883,32000,1277309,167443771
2019/01/25,35800,36550,35600,35750,▼900,－2.46%,36030,34620,31775,31974,1408928,167385136
2019/01/24,36000,36650,35400,36650,▲100,＋0.27%,36040,34503,31644,31940,1262251,167321963
2019/01/23,36050,36550,35800,36550,▲700,＋1.95%,35700,34345,31500,31901,1134420,167145751
2019/01/22,35000,35850,35000,35850,▲500,＋1.41%,35360,34210,31355,31862,978878,166956777
2019/01/21,35800,36450,35100,35350,▼450,－1.26%,35100,34108,31208,31832,857815,166768192
2019/01/18,34950,35800,34750,35800,▲850,＋2.43%,34790,34030,31097,31802,1154258,166763298
2019/01/17,34250,35000,34250,34950,▲100,＋0.29%,34420,33925,30973,31775,676580,166490535
2019/01/16,34300,34900,33950,34850,▲300,＋0.87%,34290,33833,30881,31752,607592,166418327
2019/01/15,33800,34900,33800,34550,▲750,＋2.22%,34280,33715,30790,31727,1033143,166348065
2019/01/14,33600,34300,33500,33800,▼150,－0.44%,34130,33660,30709,31703,728776,166273630
2019/01/11,34000,34300,33550,33950,▼350,－1.02%,34210,33588,30659,31691,916827,166324609
2019/01/10,34300,34600,33850,34300,▼500,－1.44%,34390,33460,30615,31674,1015367,166376384
2019/01/09,33900,35000,33800,34800,▲1000,＋2.96%,34100,33295,30562,31650,840360,166585682
2019/01/08,34900,34900,33550,33800,▼400,－1.17%,33700,33103,30536,31622,1013744,166018897
2019/01/07,34850,35000,34200,34200,▼650,－1.87%,33680,32960,30524,31598,773118,166130852
2019/01/04,33100,35000,32900,34850,▲2000,＋6.09%,33450,32780,30518,31572,1573507,165245261
2019/01/03,32600,33100,31800,32850,▲50,＋0.15%,33160,32560,30503,31543,924910,165038396
2019/01/02,33450,33650,32300,32800,▼900,－2.67%,33290,32438,30525,31528,478590,164718670
2018/12/28,33200,33900,33150,33700,▲650,＋1.97%,33500,32323,30540,31502,652573,164637571
2018/12/27,32850,33500,32350,33050,▼350,－1.05%,33520,32110,30558,31468,731053,164378078
2018/12/26,33100,33800,32650,33400,▼100,－0.30%,33670,31950,30579,31450,1153454,164348956
2018/12/24,33850,34000,33200,33500,▼350,－1.03%,33730,31753,30608,31428,727995,164156189
2018/12/21,33950,34000,33450,33850,▲50,＋0.15%,33650,31513,30637,31406,918578,164269287
2018/12/20,33400,34200,32950,33800,0.0,0.00%,33380,31208,30648,31380,780680,164669233
2018/12/19,33750,34100,33550,33800,▲100,＋0.30%,33310,30893,30666,31357,755284,164607459
2018/12/18,33450,33750,32350,33700,▲600,＋1.81%,33020,30650,30678,31341,928951,164718179
2018/12/17,32550,33300,31900,33100,▲600,＋1.85%,32560,30380,30692,31323,876455,164631260
2018/12/14,33450,33650,32450,32500,▼950,－2.84%,32140,30210,30708,31308,1019205,164534990
2018/12/13,32400,33450,32050,33450,▲1100,＋3.40%,31830,30060,30733,31293,1756038,164513602
2018/12/12,31500,32900,31450,32350,▲950,＋3.03%,31330,29885,30745,31277,1680688,163985401
2018/12/11,30700,31450,30450,31400,▲400,＋1.29%,30980,29715,30779,31272,596697,163747230
2018/12/10,30200,31000,30150,31000,▲50,＋0.16%,30790,29560,30823,31277,488820,163778583
2018/12/07,31000,31100,30350,30950,0.0,0.00%,30670,29423,30873,31287,657527,163894598
2018/12/06,30800,31050,30500,30950,▲350,＋1.14%,30580,29318,30928,31298,852936,164192874
2018/12/05,30200,30650,30000,30600,▲150,＋0.49%,30280,29195,30973,31313,408467,164137032
2018/12/04,30350,30750,29600,30450,▲50,＋0.16%,30130,29093,31000,31330,724594,164313840
2018/12/03,30900,31000,30200,30400,▼100,－0.33%,29930,29018,31019,31352,539413,164009391
2018/11/30,29750,30750,29750,30500,▲1050,＋3.57%,29590,28913,31043,31377,1443231,164182581
2018/11/29,29900,30150,29200,29450,▼400,－1.34%,29040,28865,31068,31399,827440,164003977
2018/11/28,29450,29850,29050,29850,▲400,＋1.36%,28650,28828,31113,31435,785499,164541498
2018/11/27,28700,29650,28550,29450,▲750,＋2.61%,28470,28755,31147,31452,814625,164446218
2018/11/26,27900,28800,27800,28700,▲950,＋3.42%,28240,28678,31189,31466,881362,164463576
2018/11/23,27500,27750,27300,27750,▲250,＋0.91%,28440,28643,31236,31491,483649,164436398
2018/11/22,28850,28900,27100,27500,▼1450,－5.01%,28790,28648,31294,31523,1219813,164367333
2018/11/21,28050,29050,27750,28950,▲650,＋2.30%,29280,28623,31363,31563,801321,164564011
2018/11/20,29850,29900,28050,28300,▼1400,－4.71%,29280,28610,31415,31591,1109399,164490106
2018/11/19,29050,30050,29050,29700,▲200,＋0.68%,29280,28613,31481,31628,599776,164560023
2018/11/16,29850,29850,29300,29500,▼450,－1.50%,28990,28600,31524,31660,692812,164893404
2018/11/15,28900,29950,28550,29950,▲1000,＋3.45%,28860,28595,31568,31698,1061670,165016213
2018/11/14,28200,28950,28200,28950,▲650,＋2.30%,28570,28583,31608,31729,685812,164866410
2018/11/13,28200,28300,27700,28300,▲50,＋0.18%,28490,28675,31651,31767,717446,164731206
2018/11/12,28900,29150,28100,28250,▼600,－2.08%,28620,28825,31718,31812,624865,164670253
2018/11/09,28450,29400,28450,28850,▲350,＋1.23%,28630,28968,31784,31857,653655,164513447
2018/11/08,29000,29250,28500,28500,▼50,－0.18%,28770,29188,31838,31898,876378,164493085
2018/11/07,28850,28900,28350,28550,▼400,－1.38%,28810,29418,31898,31943,854207,164847293
2018/11/06,28400,29150,27950,28950,▲650,＋2.30%,28780,29683,31953,31983,731872,164910006
2018/11/05,29100,29300,27900,28300,▼1250,－4.23%,28570,29930,31998,32022,1176599,165006669
2018/11/02,28950,29600,28800,29550,▲850,＋2.96%,28510,30225,32043,32068,1172517,164922909
2018/11/01,28300,28900,28000,28700,▲300,＋1.06%,28170,30433,32068,32103,880304,165108917
2018/10/31,27550,28400,27100,28400,▲500,＋1.79%,27830,30735,32118,32146,1307731,164922930
2018/10/30,28000,28650,27900,27900,▼100,－0.36%,27890,31033,32173,32185,930916,164817655
2018/10/29,28100,28650,27900,28000,▲150,＋0.54%,27980,31393,32237,32228,1625566,164897462
2018/10/26,27100,28250,26950,27850,▲850,＋3.15%,28270,31755,32303,32263,2398627,165056557
2018/10/25,28250,28500,26200,27000,▼1700,－5.92%,28580,32090,32369,32290,2557751,164931427
2018/10/24,28650,28900,28400,28700,▲350,＋1.23%,29120,32483,32456,32326,1308484,164708852
2018/10/23,29250,29400,28150,28350,▼1100,－3.74%,29540,32775,32508,32349,1294400,164844926
2018/10/22,29400,29650,29050,29450,▲50,＋0.17%,30130,33083,32577,32374,776169,164934211
2018/10/19,29500,30000,29150,29400,▼300,－1.01%,30460,33313,32623,32390,1299726,164966081
2018/10/18,30700,30850,29400,29700,▼1100,－3.57%,31230,33545,32664,32405,2081735,165192277
2018/10/17,31600,31600,30750,30800,▼500,－1.60%,31910,33768,32696,32421,972510,165168363
2018/10/16,31000,31450,30700,31300,▲200,＋0.64%,32520,33948,32723,32427,936512,165317662
2018/10/15,32700,32700,30700,31100,▼2150,－6.47%,33040,34085,32733,32427,2038170,165217186
2018/10/12,33100,33600,32600,33250,▲150,＋0.45%,33660,34230,32739,32428,1123867,165191066
2018/10/11,33400,34100,32700,33100,▼750,－2.22%,33750,34280,32708,32415,1268379,165265906
