[일시]깨끗한나라,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,3380,3410,3350,3375,▼5,－0.15%,3388,3289,3272,3527,45690,831526
2019/01/29,3365,3390,3290,3380,▲15,＋0.45%,3396,3274,3270,3532,54829,827957
2019/01/28,3350,3395,3330,3365,▼45,－1.32%,3400,3257,3266,3536,50681,826284
2019/01/25,3370,3430,3350,3410,0.0,0.00%,3413,3240,3261,3540,31993,819449
2019/01/24,3410,3455,3365,3410,▼5,－0.15%,3394,3217,3254,3545,28390,812513
2019/01/23,3400,3475,3355,3415,▲15,＋0.44%,3366,3198,3246,3550,40228,814721
2019/01/22,3450,3515,3380,3400,▼30,－0.87%,3342,3183,3241,3554,80061,813016
2019/01/21,3330,3435,3315,3430,▲115,＋3.47%,3325,3170,3236,3557,82890,825438
2019/01/18,3270,3340,3240,3315,▲45,＋1.38%,3301,3158,3234,3560,44084,810258
2019/01/17,3290,3300,3235,3270,▼25,－0.76%,3298,3148,3236,3563,43080,793368
2019/01/16,3345,3360,3270,3295,▼20,－0.60%,3291,3140,3240,3568,46861,789473
2019/01/15,3295,3345,3265,3315,▲5,＋0.15%,3271,3133,3243,3573,59567,786405
2019/01/14,3345,3345,3265,3310,▲10,＋0.30%,3234,3128,3246,3578,49864,774972
2019/01/11,3235,3360,3225,3300,▲65,＋2.01%,3191,3119,3249,3584,117344,765113
2019/01/10,3200,3240,3200,3235,▲40,＋1.25%,3145,3107,3251,3590,37168,778266
2019/01/09,3125,3230,3100,3195,▲65,＋2.08%,3112,3104,3254,3597,111542,775518
2019/01/08,3075,3185,3075,3130,▲35,＋1.13%,3087,3109,3257,3603,62041,758368
2019/01/07,3060,3150,3015,3095,▲25,＋0.81%,3070,3118,3260,3610,67172,754678
2019/01/04,3065,3080,3025,3070,0.0,0.00%,3054,3131,3270,3618,38139,739376
2019/01/03,3090,3095,3030,3070,0.0,0.00%,3030,3146,3283,3625,21289,738543
2019/01/02,3175,3175,3055,3070,▲25,＋0.82%,3024,3158,3296,3632,38198,736879
2018/12/28,3050,3065,3020,3045,▲30,＋1.00%,3032,3171,3308,3638,29546,744587
2018/12/27,2955,3075,2955,3015,▲65,＋2.20%,3050,3187,3322,3646,16410,742821
2018/12/26,3040,3055,2935,2950,▼90,－2.96%,3086,3204,3339,3652,61933,739566
2018/12/24,3110,3110,3015,3040,▼70,－2.25%,3117,3225,3356,3660,46365,757918
2018/12/21,3120,3180,3065,3110,▼25,－0.80%,3131,3240,3372,3669,33644,764205
2018/12/20,3210,3210,3115,3135,▼60,－1.88%,3141,3247,3386,3680,31898,764278
2018/12/19,3105,3220,3050,3195,▲90,＋2.90%,3156,3257,3400,3692,55880,767945
2018/12/18,3090,3170,3070,3105,▼5,－0.16%,3146,3266,3413,3707,41489,766991
2018/12/17,3105,3160,3095,3110,▼50,－1.58%,3136,3281,3430,3722,50819,766959
2018/12/14,3210,3215,3055,3160,▼50,－1.56%,3149,3297,3448,3736,40217,759420
2018/12/13,3145,3220,3100,3210,▲65,＋2.07%,3177,3307,3466,3749,40971,763675
2018/12/12,3100,3155,3060,3145,▲90,＋2.95%,3197,3316,3484,3761,38668,750464
2018/12/11,3235,3235,3055,3055,▼120,－3.78%,3238,3330,3500,3773,61839,740331
2018/12/10,3280,3280,3170,3175,▼125,－3.79%,3299,3348,3517,3789,49816,734851
2018/12/07,3370,3370,3280,3300,▼10,－0.30%,3329,3362,3533,3802,23296,739168
2018/12/06,3380,3380,3250,3310,▼40,－1.19%,3332,3365,3544,3814,49881,742142
2018/12/05,3330,3360,3280,3350,▼10,－0.30%,3344,3370,3555,3826,34730,750038
2018/12/04,3310,3400,3300,3360,▲35,＋1.05%,3346,3372,3566,3839,49130,744913
2018/12/03,3315,3345,3305,3325,▲10,＋0.30%,3347,3366,3577,3851,26038,731575
2018/11/30,3340,3370,3310,3315,▼55,－1.63%,3351,3368,3587,3865,39606,726971
2018/11/29,3355,3380,3335,3370,▲10,＋0.30%,3337,3365,3598,3879,35741,723031
2018/11/28,3390,3390,3325,3360,▼5,－0.15%,3332,3355,3608,3894,25818,719795
2018/11/27,3340,3400,3330,3365,▲20,＋0.60%,3332,3339,3618,3909,32268,716773
2018/11/26,3245,3345,3200,3345,▲100,＋3.08%,3341,3320,3628,3924,38830,712137
2018/11/23,3345,3360,3245,3245,▼100,－2.99%,3357,3300,3637,3939,60954,698274
2018/11/22,3400,3400,3310,3345,▼15,－0.45%,3381,3292,3650,3956,24176,690597
2018/11/21,3360,3460,3320,3360,▼50,－1.47%,3389,3282,3659,3975,46179,688256
2018/11/20,3420,3440,3370,3410,▼15,－0.44%,3402,3280,3668,3997,25805,688328
2018/11/19,3470,3470,3345,3425,▲60,＋1.78%,3405,3279,3677,4020,65140,686378
2018/11/16,3370,3410,3350,3365,▼20,－0.59%,3410,3284,3684,4048,91708,655427
2018/11/15,3455,3490,3345,3385,▼40,－1.17%,3411,3289,3693,4079,33701,655678
2018/11/14,3475,3490,3385,3425,0.0,0.00%,3416,3294,3701,4096,45409,653730
2018/11/13,3390,3480,3310,3425,▼25,－0.72%,3407,3297,3709,4102,83544,657085
2018/11/12,3405,3495,3355,3450,▲80,＋2.37%,3370,3299,3716,4108,120080,654389
2018/11/09,3420,3465,3325,3370,▼40,－1.17%,3354,3297,3726,4115,77703,655112
2018/11/08,3370,3505,3365,3410,▲30,＋0.89%,3332,3297,3737,4123,150544,645558
2018/11/07,3310,3640,3240,3380,▲140,＋4.32%,3283,3291,3747,4131,544554,640844
2018/11/06,3390,3390,3220,3240,▼130,－3.86%,3216,3308,3758,4138,118759,683983
2018/11/05,3745,3845,3310,3370,▲110,＋3.37%,3162,3338,3771,4147,815274,680511
2018/11/02,3140,3275,3140,3260,▲95,＋3.00%,3078,3361,3782,4155,75120,756637
2018/11/01,3055,3215,3055,3165,▲120,＋3.94%,3043,3389,3794,4165,39247,754218
2018/10/31,2970,3050,2955,3045,▲75,＋2.53%,3040,3426,3806,4175,33218,751226
2018/10/30,2720,2995,2690,2970,▲20,＋0.68%,3093,3472,3820,4186,121106,748754
2018/10/29,3055,3130,2935,2950,▼135,－4.38%,3180,3524,3837,4196,100312,714113
2018/10/26,3150,3280,3050,3085,▼65,－2.06%,3295,3576,3853,4206,115011,702427
2018/10/25,3150,3245,3150,3150,▼160,－4.83%,3370,3621,3867,4216,96188,687175
2018/10/24,3520,3520,3310,3310,▼95,－2.79%,3436,3661,3878,4225,54191,674921
2018/10/23,3465,3530,3390,3405,▼120,－3.40%,3472,3695,3886,4232,43040,676100
2018/10/22,3490,3550,3450,3525,▲65,＋1.88%,3484,3730,3891,4239,51515,668068
2018/10/19,3425,3490,3385,3460,▼20,－0.57%,3459,3762,3896,4244,41399,661508
2018/10/18,3550,3550,3450,3480,▼10,－0.29%,3441,3801,3904,4248,44609,654094
2018/10/17,3450,3525,3430,3490,▲25,＋0.72%,3405,3843,3911,4253,59950,655321
2018/10/16,3355,3485,3345,3465,▲65,＋1.91%,3449,3873,3919,4258,40523,645974
2018/10/15,3370,3470,3315,3400,▲30,＋0.89%,3526,3905,3928,4263,64834,642573
2018/10/12,3020,3395,3020,3370,▲70,＋2.12%,3612,3940,3940,4269,189636,653483
2018/10/11,3525,3590,3300,3300,▼410,－11.05%,3701,3970,3949,4275,353140,621378
2018/10/10,3805,3845,3685,3710,▼140,－3.64%,3821,4004,3961,4281,167880,613597
2018/10/08,3795,3875,3795,3850,▲20,＋0.52%,3875,4018,3966,4284,62451,636521
2018/10/05,3815,3840,3780,3830,▲15,＋0.39%,3904,4026,3966,4286,105596,634421
2018/10/04,3900,3930,3800,3815,▼85,－2.18%,3936,4033,3968,4288,137182,639735
2018/10/02,3970,4000,3900,3900,▼80,－2.01%,3971,4040,3969,4291,152481,671161
2018/10/01,3990,4000,3955,3980,▼15,－0.38%,3981,4044,3969,4293,50799,680087
2018/09/28,3960,4005,3955,3995,▲5,＋0.13%,3985,4043,3966,4295,103431,673786
2018/09/27,3990,4005,3945,3990,0.0,0.00%,4006,4040,3964,4297,90359,671266
2018/09/21,3960,4015,3955,3990,▲40,＋1.01%,4041,4036,3967,4297,61517,664936
2018/09/20,4000,4010,3915,3950,▼50,－1.25%,4091,4037,3973,4298,160307,651687
2018/09/19,4125,4150,3940,4000,▼100,－2.44%,4164,4036,3984,4300,298789,659795
2018/09/18,4165,4200,4040,4100,▼65,－1.56%,4184,4030,4001,4300,222088,688058
2018/09/17,4325,4470,4165,4165,▼75,－1.77%,4182,4020,4014,4300,936075,640001
2018/09/14,4255,4270,4170,4240,▼75,－1.74%,4170,4007,4023,4300,371919,745837
2018/09/13,4095,4500,4095,4315,▲215,＋5.24%,4115,3988,4032,4299,2895591,747347
2018/09/12,4090,4150,4055,4100,▲10,＋0.24%,4050,3966,4038,4299,127410,871985
2018/09/11,4130,4210,4060,4090,▼15,－0.37%,4029,3957,4047,4300,324015,857408
2018/09/10,4000,4105,3960,4105,▲140,＋3.53%,4011,3946,4060,4301,379441,878748
2018/09/07,3960,4020,3940,3965,▼25,－0.63%,3986,3942,4071,4302,89556,801448
2018/09/06,3995,4020,3930,3990,▼5,－0.13%,3984,3946,4084,4304,137394,805522
2018/09/05,4020,4070,3980,3995,▼5,－0.13%,3980,3947,4097,4305,222226,843294
2018/09/04,3950,4000,3935,4000,▲20,＋0.50%,3972,3949,4112,4306,124702,849126
2018/09/03,3980,3990,3950,3980,▲25,＋0.63%,3959,3950,4126,4308,76639,837302
2018/08/31,3970,4000,3920,3955,▼15,－0.38%,3946,3951,4143,4308,55862,820857
2018/08/30,3985,4030,3945,3970,▲15,＋0.38%,3958,3952,4160,4309,82732,810857
2018/08/29,3915,3970,3915,3955,▲20,＋0.51%,3948,3948,4180,4310,81559,804421
2018/08/28,3925,4010,3900,3935,▲20,＋0.51%,3935,3945,4201,4310,91574,788249
2018/08/27,4030,4030,3880,3915,▼100,－2.49%,3929,3948,4220,4312,113876,776314
2018/08/24,3920,4070,3900,4015,▲95,＋2.42%,3926,3948,4241,4313,206562,793523
2018/08/23,3890,3930,3890,3920,▲30,＋0.77%,3896,3943,4263,4314,113421,723178
2018/08/22,3940,3940,3870,3890,▼15,－0.38%,3885,3937,4292,4316,78767,680583
2018/08/21,3935,3940,3850,3905,▲5,＋0.13%,3892,3932,4326,4318,88870,694642
2018/08/20,3865,3930,3860,3900,▲35,＋0.91%,3884,3922,4363,4320,72400,688231
2018/08/17,3870,3940,3850,3865,0.0,0.00%,3908,3920,4412,4322,88205,673882
2018/08/16,3835,3885,3780,3865,▼60,－1.53%,3946,3921,4465,4324,154750,646848
2018/08/14,3870,3955,3825,3925,▲60,＋1.55%,3973,3923,4491,4326,113904,604159
2018/08/13,3975,4015,3845,3865,▼155,－3.86%,3997,3927,4496,4327,192068,553788
2018/08/10,4005,4070,3970,4020,▼35,－0.86%,4028,3934,4500,4329,124446,570827
2018/08/09,4020,4090,3990,4055,▲55,＋1.38%,4024,3937,4504,4330,93895,544993
2018/08/08,4015,4105,3990,4000,▼45,－1.11%,4007,3933,4509,4331,172491,532385
2018/08/07,4035,4135,4005,4045,▲25,＋0.62%,3987,3932,4514,4332,314377,490072
2018/08/06,4015,4060,3980,4020,▲20,＋0.50%,3956,3929,4519,4333,259454,506438
2018/08/03,3980,4510,3940,4000,▲30,＋0.76%,3951,3922,4523,4335,3535791,441300
2018/08/02,3900,4020,3860,3970,▲70,＋1.79%,3934,3918,4528,4337,166276,548156
2018/08/01,3880,3945,3875,3900,▲10,＋0.26%,3922,3914,4536,4339,75323,497092
2018/07/31,4035,4035,3850,3890,▼105,－2.63%,3904,3914,4544,4343,148704,465359
