[일시]남광토건,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,16000,17850,15750,17000,▲1500,＋9.68%,15930,15053,14405,16748,446097,164929
2019/01/29,16150,16150,15200,15500,▼500,－3.13%,15670,14803,14371,16766,92217,116289
2019/01/28,15700,16300,15700,16000,▲300,＋1.91%,15730,14623,14346,16797,80772,125155
2019/01/25,15800,15800,15500,15700,▲250,＋1.62%,15650,14415,14308,16820,49784,108941
2019/01/24,15800,15900,15400,15450,▼250,－1.59%,15670,14205,14268,16855,47390,107376
2019/01/23,15550,15900,15350,15700,▼100,－0.63%,15810,14040,14220,16880,63564,106327
2019/01/22,15750,16300,15500,15800,▲200,＋1.28%,15860,13865,14197,16908,74286,102750
2019/01/21,16250,16300,15450,15600,▼200,－1.27%,15710,13688,14182,16898,68023,97616
2019/01/18,16100,16350,15450,15800,▼350,－2.17%,15590,13505,14173,16891,100005,118270
2019/01/17,17000,17000,15550,16150,▲200,＋1.25%,15380,13315,14180,16868,141981,109428
2019/01/16,15250,16500,15050,15950,▲900,＋5.98%,15000,13143,14193,16855,273842,119875
2019/01/15,15300,15300,14800,15050,▲50,＋0.33%,14740,12965,14226,16847,69279,116594
2019/01/14,15300,15300,14850,15000,▲250,＋1.69%,14600,12885,14274,16852,78747,116599
2019/01/11,14500,14950,14300,14750,▲500,＋3.51%,14210,12858,14314,16870,90477,119842
2019/01/10,14950,14950,14150,14250,▼400,－2.73%,13780,12863,14351,16890,74446,116989
2019/01/09,14650,15500,14350,14650,▲300,＋2.09%,13470,12925,14388,16918,175923,111395
2019/01/08,13250,15850,13050,14350,▲1300,＋9.96%,12940,13018,14425,16937,671704,119924
2019/01/07,13200,13250,12700,13050,▲450,＋3.57%,12450,13073,14459,16961,72374,120563
2019/01/04,12650,12700,12100,12600,▼100,－0.79%,12210,13235,14532,16992,61216,123908
2019/01/03,12000,13050,11750,12700,▲700,＋5.83%,11990,13423,14655,17023,143163,126934
2019/01/02,12550,12600,11800,12000,▲100,＋0.84%,11880,13580,14775,17077,48034,125671
2018/12/28,11850,12100,11750,11900,▲50,＋0.42%,11920,13755,14917,17135,37853,138919
2018/12/27,11550,12050,11500,11850,▲350,＋3.04%,11990,13945,15055,17199,36239,131839
2018/12/26,11550,11900,11450,11500,▼650,－5.35%,12010,14098,15194,17264,46360,123711
2018/12/24,12300,12350,11900,12150,▼50,－0.41%,12110,14278,15338,17327,32933,123275
2018/12/21,12350,12350,11950,12200,▼50,－0.41%,12220,14423,15486,17401,49450,125268
2018/12/20,11900,12450,11800,12250,▲300,＋2.51%,12260,14543,15643,17452,71017,135188
2018/12/19,12350,12350,11750,11950,▼50,－0.42%,12500,14653,15782,17507,67422,131204
2018/12/18,12550,12600,12000,12000,▼700,－5.51%,13000,14788,15925,17574,101769,137726
2018/12/17,12050,12750,12000,12700,▲300,＋2.42%,13570,14928,16092,17659,76885,139547
2018/12/14,13400,13400,12300,12400,▼1050,－7.81%,14130,15033,16263,17709,176275,134461
2018/12/13,14050,14050,12200,13450,▼1000,－6.92%,14950,15118,16428,17765,477540,137292
2018/12/12,14500,15250,14300,14450,▼400,－2.69%,15350,15145,16577,17819,50624,137454
2018/12/11,15200,15800,14750,14850,▼650,－4.19%,15720,15105,16713,17854,37356,132289
2018/12/10,15800,16150,15300,15500,▼1000,－6.06%,16020,15065,16847,17895,62477,135130
2018/12/07,15500,16600,15500,16500,▲1050,＋6.80%,16090,14985,16977,17937,89492,145145
2018/12/06,16050,16500,15250,15450,▼850,－5.21%,15890,14875,17038,17966,48556,126682
2018/12/05,15900,16650,15650,16300,▼50,－0.31%,15940,14830,17103,18037,66986,130810
2018/12/04,15850,16650,15800,16350,▲500,＋3.15%,15660,14710,17165,18111,96044,131313
2018/12/03,15700,15950,15500,15850,▲350,＋2.26%,15410,14630,17230,18170,73947,122004
2018/11/30,15800,15950,15150,15500,▼200,－1.27%,15250,14583,17294,18240,45629,119283
2018/11/29,15450,16200,14900,15700,▲800,＋5.37%,15070,14555,17351,18319,146695,126548
2018/11/28,15400,15400,14800,14900,▼200,－1.32%,14820,14470,17403,18400,28014,115160
2018/11/27,14800,15750,14650,15100,▲50,＋0.33%,14770,14410,17462,18495,61417,115570
2018/11/26,15550,16300,14850,15050,▲450,＋3.08%,14710,14323,17526,18602,120229,107347
2018/11/23,14600,15300,14450,14600,▲150,＋1.04%,14660,14198,17600,18699,53612,121119
2018/11/22,15200,15200,14150,14450,▼200,－1.37%,14560,14183,17721,18797,37177,119598
2018/11/21,15100,15150,14400,14650,▼150,－1.01%,14470,14205,17842,18892,56571,130303
2018/11/20,14250,15100,14250,14800,0.0,0.00%,14270,14225,17960,18936,46327,135208
2018/11/19,14500,14800,14200,14800,▲700,＋4.96%,14120,14298,18078,19017,46813,138264
2018/11/16,13800,14300,13750,14100,▲100,＋0.71%,13940,14403,18194,19105,32029,131070
2018/11/15,13550,14700,13400,14000,▲350,＋2.56%,13980,14595,18316,19210,52725,118054
2018/11/14,14250,14450,13500,13650,▼400,－2.85%,14090,14793,18424,19323,40605,121273
2018/11/13,13550,14050,13250,14050,▲150,＋1.08%,14140,14980,18520,19435,24402,135095
2018/11/12,13850,14450,13850,13900,▼400,－2.80%,14280,15125,18593,19536,23270,131741
2018/11/09,14900,14900,13850,14300,▼250,－1.72%,14480,15253,18703,19670,40350,130978
