[일시]남선알미늄,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2885,2960,2785,2915,▲45,＋1.57%,2858,2773,2399,1796,10533507,3322403
2019/01/29,2730,3030,2630,2870,▲140,＋5.13%,2849,2774,2374,1782,25801419,3385433
2019/01/28,2935,2935,2725,2730,▼155,－5.37%,2855,2772,2351,1767,6091238,3050677
2019/01/25,2905,2935,2865,2885,▼5,－0.17%,2847,2773,2328,1754,4651483,2817181
2019/01/24,2895,2930,2840,2890,▲20,＋0.70%,2818,2756,2302,1739,6053227,2805167
2019/01/23,2900,3005,2820,2870,▼30,－1.03%,2771,2744,2273,1725,10667945,2763760
2019/01/22,2700,3025,2690,2900,▲210,＋7.81%,2736,2741,2245,1710,35904673,2662218
2019/01/21,2765,2770,2670,2690,▼50,－1.82%,2665,2736,2214,1695,3282962,2577038
2019/01/18,2680,2850,2640,2740,▲85,＋3.20%,2656,2747,2186,1681,10900308,2600416
2019/01/17,2720,2775,2620,2655,▼40,－1.48%,2609,2754,2157,1667,7906810,2409250
2019/01/16,2550,2750,2470,2695,▲150,＋5.89%,2591,2783,2130,1654,13140540,2472772
2019/01/15,2640,2640,2495,2545,▼100,－3.78%,2589,2806,2102,1641,5973731,2441399
2019/01/14,2610,2740,2560,2645,▲140,＋5.59%,2623,2835,2077,1629,10889006,2498975
2019/01/11,2565,2600,2465,2505,▼60,－2.34%,2680,2862,2050,1617,6060621,2776216
2019/01/10,2700,2725,2475,2565,▼120,－4.47%,2794,2870,2026,1606,8553021,2589071
2019/01/09,2740,2760,2665,2685,▼30,－1.10%,2870,2874,2000,1595,4292322,2334460
2019/01/08,2920,2955,2670,2715,▼215,－7.34%,2922,2863,1972,1583,10700801,2338191
2019/01/07,3020,3105,2875,2930,▼145,－4.72%,2945,2851,1944,1570,9893235,2112407
2019/01/04,2920,3090,2860,3075,▲130,＋4.41%,2907,2829,1912,1554,11832036,2477598
2019/01/03,2910,2980,2850,2945,0.0,0.00%,2803,2799,1880,1537,8132788,2495078
2019/01/02,2885,2950,2795,2945,▲115,＋4.06%,2742,2761,1850,1522,6186333,2562359
2018/12/28,2665,2920,2660,2830,▲90,＋3.28%,2718,2698,1820,1506,10284423,2826944
2018/12/27,2635,2790,2590,2740,▲185,＋7.24%,2712,2638,1792,1492,11503688,3474239
2018/12/26,2550,2690,2490,2555,▼85,－3.22%,2743,2579,1766,1478,6025810,3627331
2018/12/24,2730,2765,2600,2640,▼185,－6.55%,2810,2528,1744,1466,7729707,3380863
2018/12/21,2810,2900,2775,2825,▲25,＋0.89%,2929,2476,1720,1454,6272286,2875381
2018/12/20,2840,2895,2720,2800,▼95,－3.28%,2996,2414,1693,1440,6303111,2912805
2018/12/19,2820,3010,2735,2895,▲5,＋0.17%,3060,2354,1666,1426,17657950,2786709
2018/12/18,3170,3180,2800,2890,▼345,－10.66%,3117,2292,1638,1412,21818871,1961702
2018/12/17,3215,3310,3160,3235,▲75,＋2.37%,3074,2229,1610,1399,18621908,1983957
2018/12/14,3110,3390,3110,3160,▲40,＋1.28%,2954,2151,1577,1382,40535758,2196802
2018/12/13,3125,3255,3095,3120,▼60,－1.89%,2817,2073,1546,1367,27773454,2242170
2018/12/12,2655,3395,2645,3180,▲505,＋18.88%,2688,2001,1514,1351,98925537,2885360
2018/12/11,2595,2690,2455,2675,▲40,＋1.52%,2547,1928,1482,1335,22236304,1574102
2018/12/10,2575,2770,2530,2635,▲160,＋6.46%,2507,1878,1459,1323,51975628,1161208
