[일시]남양유업,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,635000,635000,621000,627000,▲6000,＋0.97%,622600,627550,633533,635575,643,160901
2019/01/29,619000,628000,618000,621000,▼4000,－0.64%,622800,627050,633000,635658,407,160737
2019/01/28,617000,626000,616000,625000,▲2000,＋0.32%,621800,627200,632617,635900,549,160739
2019/01/25,614000,630000,614000,623000,▲6000,＋0.97%,620400,628450,632217,636033,1001,160763
2019/01/24,620000,628000,615000,617000,▼11000,－1.75%,619400,629800,632067,636133,888,160340
2019/01/23,620000,629000,615000,628000,▲12000,＋1.95%,618600,631950,632167,636267,934,160449
2019/01/22,616000,625000,616000,616000,▼2000,－0.32%,616600,633400,631950,636325,483,160246
2019/01/21,617000,624000,614000,618000,0.0,0.00%,619200,635600,632150,636517,486,160160
2019/01/18,621000,623000,613000,618000,▲5000,＋0.82%,623000,637900,632450,636617,487,159750
2019/01/17,619000,623000,613000,613000,▼5000,－0.81%,629000,640000,632383,636717,779,159651
2019/01/16,628000,637000,617000,618000,▼11000,－1.75%,635600,642800,632600,636800,922,159557
2019/01/15,647000,649000,629000,629000,▼8000,－1.26%,641600,645450,632783,636800,825,159533
2019/01/14,642000,656000,636000,637000,▼11000,－1.70%,644600,646650,632783,636767,523,159237
2019/01/11,642000,659000,637000,648000,▲2000,＋0.31%,643800,648500,632967,636742,467,159258
2019/01/10,643000,657000,637000,646000,▼2000,－0.31%,640400,649150,632800,636567,543,159203
2019/01/09,640000,670000,639000,648000,▲4000,＋0.62%,633400,649700,632633,636458,927,159138
2019/01/08,642000,651000,632000,644000,▲11000,＋1.74%,627200,649950,632433,636300,483,158792
2019/01/07,637000,642000,627000,633000,▲2000,＋0.32%,623200,650600,632617,636117,543,158687
2019/01/04,615000,637000,615000,631000,▲20000,＋3.27%,626600,651600,633417,636083,738,158576
2019/01/03,617000,619000,607000,611000,▼6000,－0.97%,630400,652200,634300,636117,616,158668
2019/01/02,624000,627000,605000,617000,▼7000,－1.12%,640200,653800,635500,636358,775,158581
2018/12/28,642000,642000,624000,624000,▼26000,－4.00%,648200,655450,636367,636508,730,158829
2018/12/27,637000,650000,630000,650000,0.0,0.00%,655400,656650,636933,636567,958,159076
2018/12/26,660000,660000,639000,650000,▼10000,－1.52%,658200,656550,636983,636383,565,159513
2018/12/24,657000,662000,648000,660000,▲3000,＋0.46%,660200,655750,636950,636250,401,159806
2018/12/21,655000,665000,653000,657000,▼3000,－0.45%,662000,654900,636683,636117,766,159997
2018/12/20,670000,676000,652000,660000,▼4000,－0.60%,664800,654250,636583,636050,657,160174
2018/12/19,660000,673000,653000,664000,▲4000,＋0.61%,663400,653500,636250,635892,678,160316
2018/12/18,670000,679000,649000,660000,▼9000,－1.35%,665400,652650,636000,635767,788,160533
2018/12/17,677000,689000,665000,669000,▼2000,－0.30%,665600,651750,635767,635717,951,160878
