[일시]넥센타이어,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,9800,9870,9660,9790,▲70,＋0.72%,9784,9473,9009,9242,74262,12306063
2019/01/29,9640,9750,9600,9720,▲30,＋0.31%,9826,9434,8981,9248,100925,12300450
2019/01/28,9700,9790,9600,9690,▼80,－0.82%,9766,9406,8953,9256,100980,12271254
2019/01/25,9800,9990,9740,9770,▼180,－1.81%,9752,9381,8927,9265,100767,12282862
2019/01/24,9900,10000,9710,9950,▼50,－0.50%,9680,9356,8903,9274,158938,12295700
2019/01/23,9410,10050,9400,10000,▲580,＋6.16%,9556,9338,8876,9281,279809,12321967
2019/01/22,9620,9680,9420,9420,▼200,－2.08%,9396,9319,8850,9288,63329,12233153
2019/01/21,9400,9790,9370,9620,▲210,＋2.23%,9342,9328,8835,9301,147614,12250497
2019/01/18,9420,9470,9290,9410,▲80,＋0.86%,9238,9316,8820,9309,69008,12246416
2019/01/17,9150,9420,9150,9330,▲130,＋1.41%,9210,9303,8804,9320,92917,12231741
2019/01/16,9150,9370,9150,9200,▲50,＋0.55%,9206,9297,8797,9330,67096,12223962
2019/01/15,9100,9480,9100,9150,▲50,＋0.55%,9210,9289,8792,9342,99249,12217589
2019/01/14,9180,9280,9100,9100,▼170,－1.83%,9264,9283,8787,9354,74179,12199254
2019/01/11,9290,9450,9110,9270,▼40,－0.43%,9356,9265,8783,9367,73253,12220272
2019/01/10,9200,9370,9040,9310,▲90,＋0.98%,9384,9224,8773,9381,84276,12236559
2019/01/09,9360,9570,9220,9220,▼200,－2.12%,9346,9183,8762,9391,87253,12251856
2019/01/08,9650,9650,9410,9420,▼140,－1.46%,9302,9164,8750,9401,59151,12239317
2019/01/07,9490,9650,9330,9560,▲150,＋1.59%,9252,9148,8736,9407,78693,12251509
2019/01/04,9130,9450,9000,9410,▲290,＋3.18%,9178,9117,8728,9414,140592,12270183
2019/01/03,9000,9220,8900,9120,▲120,＋1.33%,9150,9097,8724,9422,71028,12293979
2019/01/02,9070,9170,8960,9000,▼170,－1.85%,9242,9111,8724,9433,73539,12295521
2018/12/28,9100,9290,9010,9170,▼20,－0.22%,9366,9101,8727,9442,113890,12270200
2018/12/27,9160,9590,9040,9190,▼80,－0.86%,9452,9086,8730,9449,114547,12253791
2018/12/26,9560,9560,9190,9270,▼310,－3.24%,9490,9066,8735,9456,66811,12252371
2018/12/24,9630,9750,9530,9580,▼40,－0.42%,9468,9041,8740,9462,91086,12259087
2018/12/21,9700,9700,9380,9620,▲20,＋0.21%,9394,8996,8735,9468,151641,12252390
2018/12/20,9430,9700,9210,9600,▲220,＋2.35%,9276,8946,8726,9473,139284,12237011
2018/12/19,9230,9420,9180,9380,▲220,＋2.40%,9162,8909,8718,9480,94834,12236429
2018/12/18,9200,9300,9080,9160,▼50,－0.54%,9036,8895,8715,9490,105514,12317411
2018/12/17,9250,9270,8900,9210,▲180,＋1.99%,8892,8876,8717,9503,83431,12321451
2018/12/14,9020,9160,8920,9030,0.0,0.00%,8748,8855,8722,9515,93449,12317014
2018/12/13,8620,9030,8510,9030,▲280,＋3.20%,8710,8840,8730,9528,253855,12314319
2018/12/12,8600,8800,8440,8750,▲310,＋3.67%,8724,8821,8737,9543,91403,12349862
2018/12/11,8490,8520,8320,8440,▼50,－0.59%,8762,8783,8749,9561,101962,12333211
2018/12/10,8610,8900,8320,8490,▼350,－3.96%,8878,8757,8769,9584,218136,12339317
2018/12/07,9010,9140,8820,8840,▼260,－2.86%,9058,8728,8788,9605,144853,12274735
2018/12/06,9140,9140,8810,9100,▲160,＋1.79%,9052,8675,8803,9624,78938,12311949
2018/12/05,9000,9120,8900,8940,▼80,－0.89%,9004,8609,8814,9643,87306,12320703
2018/12/04,9350,9360,8970,9020,▼370,－3.94%,8974,8543,8827,9663,125511,12326225
2018/12/03,8900,9410,8850,9390,▲580,＋6.58%,8924,8512,8839,9682,229849,12362355
2018/11/30,8750,8930,8670,8810,▼50,－0.56%,8784,8444,8846,9698,123037,12314545
2018/11/29,8750,8890,8750,8860,▲70,＋0.80%,8744,8410,8864,9718,58572,12342664
