[일시]노루홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,13750,14000,13650,13950,▲350,＋2.57%,13530,12680,12358,12945,18634,312015
2019/01/29,13500,13900,13300,13600,▲100,＋0.74%,13300,12593,12328,12948,24081,311465
2019/01/28,13400,13650,13300,13500,▲100,＋0.75%,13130,12525,12300,12953,9473,311562
2019/01/25,13400,13500,13250,13400,▲200,＋1.52%,12970,12470,12270,12956,9807,311412
2019/01/24,12900,13200,12900,13200,▲400,＋3.13%,12820,12418,12239,12961,11757,311327
2019/01/23,12750,12950,12450,12800,▲50,＋0.39%,12690,12390,12215,12968,6017,310953
2019/01/22,12800,12800,12550,12750,▲50,＋0.39%,12640,12383,12199,12977,2480,310658
2019/01/21,12550,12800,12400,12700,▲50,＋0.40%,12610,12370,12184,12983,5361,310594
2019/01/18,12550,12800,12500,12650,▲100,＋0.80%,12570,12368,12174,12989,2229,310225
2019/01/17,12500,12850,12400,12550,0.0,0.00%,12490,12365,12172,12995,4181,310137
2019/01/16,12550,12700,12400,12550,▼50,－0.40%,12420,12368,12178,13004,3219,310085
2019/01/15,12500,12600,12300,12600,▲100,＋0.80%,12340,12370,12183,13012,3179,309857
2019/01/14,12250,12500,12200,12500,▲250,＋2.04%,12260,12363,12188,13020,7831,309764
2019/01/11,12100,12300,12050,12250,▲50,＋0.41%,12190,12338,12200,13028,3183,309139
2019/01/10,12150,12500,12050,12200,▲50,＋0.41%,12130,12318,12214,13040,2816,308932
2019/01/09,12250,12250,12100,12150,▼50,－0.41%,12080,12305,12231,13053,1400,308969
2019/01/08,12300,12300,12050,12200,▲50,＋0.41%,12090,12325,12248,13065,1416,308969
2019/01/07,12000,12150,11900,12150,▲200,＋1.67%,12100,12348,12261,13078,3681,308969
2019/01/04,12000,12150,11850,11950,0.0,0.00%,12150,12378,12286,13092,2499,309122
2019/01/03,12400,12400,11900,11950,▼250,－2.05%,12230,12410,12318,13106,6069,309264
2019/01/02,12200,12400,12000,12200,▼50,－0.41%,12370,12440,12352,13119,2507,309360
2018/12/28,12400,12400,12100,12250,▼150,－1.21%,12460,12450,12383,13132,3806,309638
2018/12/27,12200,12450,12150,12400,▲50,＋0.40%,12510,12453,12412,13145,1652,309551
2018/12/26,12650,12650,12250,12350,▼300,－2.37%,12560,12445,12440,13156,4897,309672
2018/12/24,12650,12700,12450,12650,0.0,0.00%,12610,12440,12465,13170,1660,309825
2018/12/21,12500,12750,12400,12650,▲150,＋1.20%,12600,12410,12485,13187,6729,310185
2018/12/20,12650,12650,11900,12500,▼150,－1.19%,12590,12360,12504,13203,6146,309469
2018/12/19,12600,12750,12400,12650,▲50,＋0.40%,12580,12315,12526,13219,6226,309201
2018/12/18,12450,12650,12450,12600,0.0,0.00%,12450,12265,12543,13233,1492,308960
2018/12/17,12700,12700,12450,12600,0.0,0.00%,12300,12218,12562,13248,2893,327655
2018/12/14,12400,12650,12350,12600,▲150,＋1.20%,12170,12175,12582,13263,7560,327491
2018/12/13,12100,12450,12100,12450,▲450,＋3.75%,12160,12125,12602,13278,6242,327268
2018/12/12,12000,12100,11900,12000,▲150,＋1.27%,12200,12095,12624,13294,5869,326608
2018/12/11,12050,12050,11500,11850,▼100,－0.84%,12350,12095,12652,13313,14054,325838
2018/12/10,12550,12550,11800,11950,▼600,－4.78%,12500,12093,12679,13333,19393,324900
2018/12/07,12550,12700,12400,12550,▼100,－0.79%,12620,12095,12708,13354,4684,324933
2018/12/06,12850,12850,12300,12650,▼100,－0.78%,12590,12073,12725,13370,5458,326234
2018/12/05,12300,12800,12300,12750,▲150,＋1.19%,12520,12045,12741,13386,6096,326801
2018/12/04,12400,12600,12400,12600,▲50,＋0.40%,12420,12013,12755,13403,5740,326367
2018/12/03,12400,12650,12350,12550,▲150,＋1.21%,12350,11983,12771,13420,8076,326506
2018/11/30,12150,12450,12000,12400,▲100,＋0.81%,12250,11955,12788,13437,6933,326073
2018/11/29,12250,12500,12150,12300,▲50,＋0.41%,12100,11940,12812,13456,3133,325655
2018/11/28,12300,12300,12050,12250,0.0,0.00%,11960,11923,12839,13476,1966,325563
2018/11/27,12050,12300,12050,12250,▲200,＋1.66%,11840,11895,12868,13498,5039,325419
2018/11/26,11750,12100,11700,12050,▲400,＋3.43%,11720,11860,12896,13519,9704,325146
2018/11/23,11600,11700,11500,11650,▲50,＋0.43%,11660,11845,12933,13543,3357,324631
2018/11/22,11750,11750,11350,11600,▼50,－0.43%,11650,11855,12978,13571,8801,324632
2018/11/21,11750,11750,11600,11650,0.0,0.00%,11700,11868,13023,13600,3034,324642
2018/11/20,11750,11800,11600,11650,▼100,－0.85%,11770,11890,13060,13629,3623,324502
2018/11/19,11700,11800,11600,11750,▲150,＋1.29%,11800,11933,13095,13658,2595,324508
2018/11/16,11850,11850,11400,11600,▼250,－2.11%,11850,11990,13130,13690,27247,324692
2018/11/15,11850,11950,11600,11850,▼150,－1.25%,11950,12053,13172,13725,3656,324553
2018/11/14,11850,12150,11600,12000,▲200,＋1.69%,12000,12108,13209,13758,8282,324662
2018/11/13,12000,12000,11700,11800,▼200,－1.67%,12020,12168,13243,13792,3218,324614
2018/11/12,12000,12050,11900,12000,▼100,－0.83%,12060,12233,13279,13823,816,325687
2018/11/09,12100,12100,11950,12100,0.0,0.00%,12060,12293,13324,13860,1040,325688
2018/11/08,12250,12300,12000,12100,0.0,0.00%,12060,12348,13368,13895,990,325688
2018/11/07,12100,12250,11850,12100,▲100,＋0.83%,12030,12390,13411,13928,3878,325694
2018/11/06,12000,12050,11850,12000,0.0,0.00%,11950,12468,13452,13961,1887,325695
2018/11/05,12100,12100,11750,12000,▼100,－0.83%,11860,12563,13492,13992,4905,325695
2018/11/02,12150,12200,11950,12100,▲150,＋1.26%,11810,12660,13531,14025,2629,325712
2018/11/01,11650,12100,11650,11950,▲250,＋2.14%,11760,12760,13568,14058,1608,325714
2018/10/31,11550,11800,11500,11700,▲150,＋1.30%,11740,12860,13606,14093,5382,325754
2018/10/30,11600,11850,11300,11550,▼200,－1.70%,11820,12980,13642,14131,7416,325719
2018/10/29,11850,12100,11600,11750,▼100,－0.84%,12010,13095,13683,14168,2564,325772
2018/10/26,12100,12300,11700,11850,0.0,0.00%,12240,13200,13720,14200,6308,325823
2018/10/25,12100,12100,11300,11850,▼250,－2.07%,12440,13298,13754,14233,8278,325925
2018/10/24,12600,12650,12050,12100,▼400,－3.20%,12660,13395,13782,14266,9216,323618
2018/10/23,12700,12900,12400,12500,▼400,－3.10%,12880,13475,13804,14300,10482,323531
2018/10/22,12850,12950,12650,12900,▲50,＋0.39%,13000,13535,13819,14329,4828,323531
2018/10/19,12950,12950,12550,12850,▼100,－0.77%,13060,13580,13830,14348,6379,323767
2018/10/18,13300,13300,12750,12950,▼250,－1.89%,13130,13628,13842,14367,4926,324613
2018/10/17,13150,13250,13000,13200,▲100,＋0.76%,13130,13670,13851,14383,2756,325145
2018/10/16,13400,13400,12850,13100,▼100,－0.76%,13220,13693,13856,14396,5190,325451
2018/10/15,13400,13400,13050,13200,0.0,0.00%,13380,13713,13866,14410,841,325600
2018/10/12,12850,13350,12850,13200,▲250,＋1.93%,13530,13735,13874,14425,6008,325600
2018/10/11,13350,13350,12950,12950,▼700,－5.13%,13710,13755,13883,14440,19544,325591
2018/10/10,13900,13900,13500,13650,▼250,－1.80%,13910,13788,13895,14456,11006,325751
2018/10/08,13850,13950,13700,13900,▼50,－0.36%,14000,13785,13898,14468,5000,325760
2018/10/05,14100,14100,13800,13950,▼150,－1.06%,13990,13768,13893,14476,6696,325760
2018/10/04,13950,14250,13900,14100,▲150,＋1.08%,13970,13748,13886,14485,9980,325743
2018/10/02,14100,14250,13850,13950,▼150,－1.06%,13910,13735,13880,14492,3769,326290
2018/10/01,13750,14150,13750,14100,▲250,＋1.81%,13880,13735,13879,14498,14220,326362
2018/09/28,13850,13850,13650,13850,0.0,0.00%,13800,13730,13872,14506,1573,324235
2018/09/27,13700,13850,13650,13850,▲50,＋0.36%,13770,13733,13876,14517,4796,324040
2018/09/21,13800,13850,13550,13800,0.0,0.00%,13760,13755,13888,14528,5140,324039
2018/09/20,13750,13800,13550,13800,▲100,＋0.73%,13760,13783,13903,14536,5499,323958
2018/09/19,13750,13750,13600,13700,0.0,0.00%,13760,13805,13913,14545,2849,324434
2018/09/18,13800,13800,13650,13700,▼100,－0.72%,13750,13815,13923,14555,3383,324562
2018/09/17,13800,13850,13700,13800,0.0,0.00%,13710,13818,13935,14564,2113,324536
2018/09/14,13800,13850,13700,13800,0.0,0.00%,13680,13820,13943,14571,3151,324550
2018/09/13,13650,13800,13600,13800,▲150,＋1.10%,13640,13835,13954,14581,6616,323994
2018/09/12,13600,13650,13550,13650,▲150,＋1.11%,13600,13850,13964,14591,2145,324359
