[일시]녹십자홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,24000,24000,23700,23850,▲150,＋0.63%,23840,24200,24184,26072,30087,3281533
2019/01/29,23700,24050,23500,23700,▼200,－0.84%,23910,24228,24168,26123,48680,3280889
2019/01/28,23650,24050,23550,23900,▲200,＋0.84%,23950,24298,24132,26181,34677,3289318
2019/01/25,23850,24050,23550,23700,▼350,－1.46%,23940,24323,24079,26230,63365,3286571
2019/01/24,24000,24400,23800,24050,▼150,－0.62%,24050,24375,24047,26282,58575,3291912
2019/01/23,23850,24400,23700,24200,▲300,＋1.26%,24010,24423,23997,26337,50141,3284646
2019/01/22,23800,24050,23650,23900,▲50,＋0.21%,23910,24480,23954,26394,27370,3292028
2019/01/21,24350,24500,23800,23850,▼400,－1.65%,23940,24530,23925,26461,31299,3294828
2019/01/18,24150,24550,24000,24250,▲400,＋1.68%,24010,24570,23909,26529,27727,3307802
2019/01/17,23800,24400,23700,23850,▲150,＋0.63%,24050,24590,23881,26585,40691,3305629
2019/01/16,24050,24250,23600,23700,▼350,－1.46%,24310,24620,23870,26644,53492,3301392
2019/01/15,24400,24800,24050,24050,▼150,－0.62%,24590,24643,23873,26705,59130,3300836
2019/01/14,24500,24700,24050,24200,▼250,－1.02%,24790,24613,23868,26767,35366,3293645
2019/01/11,25050,25450,24300,24450,▼700,－2.78%,24860,24560,23863,26828,60805,3295126
2019/01/10,25200,25650,24800,25150,▲50,＋0.20%,24890,24458,23854,26889,36676,3314520
2019/01/09,24900,25750,24900,25100,▲50,＋0.20%,24640,24348,23834,26954,49496,3309543
2019/01/08,25000,25250,24700,25050,▲500,＋2.04%,24500,24263,23818,27006,28217,3300211
2019/01/07,25000,25350,24550,24550,▼50,－0.20%,24510,24210,23792,27057,42470,3296035
2019/01/04,24000,24750,24000,24600,▲700,＋2.93%,24480,24198,23800,27116,64634,3300448
2019/01/03,24700,24750,23750,23900,▼500,－2.05%,24510,24195,23823,27178,34234,3289608
2019/01/02,24900,25350,24100,24400,▼700,－2.79%,24730,24255,23858,27243,50888,3287902
2018/12/28,24450,25400,24450,25100,▲700,＋2.87%,24920,24245,23897,27298,33385,3287405
2018/12/27,24550,25300,24250,24400,▼350,－1.41%,24880,24213,23932,27355,48101,3272657
2018/12/26,24700,25200,24500,24750,▼250,－1.00%,24930,24205,24002,27417,30555,3271354
2018/12/24,25100,25450,24800,25000,▼350,－1.38%,24910,24180,24070,27481,30317,3275359
2018/12/21,25300,25600,24550,25350,▲450,＋1.81%,24800,24153,24143,27550,47687,3289403
2018/12/20,24650,25650,24200,24900,▲250,＋1.01%,24560,24070,24239,27613,75456,3298599
2018/12/19,24400,25100,24100,24650,0.0,0.00%,24270,24038,24335,27691,38893,3296821
2018/12/18,24600,24750,23800,24650,▲200,＋0.82%,23970,24050,24430,27765,40792,3320189
2018/12/17,24450,24650,23900,24450,▲300,＋1.24%,23520,24065,24533,27834,47006,3334342
2018/12/14,23050,24150,23050,24150,▲700,＋2.99%,23220,24075,24638,27913,64010,3332771
2018/12/13,23200,23700,22700,23450,▲300,＋1.30%,23070,24073,24755,27988,174001,3333028
2018/12/12,22250,23400,22250,23150,▲750,＋3.35%,23180,24090,24879,28077,55638,3255924
2018/12/11,23000,23100,22400,22400,▼550,－2.40%,23410,24133,25018,28168,50311,3253079
2018/12/10,22750,23650,22700,22950,▼450,－1.92%,23840,24200,25153,28292,46550,3262666
2018/12/07,24300,24300,23000,23400,▼600,－2.50%,24270,24225,25273,28416,47653,3260565
2018/12/06,24550,24600,23800,24000,▼300,－1.23%,24430,24235,25388,28539,39179,3268339
2018/12/05,24400,24600,24200,24300,▼250,－1.02%,24520,24248,25488,28658,37545,3280311
2018/12/04,25150,25150,24550,24550,▼550,－2.19%,24510,24213,25590,28765,51601,3288987
2018/12/03,24400,25250,24250,25100,▲900,＋3.72%,24450,24205,25688,28861,42672,3298735
2018/11/30,24450,24750,24000,24200,▼250,－1.02%,24320,24098,25781,28955,40517,3289573
2018/11/29,24450,24800,24400,24450,▲200,＋0.82%,24220,24033,25888,29057,36550,3300509
2018/11/28,24400,24450,24100,24250,0.0,0.00%,24180,23885,25979,29164,32640,3282623
2018/11/27,24450,24900,24050,24250,▼200,－0.82%,24310,23710,26079,29281,56180,3292200
2018/11/26,24000,24650,23750,24450,▲750,＋3.16%,24450,23585,26175,29395,44899,3309238
2018/11/23,24050,24300,23600,23700,▼550,－2.27%,24490,23415,26268,29510,47871,3313928
2018/11/22,24650,24750,24150,24250,▼650,－2.61%,24570,23313,26372,29628,45145,3331439
2018/11/21,25000,25050,24450,24900,▼50,－0.20%,24480,23208,26456,29738,56049,3348899
2018/11/20,24550,25200,24400,24950,▲300,＋1.22%,24300,23108,26540,29845,51006,3351903
2018/11/19,24300,24650,24050,24650,▲550,＋2.28%,24060,22988,26632,29950,62731,3352626
2018/11/16,23850,24250,23550,24100,▲300,＋1.26%,23820,22915,26729,30057,35756,3359516
2018/11/15,23800,24300,23350,23800,▼200,－0.83%,23720,22903,26879,30178,54270,3354415
2018/11/14,23600,24400,23100,24000,▲250,＋1.05%,23810,22900,26998,30296,51778,3371860
2018/11/13,22800,24150,22800,23750,▲300,＋1.28%,23730,22898,27124,30413,47261,3370291
2018/11/12,23200,23550,23050,23450,▼150,－0.64%,23860,22905,27253,30534,34574,3372688
2018/11/09,24050,24700,23550,23600,▼650,－2.68%,23760,22930,27388,30655,51816,3379399
2018/11/08,23800,24800,23750,24250,▲650,＋2.75%,23620,22958,27511,30775,80999,3380693
2018/11/07,24400,25100,23500,23600,▼800,－3.28%,23070,22918,27618,30888,99218,3387537
2018/11/06,23300,24800,23100,24400,▲1450,＋6.32%,22500,22990,27737,31004,135209,3415677
2018/11/05,22850,23100,22450,22950,▲50,＋0.22%,21970,23068,27839,31117,61622,3401092
2018/11/02,21500,23050,21500,22900,▲1400,＋6.51%,21590,23223,27959,31240,72316,3412161
2018/11/01,20850,22200,20750,21500,▲750,＋3.61%,21340,23413,28078,31365,66446,3404877
2018/10/31,21500,21650,20550,20750,▼1000,－4.60%,21470,23698,28230,31508,129602,3390266
2018/10/30,20700,21950,20700,21750,▲700,＋3.33%,21900,24090,28381,31664,83527,3398447
2018/10/29,21700,21950,21000,21050,▼600,－2.77%,22060,24445,28518,31801,69965,3400427
2018/10/26,21750,22200,21000,21650,▼500,－2.26%,22490,24860,28677,31947,79693,3409544
2018/10/25,22800,22950,21750,22150,▼750,－3.28%,22930,25335,28834,32087,104511,3400512
2018/10/24,22950,23150,22500,22900,▲350,＋1.55%,23250,25760,28997,32223,65795,3392094
2018/10/23,23150,23350,22300,22550,▼650,－2.80%,23460,26133,29148,32355,86605,3383374
2018/10/22,23600,23800,23050,23200,▼650,－2.73%,23730,26548,29288,32489,74870,3391295
2018/10/19,23550,23850,23250,23850,▲100,＋0.42%,23880,26923,29418,32624,42667,3391179
2018/10/18,23800,24100,23600,23750,▼200,－0.84%,23940,27290,29538,32752,32577,3396512
2018/10/17,24350,24500,23700,23950,▲50,＋0.21%,23880,27648,29667,32880,47904,3403601
2018/10/16,23900,24550,23800,23900,▼50,－0.21%,24100,28025,29793,33023,58259,3394297
2018/10/15,24150,25200,23350,23950,▼200,－0.83%,24510,28353,29923,33168,95276,3400854
2018/10/12,23400,24300,23150,24150,▲700,＋2.99%,24930,28663,30074,33303,105794,3436682
2018/10/11,24050,24500,23300,23450,▼1600,－6.39%,25440,28970,30193,33436,195712,3450015
2018/10/10,25900,26200,24950,25050,▼900,－3.47%,26190,29300,30323,33585,102848,3435220
2018/10/08,25800,26250,25800,25950,▼100,－0.38%,26900,29568,30432,33718,45289,3441894
2018/10/05,26700,26700,25250,26050,▼650,－2.43%,27480,29790,30533,33833,161560,3450887
2018/10/04,27300,27600,26600,26700,▼500,－1.84%,28140,30023,30627,33947,126837,3455929
2018/10/02,28600,28650,27100,27200,▼1400,－4.90%,29030,30220,30698,34051,144190,3463144
2018/10/01,28900,29150,27600,28600,▼250,－0.87%,29720,30355,30779,34155,169686,3491663
2018/09/28,29550,29650,28550,28850,▼500,－1.70%,30070,30438,30833,34249,176687,3532865
