[일시]농심,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,279500,279500,276000,278000,▲500,＋0.18%,279400,279825,258983,252275,14882,1225141
2019/01/29,277500,280500,275000,277500,0.0,0.00%,282000,278475,258092,252396,11240,1223636
2019/01/28,278500,281500,274500,277500,▼1000,－0.36%,283700,277325,257067,252550,24900,1222434
2019/01/25,285500,289000,277000,278500,▼7000,－2.45%,283200,275850,256075,252688,27182,1217265
2019/01/24,288500,292000,285000,285500,▼5500,－1.89%,283800,274525,255042,252796,15692,1214711
2019/01/23,287000,293000,284000,291000,▲5000,＋1.75%,282900,273025,253850,252858,24964,1219039
2019/01/22,274000,287500,271500,286000,▲11000,＋4.00%,282300,271475,252742,252858,25831,1223560
2019/01/21,278000,280500,274500,275000,▼6500,－2.31%,282700,270125,251767,252929,18876,1228333
2019/01/18,282500,284000,279000,281500,▲500,＋0.18%,285400,269350,251000,253075,15056,1231845
2019/01/17,287000,288000,280500,281000,▼7000,－2.43%,285700,268275,250125,253175,20466,1232793
2019/01/16,287000,290000,285500,288000,0.0,0.00%,284500,267000,249300,253258,15418,1229695
2019/01/15,287500,289500,283000,288000,▼500,－0.17%,281200,265475,248275,253288,23675,1229162
2019/01/14,284500,289500,284000,288500,▲5500,＋1.94%,278800,264250,247275,253354,29570,1230921
2019/01/11,275000,285000,275000,283000,▲8000,＋2.91%,275200,262950,246258,253421,39722,1229466
2019/01/10,271000,275000,268000,275000,▲3500,＋1.29%,273900,261900,245308,253558,19916,1228963
2019/01/09,276000,278500,271500,271500,▼4500,－1.63%,272500,261175,244517,253754,19026,1224996
2019/01/08,269000,281500,268500,276000,▲5500,＋2.03%,268400,260500,243692,253983,31292,1230949
2019/01/07,278000,278000,269500,270500,▼6000,－2.17%,264100,259550,242792,254133,27041,1238929
2019/01/04,268000,282500,266000,276500,▲8500,＋3.17%,259600,258875,242075,254383,61819,1240435
2019/01/03,252500,269000,249500,268000,▲17000,＋6.77%,254700,257550,241292,254588,43424,1235507
2019/01/02,253000,256000,246500,251000,▼3500,－1.38%,252200,256725,240683,254908,13641,1219874
2018/12/28,245500,258000,245500,254500,▲6500,＋2.62%,254000,256725,240317,255346,12268,1221903
2018/12/27,247000,250500,246000,248000,▼4000,－1.59%,254900,256475,240008,255783,14775,1223544
2018/12/26,251000,255500,245500,252000,▼3500,－1.37%,257200,256775,239900,256254,15267,1225439
2018/12/24,260000,260000,254500,255500,▼4500,－1.73%,258800,256775,239758,256750,6617,1227763
2018/12/21,261500,262000,256500,260000,▲1000,＋0.39%,258800,256775,239550,257329,17199,1229265
2018/12/20,261500,261500,256500,259000,▼500,－0.19%,258300,256150,239308,257946,19782,1230652
2018/12/19,261000,261500,258000,259500,▼500,－0.19%,259200,255575,239025,258633,11469,1242779
2018/12/18,255500,260000,254000,260000,▲4500,＋1.76%,259800,255150,238733,259313,22786,1245372
2018/12/17,256000,261500,255500,255500,▼2000,－0.78%,260200,254775,238442,260013,11875,1247122
2018/12/14,263000,264000,256500,257500,▼6000,－2.28%,261200,254425,238292,260804,13245,1247152
2018/12/13,262500,263500,259000,263500,▲1000,＋0.38%,261300,254000,238133,261488,22779,1247409
2018/12/12,262000,263500,258500,262500,▲500,＋0.19%,260000,252925,237875,262171,12873,1247112
2018/12/11,258500,262500,257500,262000,▲1500,＋0.58%,258900,251550,237567,262821,12856,1247893
2018/12/10,253500,261000,253500,260500,▲2500,＋0.97%,256500,250200,237250,263554,20277,1257547
2018/12/07,257500,259500,255500,258000,▲1000,＋0.39%,254700,248800,236975,264288,16220,1258277
2018/12/06,258000,259500,254000,257000,0.0,0.00%,253300,247000,236775,265063,16706,1260867
2018/12/05,249500,259000,248500,257000,▲7000,＋2.80%,251800,245200,236600,265875,28585,1264507
2018/12/04,250000,253000,248000,250000,▼1500,－0.60%,251200,243575,236442,266679,9068,1268999
2018/12/03,251000,256000,250000,251500,▲500,＋0.20%,251600,242075,236425,267517,11635,1268114
2018/11/30,250500,253500,247500,251000,▲1500,＋0.60%,252400,240400,236400,268388,22232,1269055
2018/11/29,255500,256000,249000,249500,▼4500,－1.77%,251700,239075,236375,269183,11822,1270828
2018/11/28,254000,255000,250000,254000,▲2000,＋0.79%,251300,237400,236392,270008,11711,1271911
2018/11/27,255000,255500,251500,252000,▼3500,－1.37%,250700,235600,236242,270679,9632,1274107
2018/11/26,246500,257000,246500,255500,▲8000,＋3.23%,250800,233825,236150,271296,27385,1277779
2018/11/23,248500,249500,243000,247500,0.0,0.00%,249400,231750,235975,271892,14050,1277570
2018/11/22,251500,252500,246500,247500,▼3500,－1.39%,249700,230600,236067,272550,12813,1278417
2018/11/21,252000,252000,246000,251000,▼1500,－0.59%,248600,229600,236208,273188,20370,1274994
2018/11/20,246000,253500,244500,252500,▲4000,＋1.61%,245400,228500,236275,273733,27475,1274243
2018/11/19,248500,253500,247000,248500,▼500,－0.20%,241900,227325,236392,274267,14582,1267776
2018/11/16,243000,250500,242500,249000,▲7000,＋2.89%,238700,226475,236525,274833,34047,1264878
2018/11/15,235000,245000,235000,242000,▲7000,＋2.98%,233300,225350,236675,275442,47692,1257947
2018/11/14,238000,238000,234500,235000,0.0,0.00%,229100,224650,236942,276108,15999,1268351
2018/11/13,231000,237000,227000,235000,▲2500,＋1.08%,227000,224275,237650,276817,32193,1269561
2018/11/12,224500,233000,221500,232500,▲10500,＋4.73%,224000,223825,238592,277517,23033,1283334
2018/11/09,223000,227500,220000,222000,▲1000,＋0.45%,221100,223575,239583,278250,22475,1284707
2018/11/08,228000,231000,221000,221000,▼3500,－1.56%,221600,223575,240733,279079,20561,1278888
2018/11/07,221500,235500,220500,224500,▲4500,＋2.05%,220600,223625,241925,279904,33872,1276378
2018/11/06,219000,224500,217500,220000,▲2000,＋0.92%,219300,223775,243067,280671,11793,1272917
2018/11/05,224500,224500,216500,218000,▼6500,－2.90%,218600,224250,244292,281471,13607,1273023
2018/11/02,216000,225500,216000,224500,▲8500,＋3.94%,217800,224925,245567,282317,16184,1277271
2018/11/01,217000,220000,216000,216000,▼2000,－0.92%,217800,225150,246700,283167,6560,1273519
2018/10/31,214000,218500,214000,218000,▲1500,＋0.69%,220100,226150,248033,284100,11246,1271831
2018/10/30,213000,217500,211500,216500,▲2500,＋1.17%,222300,227325,249300,285008,17245,1269147
2018/10/29,223000,226000,213500,214000,▼10500,－4.68%,224800,228675,250550,285904,19078,1261965
2018/10/26,227000,227500,221500,224500,▼3000,－1.32%,228300,230125,251867,286813,18418,1261889
2018/10/25,227500,230000,225500,227500,▼1500,－0.66%,228700,231175,252975,287621,19347,1258044
2018/10/24,231500,231500,228000,229000,0.0,0.00%,228800,231900,254092,288454,12780,1259604
2018/10/23,230500,231500,228000,229000,▼2500,－1.08%,228500,232550,255150,289263,22368,1258232
2018/10/22,226000,232000,225500,231500,▲5000,＋2.21%,227900,233225,256225,290096,17887,1250800
2018/10/19,224000,227000,223500,226500,▼1500,－0.66%,227100,233975,257217,290796,13156,1244129
2018/10/18,227500,228500,226000,228000,▲500,＋0.22%,226200,235050,258300,291508,13728,1243514
2018/10/17,226500,229000,226500,227500,▲1500,＋0.66%,225000,236050,259433,292238,12910,1236292
2018/10/16,228000,229000,225000,226000,▼1500,－0.66%,225000,236875,260583,292950,17641,1234101
2018/10/15,222000,229000,222000,227500,▲5500,＋2.48%,225700,237725,261808,293625,20261,1231065
2018/10/12,221500,223500,219000,222000,0.0,0.00%,226500,238550,262992,294279,27333,1222272
2018/10/11,224000,225000,221500,222000,▼5500,－2.42%,227900,239750,264275,295004,55386,1213200
2018/10/10,229000,235000,227500,227500,▼2000,－0.87%,230700,240975,265475,295733,18966,1199574
2018/10/08,232500,232500,229500,229500,▼2000,－0.86%,233500,241975,266692,296433,17505,1200013
2018/10/05,229000,233500,227500,231500,▲2500,＋1.09%,236300,242950,267883,297138,25452,1205774
2018/10/04,238000,238000,228500,229000,▼7000,－2.97%,238600,243875,269133,297821,29336,1205069
2018/10/02,242000,243500,236000,236000,▼5500,－2.28%,241900,244900,270375,298546,40543,1213577
2018/10/01,243500,245000,241500,241500,▼2000,－0.82%,243100,245625,271558,299213,17523,1231990
2018/09/28,243500,244500,242000,243500,▲500,＋0.21%,243200,245800,272608,299846,22720,1238837
2018/09/27,245000,246000,243000,243000,▼2500,－1.02%,243000,245950,273742,300438,17766,1240472
2018/09/21,243000,246000,242500,245500,▲3500,＋1.45%,243700,246050,275108,300963,26079,1242791
2018/09/20,241500,243000,240500,242000,0.0,0.00%,244200,246425,276583,301417,22140,1246046
2018/09/19,244000,244500,240500,242000,▼500,－0.21%,245400,247125,278242,301908,20338,1247740
2018/09/18,246000,246000,241500,242500,▼4000,－1.62%,245800,247775,279892,302388,26397,1247521
2018/09/17,248000,248000,245500,246500,▼1500,－0.60%,245900,248625,281583,302858,10218,1258341
2018/09/14,250000,252000,245500,248000,0.0,0.00%,245400,249125,283317,303329,21820,1263302
2018/09/13,245000,249000,242000,248000,▲4000,＋1.64%,245000,249625,284842,303838,26693,1269428
2018/09/12,243000,244500,241500,244000,▲1000,＋0.41%,244700,250125,286467,304317,17210,1267670
2018/09/11,243500,244000,242000,243000,▼1000,－0.41%,245400,251800,288075,304821,21199,1271552
2018/09/10,245000,245500,243500,244000,▼2000,－0.81%,246600,254225,289858,305346,16165,1265884
2018/09/07,248500,249000,245000,246000,▼500,－0.20%,247800,256625,291600,305904,11896,1269922
2018/09/06,247500,248500,246000,246500,▼1000,－0.40%,248500,258875,293350,306467,20186,1271859
2018/09/05,249000,250000,247500,247500,▼1500,－0.60%,249300,261175,295150,307017,17602,1278863
2018/09/04,250000,251000,248000,249000,▼1000,－0.40%,248800,263450,296917,307600,12590,1280508
2018/09/03,252000,252000,247500,250000,▲500,＋0.20%,248300,265675,298608,308171,17373,1283531
2018/08/31,250000,251500,246500,249500,▼1000,－0.40%,247300,267900,300375,308696,14184,1288062
2018/08/30,245500,251500,245000,250500,▲5500,＋2.24%,248000,270050,301992,309192,34691,1294331
2018/08/29,247000,248500,245000,245000,▼1500,－0.61%,249100,272325,303625,309663,29002,1301128
2018/08/28,244500,246500,243500,246500,▲1500,＋0.61%,251100,274775,305117,310163,33397,1306649
2018/08/27,253000,253500,241500,245000,▼8000,－3.16%,253700,277025,306442,310617,85610,1306561
2018/08/24,254000,255500,253000,253000,▼3000,－1.17%,256000,279425,307808,311096,24055,1314914
2018/08/23,255000,257000,254000,256000,▲1000,＋0.39%,257000,281325,309033,311563,31523,1324147
2018/08/22,258000,258000,254500,255000,▼4500,－1.73%,257400,283250,310167,312058,26891,1329148
2018/08/21,256500,260500,254000,259500,▲3000,＋1.17%,261900,285125,311192,312579,25431,1334819
2018/08/20,257500,258000,253500,256500,▼1500,－0.58%,268300,286825,312142,313038,31439,1334254
2018/08/17,259000,260000,254000,258000,0.0,0.00%,275400,288550,313142,313433,40859,1343205
2018/08/16,272000,276500,255000,258000,▼19500,－7.03%,282000,290225,314208,313804,121040,1350138
2018/08/14,292500,292500,274000,277500,▼14000,－4.80%,288900,292125,315275,314117,38987,1378883
2018/08/13,292000,292500,287000,291500,▼500,－0.17%,292000,293075,315983,314296,20169,1377042
2018/08/10,291500,293500,290500,292000,▲1000,＋0.34%,292400,293475,316442,314325,16087,1371571
2018/08/09,292000,293500,291000,291000,▼1500,－0.51%,292900,293800,316917,314358,15566,1368399
2018/08/08,292500,296000,292000,292500,▼500,－0.17%,293200,294200,317425,314413,9658,1368769
2018/08/07,293500,295000,292000,293000,▼500,－0.17%,293900,294275,317883,314438,14382,1371429
2018/08/06,294500,296500,293500,293500,▼1000,－0.34%,294100,294650,318275,314525,9549,1377668
2018/08/03,292500,295500,292500,294500,▲2000,＋0.68%,293700,295025,318650,314613,15375,1380754
