[일시]대한방직,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,14200,14200,13800,13900,▼100,－0.71%,14000,13933,13912,13034,5489,49497
2019/01/29,14200,14200,13850,14000,0.0,0.00%,14030,13955,13888,13011,7944,49934
2019/01/28,14250,14250,13900,14000,▼50,－0.36%,14030,13985,13853,12987,6531,49818
2019/01/25,14200,14200,13950,14050,0.0,0.00%,14040,14020,13812,12962,1719,49909
2019/01/24,14050,14200,13900,14050,0.0,0.00%,14040,14043,13768,12935,5849,49994
2019/01/23,14300,14300,13800,14050,▲50,＋0.36%,13990,14060,13718,12910,6027,50076
2019/01/22,14000,14350,13900,14000,▼50,－0.36%,13940,14073,13689,12884,11826,50017
2019/01/21,14200,14200,13800,14050,0.0,0.00%,13920,14085,13665,12859,7582,48552
2019/01/18,13600,14400,13600,14050,▲250,＋1.81%,13900,14095,13642,12833,12868,47506
2019/01/17,13850,14150,13500,13800,0.0,0.00%,13830,14115,13617,12806,18022,46631
2019/01/16,14150,14150,13750,13800,▼100,－0.72%,13830,14143,13607,12782,2621,46480
2019/01/15,14550,14550,13800,13900,▼50,－0.36%,13840,14160,13602,12758,3175,46915
2019/01/14,13750,14200,13750,13950,▲250,＋1.82%,13860,14173,13618,12733,4835,47311
2019/01/11,13800,13900,13650,13700,▼100,－0.72%,13860,14175,13626,12706,4955,47107
2019/01/10,13850,14150,13700,13800,▼50,－0.36%,13870,14188,13623,12683,3517,47355
2019/01/09,14250,14350,13750,13850,▼150,－1.07%,13910,14203,13615,12660,13814,47540
2019/01/08,13950,14200,13850,14000,▲50,＋0.36%,14010,14215,13622,12636,2674,47121
2019/01/07,13800,14300,13750,13950,▲200,＋1.45%,14130,14215,13631,12610,8059,47397
2019/01/04,13900,14700,13700,13750,▼250,－1.79%,14280,14218,13633,12589,9144,47595
2019/01/03,14350,14350,13950,14000,▼350,－2.44%,14430,14243,13613,12571,18979,48060
