[일시]대한전선,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,1090,1125,1080,1110,▲20,＋1.83%,1110,1088,1058,1119,572208,12006886
2019/01/29,1110,1110,1085,1090,▼15,－1.36%,1110,1083,1058,1120,510536,11800633
2019/01/28,1130,1130,1105,1105,▼15,－1.34%,1115,1079,1057,1121,528797,11829394
2019/01/25,1125,1135,1105,1120,▼5,－0.44%,1118,1075,1056,1121,531417,11792409
2019/01/24,1110,1140,1100,1125,▲15,＋1.35%,1117,1068,1054,1122,519476,11796968
2019/01/23,1110,1110,1095,1110,▼5,－0.45%,1114,1062,1052,1122,341631,11836228
2019/01/22,1120,1135,1105,1115,▼5,－0.45%,1114,1057,1050,1123,463874,11842992
2019/01/21,1120,1120,1105,1120,▲5,＋0.45%,1108,1052,1049,1123,289398,11816402
2019/01/18,1105,1125,1090,1115,▲5,＋0.45%,1099,1047,1048,1123,451715,11781181
2019/01/17,1120,1130,1100,1110,0.0,0.00%,1090,1041,1047,1123,655434,11789027
2019/01/16,1085,1115,1080,1110,▲25,＋2.30%,1084,1036,1047,1123,964667,11845794
2019/01/15,1080,1090,1065,1085,▲10,＋0.93%,1081,1031,1048,1123,537625,11724717
2019/01/14,1085,1090,1065,1075,▲5,＋0.47%,1077,1028,1048,1124,261270,11708680
2019/01/11,1080,1085,1055,1070,▼10,－0.93%,1071,1026,1049,1125,504836,11682220
2019/01/10,1095,1105,1060,1080,▼15,－1.37%,1060,1022,1050,1126,580886,11640362
2019/01/09,1070,1110,1065,1095,▲30,＋2.82%,1044,1019,1050,1128,1585883,11713571
2019/01/08,1045,1070,1040,1065,▲20,＋1.91%,1027,1017,1051,1129,493060,11629811
2019/01/07,1035,1045,1025,1045,▲30,＋2.96%,1017,1017,1052,1130,584947,11441207
2019/01/04,996,1020,991,1015,▲15,＋1.50%,1010,1019,1054,1131,413191,11312800
2019/01/03,1010,1015,995,1000,▼10,－0.99%,1004,1023,1057,1133,294735,11195310
2019/01/02,1015,1025,1005,1010,▼5,－0.49%,1004,1027,1061,1134,169007,11209516
