[일시]대한제분,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,183000,187000,182500,183500,▲1000,＋0.55%,181700,182450,180567,179375,3255,243781
2019/01/29,181500,182500,179500,182500,▲1000,＋0.55%,181600,182125,180375,179342,2684,242962
2019/01/28,182000,182500,179500,181500,0.0,0.00%,181800,181800,180167,179325,710,241605
2019/01/25,180500,182500,180000,181500,▲2000,＋1.11%,182300,181500,179975,179296,1132,241605
2019/01/24,183500,184500,179500,179500,▼3500,－1.91%,182600,181075,179783,179258,716,240752
2019/01/23,182500,184000,179000,183000,▼500,－0.27%,183500,181100,179575,179229,4703,240580
2019/01/22,184000,184500,181500,183500,▼500,－0.27%,184000,181350,179425,179183,721,236858
2019/01/21,185000,185000,181000,184000,▲1000,＋0.55%,184300,181375,179317,179100,414,236805
2019/01/18,185000,185000,181500,183000,▼1000,－0.54%,184300,181375,179225,179008,401,236718
2019/01/17,186000,186500,181500,184000,▼1500,－0.81%,184200,181425,179158,178908,1083,236689
2019/01/16,187000,187000,182500,185500,▲500,＋0.27%,183200,181425,179108,178833,504,236586
2019/01/15,186000,186500,182500,185000,▲1000,＋0.54%,182400,181350,179017,178738,2266,236464
2019/01/14,181500,186000,181000,184000,▲1500,＋0.82%,181700,181200,178925,178667,2968,234866
2019/01/11,179000,183000,179000,182500,▲3500,＋1.96%,181800,180950,178867,178600,529,232126
2019/01/10,184500,184500,179000,179000,▼2500,－1.38%,181500,180800,178825,178575,688,231676
2019/01/09,180500,184500,180000,181500,0.0,0.00%,181400,181000,178842,178575,776,231280
2019/01/08,187000,187500,180000,181500,▼3000,－1.63%,180500,181225,178858,178583,859,230463
2019/01/07,180500,185500,180000,184500,▲3500,＋1.93%,179400,181450,178858,178567,466,230188
2019/01/04,176500,185000,176000,181000,▲2500,＋1.40%,177600,181550,178842,178542,784,229994
2019/01/03,177000,178500,175000,178500,▲1500,＋0.85%,176000,181825,178858,178550,788,229892
2019/01/02,176000,178500,175000,177000,▲1000,＋0.57%,176300,182200,178875,178588,578,229430
2018/12/28,175500,176000,174000,176000,▲500,＋0.28%,178500,182650,178917,178579,134,229072
2018/12/27,174000,176000,173500,175500,▲2500,＋1.45%,180100,183125,178983,178600,490,229012
2018/12/26,178500,180000,172500,173000,▼7000,－3.89%,181800,183525,179067,178633,1607,228920
2018/12/24,184000,190000,180000,180000,▼8000,－4.26%,184000,184000,179217,178675,1238,228884
2018/12/21,184000,188000,182500,188000,▲4000,＋2.17%,184800,184075,179217,178713,1308,228631
2018/12/20,183500,184500,183000,184000,0.0,0.00%,184000,183675,179033,178667,1350,227916
2018/12/19,181500,185000,181500,184000,0.0,0.00%,183600,183500,178950,178650,898,228065
2018/12/18,181000,186000,181000,184000,0.0,0.00%,182600,183300,178858,178658,867,227656
2018/12/17,180500,184000,180500,184000,0.0,0.00%,181700,183050,178767,178688,966,227569
2018/12/14,183500,184500,182000,184000,▲2000,＋1.10%,181500,182750,178650,178679,1156,227509
2018/12/13,179000,182000,177000,182000,▲3000,＋1.68%,181900,182425,178533,178708,1023,227397
2018/12/12,180000,180000,176500,179000,▼500,－0.28%,182700,182100,178417,178788,1052,227355
