[일시]대한항공,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,35400,36950,35150,36950,▲1650,＋4.67%,35710,34805,32972,30308,1081739,21345412
2019/01/29,35400,35750,35250,35300,▲150,＋0.43%,35610,34578,32845,30241,435575,21002258
2019/01/28,34900,35200,34850,35150,▲350,＋1.01%,35750,34465,32724,30194,363344,20869000
2019/01/25,35850,36300,34700,34800,▼1550,－4.26%,36000,34380,32596,30144,1033315,20761664
2019/01/24,36000,36850,35650,36350,▼100,－0.27%,36350,34288,32446,30089,474693,20620818
2019/01/23,35950,37200,35850,36450,▲450,＋1.25%,36380,34140,32268,30022,733917,20574846
2019/01/22,36400,36600,35550,36000,▼400,－1.10%,36130,34018,32100,29955,541529,20483190
2019/01/21,36650,36650,36100,36400,▼150,－0.41%,35770,33918,31954,29888,375392,20405444
2019/01/18,36500,36600,35850,36550,▲50,＋0.14%,35270,33790,31802,29814,499813,20391764
2019/01/17,35000,36600,35000,36500,▲1300,＋3.69%,34600,33615,31631,29742,1258820,20409264
2019/01/16,34250,35300,34100,35200,▲1000,＋2.92%,34020,33430,31472,29670,997933,20209963
2019/01/15,34000,34300,33800,34200,▲300,＋0.88%,33780,33303,31335,29611,532772,20170556
2019/01/14,33050,34100,33050,33900,▲700,＋2.11%,33720,33193,31211,29564,375803,20141999
2019/01/11,33750,33850,32900,33200,▼400,－1.19%,33640,33063,31078,29524,397027,20073819
2019/01/10,33850,33950,33150,33600,▼400,－1.18%,33470,32988,30953,29488,320843,20005231
2019/01/09,34000,34150,33750,34000,▲100,＋0.29%,33110,32863,30819,29451,574199,19975104
2019/01/08,33550,34050,32900,33900,▲400,＋1.19%,32790,32748,30682,29401,515749,19868210
2019/01/07,32600,33500,32300,33500,▲1150,＋3.55%,32620,32603,30541,29359,619120,19785589
2019/01/04,31650,32450,31300,32350,▲550,＋1.73%,32610,32508,30435,29318,424001,19712984
2019/01/03,32700,32950,31650,31800,▼600,－1.85%,32730,32453,30356,29280,464995,19641033
2019/01/02,32950,32950,32050,32400,▼650,－1.97%,33050,32448,30288,29248,349580,19591907
2018/12/28,33400,33400,32550,33050,▼400,－1.20%,33370,32423,30201,29210,312363,19545094
2018/12/27,32600,33450,32350,33450,▲500,＋1.52%,33560,32440,30104,29163,429914,19529071
2018/12/26,33000,33500,32250,32950,▼450,－1.35%,33640,32388,30015,29113,464547,19455451
2018/12/24,33900,34000,33000,33400,▼600,－1.76%,33660,32373,29934,29064,343639,19382146
2018/12/21,34300,34400,33200,34000,0.0,0.00%,33540,32340,29846,29021,498107,19331530
2018/12/20,33650,34250,32800,34000,▲150,＋0.44%,33270,32268,29756,28963,784507,19241735
2018/12/19,33750,34300,33450,33850,▲800,＋2.42%,32870,32193,29663,28913,1084167,19152924
2018/12/18,32800,33200,32800,33050,▲250,＋0.76%,32360,32173,29570,28870,422423,19132598
2018/12/17,32850,33200,32400,32800,▲150,＋0.46%,32090,32165,29501,28833,461842,19094278
2018/12/14,32150,33000,32100,32650,▲650,＋2.03%,31750,32155,29435,28794,778050,19139616
2018/12/13,31600,32300,31500,32000,▲700,＋2.24%,31560,32193,29378,28756,721126,19171222
2018/12/12,31700,31700,31050,31300,▼400,－1.26%,31360,32220,29327,28737,381295,19058750
2018/12/11,31350,31900,30800,31700,▲600,＋1.93%,31420,32280,29269,28722,411570,19115173
2018/12/10,31200,31200,30700,31100,▼600,－1.89%,31330,32180,29197,28713,421952,19081304
2018/12/07,31350,32650,31300,31700,▲700,＋2.26%,31450,32098,29136,28720,663241,19024778
2018/12/06,31650,31750,30750,31000,▼600,－1.90%,31490,32013,29069,28731,341535,18993959
2018/12/05,30850,31750,30800,31600,▲350,＋1.12%,31970,31963,29010,28750,457904,18977566
2018/12/04,31700,31800,31150,31250,▼450,－1.42%,32130,31893,28945,28758,384766,18821590
2018/12/03,32200,32550,31300,31700,▼200,－0.63%,32410,31798,28887,28763,953321,18725560
2018/11/30,33250,33250,31700,31900,▼1500,－4.49%,32620,31663,28828,28764,890923,18282296
2018/11/29,32800,33400,32300,33400,▲1000,＋3.09%,32750,31535,28763,28765,854630,18348235
2018/11/28,32700,32850,32000,32400,▼250,－0.77%,32570,31268,28672,28756,598271,18235013
2018/11/27,32900,33000,32350,32650,▼100,－0.31%,32780,31020,28603,28753,439785,18014010
2018/11/26,33000,33300,32250,32750,▲200,＋0.61%,32830,30678,28536,28747,715237,17844745
2018/11/23,32500,32750,31850,32550,▲50,＋0.15%,32800,30325,28458,28740,503042,17859780
2018/11/22,33450,33450,32250,32500,▼950,－2.84%,32970,30015,28380,28742,723209,17729565
2018/11/21,33300,33450,32700,33450,▲550,＋1.67%,32980,29753,28303,28746,791760,17687518
2018/11/20,32200,33450,32200,32900,▲300,＋0.92%,32790,29443,28209,28732,774105,17467372
2018/11/19,33700,33700,32000,32600,▼800,－2.40%,32150,29113,28117,28725,1191817,17244299
2018/11/16,33000,33800,32600,33400,▲850,＋2.61%,31520,28830,28028,28718,1551405,17161129
2018/11/15,32350,32700,31850,32550,▲50,＋0.15%,30840,28510,27934,28708,672163,17048206
2018/11/14,31600,32500,31200,32500,▲2800,＋9.43%,30330,28220,27843,28707,2705130,16892885
2018/11/13,29100,29800,28500,29700,▲250,＋0.85%,29870,27893,27761,28709,502663,15825870
2018/11/12,29750,30100,29350,29450,▼550,－1.83%,29800,27693,27730,28742,283441,15858795
2018/11/09,29750,30100,29350,30000,0.0,0.00%,29710,27498,27717,28781,417893,15847455
2018/11/08,30500,30800,29600,30000,▼200,－0.66%,29580,27285,27701,28819,589053,15832746
2018/11/07,29400,30550,29400,30200,▲850,＋2.90%,29190,27058,27676,28853,1041203,15871356
2018/11/06,28950,29700,28950,29350,▲350,＋1.21%,28640,26905,27654,28876,385367,15754991
2018/11/05,29000,29550,28650,29000,▼350,－1.19%,27930,26818,27644,28910,491206,15720853
2018/11/02,28550,29650,28550,29350,▲1300,＋4.63%,27270,26753,27645,28946,1462021,15694279
2018/11/01,27350,28300,27150,28050,▲600,＋2.19%,26670,26645,27638,28986,798966,15538190
2018/10/31,25850,27450,25800,27450,▲1650,＋6.40%,26510,26605,27663,29031,641164,15559850
2018/10/30,25200,26200,25200,25800,▲100,＋0.39%,26470,26638,27693,29085,285995,15399268
2018/10/29,26350,26600,25350,25700,▼650,－2.47%,26570,26753,27733,29155,370975,15404589
2018/10/26,27050,27150,26050,26350,▼900,－3.30%,26820,26873,27776,29223,360866,15434628
2018/10/25,26600,27250,26300,27250,0.0,0.00%,26950,26985,27810,29285,392781,15449658
2018/10/24,26750,27450,26700,27250,▲950,＋3.61%,26850,27045,27823,29345,578288,15487172
2018/10/23,26850,27100,26100,26300,▼650,－2.41%,26590,27095,27827,29403,244747,15416171
2018/10/22,26650,27050,26550,26950,▼50,－0.19%,26470,27225,27853,29470,163730,15433495
2018/10/19,26500,27150,26150,27000,▲250,＋0.93%,26190,27320,27869,29523,268253,15450529
2018/10/18,26000,26900,25650,26750,▲800,＋3.08%,25940,27433,27887,29576,347686,15456896
2018/10/17,26100,26200,25700,25950,▲250,＋0.97%,25680,27540,27918,29640,257763,15508687
2018/10/16,25400,25900,25400,25700,▲150,＋0.59%,25920,27635,27970,29705,237524,15501874
2018/10/15,25850,25900,25500,25550,▼200,－0.78%,26300,27718,28023,29766,159444,15529540
2018/10/12,25050,26100,25050,25750,▲300,＋1.18%,26730,27813,28083,29836,365284,15538367
2018/10/11,26550,26650,25450,25450,▼1700,－6.26%,27020,27910,28121,29901,881536,15534590
2018/10/10,27350,27750,27150,27150,▼450,－1.63%,27380,28010,28178,29988,368832,15548050
2018/10/08,27500,28050,27450,27600,▼100,－0.36%,27570,28038,28201,30062,242732,15597099
2018/10/05,27000,27800,26850,27700,▲500,＋1.84%,27670,28045,28205,30127,410496,15572139
2018/10/04,27300,27550,27000,27200,▼50,－0.18%,27750,28068,28209,30193,527380,15607229
2018/10/02,27850,28100,27200,27250,▼850,－3.02%,28030,28110,28218,30262,775729,15660932
2018/10/01,28000,28200,27750,28100,0.0,0.00%,28270,28143,28222,30330,397553,15726554
2018/09/28,28050,28250,27650,28100,0.0,0.00%,28300,28153,28210,30395,386515,15741957
2018/09/27,28600,28650,27900,28100,▼500,－1.75%,28460,28178,28193,30448,585833,15730165
2018/09/21,28900,28950,28450,28600,▲150,＋0.53%,28610,28175,28196,30495,293021,15767073
2018/09/20,28400,29000,28150,28450,▲200,＋0.71%,28740,28140,28170,30529,454036,15732894
2018/09/19,28900,29000,28200,28250,▼650,－2.25%,28830,28110,28163,30553,292007,15710978
2018/09/18,28700,29100,28650,28900,▲50,＋0.17%,28750,28090,28170,30583,374874,15707141
2018/09/17,29150,29300,28800,28850,▼400,－1.37%,28440,28013,28164,30602,281178,15764078
2018/09/14,29150,29600,28900,29250,▲350,＋1.21%,28160,27935,28153,30618,763266,15729915
2018/09/13,27550,29050,27550,28900,▲1050,＋3.77%,27850,27860,28133,30644,1016407,15765173
2018/09/12,27450,27850,27350,27850,▲500,＋1.83%,27560,27770,28148,30674,417388,15627833
2018/09/11,27300,27600,27150,27350,▼100,－0.36%,27530,27755,28174,30716,250516,15651740
2018/09/10,27500,27750,27150,27450,▼250,－0.90%,27610,27780,28229,30761,308976,15630863
2018/09/07,27450,27750,27450,27700,▲250,＋0.91%,27750,27840,28305,30807,327951,15684912
2018/09/06,27600,27900,27350,27450,▼250,－0.90%,27820,27908,28393,30853,417494,15621182
2018/09/05,27650,28050,27600,27700,▼50,－0.18%,27910,27960,28491,30902,387234,15520486
2018/09/04,28100,28200,27550,27750,▼400,－1.42%,28030,28020,28572,30948,506408,15471228
2018/09/03,28100,28350,28000,28150,▲100,＋0.36%,28200,28070,28638,30999,260705,15546051
2018/08/31,27700,28100,27700,28050,▲150,＋0.54%,28180,28115,28701,31047,249660,15535691
2018/08/30,28300,28300,27700,27900,▼400,－1.41%,28150,28158,28768,31085,422197,15503466
2018/08/29,28650,28850,28050,28300,▼300,－1.05%,28140,28243,28840,31123,256022,15519348
