[일시]동부건설,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,8380,9000,8380,8670,▲280,＋3.34%,8354,7678,7409,8095,163006,520514
2019/01/29,8420,8490,8350,8390,▼70,－0.83%,8222,7605,7387,8099,49344,492926
2019/01/28,8220,8580,8070,8460,▲260,＋3.17%,8108,7547,7366,8106,126607,497702
2019/01/25,8060,8280,8060,8200,▲150,＋1.86%,7970,7484,7342,8113,46280,483429
2019/01/24,8150,8150,7700,8050,▲40,＋0.50%,7846,7447,7322,8121,55909,472476
2019/01/23,7910,8060,7810,8010,▲190,＋2.43%,7770,7424,7304,8129,78770,471304
2019/01/22,7870,7870,7520,7820,▲50,＋0.64%,7718,7409,7290,8137,52184,468365
2019/01/21,7670,7840,7650,7770,▲190,＋2.51%,7678,7395,7283,8145,30651,476164
2019/01/18,7700,7780,7480,7580,▼90,－1.17%,7608,7392,7281,8155,35127,473343
2019/01/17,7820,7950,7500,7670,▼80,－1.03%,7550,7389,7283,8164,47844,476035
2019/01/16,7690,7800,7550,7750,▲130,＋1.71%,7432,7381,7292,8174,48600,469630
2019/01/15,7420,7770,7350,7620,▲200,＋2.70%,7318,7368,7299,8184,57279,458666
2019/01/14,7290,7580,7190,7420,▲130,＋1.78%,7200,7335,7309,8197,76488,444120
2019/01/11,7100,7340,7070,7290,▲210,＋2.97%,7160,7307,7323,8213,49181,428291
2019/01/10,7140,7210,6980,7080,▼100,－1.39%,7152,7287,7336,8229,83141,416887
2019/01/09,7130,7390,7070,7180,▲150,＋2.13%,7156,7288,7354,8246,117327,427599
2019/01/08,7360,7360,7030,7030,▼190,－2.63%,7160,7309,7371,8263,68880,411525
2019/01/07,7210,7580,7160,7220,▼30,－0.41%,7200,7327,7387,8282,48033,411712
2019/01/04,7100,7290,7000,7250,▲150,＋2.11%,7198,7326,7410,8299,25988,413069
2019/01/03,7110,7250,7010,7100,▼100,－1.39%,7238,7332,7438,8315,21660,414733
2019/01/02,7390,7390,7110,7200,▼30,－0.41%,7338,7339,7469,8333,15274,420429
2018/12/28,7220,7350,7110,7230,▲20,＋0.28%,7440,7334,7500,8349,9790,424841
2018/12/27,7350,7380,7210,7210,▼240,－3.22%,7500,7331,7531,8365,20994,438357
2018/12/26,7370,7570,7360,7450,▼150,－1.97%,7600,7329,7563,8383,49325,439330
2018/12/24,7710,7710,7520,7600,▼110,－1.43%,7614,7315,7591,8398,27618,448203
2018/12/21,7530,7740,7450,7710,▲180,＋2.39%,7598,7294,7616,8414,35477,446856
2018/12/20,7700,7880,7490,7530,▼180,－2.33%,7554,7267,7638,8428,71460,447361
2018/12/19,7520,7750,7450,7710,▲190,＋2.53%,7440,7256,7660,8445,53895,438199
2018/12/18,7410,7630,7410,7520,0.0,0.00%,7268,7237,7682,8462,35970,436588
2018/12/17,7650,7670,7400,7520,▲30,＋0.40%,7142,7219,7708,8485,63088,431463
2018/12/14,7220,8070,7220,7490,▲530,＋7.61%,7060,7208,7736,8505,439020,432678
2018/12/13,6860,7030,6860,6960,▲110,＋1.61%,7082,7182,7767,8525,9288,447479
2018/12/12,6670,6930,6670,6850,▼40,－0.58%,7168,7182,7805,8553,36092,446936
2018/12/11,7110,7110,6850,6890,▼220,－3.09%,7238,7186,7847,8580,32830,449252
2018/12/10,7590,7610,7030,7110,▼490,－6.45%,7334,7192,7892,8612,45975,456485
2018/12/07,7410,7700,7410,7600,▲210,＋2.84%,7360,7202,7938,8645,27703,462758
2018/12/06,7260,7450,7200,7390,▲190,＋2.64%,7258,7187,7966,8675,27546,463388
2018/12/05,7290,7290,7010,7200,▼170,－2.31%,7214,7184,7995,8712,8818,462799
2018/12/04,7280,7390,7190,7370,▲130,＋1.80%,7208,7196,8027,8753,9394,462442
2018/12/03,7250,7250,7170,7240,▲150,＋2.12%,7168,7201,8057,8789,18644,460366
2018/11/30,7250,7250,7080,7090,▼80,－1.12%,7156,7209,8089,8830,16155,457935
2018/11/29,7300,7400,7090,7170,0.0,0.00%,7174,7223,8126,8873,18126,457308
2018/11/28,7170,7200,7060,7170,0.0,0.00%,7200,7222,8160,8917,8559,454575
2018/11/27,7130,7240,7100,7170,▼10,－0.14%,7234,7213,8194,8959,8001,454584
2018/11/26,7140,7250,7140,7180,0.0,0.00%,7232,7204,8231,9002,4912,454137
2018/11/23,7300,7500,7010,7180,▼120,－1.64%,7254,7194,8266,9046,12971,454690
2018/11/22,7260,7350,7150,7300,▼40,－0.54%,7214,7193,8309,9090,7062,455482
2018/11/21,7160,7340,7040,7340,▲180,＋2.51%,7144,7198,8350,9139,9710,457631
2018/11/20,7250,7330,7130,7160,▼130,－1.78%,7064,7214,8390,9171,8317,456706
2018/11/19,7290,7400,7090,7290,▲310,＋4.44%,7032,7242,8433,9213,23792,455435
2018/11/16,6930,7080,6880,6980,▲30,＋0.43%,7036,7287,8468,9260,14733,451032
2018/11/15,6940,7030,6910,6950,▲10,＋0.14%,7100,7346,8504,9305,8724,447816
2018/11/14,6950,7000,6820,6940,▼60,－0.86%,7176,7410,8539,9353,23604,447335
2018/11/13,7310,7310,6920,7000,▼310,－4.24%,7278,7475,8575,9399,57895,447387
2018/11/12,7360,7380,7050,7310,▲10,＋0.14%,7372,7531,8608,9442,14486,457026
2018/11/09,7330,7390,7200,7300,▼30,－0.41%,7388,7573,8639,9495,10827,457317
2018/11/08,7450,7490,7320,7330,▼120,－1.61%,7404,7618,8668,9543,15941,457908
2018/11/07,7500,7600,7280,7450,▼20,－0.27%,7368,7652,8697,9582,23808,458112
2018/11/06,7360,7700,7310,7470,▲80,＋1.08%,7276,7708,8724,9619,7747,461193
2018/11/05,7380,7700,7150,7390,▲10,＋0.14%,7180,7780,8751,9657,16505,463276
2018/11/02,7220,7440,7220,7380,▲230,＋3.22%,7098,7861,8781,9696,22243,466441
2018/11/01,7130,7300,6980,7150,▲160,＋2.29%,7054,7944,8812,9736,21028,467395
2018/10/31,7050,7050,6800,6990,0.0,0.00%,7104,8040,8846,9778,14373,466131
2018/10/30,6500,7130,6500,6990,▲10,＋0.14%,7236,8148,8883,9829,69726,468752
2018/10/29,7090,7420,6760,6980,▼180,－2.51%,7384,8255,8920,9876,26510,464523
2018/10/26,7400,7500,6730,7160,▼240,－3.24%,7624,8362,8954,9916,52437,464208
2018/10/25,7240,7520,7240,7400,▼250,－3.27%,7824,8454,8985,9956,28558,458802
2018/10/24,7740,7860,7600,7650,▼80,－1.03%,7990,8526,9008,9995,22952,459927
2018/10/23,8150,8200,7730,7730,▼450,－5.50%,8110,8595,9029,10031,42014,465081
2018/10/22,8160,8180,7960,8180,▲20,＋0.25%,8186,8664,9045,10065,31222,469142
2018/10/19,8090,8390,7960,8160,▼70,－0.85%,8182,8715,9057,10092,14578,473465
2018/10/18,8440,8440,8150,8230,▼20,－0.24%,8190,8772,9070,10114,12650,476136
2018/10/17,8110,8420,8100,8250,▲140,＋1.73%,8144,8824,9086,10127,10445,479400
2018/10/16,8170,8270,8040,8110,▼50,－0.61%,8210,8881,9103,10138,11813,480483
2018/10/15,8200,8200,8030,8160,▼40,－0.49%,8370,8955,9121,10150,20720,483158
2018/10/12,7760,8200,7760,8200,▲200,＋2.50%,8538,9040,9138,10161,21740,484031
2018/10/11,8370,8370,7800,8000,▼580,－6.76%,8706,9092,9155,10172,73618,485496
2018/10/10,8910,9040,8580,8580,▼330,－3.70%,8922,9150,9176,10184,32916,495716
2018/10/08,8900,9060,8800,8910,▼90,－1.00%,9034,9177,9188,10190,13408,499476
2018/10/05,9020,9020,8840,9000,▼40,－0.44%,9080,9189,9191,10194,19856,500227
2018/10/04,9080,9130,8910,9040,▼40,－0.44%,9102,9199,9196,10197,18397,501388
2018/10/02,9140,9160,9020,9080,▼60,－0.66%,9094,9213,9197,10200,17255,499715
2018/10/01,9220,9220,9030,9140,0.0,0.00%,9048,9218,9199,10202,9171,499482
2018/09/28,9060,9200,9020,9140,▲30,＋0.33%,9024,9221,9202,10205,24655,500649
2018/09/27,9040,9150,9000,9110,▲110,＋1.22%,9020,9235,9204,10209,29084,497317
2018/09/21,8860,9040,8860,9000,▲150,＋1.69%,9038,9243,9212,10212,23850,494228
2018/09/20,9190,9190,8850,8850,▼170,－1.88%,9098,9280,9218,10216,42480,492686
2018/09/19,9130,9240,8920,9020,▼100,－1.10%,9180,9326,9229,10219,67329,492326
2018/09/18,9200,9280,9060,9120,▼80,－0.87%,9254,9362,9243,10223,34042,496143
2018/09/17,9300,9520,9130,9200,▼100,－1.08%,9350,9393,9261,10226,34959,498973
2018/09/14,9260,9440,9200,9300,▲40,＋0.43%,9480,9402,9273,10229,28714,503443
2018/09/13,9380,9380,9180,9260,▼130,－1.38%,9470,9394,9284,10233,41134,507375
2018/09/12,9580,9580,9270,9390,▼210,－2.19%,9450,9383,9301,10239,41923,518812
2018/09/11,9850,9900,9410,9600,▼250,－2.54%,9394,9368,9314,10244,60742,528854
2018/09/10,9210,9850,9210,9850,▲600,＋6.49%,9304,9339,9332,10248,84959,537495
2018/09/07,9150,9280,9130,9250,▲90,＋0.98%,9174,9306,9351,10250,16421,520731
2018/09/06,9090,9280,9090,9160,▲50,＋0.55%,9188,9294,9384,10256,32820,519217
