[일시]동양,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,1965,2045,1925,2025,▲90,＋4.65%,1961,1986,1940,1894,1035658,18227907
2019/01/29,1945,1970,1920,1935,▼25,－1.28%,1950,1986,1934,1893,189982,18171284
2019/01/28,1955,1975,1935,1960,0.0,0.00%,1946,1993,1928,1893,245474,18196843
2019/01/25,1920,1975,1915,1960,▲35,＋1.82%,1944,1996,1921,1892,312050,18223646
2019/01/24,1980,2000,1925,1925,▼45,－2.28%,1947,2001,1916,1892,292501,18215230
2019/01/23,1920,1975,1910,1970,▲55,＋2.87%,1953,2009,1909,1892,269599,18316368
2019/01/22,1950,1955,1915,1915,▼35,－1.79%,1951,2014,1903,1891,293857,18306576
2019/01/21,1985,1990,1940,1950,▼25,－1.27%,1971,2020,1900,1890,268493,18240903
2019/01/18,1990,2000,1965,1975,▲20,＋1.02%,1985,2025,1895,1890,157140,18241263
2019/01/17,1970,1975,1945,1955,▼5,－0.26%,1991,2026,1889,1888,320669,18217566
2019/01/16,2010,2020,1960,1960,▼55,－2.73%,2004,2032,1885,1887,353202,18162011
2019/01/15,2030,2050,2005,2015,▼5,－0.25%,2020,2035,1881,1886,328245,18251647
2019/01/14,1990,2035,1985,2020,▲15,＋0.75%,2027,2030,1876,1884,259757,18192031
2019/01/11,2025,2030,1975,2005,▼15,－0.74%,2031,2028,1871,1883,272317,18129028
2019/01/10,2030,2075,2020,2020,▼20,－0.98%,2032,2026,1866,1882,261358,18107520
2019/01/09,2035,2065,2035,2040,▼10,－0.49%,2025,2023,1861,1881,308125,18147224
2019/01/08,2070,2070,2025,2050,▲10,＋0.49%,2024,2019,1856,1879,153877,18031549
2019/01/07,2030,2075,2005,2040,▲30,＋1.49%,2028,2014,1850,1878,215820,17983557
2019/01/04,1985,2030,1985,2010,▲25,＋1.26%,2024,2007,1846,1876,202024,17959494
2019/01/03,2035,2055,1980,1985,▼50,－2.46%,2035,2004,1844,1875,280074,17889576
2019/01/02,2070,2080,2010,2035,▼35,－1.69%,2052,2003,1842,1874,301118,17647615
2018/12/28,2020,2090,2020,2070,▲50,＋2.48%,2062,1999,1840,1873,268023,17673217
2018/12/27,2035,2080,2020,2020,▼45,－2.18%,2053,1993,1837,1872,339261,17575119
2018/12/26,2065,2080,2015,2065,▼5,－0.24%,2058,1988,1836,1870,329647,17626719
2018/12/24,2090,2090,2040,2070,▼15,－0.72%,2045,1981,1834,1869,247022,17941800
2018/12/21,2055,2085,2025,2085,▲60,＋2.96%,2045,1974,1832,1868,471867,18039933
2018/12/20,2080,2080,2010,2025,▼20,－0.98%,2034,1964,1830,1867,389628,17939797
2018/12/19,2020,2060,2005,2045,▲45,＋2.25%,2013,1957,1828,1866,365741,17921521
2018/12/18,2080,2085,1990,2000,▼70,－3.38%,1997,1950,1826,1865,485557,17918807
2018/12/17,2030,2110,2010,2070,▲40,＋1.97%,1991,1944,1826,1865,756103,18037959
2018/12/14,1925,2030,1910,2030,▲110,＋5.73%,1971,1935,1824,1865,1000244,17989040
2018/12/13,1950,1980,1920,1920,▼45,－2.29%,1954,1925,1824,1865,802580,17799543
2018/12/12,1955,1970,1940,1965,▼5,－0.25%,1960,1919,1825,1866,383528,17689130
2018/12/11,1970,1985,1955,1970,0.0,0.00%,1949,1911,1826,1867,367562,17790041
2018/12/10,1945,1970,1935,1970,▲25,＋1.29%,1945,1899,1827,1869,363850,17859298
2018/12/07,1965,1970,1935,1945,▼5,－0.26%,1945,1889,1827,1871,230476,17812755
2018/12/06,1910,1950,1875,1950,▲40,＋2.09%,1946,1879,1827,1873,325683,17803591
2018/12/05,1940,1965,1905,1910,▼40,－2.05%,1945,1869,1826,1875,373828,17673785
2018/12/04,1970,1970,1950,1950,▼20,－1.02%,1948,1857,1826,1878,206867,17693933
2018/12/03,1960,1975,1940,1970,▲20,＋1.03%,1943,1845,1826,1880,420010,17679486
2018/11/30,1930,1985,1925,1950,▲5,＋0.26%,1934,1830,1824,1881,251171,17630704
2018/11/29,1935,1990,1920,1945,▲20,＋1.04%,1922,1815,1823,1883,451783,17619789
2018/11/28,1940,1945,1915,1925,0.0,0.00%,1910,1797,1822,1885,244424,17467975
2018/11/27,1910,1940,1905,1925,0.0,0.00%,1904,1780,1821,1887,159460,17468712
2018/11/26,1910,1935,1900,1925,▲35,＋1.85%,1898,1765,1820,1888,261163,17457519
2018/11/23,1910,1915,1890,1890,▲5,＋0.27%,1891,1745,1819,1890,153073,17446583
2018/11/22,1885,1910,1880,1885,▼10,－0.53%,1879,1732,1820,1892,222355,17632206
2018/11/21,1890,1925,1855,1895,0.0,0.00%,1861,1722,1820,1895,277405,17621654
2018/11/20,1890,1910,1850,1895,▲5,＋0.26%,1843,1711,1820,1896,343520,17667362
2018/11/19,1845,1900,1840,1890,▲60,＋3.28%,1811,1698,1820,1898,452055,17714276
2018/11/16,1805,1840,1790,1830,▲35,＋1.95%,1785,1688,1821,1900,275373,17694116
2018/11/15,1775,1815,1775,1795,▼10,－0.55%,1768,1683,1823,1903,351670,17686274
2018/11/14,1750,1820,1745,1805,▲70,＋4.03%,1761,1680,1825,1907,403970,17737148
2018/11/13,1760,1760,1700,1735,▼25,－1.42%,1734,1676,1828,1911,355727,17664126
2018/11/12,1730,1800,1720,1760,▲15,＋0.86%,1727,1674,1830,1914,284270,17667528
2018/11/09,1750,1775,1725,1745,▼15,－0.85%,1708,1671,1833,1918,350810,17644144
2018/11/08,1725,1780,1695,1760,▲90,＋5.39%,1692,1670,1836,1923,563427,17717097
2018/11/07,1720,1775,1670,1670,▼30,－1.76%,1656,1668,1838,1926,715107,17613479
2018/11/06,1680,1710,1675,1700,▲35,＋2.10%,1640,1675,1842,1929,306575,17807517
2018/11/05,1670,1670,1640,1665,0.0,0.00%,1622,1684,1845,1932,291662,17790775
2018/11/02,1600,1685,1600,1665,▲85,＋5.38%,1597,1695,1849,1935,356194,17708529
2018/11/01,1585,1625,1580,1580,▼10,－0.63%,1589,1707,1853,1939,272205,17619859
2018/10/31,1585,1615,1555,1590,▼20,－1.24%,1611,1723,1858,1943,258949,17660773
2018/10/30,1490,1615,1490,1610,▲70,＋4.55%,1625,1739,1863,1948,481919,17675382
2018/10/29,1590,1640,1510,1540,▼85,－5.23%,1630,1756,1868,1953,420177,17601404
2018/10/26,1660,1705,1590,1625,▼65,－3.85%,1663,1778,1874,1957,350285,17571013
