[일시]동양물산,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2220,2310,2215,2280,▲75,＋3.40%,2306,2148,1910,1945,1392895,4905110
2019/01/29,2370,2375,2205,2205,▼145,－6.17%,2311,2124,1900,1943,2579107,4621268
2019/01/28,2375,2380,2320,2350,▼10,－0.42%,2302,2105,1890,1942,2069188,4707185
2019/01/25,2350,2440,2315,2360,▲25,＋1.07%,2273,2078,1876,1939,4430928,4642960
2019/01/24,2670,2715,2335,2335,▲30,＋1.30%,2251,2048,1862,1936,14019521,4551847
2019/01/23,2160,2330,2140,2305,▲145,＋6.71%,2237,2028,1846,1934,4038254,5383844
2019/01/22,2215,2270,2160,2160,▼45,－2.04%,2233,2006,1834,1932,1602597,5127299
2019/01/21,2275,2275,2185,2205,▼45,－2.00%,2235,1989,1827,1929,1083946,5112614
2019/01/18,2260,2300,2200,2250,▼15,－0.66%,2222,1967,1819,1926,2150949,5056011
2019/01/17,2300,2325,2210,2265,▼20,－0.88%,2193,1944,1813,1922,2726530,4932104
2019/01/16,2215,2465,2180,2285,▲115,＋5.30%,2140,1920,1808,1919,13007660,4762298
2019/01/15,2130,2175,2070,2170,▲30,＋1.40%,2090,1898,1802,1916,1866261,5389987
2019/01/14,2205,2220,2105,2140,▲35,＋1.66%,2040,1883,1796,1914,4619165,5158891
2019/01/11,1990,2135,1990,2105,▲105,＋5.25%,1992,1865,1790,1913,3468414,5854101
2019/01/10,2035,2075,1980,2000,▼35,－1.72%,1938,1848,1784,1913,1601788,5489473
2019/01/09,1920,2055,1920,2035,▲115,＋5.99%,1908,1841,1779,1913,4759928,5510653
2019/01/08,1925,2085,1870,1920,▲20,＋1.05%,1861,1836,1773,1913,4797880,5448956
2019/01/07,1860,1920,1825,1900,▲65,＋3.54%,1842,1833,1769,1914,1340216,5764019
2019/01/04,1855,1855,1790,1835,▼15,－0.81%,1823,1835,1767,1914,639612,5616645
2019/01/03,1805,1890,1770,1850,▲50,＋2.78%,1810,1838,1770,1914,1437981,5711547
2019/01/02,1870,1880,1790,1800,▼25,－1.37%,1827,1837,1773,1916,811379,5442028
2018/12/28,1825,1840,1795,1825,▲20,＋1.11%,1838,1835,1776,1917,789583,5583014
2018/12/27,1820,1865,1795,1805,▲35,＋1.98%,1838,1833,1780,1920,1559450,5409660
2018/12/26,1935,2090,1770,1770,▼165,－8.53%,1831,1830,1783,1922,9697323,5269661
2018/12/24,1865,1955,1830,1935,▲80,＋4.31%,1833,1828,1788,1924,2369213,6065309
2018/12/21,1825,1860,1825,1855,▲30,＋1.64%,1803,1818,1790,1926,377889,6111299
2018/12/20,1830,1890,1805,1825,▲55,＋3.11%,1803,1810,1795,1928,1834613,6070646
2018/12/19,1810,1810,1765,1770,▼10,－0.56%,1813,1804,1798,1930,324306,6212254
2018/12/18,1755,1820,1750,1780,▼5,－0.28%,1813,1804,1803,1934,312014,6190130
2018/12/17,1830,1845,1770,1785,▼70,－3.77%,1809,1802,1811,1939,434371,6158287
2018/12/14,1900,1910,1820,1855,▼20,－1.07%,1826,1801,1819,1943,425388,6210392
2018/12/13,1770,1905,1760,1875,▲105,＋5.93%,1841,1794,1827,1948,996913,6428916
2018/12/12,1755,1815,1740,1770,▲10,＋0.57%,1838,1786,1833,1954,315942,6415429
2018/12/11,1855,1870,1760,1760,▼110,－5.88%,1871,1782,1841,1961,515251,6357037
2018/12/10,1905,1925,1845,1870,▼60,－3.11%,1899,1783,1850,1967,625753,6396544
2018/12/07,1875,1945,1875,1930,▲70,＋3.76%,1890,1779,1859,1973,655503,6473278
2018/12/06,1960,1970,1830,1860,▼75,－3.88%,1859,1773,1863,1977,681817,6410381
2018/12/05,1860,1975,1850,1935,▲35,＋1.84%,1841,1770,1867,1984,1021497,6576103
2018/12/04,1835,1945,1800,1900,▲75,＋4.11%,1805,1758,1868,1991,1280020,6676610
2018/12/03,1795,1845,1790,1825,▲50,＋2.82%,1772,1749,1870,1998,575358,6610996
2018/11/30,1775,1815,1750,1775,▲5,＋0.28%,1753,1745,1873,2005,342360,6442705
2018/11/29,1795,1795,1755,1770,▲15,＋0.85%,1738,1740,1877,2013,441126,6517004
2018/11/28,1735,1755,1725,1755,▲20,＋1.15%,1723,1732,1881,2021,256960,6432778
2018/11/27,1715,1745,1710,1735,▲5,＋0.29%,1725,1721,1884,2029,223723,6410111
2018/11/26,1730,1745,1715,1730,▲30,＋1.76%,1726,1710,1888,2039,222785,6321248
2018/11/23,1700,1750,1695,1700,▲5,＋0.29%,1734,1691,1893,2049,276681,6245760
2018/11/22,1765,1790,1690,1695,▼70,－3.97%,1739,1686,1900,2058,504770,6217412
2018/11/21,1710,1780,1710,1765,▲25,＋1.44%,1742,1688,1908,2070,359449,6246751
2018/11/20,1735,1795,1720,1740,▼30,－1.69%,1726,1688,1915,2075,337331,6165269
2018/11/19,1750,1785,1730,1770,▲45,＋2.61%,1734,1694,1922,2083,499868,6104999
2018/11/16,1710,1735,1685,1725,▲15,＋0.88%,1740,1704,1929,2092,427909,5978264
2018/11/15,1690,1730,1645,1710,▲25,＋1.48%,1757,1714,1936,2102,415933,5947423
2018/11/14,1820,1820,1665,1685,▼95,－5.34%,1775,1718,1944,2113,894737,5967721
2018/11/13,1730,1780,1715,1780,▼20,－1.11%,1774,1724,1950,2124,462133,6034824
2018/11/12,1780,1840,1770,1800,▼10,－0.55%,1763,1721,1953,2133,501520,6027939
2018/11/09,1800,1825,1750,1810,▲10,＋0.56%,1753,1716,1957,2145,530982,6128654
2018/11/08,1710,1830,1710,1800,▲120,＋7.14%,1727,1710,1961,2155,1115227,6214844
2018/11/07,1750,1815,1630,1680,▼45,－2.61%,1687,1704,1965,2166,1152204,5943478
2018/11/06,1750,1775,1660,1725,▼25,－1.43%,1659,1710,1971,2175,621985,5878314
2018/11/05,1655,1750,1645,1750,▲70,＋4.17%,1618,1724,1976,2185,456278,5938560
2018/11/02,1610,1695,1610,1680,▲80,＋5.00%,1536,1737,1981,2194,784587,5869977
2018/11/01,1550,1680,1550,1600,▲60,＋3.90%,1522,1754,1986,2206,1757063,5743980
2018/10/31,1530,1565,1500,1540,▲20,＋1.32%,1549,1775,1994,2217,1117714,5751159
2018/10/30,1220,1535,1220,1520,▲180,＋13.43%,1592,1799,2001,2232,4140593,5825788
2018/10/29,1570,1645,1340,1340,▼270,－16.77%,1662,1825,2011,2242,1728638,5460319
2018/10/26,1750,1770,1595,1610,▼125,－7.20%,1785,1862,2023,2253,1356119,5265507
2018/10/25,1705,1785,1675,1735,▼20,－1.14%,1850,1887,2029,2262,1470686,5298459
2018/10/24,1900,1915,1740,1755,▼115,－6.15%,1861,1903,2032,2269,2064468,5364700
2018/10/23,1960,2060,1860,1870,▼85,－4.35%,1870,1919,2033,2276,3917050,5294172
2018/10/22,2050,2080,1940,1955,▲20,＋1.03%,1840,1937,2032,2284,5698522,5315228
2018/10/19,1785,2195,1760,1935,▲145,＋8.10%,1788,1954,2030,2290,15146457,5584076
2018/10/18,1800,1840,1770,1790,▼10,－0.56%,1742,1973,2031,2294,487161,6330316
2018/10/17,1750,1870,1745,1800,▲80,＋4.65%,1720,1995,2033,2297,1397888,6450226
2018/10/16,1695,1735,1695,1720,▲25,＋1.47%,1720,2018,2037,2299,404432,6516130
2018/10/15,1705,1745,1680,1695,▼10,－0.59%,1777,2047,2042,2302,400654,6475022
2018/10/12,1645,1725,1640,1705,▲25,＋1.49%,1837,2081,2048,2304,857541,6432890
2018/10/11,1730,1760,1650,1680,▼120,－6.67%,1901,2106,2053,2306,1232509,6312208
2018/10/10,2000,2015,1800,1800,▼205,－10.22%,1968,2126,2058,2309,1267082,5952211
2018/10/08,1990,2015,1970,2005,▲10,＋0.50%,2013,2136,2060,2310,294209,6076772
2018/10/05,2020,2040,1960,1995,▼30,－1.48%,2019,2137,2058,2310,489369,6036124
2018/10/04,2055,2065,2015,2025,▲10,＋0.50%,2039,2139,2059,2310,448268,6064077
