[일시]동일방직,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,60500,63200,60500,62600,▲1800,＋2.96%,60680,58010,59599,64258,9962,173344
2019/01/29,60900,61100,60200,60800,0.0,0.00%,59560,57805,59607,64204,6157,173765
2019/01/28,60300,61500,59900,60800,▲500,＋0.83%,58680,57740,59608,64163,7680,174097
2019/01/25,58600,60400,58100,60300,▲1400,＋2.38%,57920,57660,59593,64114,7307,173619
2019/01/24,56900,59200,56000,58900,▲1900,＋3.33%,57200,57560,59584,64069,6607,173685
2019/01/23,56400,57000,56000,57000,▲600,＋1.06%,56800,57554,59589,64039,8076,173606
2019/01/22,57000,57800,55800,56400,▼600,－1.05%,56820,57600,59669,64018,5542,174149
2019/01/21,57100,57100,56400,57000,▲300,＋0.53%,57040,57670,59789,64002,2136,175175
2019/01/18,56600,56900,56200,56700,▼200,－0.35%,57140,57720,59926,63977,4510,175199
2019/01/17,57300,57300,56000,56900,▼200,－0.35%,57340,57770,60111,63960,6111,175579
2019/01/16,57500,57700,56500,57100,▼400,－0.70%,57360,57821,60313,63947,2627,176640
2019/01/15,57700,57700,56600,57500,0.0,0.00%,57380,57915,60525,63937,4821,177587
2019/01/14,57600,58200,57100,57500,▼200,－0.35%,57340,58014,60723,63921,2314,177629
2019/01/11,57000,57900,56600,57700,▲700,＋1.23%,57240,58113,60935,63904,4790,177792
2019/01/10,57200,57200,56300,57000,▼200,－0.35%,57260,58157,61181,63885,3131,177444
2019/01/09,58000,58000,56400,57200,▼100,－0.17%,57200,58237,61428,63875,4877,177757
2019/01/08,56400,57600,56000,57300,▲300,＋0.53%,57460,58346,61671,63865,5763,178225
2019/01/07,56500,57300,56000,57000,▼800,－1.38%,57900,58494,61889,63856,11033,179021
2019/01/04,56200,58000,53900,57800,▲1100,＋1.94%,58340,58672,62112,63854,21915,179115
2019/01/03,58600,58700,56600,56700,▼1800,－3.08%,58440,58859,62344,63847,5618,178481
2019/01/02,59600,59600,57100,58500,▼1000,－1.68%,58857,59096,62577,63849,3465,179037
2018/12/28,58900,60400,58600,59500,▲300,＋0.51%,58738,59244,62773,63833,2597,179605
2018/12/27,58600,59300,58100,59200,▲902,＋1.55%,58400,59311,62940,63816,2303,179746
2018/12/26,57708,58396,57216,58298,▼492,－0.84%,58160,59384,63113,63792,3634,179926
2018/12/24,57708,58986,57511,58789,▲885,＋1.53%,58042,59556,63333,63773,2833,180455
2018/12/21,57216,58200,57216,57905,▲98,＋0.17%,57865,59792,63566,63758,2391,180763
2018/12/20,57118,57806,56921,57806,▼197,－0.34%,58082,60092,63818,63755,4115,180639
2018/12/19,57708,58396,57413,58003,▲295,＋0.51%,58416,60446,64095,63753,8467,180683
2018/12/18,57610,58101,56921,57708,▼197,－0.34%,58711,60736,64488,63764,3808,180400
2018/12/17,58888,58888,57610,57905,▼1081,－1.83%,58888,61065,64827,63777,9653,180450
2018/12/14,59281,59478,58888,58986,▼492,－0.83%,59025,61409,65140,63784,3369,181577
2018/12/13,59478,59674,59084,59478,0.0,0.00%,59104,61680,65455,63788,4113,181467
2018/12/12,58888,60657,58691,59478,▲885,＋1.51%,59261,61916,65727,63787,3862,181385
2018/12/11,58593,59183,57806,58593,0.0,0.00%,59478,61852,66068,63782,4070,180882
2018/12/10,59183,59576,58003,58593,▼786,－1.32%,60067,61822,66449,63781,4562,181336
2018/12/07,60461,60657,58691,59379,▼885,－1.47%,60638,61852,66818,63792,9258,180981
2018/12/06,60362,60756,59871,60264,▼295,－0.49%,61051,61827,67228,63808,4529,181479
2018/12/05,61051,61149,59772,60559,▼983,－1.60%,61168,61793,67642,63819,8125,181405
2018/12/04,61444,61837,61247,61542,▲98,＋0.16%,61188,61734,68053,63824,5577,182898
2018/12/03,61542,61837,61149,61444,0.0,0.00%,61227,61714,68339,63822,4101,182358
2018/11/30,60952,61837,60854,61444,▲590,＋0.97%,61640,61690,68535,63826,3052,182507
2018/11/29,60952,61837,60362,60854,▲197,＋0.32%,62132,61773,68765,63823,3505,182377
2018/11/28,61935,62525,60362,60657,▼1081,－1.75%,62938,61773,69002,63824,8634,181884
2018/11/27,63410,63410,61149,61739,▼1770,－2.79%,63567,61734,69264,63815,10206,181251
2018/11/26,63607,64098,63213,63508,▼393,－0.62%,64078,61635,69445,63801,3474,181516
2018/11/23,64885,65868,62918,63902,▼983,－1.52%,64334,61419,69543,63766,7455,181270
2018/11/22,63902,65671,63410,64885,▲1081,＋1.69%,64432,61316,69626,63740,5728,181854
2018/11/21,63607,64098,62623,63803,▼492,－0.76%,64295,61252,69561,63711,3747,182664
2018/11/20,64786,64983,63312,64295,▼492,－0.76%,63174,61321,69486,63670,5846,182577
2018/11/19,64393,65376,63705,64786,▲393,＋0.61%,61916,61498,69402,63631,4756,182526
2018/11/16,64196,66359,63017,64393,▲197,＋0.31%,60795,61709,69320,63588,10903,182267
2018/11/15,60166,66752,60166,64196,▲5997,＋10.30%,59694,61980,69248,63549,42277,183445
2018/11/14,58101,58494,57511,58200,▲197,＋0.34%,58770,62240,69181,63482,2735,184270
2018/11/13,58789,58986,57413,58003,▼1180,－1.99%,59006,62840,69194,63462,5502,184169
2018/11/12,58986,59281,58789,59183,▲295,＋0.50%,59635,63562,69189,63424,1955,184126
2018/11/09,59772,59772,58494,58888,▼688,－1.16%,59989,64196,69168,63381,4772,184131
2018/11/08,59674,60756,59084,59576,▲197,＋0.33%,60834,64840,69146,63330,5113,184732
2018/11/07,61149,61935,58986,59379,▼1770,－2.89%,61090,65381,69114,63270,7082,184441
2018/11/06,61149,61935,60166,61149,▲197,＋0.32%,61188,65932,69074,63211,4852,185957
2018/11/05,63017,63017,60461,60952,▼2163,－3.43%,60913,66458,68999,63138,5184,186669
2018/11/02,61051,63115,60952,63115,▲2261,＋3.72%,60559,66944,68917,63068,6013,188013
2018/11/01,59969,61542,59871,60854,▲983,＋1.64%,60303,67303,68801,62981,4368,188712
2018/10/31,60067,60067,57610,59871,▲98,＋0.16%,60854,67736,68717,62908,1004,189620
2018/10/30,58200,60067,57511,59772,▲590,＋1.00%,61916,68222,68635,62841,9013,189721
2018/10/29,63410,63410,58593,59183,▼2654,－4.29%,63528,68807,68555,62771,3168,188712
2018/10/26,63115,64393,58888,61837,▼1770,－2.78%,65494,69486,68489,62705,6922,188800
2018/10/25,63213,64885,61935,63607,▼1573,－2.41%,67087,70046,68366,62611,7912,187090
2018/10/24,67047,68129,65081,65180,▼2654,－3.91%,68247,70587,68214,62501,5252,184479
2018/10/23,69603,69603,66359,67834,▼1180,－1.71%,69250,71407,68029,62379,7189,183705
2018/10/22,70390,70390,68817,69014,▼786,－1.13%,70174,71919,67809,62229,1746,184339
2018/10/19,67637,70390,67146,69800,▲393,＋0.57%,70744,72302,67580,62064,10688,184104
2018/10/18,70095,70193,67539,69407,▼786,－1.12%,71137,72705,67349,61893,9309,183204
2018/10/17,73831,75109,68719,70193,▼2261,－3.12%,71334,73025,67120,61726,7225,182314
