[일시]동화약품,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,9730,9820,9580,9630,▼150,－1.53%,9864,9617,9475,10071,140428,2226074
2019/01/29,9930,10000,9690,9780,▼150,－1.51%,9902,9602,9469,10087,55670,2215392
2019/01/28,9970,10100,9860,9930,▼50,－0.50%,9906,9568,9460,10100,52888,2204960
2019/01/25,10000,10100,9920,9980,▼20,－0.20%,9870,9524,9445,10109,24176,2204710
2019/01/24,9820,10000,9710,10000,▲180,＋1.83%,9802,9461,9416,10117,109714,2207825
2019/01/23,9840,9880,9740,9820,▲20,＋0.20%,9730,9403,9381,10123,31492,2209358
2019/01/22,9750,9860,9660,9800,▲50,＋0.51%,9668,9363,9357,10129,42143,2213762
2019/01/21,9660,9820,9650,9750,▲110,＋1.14%,9588,9321,9337,10132,65445,2216072
2019/01/18,9640,9710,9600,9640,0.0,0.00%,9518,9292,9321,10140,35072,2224840
2019/01/17,9520,9670,9450,9640,▲130,＋1.37%,9470,9278,9311,10146,69704,2233006
2019/01/16,9440,9600,9400,9510,▲110,＋1.17%,9432,9271,9310,10153,72822,2236330
2019/01/15,9380,9450,9350,9400,0.0,0.00%,9420,9267,9315,10162,20020,2255390
2019/01/14,9470,9470,9360,9400,0.0,0.00%,9444,9277,9320,10175,17930,2259120
2019/01/11,9400,9520,9390,9400,▼50,－0.53%,9470,9285,9328,10189,22406,2260153
2019/01/10,9430,9530,9350,9450,0.0,0.00%,9496,9281,9331,10200,53611,2262464
2019/01/09,9520,9620,9380,9450,▼70,－0.74%,9440,9292,9330,10213,82564,2270452
2019/01/08,9610,9640,9320,9520,▼10,－0.10%,9418,9304,9332,10224,108681,2265492
2019/01/07,9660,9800,9510,9530,0.0,0.00%,9334,9299,9328,10232,107912,2265131
2019/01/04,9100,9700,9100,9530,▲360,＋3.93%,9236,9294,9334,10240,115336,2278293
2019/01/03,9340,9390,9130,9170,▼170,－1.82%,9076,9287,9343,10248,54992,2285542
2019/01/02,9190,9430,9080,9340,▲240,＋2.64%,9008,9297,9367,10259,88403,2309612
2018/12/28,9080,9170,9030,9100,▲60,＋0.66%,8946,9286,9394,10267,26013,2315213
2018/12/27,8810,9120,8730,9040,▲310,＋3.55%,8916,9299,9424,10279,65184,2312356
2018/12/26,8600,9160,8590,8730,▼100,－1.13%,8944,9313,9459,10287,325058,2298472
2018/12/24,8910,9340,8800,8830,▼200,－2.21%,9068,9348,9503,10297,135709,2298750
2018/12/21,8950,9130,8950,9030,▲80,＋0.89%,9202,9376,9543,10308,61176,2298864
2018/12/20,9180,9180,8870,8950,▼230,－2.51%,9282,9399,9578,10319,186214,2305422
2018/12/19,9350,9400,9100,9180,▼170,－1.82%,9412,9431,9613,10334,59515,2301289
2018/12/18,9500,9500,9090,9350,▼150,－1.58%,9490,9446,9639,10349,142335,2306888
2018/12/17,9430,9670,9300,9500,▲70,＋0.74%,9484,9453,9666,10362,131559,2326416
2018/12/14,9730,9730,9250,9430,▼170,－1.77%,9516,9461,9691,10376,168582,2335572
2018/12/13,9530,9700,9450,9600,▲30,＋0.31%,9568,9470,9723,10389,71270,2339927
2018/12/12,9330,9580,9330,9570,▲250,＋2.68%,9534,9459,9755,10402,23962,2355902
2018/12/11,9660,9760,9320,9320,▼340,－3.52%,9504,9459,9789,10413,82378,2347781
2018/12/10,9590,9710,9520,9660,▼30,－0.31%,9520,9466,9826,10430,58399,2373784
2018/12/07,9490,9890,9440,9690,▲260,＋2.76%,9462,9454,9855,10448,127703,2379650
2018/12/06,9480,9610,9280,9430,▲10,＋0.11%,9346,9469,9884,10468,112702,2382082
2018/12/05,9310,9430,9310,9420,▲20,＋0.21%,9332,9484,9919,10486,21831,2381781
2018/12/04,9430,9490,9320,9400,▲30,＋0.32%,9312,9492,9952,10503,28642,2382002
2018/12/03,9230,9430,9230,9370,▲260,＋2.85%,9318,9504,9986,10521,68336,2382744
2018/11/30,9370,9380,9100,9110,▼250,－2.67%,9324,9511,10022,10540,123667,2374340
2018/11/29,9410,9410,9260,9360,▲40,＋0.43%,9398,9521,10064,10561,47101,2365494
2018/11/28,9480,9490,9150,9320,▼110,－1.17%,9444,9513,10101,10581,138261,2374964
2018/11/27,9450,9510,9410,9430,▲30,＋0.32%,9476,9500,10139,10600,21198,2374296
2018/11/26,9580,9580,9390,9400,▼80,－0.84%,9490,9440,10176,10617,41585,2374620
2018/11/23,9590,9630,9410,9480,▼110,－1.15%,9542,9365,10210,10633,40882,2374628
2018/11/22,9520,9760,9090,9590,▲110,＋1.16%,9566,9309,10242,10650,181019,2385145
2018/11/21,9480,9580,9230,9480,▼20,－0.21%,9526,9259,10278,10666,137363,2405417
2018/11/20,9510,9670,9500,9500,▼160,－1.66%,9542,9225,10310,10681,17839,2395794
2018/11/19,9570,9670,9560,9660,▲60,＋0.63%,9536,9204,10343,10696,23946,2397245
2018/11/16,9380,9730,9380,9600,▲210,＋2.24%,9488,9200,10371,10710,51007,2391111
2018/11/15,9510,9610,9150,9390,▼170,－1.78%,9564,9209,10393,10727,179719,2373020
2018/11/14,9460,9840,9460,9560,▲90,＋0.95%,9634,9223,10413,10745,161809,2364812
2018/11/13,9300,9680,9270,9470,▲50,＋0.53%,9636,9240,10442,10762,68533,2339947
2018/11/12,9890,9890,9390,9420,▼560,－5.61%,9670,9246,10472,10777,155423,2328520
2018/11/09,9740,10050,9450,9980,▲240,＋2.46%,9688,9244,10507,10792,133154,2368195
2018/11/08,9690,9990,9560,9740,▲170,＋1.78%,9554,9225,10534,10800,131886,2378446
2018/11/07,9640,9900,9500,9570,▼70,－0.73%,9448,9200,10564,10810,144059,2382610
2018/11/06,9520,9760,9420,9640,▲130,＋1.37%,9344,9217,10599,10822,81099,2377590
2018/11/05,9290,9940,9200,9510,▲200,＋2.15%,9062,9240,10632,10835,172127,2377778
2018/11/02,9340,9460,9130,9310,▲100,＋1.09%,8740,9294,10668,10849,113927,2414344
2018/11/01,9000,9410,9000,9210,▲160,＋1.77%,8552,9376,10704,10866,117366,2418260
2018/10/31,8250,9500,8160,9050,▲820,＋9.96%,8426,9461,10740,10885,546775,2432882
2018/10/30,7500,8320,7500,8230,▲330,＋4.18%,8376,9566,10774,10905,295343,2509633
2018/10/29,8270,8550,7770,7900,▼470,－5.62%,8546,9722,10819,10932,103108,2477898
2018/10/26,8730,8790,8210,8370,▼210,－2.45%,8882,9889,10865,10964,151816,2483968
2018/10/25,8600,8780,8460,8580,▼220,－2.50%,9164,10026,10900,10992,146074,2488951
2018/10/24,9120,9260,8800,8800,▼280,－3.08%,9384,10149,10927,11019,80856,2470466
2018/10/23,9580,9630,8990,9080,▼500,－5.22%,9602,10247,10959,11046,105290,2473350
2018/10/22,9780,9910,9550,9580,▼200,－2.04%,9706,10340,10980,11072,110564,2468622
2018/10/19,9570,9820,9550,9780,▲100,＋1.03%,9664,10414,10995,11095,34401,2487232
2018/10/18,9820,9990,9650,9680,▼210,－2.12%,9628,10492,11009,11115,47239,2497256
2018/10/17,9650,10050,9650,9890,▲290,＋3.02%,9542,10583,11030,11137,81996,2514994
2018/10/16,9350,9750,9350,9600,▲230,＋2.45%,9544,10669,11050,11159,53432,2538646
2018/10/15,9600,9600,9360,9370,▼230,－2.40%,9644,10766,11070,11187,44621,2551274
2018/10/12,9060,9660,9060,9600,▲350,＋3.78%,9890,10868,11096,11217,95130,2567070
2018/10/11,9500,9770,9230,9250,▼650,－6.57%,10160,10960,11116,11242,181929,2566168
2018/10/10,10250,10250,9800,9900,▼200,－1.98%,10490,11073,11137,11275,183815,2566112
2018/10/08,10600,10650,10100,10100,▼500,－4.72%,10740,11148,11147,11300,168229,2594100
2018/10/05,10800,10900,10350,10600,▼350,－3.20%,10990,11215,11153,11320,113619,2574294
2018/10/04,10950,11100,10800,10950,▲50,＋0.46%,11120,11263,11150,11332,42691,2595730
2018/10/02,11250,11250,10850,10900,▼250,－2.24%,11150,11295,11141,11343,84470,2597430
