[일시]두산,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,114500,116000,113000,114500,▲1000,＋0.88%,115000,109975,117642,120567,66457,1413934
2019/01/29,116000,116500,113000,113500,▼3500,－2.99%,114900,109475,117800,120479,42487,1387820
2019/01/28,116000,117500,115000,117000,▲500,＋0.43%,115000,109375,117883,120404,39661,1383537
2019/01/25,112500,118000,112500,116500,▲3000,＋2.64%,114900,109000,117925,120296,59595,1375211
2019/01/24,113500,115000,112500,113500,▼500,－0.44%,115200,108725,117992,120171,34865,1343472
2019/01/23,113500,115000,113000,114000,0.0,0.00%,114500,108825,118142,120071,28633,1336618
2019/01/22,117000,117000,113000,114000,▼2500,－2.15%,113800,109125,118267,119954,44081,1339508
2019/01/21,119000,119500,115000,116500,▼1500,－1.27%,112700,109375,118425,119836,42619,1343053
2019/01/18,113500,122000,113000,118000,▲8000,＋7.27%,110900,109350,118542,119682,195112,1351928
2019/01/17,110500,111000,106500,110000,▼500,－0.45%,108500,109175,118683,119503,60647,1338637
2019/01/16,108500,112000,107000,110500,▲2000,＋1.84%,107800,109575,119025,119392,57248,1337020
2019/01/15,107500,110500,106500,108500,▲1000,＋0.93%,106700,110225,119300,119282,65207,1331881
2019/01/14,105500,109500,105500,107500,▲1500,＋1.42%,105800,110800,119625,119197,49295,1324632
2019/01/11,106500,108000,105500,106000,▼500,－0.47%,104900,111475,120008,119128,43877,1326933
2019/01/10,105000,109000,104000,106500,▲1500,＋1.43%,103700,112175,120417,119078,62162,1343946
2019/01/09,103000,106000,103000,105000,▲1000,＋0.96%,102600,112775,120792,119024,54295,1350809
2019/01/08,104000,106500,102000,104000,▲1000,＋0.97%,102500,113525,121208,118987,57461,1341993
2019/01/07,101000,104000,101000,103000,▲3000,＋3.00%,104000,114375,121600,118962,46079,1346699
2019/01/04,99600,101000,97900,100000,▼1000,－0.99%,105300,115425,122050,118937,74133,1338896
