[일시]롯데손해보험,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2740,2755,2680,2685,▼55,－2.01%,2726,2735,2694,2679,438334,13744183
2019/01/29,2720,2775,2690,2740,▲10,＋0.37%,2739,2733,2693,2679,312112,13763373
2019/01/28,2725,2760,2705,2730,▼10,－0.36%,2742,2728,2688,2679,151254,13795730
2019/01/25,2725,2755,2725,2740,▲5,＋0.18%,2753,2721,2684,2678,157876,13802731
2019/01/24,2755,2765,2720,2735,▼15,－0.55%,2761,2712,2679,2677,228560,13777566
2019/01/23,2740,2765,2735,2750,▼5,－0.18%,2766,2706,2673,2676,124344,13781206
2019/01/22,2785,2785,2745,2755,▼30,－1.08%,2764,2700,2670,2674,107984,13779571
2019/01/21,2795,2815,2750,2785,▲5,＋0.18%,2765,2694,2669,2672,170613,13776646
2019/01/18,2760,2780,2745,2780,▲20,＋0.72%,2761,2689,2668,2671,143801,13773250
2019/01/17,2760,2760,2725,2760,▲20,＋0.73%,2755,2682,2667,2670,203683,13712835
2019/01/16,2775,2780,2715,2740,▼20,－0.72%,2755,2680,2668,2668,302113,13634858
2019/01/15,2795,2795,2740,2760,▼5,－0.18%,2746,2680,2668,2668,123164,13612108
2019/01/14,2795,2795,2745,2765,▲15,＋0.55%,2734,2678,2667,2666,141948,13601271
2019/01/11,2750,2800,2740,2750,▼10,－0.36%,2720,2677,2667,2666,295471,13566594
2019/01/10,2720,2780,2700,2760,▲65,＋2.41%,2707,2675,2665,2665,299322,13450122
2019/01/09,2725,2750,2685,2695,▼5,－0.19%,2691,2672,2663,2665,324498,13296910
2019/01/08,2695,2700,2655,2700,▲5,＋0.19%,2683,2674,2662,2664,167574,13244568
2019/01/07,2705,2710,2675,2695,▲10,＋0.37%,2671,2675,2661,2664,118267,13276267
2019/01/04,2670,2690,2650,2685,▲5,＋0.19%,2651,2676,2661,2664,116323,13284118
2019/01/03,2650,2705,2620,2680,▲25,＋0.94%,2626,2674,2663,2663,430024,13292328
2019/01/02,2670,2715,2630,2655,▲15,＋0.57%,2611,2673,2664,2663,153563,13259701
2018/12/28,2595,2675,2580,2640,▲45,＋1.73%,2608,2670,2664,2663,455220,13272155
2018/12/27,2560,2595,2535,2595,▲35,＋1.37%,2607,2669,2666,2663,125367,13080089
2018/12/26,2595,2595,2515,2560,▼45,－1.73%,2623,2674,2668,2663,201441,13044649
2018/12/24,2635,2635,2555,2605,▼35,－1.33%,2640,2682,2671,2664,257811,13110175
2018/12/21,2640,2645,2595,2640,▲5,＋0.19%,2662,2692,2673,2666,170588,13139055
2018/12/20,2650,2670,2610,2635,▼40,－1.50%,2681,2691,2674,2667,230845,13148243
2018/12/19,2660,2675,2615,2675,▲30,＋1.13%,2701,2691,2673,2668,219638,13189583
2018/12/18,2700,2730,2640,2645,▼70,－2.58%,2712,2690,2672,2669,212990,13134519
2018/12/17,2740,2740,2700,2715,▼20,－0.73%,2725,2692,2673,2671,108936,13176411
2018/12/14,2730,2770,2700,2735,0.0,0.00%,2722,2692,2674,2672,121741,13190478
2018/12/13,2755,2755,2710,2735,▲5,＋0.18%,2722,2690,2673,2673,116084,13172410
2018/12/12,2725,2750,2705,2730,▲20,＋0.74%,2722,2690,2673,2674,112061,13158817
2018/12/11,2705,2730,2670,2710,▲10,＋0.37%,2719,2688,2671,2676,130122,13098106
2018/12/10,2725,2770,2675,2700,▼35,－1.28%,2703,2692,2669,2678,168382,13107740
2018/12/07,2740,2815,2700,2735,0.0,0.00%,2695,2694,2668,2681,205960,13121634
2018/12/06,2730,2830,2700,2735,▲20,＋0.74%,2670,2689,2665,2683,500226,13185109
2018/12/05,2610,2745,2610,2715,▲85,＋3.23%,2644,2683,2662,2685,274876,13181524
2018/12/04,2665,2675,2620,2630,▼30,－1.13%,2643,2677,2660,2688,97659,13144927
2018/12/03,2630,2670,2630,2660,▲50,＋1.92%,2661,2677,2659,2691,161466,13160796
2018/11/30,2620,2655,2590,2610,▲5,＋0.19%,2688,2676,2657,2694,311895,13191101
2018/11/29,2725,2735,2555,2605,▼105,－3.87%,2690,2675,2657,2698,676172,13211759
2018/11/28,2690,2750,2675,2710,▼10,－0.37%,2697,2669,2657,2701,306604,13240119
2018/11/27,2900,2900,2720,2720,▼75,－2.68%,2686,2657,2656,2703,976158,13231636
2018/11/26,2605,2800,2605,2795,▲175,＋6.68%,2678,2642,2653,2705,875543,13341703
2018/11/23,2615,2640,2555,2620,▼20,－0.76%,2663,2622,2649,2707,226956,13287854
2018/11/22,2670,2680,2620,2640,▼15,－0.56%,2679,2620,2648,2710,159993,13322114
2018/11/21,2660,2690,2640,2655,▼25,－0.93%,2695,2621,2646,2713,132170,13363106
2018/11/20,2675,2710,2650,2680,▼40,－1.47%,2705,2624,2644,2716,123569,13388964
2018/11/19,2700,2720,2695,2720,▲20,＋0.74%,2725,2629,2645,2720,98288,13387467
2018/11/16,2720,2730,2675,2700,▼20,－0.74%,2731,2633,2645,2723,127203,13363508
2018/11/15,2700,2735,2645,2720,▲15,＋0.55%,2715,2636,2645,2726,197716,13349304
2018/11/14,2765,2800,2685,2705,▼75,－2.70%,2697,2635,2645,2729,223707,13322337
2018/11/13,2710,2810,2685,2780,▲30,＋1.09%,2674,2636,2645,2732,311998,13306968
2018/11/12,2620,2875,2600,2750,▲130,＋4.96%,2644,2630,2644,2734,374200,13276624
2018/11/09,2630,2670,2600,2620,▼10,－0.38%,2620,2624,2645,2737,241139,13190449
2018/11/08,2605,2665,2605,2630,▲40,＋1.54%,2614,2624,2649,2741,158423,13117943
2018/11/07,2630,2665,2555,2590,▼40,－1.52%,2585,2625,2653,2745,230522,13067965
2018/11/06,2630,2680,2610,2630,0.0,0.00%,2562,2631,2658,2749,249537,13069915
2018/11/05,2590,2645,2570,2630,▲40,＋1.54%,2520,2640,2662,2752,232181,12995050
2018/11/02,2480,2615,2480,2590,▲105,＋4.23%,2472,2644,2663,2755,333381,12928771
2018/11/01,2475,2530,2460,2485,▲10,＋0.40%,2470,2649,2665,2759,245937,12850760
2018/10/31,2450,2510,2420,2475,▲55,＋2.27%,2505,2660,2669,2763,240471,12859093
2018/10/30,2325,2445,2325,2420,▲30,＋1.26%,2554,2674,2672,2768,432567,12821367
2018/10/29,2570,2600,2365,2390,▼190,－7.36%,2625,2690,2676,2774,668826,12782258
2018/10/26,2670,2705,2550,2580,▼80,－3.01%,2709,2707,2678,2780,527099,12878118
2018/10/25,2605,2680,2595,2660,▼60,－2.21%,2743,2713,2678,2784,521822,12933533
2018/10/24,2790,2810,2695,2720,▼55,－1.98%,2751,2708,2676,2788,313914,12927967
2018/10/23,2820,2835,2710,2775,▼35,－1.25%,2752,2703,2675,2792,226177,12949540
2018/10/22,2750,2845,2720,2810,▲60,＋2.18%,2729,2700,2672,2794,326555,12920008
2018/10/19,2690,2750,2650,2750,▲50,＋1.85%,2694,2696,2669,2797,268160,12884805
2018/10/18,2725,2730,2670,2700,▼25,－0.92%,2670,2694,2667,2800,197083,12874569
2018/10/17,2695,2775,2695,2725,▲65,＋2.44%,2659,2694,2665,2803,308720,12852934
2018/10/16,2630,2690,2625,2660,▲25,＋0.95%,2654,2689,2665,2806,115795,12789442
2018/10/15,2645,2675,2610,2635,▲5,＋0.19%,2685,2687,2665,2809,197376,12800341
2018/10/12,2550,2675,2550,2630,▼15,－0.57%,2700,2685,2666,2813,545428,12733121
2018/10/11,2640,2690,2540,2645,▼55,－2.04%,2711,2683,2666,2816,660350,12676025
2018/10/10,2835,2875,2700,2700,▼115,－4.09%,2726,2679,2666,2819,549690,12711798
2018/10/08,2770,2830,2730,2815,▲105,＋3.87%,2734,2673,2666,2821,565225,12725813
2018/10/05,2685,2725,2650,2710,▲25,＋0.93%,2721,2659,2663,2823,273357,12630810
2018/10/04,2730,2740,2665,2685,▼35,－1.29%,2725,2652,2662,2825,162565,12553786
2018/10/02,2740,2750,2715,2720,▼20,－0.73%,2726,2647,2661,2828,170043,12569061
2018/10/01,2775,2775,2710,2740,▼10,－0.36%,2696,2641,2660,2830,189025,12557522
2018/09/28,2750,2760,2700,2750,▲20,＋0.73%,2672,2636,2657,2832,212177,12580584
2018/09/27,2690,2750,2690,2730,▲40,＋1.49%,2663,2628,2657,2835,277796,12653259
2018/09/21,2590,2690,2565,2690,▲120,＋4.67%,2663,2619,2658,2839,420555,12499398
2018/09/20,2620,2650,2570,2570,▼50,－1.91%,2670,2612,2659,2843,406262,12423341
2018/09/19,2715,2735,2610,2620,▼85,－3.14%,2695,2609,2663,2848,383381,12528696
2018/09/18,2695,2750,2695,2705,▼25,－0.92%,2695,2605,2666,2853,159238,12538265
2018/09/17,2725,2745,2700,2730,▲5,＋0.18%,2679,2606,2669,2857,352667,12538706
2018/09/14,2720,2760,2685,2725,▲30,＋1.11%,2650,2605,2670,2861,422897,12565478
2018/09/13,2625,2695,2600,2695,▲75,＋2.86%,2623,2604,2672,2866,275322,12481652
2018/09/12,2660,2660,2605,2620,▼5,－0.19%,2598,2605,2676,2872,204039,12475871
2018/09/11,2565,2700,2565,2625,▲40,＋1.55%,2589,2611,2681,2879,622487,12486155
2018/09/10,2600,2600,2560,2585,▼5,－0.19%,2574,2616,2687,2886,120506,12367191
2018/09/07,2570,2600,2565,2590,▲20,＋0.78%,2571,2627,2694,2892,205330,12358179
2018/09/06,2585,2600,2555,2570,▼5,－0.19%,2570,2639,2701,2900,241595,12296297
2018/09/05,2560,2590,2545,2575,▲25,＋0.98%,2576,2655,2708,2907,152804,12334362
2018/09/04,2580,2585,2545,2550,▼20,－0.78%,2589,2671,2716,2914,141799,12386591
2018/09/03,2585,2590,2550,2570,▼15,－0.58%,2595,2686,2724,2923,179654,12225628
2018/08/31,2605,2605,2550,2585,▼15,－0.58%,2593,2694,2732,2930,276465,12235097
2018/08/30,2650,2660,2575,2600,▼40,－1.52%,2586,2699,2739,2937,255589,12214433
2018/08/29,2575,2645,2555,2640,▲60,＋2.33%,2567,2705,2745,2943,290577,12277645
2018/08/28,2550,2585,2545,2580,▲20,＋0.78%,2547,2707,2751,2950,266449,12195020
2018/08/27,2560,2575,2535,2560,▲10,＋0.39%,2577,2709,2757,2957,245267,12155429
2018/08/24,2505,2570,2505,2550,▲45,＋1.80%,2606,2709,2764,2965,406746,12135083
2018/08/23,2580,2605,2460,2505,▼35,－1.38%,2637,2709,2772,2971,1491259,12125772
2018/08/22,2730,2745,2505,2540,▼190,－6.96%,2679,2712,2781,2978,957895,12195064
2018/08/21,2705,2755,2695,2730,▲25,＋0.92%,2717,2717,2789,2984,175797,12220193
2018/08/20,2700,2780,2695,2705,0.0,0.00%,2716,2709,2795,2990,177071,12279254
2018/08/17,2715,2755,2690,2705,▼10,－0.37%,2738,2706,2802,2996,124386,12253718
2018/08/16,2700,2755,2680,2715,▼15,－0.55%,2764,2702,2808,3002,159509,12246180
2018/08/14,2740,2765,2690,2730,▲5,＋0.18%,2799,2697,2813,3008,83180,12238943
2018/08/13,2795,2815,2705,2725,▼90,－3.20%,2829,2695,2819,3014,180343,12236543
2018/08/10,2820,2835,2790,2815,▼20,－0.71%,2857,2693,2824,3019,124054,12264829
2018/08/09,2895,2895,2815,2835,▼55,－1.90%,2840,2687,2828,3024,164136,12254845
2018/08/08,2880,2905,2870,2890,▲10,＋0.35%,2807,2677,2833,3029,198272,12276799
2018/08/07,2910,2950,2840,2880,▲15,＋0.52%,2775,2665,2836,3033,288455,12289721
2018/08/06,2730,2880,2725,2865,▲135,＋4.95%,2735,2655,2839,3038,439802,12328209
2018/08/03,2675,2735,2675,2730,▲60,＋2.25%,2685,2644,2842,3043,75774,12292506
2018/08/02,2730,2735,2665,2670,▼60,－2.20%,2651,2641,2846,3049,121340,12293563
2018/08/01,2680,2750,2680,2730,▲50,＋1.87%,2627,2637,2852,3057,159504,12320735
2018/07/31,2615,2680,2615,2680,▲65,＋2.49%,2595,2632,2858,3064,131897,12294404
2018/07/30,2575,2640,2560,2615,▲55,＋2.15%,2588,2629,2864,3072,223900,12259140
2018/07/27,2535,2575,2510,2560,▲10,＋0.39%,2578,2633,2872,3081,304275,12195164
2018/07/26,2570,2610,2525,2550,▼20,－0.78%,2593,2647,2881,3091,275966,12206595
2018/07/25,2640,2640,2525,2570,▼75,－2.84%,2608,2657,2890,3101,543371,12201681
2018/07/24,2565,2645,2535,2645,▲80,＋3.12%,2619,2668,2899,3111,263905,12373690
2018/07/23,2660,2660,2565,2565,▼70,－2.66%,2626,2677,2908,3120,208028,12385264
2018/07/20,2600,2650,2600,2635,▲10,＋0.38%,2651,2691,2917,3130,111129,12407997
2018/07/19,2625,2655,2600,2625,0.0,0.00%,2663,2701,2926,3138,123210,12403460
