[일시]롯데정밀화학,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,44300,46150,43900,45900,▲1800,＋4.08%,44570,42358,41874,47603,216921,6591250
2019/01/29,44300,44300,43600,44100,▼500,－1.12%,44020,42085,41808,47726,146179,6637671
2019/01/28,46050,46050,44600,44600,▼1150,－2.51%,43700,41933,41758,47871,127304,6704389
2019/01/25,43200,46950,42800,45750,▲3250,＋7.65%,43390,41748,41694,48012,423400,6752095
2019/01/24,42900,43400,41650,42500,▼650,－1.51%,42580,41528,41592,48131,205388,6720427
2019/01/23,42500,43300,42000,43150,▲650,＋1.53%,42360,41480,41535,48278,74972,6816025
2019/01/22,42950,43250,42500,42500,▼550,－1.28%,42150,41360,41519,48438,55156,6841324
2019/01/21,42200,43350,41750,43050,▲1350,＋3.24%,42150,41295,41558,48580,100955,6864205
2019/01/18,41800,42300,41700,41700,▲300,＋0.72%,42050,41230,41608,48715,92858,6865488
2019/01/17,42000,42500,41400,41400,▼700,－1.66%,42160,41243,41669,48856,95290,6879526
2019/01/16,42600,42850,41750,42100,▼400,－0.94%,42140,41238,41780,49017,95904,6896035
2019/01/15,42900,43300,42200,42500,▼50,－0.12%,41980,41233,41829,49155,99048,6903594
2019/01/14,42500,43050,42000,42550,▲300,＋0.71%,41570,41153,41867,49284,113797,6901280
2019/01/11,41600,42850,41300,42250,▲950,＋2.30%,41300,41073,41935,49407,135931,6896352
2019/01/10,41100,41650,40900,41300,0.0,0.00%,40820,40980,42008,49532,59573,6864441
2019/01/09,40300,41650,40300,41300,▲850,＋2.10%,40360,40930,42098,49673,100741,6856217
2019/01/08,41250,41600,40450,40450,▼750,－1.82%,40190,40948,42198,49805,43179,6821258
2019/01/07,40200,41550,39900,41200,▲1350,＋3.39%,40310,41033,42295,49956,70157,6821786
2019/01/04,38700,40100,38350,39850,▲850,＋2.18%,40250,41093,42396,50097,109661,6784853
2019/01/03,40650,40650,39000,39000,▼1450,－3.58%,40550,41248,42548,50244,110532,6779236
2019/01/02,40850,41150,40250,40450,▼600,－1.46%,41060,41485,42713,50415,49007,6790139
2018/12/28,40800,41350,40800,41050,▲150,＋0.37%,41120,41575,42875,50558,45263,6792128
2018/12/27,41350,41350,40600,40900,▼450,－1.09%,41150,41623,43034,50702,76718,6781099
2018/12/26,41250,41950,40750,41350,▼200,－0.48%,41320,41695,43193,50868,116147,6800792
2018/12/24,40900,42050,40800,41550,▲800,＋1.96%,41440,41655,43368,51044,86211,6821437
2018/12/21,41100,41400,40750,40750,▼450,－1.09%,41390,41668,43534,51240,122892,6817951
2018/12/20,41700,41700,40500,41200,▼550,－1.32%,41640,41710,43708,51444,115736,6826518
2018/12/19,42150,42300,41600,41750,▼200,－0.48%,41580,41793,43875,51646,85748,6834751
2018/12/18,40950,42500,40450,41950,▲650,＋1.57%,41420,41798,44034,51850,250591,6871601
2018/12/17,42200,42450,41100,41300,▼700,－1.67%,41110,41805,44170,52057,85194,6958068
2018/12/14,40900,42300,40900,42000,▲1100,＋2.69%,40910,41840,44338,52281,145541,6963864
2018/12/13,41000,41500,40800,40900,▼50,－0.12%,40840,41838,44565,52502,138091,6958982
2018/12/12,40700,41450,40350,40950,▲550,＋1.36%,41090,41878,44812,52726,96798,6974474
2018/12/11,40750,40750,39650,40400,▲100,＋0.25%,41380,41948,45054,52970,91070,6974698
2018/12/10,41350,41350,40200,40300,▼1350,－3.24%,41890,42015,45303,53220,110836,6977847
2018/12/07,42400,42600,41200,41650,▼500,－1.19%,42580,42060,45543,53472,78271,7021214
2018/12/06,42400,43200,41850,42150,▼250,－0.59%,42700,42053,45805,53726,112813,7043169
2018/12/05,41900,42900,41500,42400,▼550,－1.28%,42670,42065,46053,53977,81750,7064302
2018/12/04,43500,43500,42650,42950,▼800,－1.83%,42660,41955,46308,54221,109249,7043647
2018/12/03,42800,43750,42400,43750,▲1500,＋3.55%,42180,41910,46560,54455,166938,7073507
2018/11/30,42000,42700,42000,42250,▲250,＋0.60%,41790,41780,46829,54679,78166,7066746
2018/11/29,42950,43400,41750,42000,▼350,－0.83%,41660,41765,47138,54905,133439,7072212
2018/11/28,40900,42650,40850,42350,▲1800,＋4.44%,41830,41720,47448,55121,211149,7063042
2018/11/27,42100,42200,40100,40550,▼1250,－2.99%,41730,41640,47753,55335,244301,7025125
2018/11/26,41600,42150,41450,41800,▲200,＋0.48%,42040,41593,48090,55568,104728,7095989
2018/11/23,42900,42900,41450,41600,▼1250,－2.92%,42080,41458,48407,55760,118289,7127615
2018/11/22,42200,43800,42100,42850,▲1000,＋2.39%,42150,41488,48728,55955,161358,7165270
2018/11/21,41800,42150,41100,41850,▼250,－0.59%,41920,41585,49028,56150,82580,7176626
2018/11/20,41650,42550,41350,42100,▲100,＋0.24%,42020,41798,49337,56353,75554,7208284
2018/11/19,41700,42150,41050,42000,▲50,＋0.12%,41950,41960,49663,56548,85369,7223727
2018/11/16,42000,42450,41700,41950,▲250,＋0.60%,41790,42263,49998,56748,62889,7225641
2018/11/15,42050,42350,41350,41700,▼650,－1.53%,41700,42418,50314,56956,99874,7245333
2018/11/14,41800,43050,41800,42350,▲600,＋1.44%,41840,42570,50643,57147,101916,7282744
2018/11/13,40600,41750,40200,41750,▲550,＋1.33%,41410,42785,50968,57321,80179,7307486
2018/11/12,41000,42000,40900,41200,▼300,－0.72%,41470,43028,51296,57499,62332,7298292
