[일시]롯데지주,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,51500,51500,50800,51400,▼100,－0.19%,51420,50975,52940,52207,135169,14431749
2019/01/29,51500,51700,51100,51500,▼200,－0.39%,51360,50903,52918,52207,181991,14436305
2019/01/28,51600,51800,51100,51700,▲100,＋0.19%,51160,50963,52861,52218,112147,14466908
2019/01/25,50800,52100,50800,51600,▲700,＋1.38%,50920,51013,52792,52226,149000,14483828
2019/01/24,50800,51400,50600,50900,▼200,－0.39%,50740,51118,52720,52225,90390,14481003
2019/01/23,50300,51300,50300,51100,▲600,＋1.19%,50660,51298,52667,52228,101461,14483648
2019/01/22,50400,50700,50200,50500,0.0,0.00%,50640,51478,52638,52233,87923,14493241
2019/01/21,51100,51400,50400,50500,▼200,－0.39%,50780,51673,52634,52242,88621,14498270
2019/01/18,50800,51300,50400,50700,▲200,＋0.40%,50880,51918,52643,52252,130674,14499122
2019/01/17,51000,51200,50200,50500,▼500,－0.98%,50900,52158,52651,52259,178555,14462125
2019/01/16,51200,51600,50800,51000,▼200,－0.39%,51120,52408,52693,52273,98641,14466581
2019/01/15,51100,51600,50900,51200,▲200,＋0.39%,51200,52653,52729,52283,80631,14484189
2019/01/14,51000,51500,50600,51000,▲200,＋0.39%,51060,52878,52754,52303,92800,14475575
2019/01/11,51600,51900,50700,50800,▼800,－1.55%,50940,53093,52819,52328,163510,14410563
2019/01/10,51100,52000,51100,51600,▲200,＋0.39%,50920,53288,52883,52333,100367,14342231
2019/01/09,50900,51700,50500,51400,▲900,＋1.78%,50700,53398,52959,52328,114163,14324820
2019/01/08,51200,51200,50300,50500,▲100,＋0.20%,50410,53543,53039,52328,67374,14261643
2019/01/07,51400,51600,50300,50400,▼300,－0.59%,50850,53733,53169,52334,95469,14267623
2019/01/04,49550,51100,49550,50700,▲200,＋0.40%,51310,53993,53311,52354,83594,14171236
2019/01/03,50400,51200,49650,50500,▲550,＋1.10%,51910,54218,53424,52373,119345,14224038
2019/01/02,52400,52700,49700,49950,▼2750,－5.22%,52710,54458,53516,52384,161549,14159165
2018/12/28,52600,53300,52200,52700,0.0,0.00%,53660,54725,53620,52394,106052,14173569
2018/12/27,53000,53600,52200,52700,▼1000,－1.86%,54000,54900,53682,52393,99547,14182229
2018/12/26,54000,54300,53300,53700,▼800,－1.47%,54540,55095,53750,52412,109049,14201264
2018/12/24,54700,55300,54000,54500,▼200,－0.37%,54900,55250,53807,52430,69299,14242982
2018/12/21,54500,54900,54000,54700,▲300,＋0.55%,55100,55335,53807,52453,105994,14305529
2018/12/20,55000,55400,54200,54400,▼1000,－1.81%,55340,55380,53807,52479,129316,14334181
2018/12/19,55500,56000,55000,55400,▼100,－0.18%,55600,55430,53772,52499,71139,14409557
2018/12/18,55400,55800,54900,55500,0.0,0.00%,55580,55490,53743,52513,73378,14423545
2018/12/17,55900,56700,55200,55500,▼400,－0.72%,55420,55565,53728,52523,95768,14443162
2018/12/14,55700,56200,55400,55900,▲200,＋0.36%,55080,55555,53712,52527,93729,14479713
2018/12/13,55500,56000,55200,55700,▲400,＋0.72%,54760,55400,53683,52530,140385,14466837
2018/12/12,55500,55500,54600,55300,▲600,＋1.10%,54480,55265,53653,52542,116052,14464558
2018/12/11,53800,54900,53500,54700,▲900,＋1.67%,54540,55020,53573,52559,102201,14460159
2018/12/10,53700,54400,52900,53800,▼500,－0.92%,54640,54783,53512,52590,96639,14479435
2018/12/07,54400,54800,53900,54300,0.0,0.00%,54940,54608,53417,52632,90465,14492719
2018/12/06,55700,55700,53900,54300,▼1300,－2.34%,55140,54473,53310,52681,80603,14499674
2018/12/05,54300,55700,54000,55600,▲400,＋0.72%,55520,54245,53197,52730,65767,14495260
2018/12/04,55400,55500,54800,55200,▼100,－0.18%,55720,53963,53065,52753,121788,14570526
2018/12/03,55800,56500,55200,55300,0.0,0.00%,56040,53695,52947,52784,116529,14569591
2018/11/30,56000,56300,55000,55300,▼900,－1.60%,56220,53388,52823,52818,196518,14576817
2018/11/29,56800,56900,55700,56200,▼400,－0.71%,56280,53128,52704,52842,129509,14494897
2018/11/28,57400,57400,56400,56600,▼200,－0.35%,56120,52720,52552,52860,108944,14454315
2018/11/27,56600,57400,55700,56800,▲600,＋1.07%,56120,52268,52417,52874,120073,14455711
2018/11/26,55800,56500,55500,56200,▲600,＋1.08%,56160,51793,52286,52889,119681,14463215
2018/11/23,55400,56300,54900,55600,▲200,＋0.36%,55980,51368,52153,52904,93892,14470213
2018/11/22,57600,58300,55100,55400,▼1200,－2.12%,55420,51055,52033,52933,229666,14451741
2018/11/21,56800,57100,56100,56600,▼400,－0.70%,54940,50800,51918,52965,156654,14428864
2018/11/20,55200,57200,54900,57000,▲1700,＋3.07%,53700,50520,51788,52972,264041,14454555
2018/11/19,52600,56000,52600,55300,▲2500,＋4.73%,52290,50230,51651,52984,308885,14418402
2018/11/16,53400,54300,52500,52800,▼200,－0.38%,51290,50115,51542,53015,136459,14373272
2018/11/15,50400,53400,50300,53000,▲2600,＋5.16%,51050,50135,51463,53073,151306,14354981
2018/11/14,50200,50800,49900,50400,▲450,＋0.90%,50400,50120,51386,53133,72148,14351088
2018/11/13,49500,50300,49300,49950,▼350,－0.70%,50310,50345,51366,53215,104857,14352461
2018/11/12,51600,51600,50200,50300,▼1300,－2.52%,50290,50578,51353,53303,152287,14331756
2018/11/09,50300,52200,50300,51600,▲1850,＋3.72%,50060,50873,51365,53387,254235,14396083
2018/11/08,50800,51000,49750,49750,▼200,－0.40%,49760,51103,51360,53464,97278,14447243
2018/11/07,49900,51400,49750,49950,▲100,＋0.20%,49420,51530,51384,53560,141082,14447098
2018/11/06,49350,49850,48950,49850,▲700,＋1.42%,48940,51978,51408,53649,117251,14457917
2018/11/05,49850,49900,48550,49150,▼950,－1.90%,48430,52360,51438,53736,145905,14462357
2018/11/02,48400,50300,48200,50100,▲2050,＋4.27%,48140,52703,51473,53836,176327,14494241
2018/11/01,47950,48950,47700,48050,▲500,＋1.05%,47990,53008,51495,53933,157555,14520004
2018/10/31,47600,47950,47050,47550,▲250,＋0.53%,48440,53425,51576,54054,152669,14576262
2018/10/30,46850,47950,46850,47300,▼400,－0.84%,49130,53888,51660,54195,179137,14579925
2018/10/29,48700,49800,47650,47700,▼1650,－3.34%,49910,54378,51730,54343,165423,14595257
2018/10/26,50600,50700,48500,49350,▼950,－1.89%,50970,54718,51788,54486,205428,14584054
2018/10/25,49150,50600,49000,50300,▼700,－1.37%,51740,54985,51828,54620,266705,14581849
2018/10/24,51200,51800,50300,51000,▼200,－0.39%,52220,55085,51849,54741,186849,14577096
2018/10/23,53400,53700,50700,51200,▼1800,－3.40%,53000,55220,51861,54865,201566,14578456
2018/10/22,52900,53500,52400,53000,▼200,－0.38%,53680,55390,51868,54984,116325,14547762
2018/10/19,52100,53500,51100,53200,▲500,＋0.95%,54320,55465,51853,55087,239624,14552404
2018/10/18,54500,55000,52400,52700,▼2200,－4.01%,54920,55515,51836,55175,297278,14564384
2018/10/17,55200,55700,54400,54900,▲300,＋0.55%,56040,55575,51851,55265,215596,14602915
2018/10/16,55800,56400,54500,54600,▼1600,－2.85%,56840,55355,51838,55333,264511,14546211
2018/10/15,56300,57500,55000,56200,0.0,0.00%,57420,55175,51783,55410,352465,14605521
2018/10/12,57300,57500,54000,56200,▼2100,－3.60%,57380,54770,51696,55472,647828,14451975
2018/10/11,58500,60800,57600,58300,▼600,－1.02%,57380,54355,51616,55528,1050978,14546122
2018/10/10,57900,59000,57000,58900,▲1400,＋2.43%,57000,53815,51499,55562,1697408,14521682
2018/10/08,58500,58900,56600,57500,▲1500,＋2.68%,56580,53255,51398,55605,551125,14560428
2018/10/05,55500,57000,55400,56000,▼200,－0.36%,56500,52785,51321,55663,259659,14807485
2018/10/04,56500,57000,55100,56200,▼200,－0.35%,56200,52378,51253,55765,170216,14862184
2018/10/02,56500,57300,55500,56400,▼400,－0.70%,55900,51978,51168,55861,154107,14877783
2018/10/01,57200,58400,56400,56800,▼300,－0.53%,55080,51510,51104,55950,230408,14903006
2018/09/28,54800,57500,54700,57100,▲2600,＋4.77%,54460,51095,51074,56051,333643,14937710
2018/09/27,54700,54900,54100,54500,▼200,－0.37%,53960,50688,51053,56130,176070,14961078
2018/09/21,52400,54900,52300,54700,▲2400,＋4.59%,53960,50373,51099,56205,282980,14959464
2018/09/20,53400,53700,52200,52300,▼1400,－2.61%,53860,50058,51151,56278,156600,14953748
2018/09/19,54700,55000,52400,53700,▼900,－1.65%,54180,49870,51226,56367,200771,14932996
2018/09/18,54000,54700,53600,54600,▲100,＋0.18%,53540,49625,51283,56432,631970,14934401
2018/09/17,54100,54700,53100,54500,▲300,＋0.55%,52820,49333,51318,56479,154749,14976028
2018/09/14,54000,55100,53500,54200,▲300,＋0.56%,51540,49045,51343,56530,256868,14990219
2018/09/13,50600,54000,50500,53900,▲3400,＋6.73%,50280,48740,51378,56592,521389,15025018
2018/09/12,51200,51400,50100,50500,▼500,－0.98%,49000,48463,51431,56662,195942,14816131
2018/09/11,48400,51300,48400,51000,▲2900,＋6.03%,48440,48398,51544,56762,453369,14805320
2018/09/10,47650,48100,47600,48100,▲200,＋0.42%,47860,48308,51669,56860,105424,14680110
2018/09/07,47700,48100,47400,47900,▲400,＋0.84%,47810,48453,51848,56980,85003,14637267
2018/09/06,47700,47750,47350,47500,▼200,－0.42%,47870,48623,52053,57105,84707,14630479
2018/09/05,48000,48350,47650,47700,▼400,－0.83%,47780,48808,52263,57226,76444,14639849
2018/09/04,47500,48300,47150,48100,▲250,＋0.52%,47940,48993,52441,57348,83471,14679908
2018/09/03,48100,48200,47650,47850,▼350,－0.73%,48110,49168,52621,57475,89288,14674348
2018/08/31,47100,48200,46850,48200,▲1150,＋2.44%,48180,49340,52813,57603,189746,14615516
2018/08/30,48500,48550,46900,47050,▼1450,－2.99%,48220,49500,52980,57708,311710,14570027
2018/08/29,48950,49250,48350,48500,▼450,－0.92%,48520,49793,53169,57824,72042,14657706
2018/08/28,48250,49000,48250,48950,▲750,＋1.56%,48580,49998,53331,57935,90750,14670172
2018/08/27,48450,48500,48150,48200,▼200,－0.41%,48540,50125,53492,58041,79710,14640769
2018/08/24,48400,48600,48150,48400,▼150,－0.31%,48650,50275,53655,58152,93560,14650284
2018/08/23,49000,49300,48550,48550,▼250,－0.51%,48590,50440,53833,58271,79955,14649036
2018/08/22,48550,49500,48550,48800,▲50,＋0.10%,48550,50593,54013,58402,70994,14640257
2018/08/21,48800,49050,48300,48750,0.0,0.00%,48630,50738,54156,58528,73841,14651485
2018/08/20,48200,48800,48200,48750,▲650,＋1.35%,48720,50880,54317,58653,94802,14618138
2018/08/17,48300,48800,48050,48100,▼250,－0.52%,49170,51048,54488,58775,103079,14608972
2018/08/16,48800,49250,48050,48350,▼850,－1.73%,49810,51253,54683,58901,147481,14592317
2018/08/14,48800,49500,48800,49200,0.0,0.00%,50380,51515,54880,59018,77291,14591075
2018/08/13,50600,50900,49050,49200,▼1800,－3.53%,50820,51760,55065,59133,218502,14576213
2018/08/10,51200,51400,50700,51000,▼300,－0.58%,51300,51865,55252,59243,120845,14604565
