[일시]롯데칠성,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,1439000,1439000,1418000,1427000,▲4000,＋0.28%,1422000,1398650,1406183,1394725,876,166934
2019/01/29,1414000,1442000,1412000,1423000,▲9000,＋0.64%,1426000,1396000,1405083,1394350,976,167012
2019/01/28,1423000,1432000,1411000,1414000,▼12000,－0.84%,1429600,1394850,1403933,1394192,816,166588
2019/01/25,1421000,1439000,1411000,1426000,▲6000,＋0.42%,1436200,1394400,1403167,1394083,958,166331
2019/01/24,1434000,1447000,1419000,1420000,▼27000,－1.87%,1440400,1393750,1402767,1393917,926,166378
2019/01/23,1436000,1453000,1412000,1447000,▲6000,＋0.42%,1432400,1395100,1403083,1394050,1106,166560
2019/01/22,1445000,1458000,1433000,1441000,▼6000,－0.41%,1419600,1395250,1402967,1394217,476,166331
2019/01/21,1446000,1465000,1434000,1447000,0.0,0.00%,1406600,1395900,1403117,1394358,889,166234
2019/01/18,1392000,1450000,1391000,1447000,▲67000,＋4.86%,1389600,1396250,1403133,1394425,2769,166235
2019/01/17,1385000,1389000,1375000,1380000,▼3000,－0.22%,1372000,1396950,1401267,1394300,772,165675
2019/01/16,1364000,1386000,1355000,1383000,▲7000,＋0.51%,1369400,1402200,1400800,1394700,944,165724
2019/01/15,1364000,1384000,1364000,1376000,▲14000,＋1.03%,1370200,1407000,1400300,1395100,1027,166648
2019/01/14,1366000,1378000,1360000,1362000,▲3000,＋0.22%,1366800,1410350,1399333,1395717,923,166385
2019/01/11,1378000,1378000,1352000,1359000,▼8000,－0.59%,1370200,1416000,1398917,1396458,773,166012
2019/01/10,1371000,1385000,1366000,1367000,▼20000,－1.44%,1373000,1419950,1398450,1397217,921,166162
2019/01/09,1361000,1397000,1355000,1387000,▲28000,＋2.06%,1370800,1422150,1397933,1397908,1037,166175
2019/01/08,1402000,1402000,1355000,1359000,▼20000,－1.45%,1368200,1424550,1397183,1398542,884,164755
2019/01/07,1386000,1396000,1362000,1379000,▲6000,＋0.44%,1376400,1430100,1397867,1399242,955,164659
2019/01/04,1365000,1384000,1356000,1373000,▲17000,＋1.25%,1381600,1434500,1398833,1399875,770,164801
2019/01/03,1387000,1387000,1356000,1356000,▼18000,－1.31%,1389600,1438400,1399883,1400558,615,164705
2019/01/02,1391000,1405000,1364000,1374000,▼26000,－1.86%,1407800,1443700,1400700,1401100,826,164651
2018/12/28,1393000,1425000,1393000,1400000,▼5000,－0.36%,1423000,1448200,1401183,1401358,1075,164879
2018/12/27,1393000,1408000,1381000,1405000,▼8000,－0.57%,1433800,1451150,1401300,1401508,1330,164803
2018/12/26,1450000,1456000,1394000,1413000,▼34000,－2.35%,1443600,1454550,1401100,1401875,1489,165113
2018/12/24,1457000,1461000,1438000,1447000,▼3000,－0.21%,1453200,1458300,1400750,1402558,437,166145
2018/12/21,1454000,1469000,1439000,1450000,▼4000,－0.28%,1460800,1458450,1399783,1403308,1933,166368
2018/12/20,1446000,1469000,1442000,1454000,0.0,0.00%,1466600,1457300,1398633,1404067,659,166442
2018/12/19,1461000,1469000,1444000,1454000,▼7000,－0.48%,1464400,1456600,1397817,1404750,706,166577
2018/12/18,1496000,1496000,1430000,1461000,▼24000,－1.62%,1468600,1455150,1397050,1405550,1137,167219
2018/12/17,1490000,1504000,1476000,1485000,▲6000,＋0.41%,1464000,1451950,1396050,1406258,1229,167729
