[일시]롯데푸드,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,642000,642000,633000,640000,▲1000,＋0.16%,642000,665050,672817,733100,1967,181124
2019/01/29,639000,643000,633000,639000,0.0,0.00%,646400,668100,673400,734875,2274,181319
2019/01/28,650000,650000,637000,639000,▼7000,－1.08%,645800,671600,673667,736933,3928,180893
2019/01/25,643000,651000,640000,646000,0.0,0.00%,646400,675500,673950,738975,2494,181115
2019/01/24,654000,656000,645000,646000,▼16000,－2.42%,645400,678450,674367,741058,2216,181796
2019/01/23,636000,664000,636000,662000,▲26000,＋4.09%,644000,682100,674933,743100,2822,182604
2019/01/22,642000,647000,636000,636000,▼6000,－0.93%,641800,685050,675467,744942,1583,182257
2019/01/21,645000,657000,638000,642000,▲1000,＋0.16%,647400,689050,676283,746867,1871,182080
2019/01/18,642000,645000,631000,641000,▲2000,＋0.31%,651800,692700,677150,748800,2767,182029
2019/01/17,655000,657000,639000,639000,▼12000,－1.84%,658600,696950,677983,750650,3090,181572
2019/01/16,662000,666000,651000,651000,▼13000,－1.96%,667400,701200,679200,752367,2604,181484
2019/01/15,667000,677000,664000,664000,0.0,0.00%,677400,703850,679967,753850,2663,181835
2019/01/14,670000,676000,662000,664000,▼11000,－1.63%,691000,704900,680750,755325,2332,181925
2019/01/11,681000,685000,674000,675000,▼8000,－1.17%,703400,706000,681717,757017,2857,182194
2019/01/10,694000,700000,680000,683000,▼18000,－2.57%,709400,705850,682900,758667,2508,181947
2019/01/09,728000,732000,700000,701000,▼31000,－4.23%,706800,705950,684050,760358,2382,182221
2019/01/08,745000,745000,726000,732000,▲6000,＋0.83%,706800,704200,684733,761983,986,182435
2019/01/07,713000,740000,707000,726000,▲21000,＋2.98%,702200,701700,685150,762900,2437,182413
2019/01/04,669000,710000,669000,705000,▲35000,＋5.22%,700400,699050,686750,763900,3162,182637
2019/01/03,693000,712000,670000,670000,▼31000,－4.42%,700400,697450,688600,765175,1849,182575
2019/01/02,702000,714000,685000,701000,▼8000,－1.13%,710200,698500,690583,766558,1263,182303
2018/12/28,731000,731000,705000,709000,▼8000,－1.12%,714200,697300,692117,767533,906,182721
2018/12/27,691000,731000,679000,717000,▲12000,＋1.70%,715600,694700,693483,768625,2033,183177
2018/12/26,705000,720000,695000,705000,▼14000,－1.95%,715200,692500,694883,769667,1371,183181
2018/12/24,721000,725000,708000,719000,▼2000,－0.28%,719400,690600,696967,771042,675,184738
2018/12/21,719000,728000,713000,721000,▲5000,＋0.70%,720400,689300,699050,772150,1526,184875
2018/12/20,720000,723000,703000,716000,▲1000,＋0.14%,717000,686250,700850,772967,1367,184831
2018/12/19,734000,734000,705000,715000,▼11000,－1.52%,710800,683650,702500,773700,1145,184707
2018/12/18,730000,731000,713000,726000,▲2000,＋0.28%,705000,681000,704133,774317,1055,185044
2018/12/17,718000,730000,702000,724000,▲20000,＋2.84%,694200,676500,705617,774825,1908,186575
2018/12/14,690000,709000,678000,704000,▲19000,＋2.77%,686400,673350,707100,775225,1698,187114
2018/12/13,680000,702000,678000,685000,▼1000,－0.15%,678800,671300,709183,775817,2843,185983
2018/12/12,679000,688000,662000,686000,▲14000,＋2.08%,678200,669650,711667,776467,1438,189140
2018/12/11,671000,691000,671000,672000,▼13000,－1.90%,675600,667550,714050,777075,1716,189231
2018/12/10,657000,685000,654000,685000,▲19000,＋2.85%,675800,666150,716700,778000,1227,189688
2018/12/07,683000,693000,665000,666000,▼16000,－2.35%,677000,664200,718850,778900,1481,189739
2018/12/06,682000,685000,671000,682000,▲9000,＋1.34%,679200,662850,721200,780200,1260,190484
2018/12/05,680000,680000,666000,673000,0.0,0.00%,674200,660650,723283,781258,876,190449
2018/12/04,687000,695000,671000,673000,▼18000,－2.60%,674200,658050,725567,782392,1802,190551
2018/12/03,676000,695000,669000,691000,▲14000,＋2.07%,673000,656900,727867,783192,1888,190509
2018/11/30,658000,677000,653000,677000,▲20000,＋3.04%,673400,654900,729983,783808,1752,190215
2018/11/29,673000,676000,657000,657000,▼16000,－2.38%,670000,654800,732367,784342,1313,190270
2018/11/28,674000,675000,660000,673000,▲6000,＋0.90%,671400,654700,734683,785100,906,190666
2018/11/27,685000,693000,666000,667000,▼26000,－3.75%,669200,653850,737083,785525,1446,189966
2018/11/26,656000,695000,656000,693000,▲33000,＋5.00%,663000,654050,739600,785850,1625,190632
2018/11/23,663000,671000,652000,660000,▼4000,－0.60%,656600,653400,741633,785983,448,191072
2018/11/22,655000,672000,650000,664000,▲2000,＋0.30%,657200,655100,744717,786400,848,191318
2018/11/21,637000,662000,629000,662000,▲26000,＋4.09%,654800,656150,747400,787008,2090,191545
2018/11/20,666000,667000,632000,636000,▼25000,－3.78%,651200,657750,750117,787575,2431,191481
2018/11/19,659000,669000,651000,661000,▼2000,－0.30%,652800,660500,753850,788300,1217,192158
2018/11/16,657000,664000,640000,663000,▲11000,＋1.69%,649800,663050,757233,788792,1197,192672
2018/11/15,638000,659000,638000,652000,▲8000,＋1.24%,645000,664750,760533,789342,1811,192387
2018/11/14,633000,649000,633000,644000,0.0,0.00%,642200,667700,763933,789783,1055,191806
2018/11/13,650000,650000,627000,644000,▼2000,－0.31%,637600,671600,767550,790425,1161,191564
2018/11/12,650000,651000,633000,646000,▲7000,＋1.10%,638800,676700,770867,791067,924,191454
2018/11/09,632000,650000,632000,639000,▲1000,＋0.16%,639800,682000,774250,791817,1211,191267
2018/11/08,626000,645000,626000,638000,▲17000,＋2.74%,647000,687150,777717,792617,1947,191476
2018/11/07,652000,658000,616000,621000,▼29000,－4.46%,650400,693100,781267,793375,3466,190905
2018/11/06,657000,659000,647000,650000,▼1000,－0.15%,657400,703150,785800,794208,1712,189917
2018/11/05,667000,683000,637000,651000,▼24000,－3.56%,661600,711450,789800,794725,2963,189724
2018/11/02,655000,685000,655000,675000,▲20000,＋3.05%,667400,718350,793383,795283,1403,189888
2018/11/01,651000,681000,650000,655000,▼1000,－0.15%,671200,724250,796350,795850,2970,189977
2018/10/31,663000,675000,653000,656000,▼15000,－2.24%,677200,731050,800200,796808,2961,190885
2018/10/30,680000,684000,661000,671000,▼9000,－1.32%,684800,738300,804000,797775,1961,190501
2018/10/29,706000,706000,672000,680000,▼14000,－2.02%,688800,746250,807750,798392,1574,190244
2018/10/26,678000,696000,674000,694000,▲9000,＋1.31%,695200,754450,811267,798858,1716,190741
2018/10/25,699000,700000,662000,685000,▼9000,－1.30%,695800,761200,814417,799408,2476,190940
2018/10/24,703000,703000,689000,694000,▲3000,＋0.43%,701000,767700,817450,799967,2899,190510
2018/10/23,712000,721000,684000,691000,▼21000,－2.95%,706600,773650,820450,800217,1723,190928
2018/10/22,697000,725000,692000,712000,▲15000,＋2.15%,717600,779850,823317,800433,1924,191023
2018/10/19,707000,719000,690000,697000,▼14000,－1.97%,725600,784900,825533,800550,3622,191159
2018/10/18,722000,733000,706000,711000,▼11000,－1.52%,734600,791500,827733,800617,1414,190490
2018/10/17,758000,765000,717000,722000,▼24000,－3.22%,743800,797650,829900,800600,2015,190082
2018/10/16,752000,759000,744000,746000,▼6000,－0.80%,763800,803000,832317,800317,2148,189445
2018/10/15,733000,764000,733000,752000,▲10000,＋1.35%,777800,807250,834433,799783,2223,189021
2018/10/12,780000,780000,740000,742000,▼15000,－1.98%,785200,810350,836667,799183,2083,188045
2018/10/11,819000,821000,751000,757000,▼65000,－7.91%,795400,813600,839233,798750,2647,187981
2018/10/10,807000,822000,806000,822000,▲6000,＋0.74%,802200,816100,840650,798258,12879,188571
2018/10/08,795000,817000,795000,816000,▲27000,＋3.42%,798000,815500,841050,797192,1667,188834
2018/10/05,797000,797000,780000,789000,▼4000,－0.50%,800800,815250,841750,796175,1095,189157
2018/10/04,785000,796000,782000,793000,▲2000,＋0.25%,811800,816700,842533,795442,1671,189363
2018/10/02,795000,805000,777000,791000,▼10000,－1.25%,819000,818050,842950,794558,2467,188880
2018/10/01,824000,835000,800000,801000,▼29000,－3.49%,823800,818300,843767,793542,1803,188381
2018/09/28,857000,857000,821000,830000,▼14000,－1.66%,826200,819100,844450,792517,1968,188266
2018/09/27,816000,846000,816000,844000,▲15000,＋1.81%,823200,818500,845117,791133,1519,188398
2018/09/21,834000,834000,814000,829000,▲14000,＋1.72%,817000,817050,845250,789617,1479,188012
2018/09/20,805000,835000,804000,815000,▲2000,＋0.25%,817000,817850,845083,788133,2158,187619
2018/09/19,811000,818000,810000,813000,▼2000,－0.25%,820800,818350,844900,786733,893,187213
2018/09/18,809000,816000,807000,815000,▲2000,＋0.25%,824000,818950,844500,785317,651,187136
2018/09/17,818000,827000,812000,813000,▼16000,－1.93%,827200,821200,844033,783667,806,187163
2018/09/14,834000,834000,822000,829000,▼5000,－0.60%,827400,823750,843350,782025,949,187138
2018/09/13,836000,836000,818000,834000,▲5000,＋0.60%,823000,825350,842450,780333,1798,186932
2018/09/12,828000,832000,810000,829000,▼2000,－0.24%,817600,826450,841267,778592,2114,186384
2018/09/11,806000,836000,805000,831000,▲17000,＋2.09%,813800,828050,840100,776842,3605,187076
2018/09/10,797000,817000,797000,814000,▲7000,＋0.87%,809800,828650,839300,775075,2349,185704
2018/09/07,815000,815000,800000,807000,0.0,0.00%,810600,830400,838950,773417,1904,185448
2018/09/06,808000,821000,803000,807000,▼3000,－0.37%,813200,832400,839200,771783,2428,185212
2018/09/05,806000,817000,801000,810000,▼1000,－0.12%,811000,834600,839233,770050,953,184706
2018/09/04,812000,819000,802000,811000,▼7000,－0.86%,812400,838750,839217,768317,2098,184774
2018/09/03,820000,832000,815000,818000,▼2000,－0.24%,813800,842700,838517,766608,2505,184784
2018/08/31,801000,821000,800000,820000,▲24000,＋3.02%,813200,845100,837633,764800,2295,184624
2018/08/30,814000,825000,791000,796000,▼21000,－2.57%,818200,846750,836317,762983,4029,184245
2018/08/29,825000,826000,815000,817000,▼1000,－0.12%,824000,851250,835517,761300,2997,182787
2018/08/28,818000,835000,813000,818000,▲3000,＋0.37%,825600,854600,833967,759475,4217,181119
2018/08/27,845000,847000,815000,815000,▼30000,－3.55%,834000,858500,832100,757392,4781,179165
2018/08/24,824000,845000,824000,845000,▲20000,＋2.42%,843800,862300,830333,755392,4326,177515
2018/08/23,829000,840000,820000,825000,0.0,0.00%,847000,864200,828083,753225,4109,175043
2018/08/22,856000,866000,823000,825000,▼35000,－4.07%,853200,866300,826617,751358,4538,173324
2018/08/21,864000,878000,859000,860000,▼4000,－0.46%,860400,868750,825033,749575,2934,171958
2018/08/20,876000,884000,862000,864000,▲3000,＋0.35%,857000,868900,822750,747342,1746,170656
2018/08/17,848000,888000,844000,861000,▲5000,＋0.58%,854000,867950,820350,744992,3521,169648
2018/08/16,863000,863000,851000,856000,▼5000,－0.58%,851200,866350,818150,742692,2474,168830
2018/08/14,849000,862000,833000,861000,▲18000,＋2.14%,850200,865600,815633,740425,1913,168305
2018/08/13,833000,859000,833000,843000,▼6000,－0.71%,856600,865900,813300,738208,2151,168105
2018/08/10,848000,865000,842000,849000,▲2000,＋0.24%,866000,867400,811267,735975,2695,168126
2018/08/09,852000,863000,832000,847000,▼4000,－0.47%,869400,869250,809383,733925,3601,167363
2018/08/08,882000,884000,850000,851000,▼42000,－4.70%,870600,871700,807517,731933,3435,166440
2018/08/07,883000,895000,875000,893000,▲3000,＋0.34%,877600,871250,805483,730000,1592,165811
2018/08/06,861000,902000,861000,890000,▲24000,＋2.77%,875800,868900,802617,727550,2982,168170
2018/08/03,854000,871000,854000,866000,▲13000,＋1.52%,877000,867300,799650,725050,2427,166839
2018/08/02,877000,893000,850000,853000,▼33000,－3.72%,882000,865800,797183,722967,3382,165567
2018/08/01,888000,918000,868000,886000,▲2000,＋0.23%,888000,864050,795350,720967,4609,164187
2018/07/31,898000,900000,865000,884000,▼12000,－1.34%,884200,861750,793417,718708,7624,159273
2018/07/30,892000,900000,887000,896000,▲5000,＋0.56%,882200,859650,791550,716667,2523,158532
2018/07/27,895000,896000,877000,891000,▲8000,＋0.91%,875600,858350,789033,714508,1742,157694
2018/07/26,875000,888000,863000,883000,▲16000,＋1.85%,866400,856400,786450,712400,3269,157376
2018/07/25,868000,890000,857000,867000,▼7000,－0.80%,855600,853200,784400,710392,3002,155988
2018/07/24,867000,880000,849000,874000,▲11000,＋1.27%,850400,850050,782483,708558,3445,155380
2018/07/23,854000,864000,845000,863000,▲18000,＋2.13%,849000,845800,779983,706567,2704,155251
2018/07/20,824000,856000,824000,845000,▲16000,＋1.93%,851000,842000,777550,704675,2905,154314
2018/07/19,839000,849000,819000,829000,▼12000,－1.43%,859200,838350,775567,702717,3559,152813
