[일시]메리츠화재,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,22800,22850,22200,22600,▼200,－0.88%,22440,22215,21455,20014,191657,17625423
2019/01/29,22050,22800,22000,22800,▲750,＋3.40%,22320,22153,21375,19980,195102,17679363
2019/01/28,22300,22300,21800,22050,▼250,－1.12%,22240,22105,21292,19946,188151,17606362
2019/01/25,22200,22500,22200,22300,▼150,－0.67%,22310,22080,21228,19915,106491,17621346
2019/01/24,22000,22500,21900,22450,▲450,＋2.05%,22330,22063,21150,19885,120659,17594839
2019/01/23,22300,22450,21850,22000,▼400,－1.79%,22300,22025,21078,19853,76943,17591762
2019/01/22,22500,22500,21900,22400,0.0,0.00%,22360,22020,21021,19823,107097,17602573
2019/01/21,22200,22550,22150,22400,0.0,0.00%,22400,21990,20957,19792,117437,17617368
2019/01/18,22200,22450,22150,22400,▲100,＋0.45%,22390,21925,20896,19760,107179,17620989
2019/01/17,22100,22600,22100,22300,0.0,0.00%,22380,21843,20829,19726,125683,17639517
2019/01/16,22600,22650,22150,22300,▼300,－1.33%,22290,21790,20774,19692,76250,17606782
2019/01/15,22350,22700,22050,22600,▲250,＋1.12%,22250,21765,20709,19662,185994,17605332
2019/01/14,22450,22450,21850,22350,0.0,0.00%,22220,21710,20640,19629,128817,17607077
2019/01/11,22100,22350,21900,22350,▲500,＋2.29%,22150,21673,20577,19598,128856,17643760
2019/01/10,22200,22400,21800,21850,▼250,－1.13%,22020,21630,20509,19568,87007,17660299
2019/01/09,22250,22600,21800,22100,▼350,－1.56%,21830,21615,20452,19543,239415,17650796
2019/01/08,22000,22800,21750,22450,▲450,＋2.05%,21680,21588,20392,19519,269717,17688310
2019/01/07,21900,22050,21600,22000,▲300,＋1.38%,21560,21555,20330,19492,269358,17701866
2019/01/04,20900,21700,20750,21700,▲800,＋3.83%,21470,21563,20284,19470,148162,17771909
2019/01/03,21400,21400,20650,20900,▼450,－2.11%,21520,21538,20247,19451,93073,17785273
2019/01/02,21800,21850,21100,21350,▼500,－2.29%,21680,21553,20223,19440,89479,17795774
2018/12/28,21250,21900,21250,21850,▲300,＋1.39%,21790,21545,20191,19423,124766,17810282
2018/12/27,21700,21850,20900,21550,▼400,－1.82%,21780,21535,20151,19403,176465,17818787
2018/12/26,21700,22000,21300,21950,▲250,＋1.15%,21690,21548,20118,19384,248826,17874608
2018/12/24,22150,22150,21600,21700,▼200,－0.91%,21450,21545,20075,19360,116637,17906095
2018/12/21,21700,22100,21600,21900,▲100,＋0.46%,21360,21565,20040,19340,198339,17894664
2018/12/20,21400,21950,20800,21800,▲700,＋3.32%,21340,21570,19984,19318,196178,17908861
2018/12/19,20800,21550,20600,21100,▲350,＋1.69%,21280,21610,19927,19296,79929,17935930
2018/12/18,21250,21600,19800,20750,▼500,－2.35%,21380,21655,19877,19282,650040,17917135
2018/12/17,22100,22100,21250,21250,▼550,－2.52%,21530,21703,19838,19272,113492,17654134
2018/12/14,21700,21900,21500,21800,▲300,＋1.40%,21590,21678,19789,19262,103101,17658660
2018/12/13,21650,22150,21350,21500,▼100,－0.46%,21540,21653,19735,19244,153184,17696571
2018/12/12,21550,21850,21450,21600,▲100,＋0.47%,21600,21613,19682,19238,118764,17703282
2018/12/11,21600,21750,21400,21500,▼50,－0.23%,21710,21558,19618,19233,116315,17730756
2018/12/10,21600,22050,21350,21550,0.0,0.00%,21650,21515,19558,19228,155741,17770878
2018/12/07,21800,21900,21350,21550,▼250,－1.15%,21580,21465,19501,19217,182783,17766580
2018/12/06,22100,22200,21550,21800,▼350,－1.58%,21510,21323,19446,19212,157228,17845193
2018/12/05,21100,22400,21000,22150,▲950,＋4.48%,21480,21133,19388,19203,285701,17900142
2018/12/04,21200,21500,20950,21200,0.0,0.00%,21410,20923,19325,19186,162299,17971848
2018/12/03,21300,21400,20950,21200,0.0,0.00%,21550,20763,19278,19179,91302,17960441
2018/11/30,21550,21700,21200,21200,▼450,－2.08%,21730,20598,19234,19170,163492,17953312
2018/11/29,21650,21750,21200,21650,▼150,－0.69%,21890,20428,19185,19161,186428,17956237
2018/11/28,21900,22050,21150,21800,▼100,－0.46%,22080,20235,19124,19148,299974,17924163
2018/11/27,22100,22100,21850,21900,▼200,－0.90%,22120,20055,19060,19133,111146,17874140
2018/11/26,22000,22300,21750,22100,▲100,＋0.45%,22080,19843,18998,19121,185156,17853884
2018/11/23,22500,22800,21800,22000,▼600,－2.65%,21810,19643,18932,19102,158674,17794807
2018/11/22,22150,22800,21900,22600,▲600,＋2.73%,21670,19473,18874,19085,362301,17794883
2018/11/21,21700,22400,21300,22000,▲300,＋1.38%,21290,19270,18807,19063,327314,17814293
2018/11/20,20750,21950,20750,21700,▲950,＋4.58%,20990,19108,18746,19049,356371,17879752
2018/11/19,21200,21450,20600,20750,▼550,－2.58%,20780,18943,18700,19037,231586,17921841
2018/11/16,20800,21700,20750,21300,▲600,＋2.90%,20740,18855,18668,19029,347512,17940918
2018/11/15,20400,20700,20150,20700,▲200,＋0.98%,20220,18710,18623,19020,113968,17976924
2018/11/14,20600,21050,20300,20500,▼150,－0.73%,19680,18598,18588,19014,293671,17967110
2018/11/13,20400,20950,20050,20650,▲100,＋0.49%,19170,18500,18563,19012,502947,17981712
2018/11/12,18800,21200,18750,20550,▲1850,＋9.89%,18640,18383,18528,19008,1190128,18020113
2018/11/09,18000,18800,17900,18700,▲700,＋3.89%,18110,18275,18504,19007,185383,17819747
2018/11/08,18000,18450,17850,18000,▲50,＋0.28%,17930,18265,18515,19023,232839,17829324
2018/11/07,18050,18250,17800,17950,▼50,－0.28%,17890,18303,18528,19045,148854,17766581
2018/11/06,17850,18150,17600,18000,▲100,＋0.56%,17940,18368,18542,19066,125735,17792985
2018/11/05,17900,17950,17700,17900,▲100,＋0.56%,17870,18440,18561,19085,59631,17846322
2018/11/02,17850,18100,17750,17800,0.0,0.00%,17910,18518,18573,19108,113598,17869630
2018/11/01,18400,18400,17800,17800,▼400,－2.20%,18070,18600,18585,19130,128301,17889012
2018/10/31,17750,18300,17400,18200,▲550,＋3.12%,18220,18683,18600,19153,169006,17936823
2018/10/30,18100,18300,17550,17650,▼450,－2.49%,18330,18753,18603,19175,185907,17947180
2018/10/29,18550,18800,18100,18100,▼500,－2.69%,18480,18838,18620,19202,149769,17991429
2018/10/26,18450,18800,18300,18600,▲50,＋0.27%,18660,18913,18629,19222,132021,18039251
2018/10/25,18550,18650,18150,18550,▼200,－1.07%,18620,18910,18624,19241,144002,18041527
2018/10/24,18400,18850,18400,18750,▲350,＋1.90%,18600,18900,18627,19262,178446,18093677
2018/10/23,19000,19100,18300,18400,▼600,－3.16%,18560,18868,18623,19277,168851,18087322
2018/10/22,18350,19200,18300,19000,▲600,＋3.26%,18540,18868,18623,19295,253728,18154818
2018/10/19,18450,18500,18150,18400,▼50,－0.27%,18420,18835,18610,19307,233577,18217353
2018/10/18,18650,18700,18250,18450,▼100,－0.54%,18440,18843,18615,19325,134368,18232724
2018/10/17,18400,18800,18350,18550,▲250,＋1.37%,18500,18835,18618,19344,179005,18249011
2018/10/16,18550,18550,18150,18300,▼100,－0.54%,18640,18798,18619,19358,100556,18277204
2018/10/15,18650,18700,18250,18400,▼100,－0.54%,18870,18778,18626,19375,146127,18321142
2018/10/12,18700,18750,18250,18500,▼250,－1.33%,19080,18763,18635,19392,105666,18378348
2018/10/11,19200,19300,18750,18750,▼500,－2.60%,19270,18750,18647,19407,223663,18423111
2018/10/10,19350,19550,19050,19250,▼200,－1.03%,19410,18728,18653,19420,180484,18455373
2018/10/08,19450,19650,19150,19450,0.0,0.00%,19480,18685,18655,19431,148710,18487425
2018/10/05,19600,19650,19400,19450,0.0,0.00%,19460,18633,18656,19440,217846,18503764
2018/10/04,19450,19550,19250,19450,0.0,0.00%,19490,18588,18658,19452,164504,18575957
2018/10/02,19650,19650,19350,19450,▼150,－0.77%,19310,18528,18654,19461,149734,18627798
2018/10/01,19400,19600,19200,19600,▲250,＋1.29%,19090,18455,18654,19470,195929,18677155
2018/09/28,19600,19600,19050,19350,▼250,－1.28%,18790,18373,18649,19479,261479,18741660
2018/09/27,18600,19600,18600,19600,▲1050,＋5.66%,18600,18313,18646,19493,580989,18774208
2018/09/21,18400,18750,18400,18550,▲200,＋1.09%,18350,18240,18639,19505,149274,18805035
2018/09/20,18150,18350,18000,18350,▲250,＋1.38%,18350,18240,18652,19527,94888,18801620
2018/09/19,18400,18400,17950,18100,▼300,－1.63%,18340,18250,18666,19550,145155,18825021
2018/09/18,18300,18400,18150,18400,▲50,＋0.27%,18280,18263,18688,19578,66623,18922974
