[일시]모나미,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2970,3000,2825,2890,▲50,＋1.76%,2850,2793,2687,2769,129954,410784
2019/01/29,2845,2860,2815,2840,▼5,－0.18%,2838,2780,2684,2770,52734,413750
2019/01/28,2840,2870,2810,2845,▲5,＋0.18%,2829,2769,2678,2771,27654,409261
2019/01/25,2835,2850,2805,2840,▲5,＋0.18%,2823,2759,2672,2772,26302,408694
2019/01/24,2830,2850,2820,2835,▲5,＋0.18%,2815,2749,2663,2774,27717,406465
2019/01/23,2795,2930,2750,2830,▲35,＋1.25%,2808,2739,2654,2775,102355,406001
2019/01/22,2830,2830,2730,2795,▼20,－0.71%,2811,2730,2648,2777,81565,401174
2019/01/21,2805,2850,2775,2815,▲15,＋0.54%,2811,2724,2642,2778,31289,399429
2019/01/18,2845,2845,2765,2800,0.0,0.00%,2808,2719,2637,2780,46031,393636
2019/01/17,2845,2860,2760,2800,▼45,－1.58%,2812,2716,2633,2781,37456,389015
2019/01/16,2795,2845,2770,2845,▲50,＋1.79%,2804,2711,2630,2783,49015,386752
2019/01/15,2840,2840,2785,2795,▼5,－0.18%,2787,2703,2626,2785,19305,381692
2019/01/14,2820,2840,2775,2800,▼20,－0.71%,2777,2696,2624,2787,31878,381350
2019/01/11,2730,2820,2730,2820,▲60,＋2.17%,2766,2686,2622,2790,39483,379323
2019/01/10,2800,2800,2720,2760,0.0,0.00%,2730,2674,2619,2792,15220,379479
2019/01/09,2750,2790,2745,2760,▲15,＋0.55%,2709,2666,2615,2794,21008,378812
2019/01/08,2770,2845,2720,2745,0.0,0.00%,2685,2660,2612,2797,62569,378951
2019/01/07,2645,2765,2640,2745,▲105,＋3.98%,2660,2654,2608,2799,65635,381191
2019/01/04,2680,2680,2605,2640,▼15,－0.56%,2637,2650,2607,2801,16090,379804
2019/01/03,2640,2700,2600,2655,▲15,＋0.57%,2638,2650,2609,2804,37346,380442
2019/01/02,2680,2680,2600,2640,▲20,＋0.76%,2636,2648,2612,2807,17093,379936
2018/12/28,2665,2665,2600,2620,▼10,－0.38%,2638,2646,2616,2809,10901,380606
2018/12/27,2645,2665,2590,2630,▼15,－0.57%,2649,2645,2622,2812,8078,379812
2018/12/26,2645,2645,2590,2645,0.0,0.00%,2665,2643,2628,2815,34917,380135
2018/12/24,2650,2695,2615,2645,▼5,－0.19%,2683,2641,2634,2818,36606,383712
2018/12/21,2715,2715,2635,2650,▼25,－0.93%,2694,2639,2640,2820,12496,389813
2018/12/20,2670,2720,2630,2675,▼35,－1.29%,2700,2635,2646,2823,27144,390248
2018/12/19,2755,2755,2690,2710,▼25,－0.91%,2699,2631,2651,2826,29313,389136
2018/12/18,2680,2735,2635,2735,▲35,＋1.30%,2674,2626,2656,2829,37672,391957
2018/12/17,2680,2760,2650,2700,▲20,＋0.75%,2643,2620,2662,2832,39676,431761
2018/12/14,2670,2685,2615,2680,▲10,＋0.37%,2623,2617,2668,2835,36331,432857
2018/12/13,2615,2670,2590,2670,▲85,＋3.29%,2615,2614,2674,2839,38528,432423
2018/12/12,2580,2605,2570,2585,▲5,＋0.19%,2609,2612,2680,2843,14656,429592
