[일시]미래에셋대우,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,7480,7490,7320,7490,▲30,＋0.40%,7472,7026,6934,7335,2017026,84705753
2019/01/29,7350,7470,7300,7460,▲60,＋0.81%,7404,6970,6925,7339,1807311,84840213
2019/01/28,7500,7540,7380,7400,▼120,－1.60%,7346,6923,6908,7345,1538438,84639106
2019/01/25,7440,7570,7380,7520,▲30,＋0.40%,7306,6882,6892,7351,2112788,84073105
2019/01/24,7260,7510,7240,7490,▲340,＋4.76%,7258,6838,6873,7357,5297098,84065814
2019/01/23,7120,7220,7100,7150,▼20,－0.28%,7188,6801,6857,7362,1290636,83710505
2019/01/22,7240,7240,7070,7170,▼30,－0.42%,7196,6785,6849,7371,1505359,84035301
2019/01/21,7350,7360,7170,7200,▼80,－1.10%,7170,6767,6841,7379,1860257,83877463
2019/01/18,7190,7300,7170,7280,▲140,＋1.96%,7076,6754,6836,7386,2148983,83905112
2019/01/17,7250,7270,7070,7140,▼50,－0.70%,6962,6736,6829,7391,2102324,83441236
2019/01/16,7050,7230,7040,7190,▲150,＋2.13%,6886,6727,6828,7398,4034132,82859050
2019/01/15,6710,7060,6710,7040,▲310,＋4.61%,6792,6715,6824,7404,4298158,82115445
2019/01/14,6690,6770,6690,6730,▲20,＋0.30%,6702,6713,6823,7412,1175000,81160094
2019/01/11,6750,6840,6700,6710,▼50,－0.74%,6698,6723,6830,7424,1188489,80851663
2019/01/10,6690,6770,6650,6760,▲40,＋0.60%,6636,6724,6835,7436,1804604,80625733
2019/01/09,6630,6740,6600,6720,▲130,＋1.97%,6556,6726,6840,7450,1837129,80052535
2019/01/08,6700,6700,6580,6590,▼120,－1.79%,6486,6736,6847,7461,1339041,79840263
2019/01/07,6560,6710,6560,6710,▲310,＋4.84%,6474,6752,6856,7475,2599575,80201283
2019/01/04,6330,6430,6280,6400,▲40,＋0.63%,6446,6771,6871,7488,1683787,79612781
2019/01/03,6370,6430,6340,6360,▼10,－0.16%,6494,6811,6895,7504,1360198,79310241
2019/01/02,6590,6630,6320,6370,▼160,－2.45%,6574,6856,6921,7520,2203960,78856873
2018/12/28,6570,6630,6530,6530,▼40,－0.61%,6664,6893,6950,7534,1841627,78862304
2018/12/27,6710,6730,6510,6570,▼70,－1.05%,6720,6922,6978,7546,2505891,79492878
2018/12/26,6660,6700,6580,6640,▼120,－1.78%,6794,6940,7009,7558,2575910,79520261
2018/12/24,6760,6790,6700,6760,▼60,－0.88%,6852,6951,7039,7570,1384126,79759817
2018/12/21,6740,6820,6730,6820,▲10,＋0.15%,6892,6957,7069,7585,1635330,79579227
2018/12/20,6850,6910,6730,6810,▼130,－1.87%,6916,6948,7095,7599,2104350,79523752
2018/12/19,6960,6990,6890,6940,▲10,＋0.14%,6954,6943,7120,7614,1394887,79607998
2018/12/18,6890,6970,6840,6930,▼30,－0.43%,6954,6929,7143,7628,1408928,79552990
2018/12/17,6930,7030,6930,6960,▲20,＋0.29%,6914,6917,7163,7643,1243117,79878536
2018/12/14,6980,7020,6880,6940,▼60,－0.86%,6880,6909,7183,7656,1642128,79813721
2018/12/13,6930,7000,6870,7000,▲60,＋0.86%,6878,6900,7206,7671,3162354,80291367
2018/12/12,6770,6950,6770,6940,▲210,＋3.12%,6858,6894,7225,7686,1378138,80265551
2018/12/11,6800,6830,6710,6730,▼60,－0.88%,6890,6889,7246,7700,1065802,79837669
2018/12/10,6810,6870,6740,6790,▼140,－2.02%,6984,6899,7270,7718,2109357,80124964
2018/12/07,6970,6970,6880,6930,▲30,＋0.43%,7076,6916,7293,7737,1288778,80063424
2018/12/06,7080,7090,6840,6900,▼200,－2.82%,7114,6928,7314,7755,2447862,80362860
2018/12/05,7030,7160,7010,7100,▼100,－1.39%,7154,6949,7333,7777,2337003,83671517
2018/12/04,7260,7270,7120,7200,▼50,－0.69%,7120,6952,7349,7797,2042115,83006391
2018/12/03,7220,7340,7190,7250,▲130,＋1.83%,7052,6944,7365,7816,2494256,82405645
2018/11/30,7110,7140,7050,7120,▲20,＋0.28%,6978,6920,7380,7836,2411765,82272587
2018/11/29,7100,7170,7050,7100,▲170,＋2.45%,6884,6911,7399,7854,3780996,82063944
2018/11/28,6890,6940,6830,6930,▲70,＋1.02%,6806,6879,7418,7874,1833698,81993114
2018/11/27,6920,6930,6800,6860,▼20,－0.29%,6750,6854,7439,7893,1437736,82076348
2018/11/26,6680,6880,6680,6880,▲230,＋3.46%,6716,6831,7462,7914,2117591,82305742
2018/11/23,6660,6750,6600,6650,▼60,－0.89%,6700,6814,7485,7935,1259409,82781582
2018/11/22,6670,6780,6630,6710,▲60,＋0.90%,6722,6815,7507,7961,1546838,83009882
2018/11/21,6610,6690,6550,6650,▼40,－0.60%,6756,6814,7528,7987,2444601,83775471
2018/11/20,6680,6780,6650,6690,▼110,－1.62%,6794,6826,7549,8011,2318379,83719208
2018/11/19,6780,6850,6750,6800,▲40,＋0.59%,6842,6836,7570,8036,1874593,83462570
2018/11/16,6920,6920,6750,6760,▼120,－1.74%,6910,6848,7586,8061,2894581,83622345
2018/11/15,6700,6880,6670,6880,▲40,＋0.58%,6990,6859,7602,8085,2524142,84939668
2018/11/14,6940,6970,6820,6840,▼90,－1.30%,7078,6864,7615,8110,1980292,84799706
2018/11/13,6980,7020,6760,6930,▼210,－2.94%,7142,6878,7628,8134,4203070,84755862
2018/11/12,7070,7190,7030,7140,▼20,－0.28%,7166,6881,7640,8159,1312517,84201008
2018/11/09,7330,7420,7120,7160,▼160,－2.19%,7090,6877,7653,8183,2576992,84323022
2018/11/08,7350,7460,7310,7320,▲160,＋2.23%,7048,6877,7668,8208,2408223,84861659
2018/11/07,7110,7440,7060,7160,▲110,＋1.56%,6874,6867,7680,8231,6149258,85456251
2018/11/06,6820,7060,6760,7050,▲290,＋4.29%,6728,6891,7696,8251,3179272,86062335
2018/11/05,6850,6850,6660,6760,▼190,－2.73%,6600,6929,7713,8271,1815243,86165205
2018/11/02,6550,6990,6530,6950,▲500,＋7.75%,6556,6988,7736,8295,3605496,86475982
2018/11/01,6480,6610,6430,6450,▲20,＋0.31%,6500,7045,7754,8319,2173142,86015332
2018/10/31,6460,6460,6300,6430,▲20,＋0.31%,6548,7134,7783,8344,3013818,86047020
2018/10/30,6460,6560,6360,6410,▼130,－1.99%,6640,7234,7811,8370,3144298,85416798
2018/10/29,6660,6740,6530,6540,▼130,－1.95%,6734,7337,7841,8398,2234229,85590730
2018/10/26,6720,6780,6590,6670,▼20,－0.30%,6834,7437,7868,8425,2457278,85850651
2018/10/25,6730,6790,6580,6690,▼200,－2.90%,6896,7523,7893,8448,3588514,85024510
2018/10/24,6950,7030,6870,6890,▲10,＋0.15%,6956,7604,7917,8471,1883602,84796581
2018/10/23,6990,7010,6830,6880,▼160,－2.27%,7000,7673,7936,8493,2018187,84499954
