[일시]백광산업,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2700,2860,2660,2715,▲25,＋0.93%,2736,2625,2542,2685,832409,1382594
2019/01/29,2710,2720,2640,2690,▼5,－0.19%,2754,2614,2536,2688,292894,1374625
2019/01/28,2795,2795,2650,2695,▼85,－3.06%,2776,2604,2530,2691,592724,1357499
2019/01/25,2805,2825,2755,2780,▼20,－0.71%,2811,2594,2524,2694,256887,1305186
2019/01/24,2790,2855,2775,2800,▼5,－0.18%,2775,2576,2516,2696,402656,1302017
2019/01/23,2775,2890,2730,2805,▲5,＋0.18%,2739,2560,2507,2697,1397446,1280261
2019/01/22,2830,2850,2740,2800,▼70,－2.44%,2702,2547,2500,2698,802798,1295744
2019/01/21,2610,2940,2605,2870,▲270,＋10.38%,2658,2535,2494,2700,3455013,1341386
2019/01/18,2640,2640,2600,2600,▼20,－0.76%,2597,2522,2488,2701,76300,1306813
2019/01/17,2640,2645,2600,2620,0.0,0.00%,2590,2524,2486,2705,75589,1293343
2019/01/16,2615,2645,2595,2620,▲40,＋1.55%,2579,2528,2486,2708,113822,1291168
2019/01/15,2565,2585,2540,2580,▲15,＋0.58%,2559,2523,2486,2712,105338,1297332
2019/01/14,2590,2590,2530,2565,0.0,0.00%,2535,2520,2487,2716,80889,1292107
2019/01/11,2565,2570,2535,2565,0.0,0.00%,2504,2517,2487,2721,51274,1284716
2019/01/10,2540,2575,2510,2565,▲45,＋1.79%,2473,2512,2486,2726,82116,1284367
2019/01/09,2460,2530,2460,2520,▲60,＋2.44%,2445,2510,2486,2731,66056,1276408
2019/01/08,2405,2470,2405,2460,▲50,＋2.07%,2441,2510,2487,2736,33395,1262351
2019/01/07,2410,2445,2400,2410,0.0,0.00%,2447,2514,2487,2741,40132,1262974
2019/01/04,2390,2415,2340,2410,▼15,－0.62%,2463,2520,2492,2747,109296,1259252
2019/01/03,2500,2535,2385,2425,▼75,－3.00%,2464,2527,2498,2752,231498,1266088
2019/01/02,2500,2570,2470,2500,▲10,＋0.40%,2477,2533,2506,2758,92392,1260916
2018/12/28,2500,2510,2455,2490,0.0,0.00%,2485,2535,2515,2762,47828,1261955
2018/12/27,2435,2490,2420,2490,▲75,＋3.11%,2501,2537,2526,2767,65630,1254690
2018/12/26,2415,2450,2390,2415,▼75,－3.01%,2522,2537,2538,2772,149294,1246999
2018/12/24,2530,2530,2475,2490,▼50,－1.97%,2570,2541,2550,2778,145237,1254295
2018/12/21,2525,2570,2510,2540,▼30,－1.17%,2610,2542,2558,2785,107361,1263953
2018/12/20,2585,2585,2510,2570,▼25,－0.96%,2608,2540,2564,2792,129973,1271302
2018/12/19,2655,2665,2550,2595,▼60,－2.26%,2598,2537,2570,2798,227071,1280825
2018/12/18,2655,2690,2600,2655,▼35,－1.30%,2577,2533,2577,2805,214131,1294640
2018/12/17,2530,2770,2530,2690,▲160,＋6.32%,2542,2526,2583,2813,775220,1304414
2018/12/14,2520,2530,2510,2530,▲10,＋0.40%,2508,2519,2589,2820,58629,1269002
2018/12/13,2490,2525,2490,2520,▲30,＋1.20%,2507,2519,2598,2828,70479,1262341
2018/12/12,2480,2515,2470,2490,▲10,＋0.40%,2508,2515,2606,2837,67814,1247732
2018/12/11,2520,2520,2460,2480,▼40,－1.59%,2518,2511,2615,2845,41966,1233416
2018/12/10,2470,2570,2440,2520,▼5,－0.20%,2530,2507,2625,2854,99820,1247782
2018/12/07,2510,2545,2510,2525,0.0,0.00%,2538,2502,2633,2864,49541,1270976
2018/12/06,2540,2540,2465,2525,▼15,－0.59%,2539,2497,2640,2873,94886,1269538
2018/12/05,2500,2540,2475,2540,0.0,0.00%,2539,2492,2649,2884,48382,1277801
2018/12/04,2550,2560,2515,2540,▼20,－0.78%,2531,2485,2655,2893,43830,1274746
2018/12/03,2530,2570,2505,2560,▲30,＋1.19%,2521,2477,2660,2903,111847,1272591
2018/11/30,2510,2575,2460,2530,▲5,＋0.20%,2512,2467,2664,2913,112732,1262208
2018/11/29,2505,2570,2500,2525,▲25,＋1.00%,2506,2461,2670,2923,162757,1257774
2018/11/28,2510,2510,2460,2500,▲10,＋0.40%,2502,2450,2676,2935,86669,1221315
2018/11/27,2515,2515,2465,2490,▼25,－0.99%,2505,2442,2681,2946,88969,1243377
2018/11/26,2505,2515,2480,2515,▲15,＋0.60%,2512,2432,2687,2958,63589,1266684
2018/11/23,2505,2525,2450,2500,▼5,－0.20%,2519,2419,2692,2970,90146,1261166
2018/11/22,2515,2545,2485,2505,▼10,－0.40%,2523,2415,2698,2981,105003,1254531
2018/11/21,2500,2520,2460,2515,▼10,－0.40%,2512,2411,2705,2993,108802,1250742
2018/11/20,2505,2545,2480,2525,▼25,－0.98%,2490,2409,2711,3004,132846,1234225
2018/11/19,2550,2570,2500,2550,▲30,＋1.19%,2466,2408,2716,3016,166651,1221471
2018/11/16,2510,2570,2480,2520,▲70,＋2.86%,2439,2411,2723,3029,232642,1211750
2018/11/15,2435,2475,2400,2450,▲45,＋1.87%,2421,2416,2730,3043,143626,1182942
2018/11/14,2420,2570,2380,2405,0.0,0.00%,2415,2424,2739,3054,422792,1176428
2018/11/13,2345,2405,2335,2405,▼10,－0.41%,2412,2433,2749,3067,46151,1235641
2018/11/12,2435,2435,2375,2415,▼15,－0.62%,2408,2440,2759,3080,61303,1249870
2018/11/09,2440,2440,2385,2430,▲10,＋0.41%,2397,2446,2770,3092,29070,1262819
2018/11/08,2430,2465,2400,2420,▲30,＋1.26%,2392,2454,2781,3104,148584,1259005
2018/11/07,2385,2465,2375,2390,▲5,＋0.21%,2372,2457,2792,3116,172659,1260208
2018/11/06,2370,2390,2330,2385,▲25,＋1.06%,2359,2471,2804,3126,81073,1269425
2018/11/05,2425,2425,2305,2360,▼45,－1.87%,2343,2491,2815,3136,208072,1275845
2018/11/02,2340,2430,2330,2405,▲85,＋3.66%,2321,2519,2827,3147,375205,1280075
2018/11/01,2345,2355,2290,2320,▼5,－0.22%,2322,2549,2839,3158,301126,1215822
2018/10/31,2315,2340,2250,2325,▲20,＋0.87%,2344,2592,2851,3169,215828,1216780
2018/10/30,2245,2305,2155,2305,▲55,＋2.44%,2375,2634,2864,3181,247264,1224831
2018/10/29,2320,2395,2185,2250,▼160,－6.64%,2415,2676,2876,3190,339527,1195827
2018/10/26,2440,2470,2275,2410,▼20,－0.82%,2485,2713,2887,3200,290964,1220630
2018/10/25,2400,2460,2345,2430,▼50,－2.02%,2529,2737,2896,3209,226644,1218274
2018/10/24,2510,2535,2470,2480,▼25,－1.00%,2565,2762,2905,3217,92612,1239123
2018/10/23,2605,2645,2505,2505,▼95,－3.65%,2587,2788,2914,3226,92343,1248977
2018/10/22,2640,2640,2550,2600,▼30,－1.14%,2593,2814,2923,3234,62301,1262950
2018/10/19,2570,2635,2525,2630,▲20,＋0.77%,2581,2837,2930,3242,53238,1276197
2018/10/18,2590,2645,2555,2610,▲20,＋0.77%,2571,2859,2937,3250,21843,1285352
2018/10/17,2545,2645,2545,2590,▲55,＋2.17%,2546,2880,2946,3257,62311,1290521
2018/10/16,2510,2565,2475,2535,▼5,－0.20%,2561,2902,2955,3264,53841,1290702
2018/10/15,2575,2590,2520,2540,▼40,－1.55%,2611,2927,2966,3272,59447,1285538
2018/10/12,2480,2595,2425,2580,▲95,＋3.82%,2689,2950,2976,3280,114923,1309141
2018/10/11,2505,2660,2485,2485,▼180,－6.75%,2772,2970,2984,3287,262009,1326967
2018/10/10,2755,2785,2645,2665,▼120,－4.31%,2914,2998,2994,3295,322761,1326248
2018/10/08,2925,2925,2750,2785,▼145,－4.95%,3013,3009,3002,3301,241047,1355331
2018/10/05,2915,2950,2855,2930,▼65,－2.17%,3085,3012,3007,3306,329568,1395174
2018/10/04,3220,3230,2910,2995,▼200,－6.26%,3095,3007,3009,3310,824332,1454787
2018/10/02,3130,3260,3130,3195,▲35,＋1.11%,3077,3001,3010,3313,925940,1606407
