[일시]벽산,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2665,2715,2640,2660,▼5,－0.19%,2637,2578,2403,2735,328233,7175524
2019/01/29,2635,2680,2610,2665,▲15,＋0.57%,2610,2564,2399,2741,352719,7148596
2019/01/28,2610,2650,2570,2650,▲40,＋1.53%,2585,2553,2395,2746,407936,7168985
2019/01/25,2600,2665,2590,2610,▲10,＋0.38%,2569,2547,2391,2751,579836,7213082
2019/01/24,2525,2770,2510,2600,▲75,＋2.97%,2554,2539,2382,2756,1901085,7143066
2019/01/23,2560,2565,2480,2525,▼15,－0.59%,2536,2531,2373,2761,330993,7403887
2019/01/22,2570,2600,2530,2540,▼30,－1.17%,2561,2531,2369,2766,239545,7402998
2019/01/21,2525,2575,2525,2570,▲35,＋1.38%,2577,2535,2367,2771,174999,7450915
2019/01/18,2530,2545,2490,2535,▲25,＋1.00%,2588,2543,2368,2775,228778,7438528
2019/01/17,2645,2655,2480,2510,▼140,－5.28%,2602,2527,2370,2780,615770,7433270
2019/01/16,2650,2690,2620,2650,▲30,＋1.15%,2610,2512,2376,2784,391670,7478227
2019/01/15,2625,2640,2580,2620,▼5,－0.19%,2599,2490,2378,2788,288782,7460329
2019/01/14,2605,2645,2585,2625,▲20,＋0.77%,2576,2469,2380,2793,291048,7449970
2019/01/11,2565,2630,2520,2605,▲55,＋2.16%,2553,2446,2384,2798,402358,7421342
2019/01/10,2635,2710,2540,2550,▼45,－1.73%,2543,2421,2385,2804,817829,7349727
2019/01/09,2515,2655,2500,2595,▲90,＋3.59%,2528,2400,2387,2810,1015535,7513985
2019/01/08,2540,2550,2465,2505,▼5,－0.20%,2486,2379,2390,2816,286044,7390500
2019/01/07,2560,2580,2500,2510,▼45,－1.76%,2475,2362,2393,2823,427322,7405291
2019/01/04,2475,2565,2400,2555,▲80,＋3.23%,2477,2347,2401,2830,631787,7463716
2019/01/03,2375,2530,2370,2475,▲90,＋3.77%,2458,2330,2409,2836,796116,7459864
2019/01/02,2460,2495,2345,2385,▼65,－2.65%,2448,2316,2420,2843,456233,7343686
2018/12/28,2510,2540,2440,2450,▼70,－2.78%,2477,2305,2433,2850,577887,7357585
2018/12/27,2460,2555,2390,2520,▲60,＋2.44%,2512,2294,2448,2857,1741613,7346628
2018/12/26,2390,2460,2330,2460,▲35,＋1.44%,2552,2278,2462,2863,630526,7456140
2018/12/24,2500,2565,2400,2425,▼105,－4.15%,2503,2266,2476,2869,949836,7470482
2018/12/21,2665,2800,2515,2530,▼95,－3.62%,2462,2254,2492,2877,4926034,7448180
2018/12/20,2690,2795,2600,2625,▼95,－3.49%,2396,2236,2504,2885,3333976,7673205
2018/12/19,2250,2870,2250,2720,▲505,＋22.80%,2314,2216,2515,2892,8555938,7706816
2018/12/18,2205,2240,2165,2215,▼5,－0.23%,2201,2194,2524,2898,100840,8122503
2018/12/17,2180,2245,2165,2220,▲20,＋0.91%,2180,2197,2541,2908,124891,8106509
2018/12/14,2230,2230,2165,2200,▼15,－0.68%,2160,2202,2559,2919,78715,8120874
2018/12/13,2215,2240,2155,2215,▲60,＋2.78%,2157,2209,2578,2929,113022,8137164
2018/12/12,2145,2155,2120,2155,▲45,＋2.13%,2145,2210,2598,2939,79675,8138041
2018/12/11,2140,2145,2110,2110,▼10,－0.47%,2157,2222,2618,2950,67629,8139459
2018/12/10,2165,2175,2115,2120,▼65,－2.97%,2180,2235,2639,2963,93434,8158800
2018/12/07,2165,2195,2160,2185,▲30,＋1.39%,2195,2253,2661,2977,76453,8178747
2018/12/06,2235,2235,2150,2155,▼60,－2.71%,2190,2270,2681,2990,170817,8188871
2018/12/05,2205,2230,2190,2215,▼10,－0.45%,2205,2287,2700,3004,119969,8243177
2018/12/04,2200,2240,2180,2225,▲30,＋1.37%,2203,2298,2717,3017,185492,8254200
2018/12/03,2180,2215,2160,2195,▲35,＋1.62%,2199,2306,2735,3030,228857,8239250
2018/11/30,2240,2240,2155,2160,▼70,－3.14%,2198,2315,2752,3044,223624,8194357
2018/11/29,2225,2265,2190,2230,▲25,＋1.13%,2202,2329,2769,3057,227302,8251503
2018/11/28,2225,2230,2195,2205,0.0,0.00%,2198,2339,2784,3069,131729,8277623
2018/11/27,2185,2230,2185,2205,▲15,＋0.68%,2213,2347,2800,3083,122629,8301050
2018/11/26,2180,2215,2165,2190,▲10,＋0.46%,2227,2342,2816,3097,103532,8272845
2018/11/23,2230,2255,2165,2180,▼30,－1.36%,2255,2335,2833,3110,175881,8245677
2018/11/22,2280,2280,2210,2210,▼70,－3.07%,2285,2340,2852,3123,212841,8289192
2018/11/21,2265,2295,2220,2280,▲5,＋0.22%,2291,2351,2870,3137,190854,8274630
2018/11/20,2300,2300,2250,2275,▼55,－2.36%,2314,2368,2886,3149,210859,8234468
2018/11/19,2330,2375,2290,2330,0.0,0.00%,2335,2388,2903,3163,153554,8209711
2018/11/16,2285,2330,2245,2330,▲90,＋4.02%,2364,2414,2919,3177,140384,8167740
2018/11/15,2365,2370,2200,2240,▼155,－6.47%,2404,2435,2934,3191,457220,8099749
2018/11/14,2390,2405,2360,2395,▲15,＋0.63%,2453,2462,2951,3206,46976,8128813
2018/11/13,2435,2435,2330,2380,▼95,－3.84%,2460,2483,2966,3220,228624,8124648
2018/11/12,2530,2530,2445,2475,▼55,－2.17%,2464,2500,2981,3234,82967,8130214
2018/11/09,2485,2535,2445,2530,▲45,＋1.81%,2442,2510,2996,3248,102390,8120721
2018/11/08,2435,2490,2425,2485,▲55,＋2.26%,2425,2519,3010,3264,166289,8127663
2018/11/07,2455,2460,2335,2430,▲30,＋1.25%,2414,2532,3024,3279,112710,8063313
2018/11/06,2370,2440,2345,2400,▲35,＋1.48%,2400,2559,3038,3294,74691,8085217
2018/11/05,2460,2460,2355,2365,▼80,－3.27%,2341,2591,3053,3309,114147,8079864
2018/11/02,2430,2500,2420,2445,▲15,＋0.62%,2280,2629,3068,3325,165388,8095113
2018/11/01,2375,2520,2375,2430,▲70,＋2.97%,2247,2666,3082,3341,280153,8114904
2018/10/31,2120,2495,2120,2360,▲255,＋12.11%,2245,2710,3096,3355,705625,8162407
2018/10/30,1950,2155,1950,2105,▲45,＋2.18%,2297,2761,3111,3372,350385,8190287
2018/10/29,2260,2320,2060,2060,▼220,－9.65%,2413,2821,3130,3389,509190,8052531
2018/10/26,2440,2465,2275,2280,▼140,－5.79%,2569,2886,3148,3406,292863,7945039
2018/10/25,2480,2565,2380,2420,▼200,－7.63%,2663,2937,3163,3422,381830,7880286
2018/10/24,2730,2750,2545,2620,▼65,－2.42%,2735,2979,3174,3437,166774,7875763
2018/10/23,2840,2840,2685,2685,▼155,－5.46%,2775,3011,3183,3452,120640,7874404
2018/10/22,2790,2855,2755,2840,▲90,＋3.27%,2782,3040,3189,3465,112382,7903115
2018/10/19,2720,2765,2705,2750,▼30,－1.08%,2748,3062,3193,3478,79439,7909238
2018/10/18,2800,2840,2765,2780,▼40,－1.42%,2742,3091,3199,3491,61156,7925028
2018/10/17,2780,2840,2755,2820,▲100,＋3.68%,2732,3121,3206,3505,123356,7937289
2018/10/16,2675,2765,2675,2720,▲50,＋1.87%,2764,3149,3213,3518,72273,7949860
2018/10/15,2730,2730,2625,2670,▼50,－1.84%,2828,3182,3223,3530,194941,7945470
2018/10/12,2660,2785,2645,2720,▼10,－0.37%,2918,3222,3233,3543,186688,7986450
2018/10/11,2780,2895,2730,2730,▼250,－8.39%,3013,3253,3243,3555,277910,8034765
2018/10/10,3000,3040,2910,2980,▼60,－1.97%,3128,3282,3252,3567,247405,8073784
2018/10/08,3110,3110,3010,3040,▼80,－2.56%,3206,3296,3258,3576,124297,8154256
