[일시]부산주공,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,559,564,545,557,▼2,－0.36%,563,537,522,595,218495,686824
2019/01/29,564,571,554,559,▼8,－1.41%,564,532,522,596,206071,680939
2019/01/28,573,577,564,567,▼6,－1.05%,567,529,521,598,141524,696948
2019/01/25,556,582,555,573,▲13,＋2.32%,571,525,521,599,180450,688070
2019/01/24,561,587,560,560,▼1,－0.18%,573,519,519,600,170232,673829
2019/01/23,569,569,554,561,▼11,－1.92%,578,515,519,601,278175,660533
2019/01/22,588,588,571,572,▼16,－2.72%,579,512,518,602,315810,580609
2019/01/21,595,595,572,588,▲3,＋0.51%,571,509,518,603,417305,569808
2019/01/18,590,597,579,585,0.0,0.00%,558,505,518,604,421785,589489
2019/01/17,566,587,551,585,▲22,＋3.91%,547,500,518,604,868115,570429
2019/01/16,529,605,527,563,▲31,＋5.83%,528,496,518,606,2036712,565411
2019/01/15,522,549,517,532,▲9,＋1.72%,514,493,518,608,668179,579697
2019/01/14,545,550,517,523,▼7,－1.32%,501,491,519,610,569657,562524
2019/01/11,492,612,490,530,▲38,＋7.72%,493,489,520,612,3152254,538542
2019/01/10,500,501,486,492,0.0,0.00%,481,487,521,614,156255,571680
2019/01/09,469,502,469,492,▲24,＋5.13%,477,487,522,617,446168,556545
2019/01/08,481,481,466,468,▼13,－2.70%,473,488,523,620,140497,532742
2019/01/07,473,483,471,481,▲9,＋1.91%,477,489,525,622,102950,529315
2019/01/04,471,477,464,472,▲1,＋0.21%,477,491,527,625,82556,510624
2019/01/03,475,488,461,471,▼4,－0.84%,475,494,530,627,197683,509419
2019/01/02,490,497,475,475,▼13,－2.66%,476,496,533,630,84499,522884
2018/12/28,479,491,474,488,▲9,＋1.88%,480,497,537,632,119359,512839
2018/12/27,464,483,459,479,▲19,＋4.13%,487,498,540,635,192197,486731
2018/12/26,472,472,450,460,▼17,－3.56%,491,500,544,637,293829,466229
2018/12/24,497,502,475,477,▼20,－4.02%,498,502,549,640,224089,505646
2018/12/21,521,522,495,497,▼25,－4.79%,503,503,553,643,694495,529505
2018/12/20,500,536,500,522,▲22,＋4.40%,504,504,557,646,383138,543721
2018/12/19,492,503,489,500,▲8,＋1.63%,500,503,560,648,102536,536573
2018/12/18,507,507,485,492,▼13,－2.57%,496,505,564,651,199684,529089
2018/12/17,498,505,487,505,▲3,＋0.60%,495,507,568,654,126316,529568
2018/12/14,502,506,481,502,▲3,＋0.60%,492,509,573,657,194426,528219
2018/12/13,484,499,483,499,▲15,＋3.10%,493,511,577,660,159138,511755
2018/12/12,486,494,462,484,▲1,＋0.21%,493,513,581,662,372236,481575
2018/12/11,487,492,471,483,▼8,－1.63%,500,516,586,665,190845,450492
2018/12/10,500,505,491,491,▼15,－2.96%,507,519,590,669,142746,456711
2018/12/07,502,518,500,506,▲4,＋0.80%,512,523,594,672,85313,468339
2018/12/06,519,521,494,502,▼16,－3.09%,513,526,598,675,192846,469677
2018/12/05,515,519,509,518,▼1,－0.19%,513,529,602,679,83063,500677
2018/12/04,513,521,513,519,▲6,＋1.17%,511,530,606,682,120574,500268
2018/12/03,512,520,505,513,▲1,＋0.20%,508,532,610,685,123936,488502
2018/11/30,504,513,498,512,▲8,＋1.59%,507,534,613,688,107812,488480
2018/11/29,506,515,504,504,▼2,－0.40%,506,536,617,692,59752,486192
2018/11/28,503,507,502,506,0.0,0.00%,508,537,621,695,100378,480283
2018/11/27,511,517,503,506,0.0,0.00%,511,538,626,698,57924,480511
2018/11/26,508,521,500,506,▼2,－0.39%,517,538,630,702,86974,482961
2018/11/23,513,517,499,508,▼5,－0.97%,526,538,633,705,69047,484579
2018/11/22,526,530,513,513,▼11,－2.10%,532,539,637,709,75125,482703
2018/11/21,535,539,516,524,▼11,－2.06%,537,542,639,712,195243,494207
2018/11/20,550,550,535,535,▼13,－2.37%,541,545,642,715,166377,509336
