[일시]빙그레,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,68900,68900,67800,68300,▲200,＋0.29%,68160,70885,72587,71875,11600,3093315
2019/01/29,68500,68600,67400,68100,▲200,＋0.29%,68460,71025,72607,71830,15967,3096945
2019/01/28,68000,68800,66700,67900,▼300,－0.44%,68660,71245,72620,71764,29495,3095121
2019/01/25,68200,69800,67800,68200,▼100,－0.15%,68860,71565,72668,71700,15190,3094694
2019/01/24,68700,69200,68000,68300,▼1500,－2.15%,69220,71805,72685,71633,23462,3096928
2019/01/23,69500,70600,68900,69800,▲700,＋1.01%,69380,72165,72702,71564,13517,3095202
2019/01/22,68900,69900,68800,69100,▲200,＋0.29%,69460,72435,72717,71483,11923,3098391
2019/01/21,70000,70300,68300,68900,▼1100,－1.57%,69980,72790,72777,71408,17994,3099959
2019/01/18,69700,70700,69100,70000,▲900,＋1.30%,70680,73140,72888,71335,15432,3100804
2019/01/17,70300,70300,68900,69100,▼1100,－1.57%,71180,73390,72928,71254,22791,3095880
2019/01/16,71500,73000,70200,70200,▼1500,－2.09%,71920,73755,72975,71176,19087,3092933
2019/01/15,72300,73500,71600,71700,▼700,－0.97%,72840,74080,72990,71088,23712,3094062
2019/01/14,72200,73900,72100,72400,▼100,－0.14%,73520,74300,72975,70994,19411,3092037
2019/01/11,72800,74300,72000,72500,▼300,－0.41%,74000,74455,72970,70895,21007,3089755
2019/01/10,74000,75100,72500,72800,▼2000,－2.67%,74500,74695,72997,70802,13133,3083503
2019/01/09,74100,75900,74000,74800,▼300,－0.40%,74080,74915,72983,70690,12795,3085016
2019/01/08,74800,75600,73600,75100,▲300,＋0.40%,73340,74870,72960,70563,8071,3084420
2019/01/07,75000,75500,73200,74800,▼200,－0.27%,72820,74705,72888,70428,17596,3082445
2019/01/04,71000,75200,71000,75000,▲4300,＋6.08%,72720,74665,72882,70303,34362,3079335
2019/01/03,70300,72400,69900,70700,▼400,－0.56%,72320,74595,72873,70177,13548,3078494
2019/01/02,71700,73400,70700,71100,▼1400,－1.93%,73280,74710,72893,70088,8768,3074268
2018/12/28,74300,74900,72500,72500,▼1800,－2.42%,74100,74840,72988,69993,11954,3074313
2018/12/27,72100,75800,70500,74300,▲1300,＋1.78%,74840,74985,73023,69887,21392,3069616
2018/12/26,75000,75900,71500,73000,▼2500,－3.31%,75160,75005,73043,69764,18295,3064914
2018/12/24,75200,76500,74100,75500,▲300,＋0.40%,75560,75050,73083,69655,11812,3068995
2018/12/21,76200,76200,73600,75200,▼1000,－1.31%,75740,75080,73082,69527,18943,3070918
2018/12/20,77200,77200,74400,76200,▲300,＋0.40%,76040,74965,73088,69408,19359,3070349
2018/12/19,76400,76400,74600,75900,▲900,＋1.20%,76020,74800,73082,69285,18431,3071608
2018/12/18,76900,76900,74100,75000,▼1400,－1.83%,75940,74730,73073,69166,23751,3069983
2018/12/17,76800,76800,75200,76400,▼300,－0.39%,76400,74655,73080,69055,22157,3073002
2018/12/14,77200,77200,75200,76700,▲600,＋0.79%,76560,74350,73063,68931,22296,3081645
2018/12/13,75000,77000,74200,76100,▲600,＋0.79%,76000,74165,73085,68806,41130,3093108
2018/12/12,77500,77500,75300,75500,▼1800,－2.33%,75140,73940,73130,68683,20767,3092699
2018/12/11,77200,78200,76500,77300,▲100,＋0.13%,74840,73660,73192,68570,28118,3094021
2018/12/10,74100,79500,73300,77200,▲3300,＋4.47%,74100,73275,73195,68447,53332,3097394
2018/12/07,71800,74600,70400,73900,▲2100,＋2.92%,73260,72965,73188,68339,36838,3109128
2018/12/06,74900,74900,71500,71800,▼2200,－2.97%,73220,72715,73208,68249,13386,3128274
2018/12/05,74700,74700,72700,74000,▲400,＋0.54%,73940,72695,73260,68191,14371,3128519
2018/12/04,72700,73800,71600,73600,▲600,＋0.82%,74080,72525,73223,68108,12421,3130128
2018/12/03,73000,73700,72100,73000,▼700,－0.95%,74140,72365,73170,68022,13985,3129599
2018/11/30,74900,75100,73200,73700,▼1700,－2.25%,74760,72165,73127,67948,20872,3130902
2018/11/29,75000,76000,74700,75400,▲700,＋0.94%,74600,71955,73067,67850,13709,3134635
2018/11/28,75900,76000,74000,74700,▲800,＋1.08%,74100,71630,72968,67732,11469,3139004
2018/11/27,75000,76600,73700,73900,▼2200,－2.89%,74060,71435,72868,67613,22299,3141640
2018/11/26,72500,76600,72500,76100,▲3200,＋4.39%,73980,71200,72803,67507,31137,3142100
2018/11/23,74200,74200,72200,72900,0.0,0.00%,72820,70860,72673,67380,15119,3146689
2018/11/22,75100,75100,72300,72900,▼1600,－2.15%,72840,70750,72607,67284,21991,3147046
2018/11/21,73500,74900,73000,74500,▲1000,＋1.36%,72580,70740,72528,67193,31361,3145458
2018/11/20,70600,73500,70400,73500,▲3200,＋4.55%,71660,70795,72397,67082,31837,3148534
2018/11/19,72400,73900,69800,70300,▼2700,－3.70%,70880,70740,72288,66983,32067,3140864
2018/11/16,73000,75000,71200,73000,▲1400,＋1.96%,71020,70820,72283,66910,34390,3139744
2018/11/15,70400,72100,70300,71600,▲1700,＋2.43%,70200,70725,72203,66825,26257,3134164
2018/11/14,69700,70500,68300,69900,▲300,＋0.43%,70160,70685,72142,66757,31778,3126487
2018/11/13,70500,71000,69100,69600,▼1400,－1.97%,70300,70795,72093,66695,18291,3114438
2018/11/12,68900,71300,68900,71000,▲2100,＋3.05%,70460,71020,72020,66642,13287,3118439
2018/11/09,70800,73400,68800,68900,▼2500,－3.50%,70060,71070,71868,66583,19057,3122308
2018/11/08,70600,72900,70500,71400,▲800,＋1.13%,70180,71295,71727,66545,21751,3127421
