[일시]사조대림,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,24400,24450,23950,24100,▼250,－1.03%,24680,24318,23325,22671,11197,67624
2019/01/29,24900,24900,24150,24350,▼250,－1.02%,24870,24318,23271,22669,9468,68125
2019/01/28,25900,25900,23400,24600,▼450,－1.80%,24990,24310,23203,22667,23243,68439
2019/01/25,25300,25400,24800,25050,▼250,－0.99%,25170,24280,23127,22660,10290,70340
2019/01/24,25050,25450,24750,25300,▲250,＋1.00%,24960,24205,23031,22649,11497,68852
2019/01/23,24950,25150,24350,25050,▲100,＋0.40%,24650,24130,22924,22635,15829,66222
2019/01/22,25700,25900,24700,24950,▼550,－2.16%,24400,24025,22843,22620,38039,72633
2019/01/21,24800,25600,24250,25500,▲1500,＋6.25%,24160,23930,22771,22603,84216,78250
2019/01/18,23700,24750,23700,24000,▲250,＋1.05%,23770,23815,22703,22588,13429,76860
2019/01/17,23800,24000,23450,23750,▼50,－0.21%,23690,23760,22668,22582,7821,78910
2019/01/16,24000,24000,23350,23800,▲50,＋0.21%,23720,23733,22647,22588,10715,79304
2019/01/15,23700,23900,23400,23750,▲200,＋0.85%,23790,23705,22622,22593,3735,77972
2019/01/14,23600,23850,23100,23550,▼50,－0.21%,23720,23683,22583,22602,15858,77714
2019/01/11,23950,24350,23350,23600,▼300,－1.26%,23930,23640,22545,22615,9280,76809
2019/01/10,24150,24300,23800,23900,▼250,－1.04%,24120,23575,22494,22631,2278,76589
2019/01/09,23450,24550,23350,24150,▲750,＋3.21%,24220,23505,22436,22641,35352,77228
2019/01/08,24700,24700,22900,23400,▼1200,－4.88%,24210,23440,22379,22648,58917,72743
2019/01/07,24700,24700,24100,24600,▲50,＋0.20%,24370,23395,22327,22662,10914,71054
2019/01/04,24400,24650,23700,24550,▲150,＋0.61%,24250,23323,22275,22669,14099,72081
2019/01/03,24000,24650,23550,24400,▲300,＋1.24%,24050,23285,22238,22675,16513,73353
2019/01/02,24050,24400,23700,24100,▼100,－0.41%,23930,23263,22204,22678,8694,74615
2018/12/28,24150,24600,23600,24200,▲200,＋0.83%,23700,23263,22176,22673,12452,74794
2018/12/27,23550,24300,23300,24000,▲450,＋1.91%,23470,23238,22148,22673,24322,76820
2018/12/26,23450,23800,22850,23550,▼250,－1.05%,23310,23228,22126,22675,13296,74455
2018/12/24,23050,23900,22250,23800,▲850,＋3.70%,23180,23260,22121,22680,20297,75896
2018/12/21,23000,23300,22500,22950,▼100,－0.43%,23060,23298,22106,22694,7196,73740
2018/12/20,23250,23400,22650,23050,▼150,－0.65%,23120,23335,22092,22710,5109,73551
2018/12/19,22900,23550,22600,23200,▲300,＋1.31%,23170,23373,22064,22729,7413,74116
2018/12/18,23000,23450,22600,22900,▼300,－1.29%,23070,23380,22028,22749,2547,75076
2018/12/17,22650,23350,22450,23200,▼50,－0.22%,22950,23388,22006,22777,4796,76032
2018/12/14,23300,23500,22800,23250,▼50,－0.21%,22810,23380,21978,22802,2890,76736
2018/12/13,22750,23300,22600,23300,▲600,＋2.64%,22730,23355,21953,22827,5054,77572
