[일시]삼성SDI,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,229000,230000,225000,228000,▼1000,－0.44%,229400,227000,218667,227646,324592,26961718
2019/01/29,230000,233500,226500,229000,▼3000,－1.29%,229900,226125,218775,227633,391118,26939995
2019/01/28,233500,233500,226000,232000,▼500,－0.22%,229900,225625,218767,227608,730017,26953549
2019/01/25,224500,232500,223500,232500,▲7000,＋3.10%,230800,225050,218825,227583,389228,26857764
2019/01/24,229000,230000,225000,225500,▼5000,－2.17%,230800,224325,218867,227546,469060,26848491
2019/01/23,228000,233500,228000,230500,▲1500,＋0.66%,232100,223975,218925,227621,230664,26867424
2019/01/22,236500,237500,229000,229000,▼7500,－3.17%,234000,223500,218950,227629,262273,26869210
2019/01/21,233000,236500,228500,236500,▲4000,＋1.72%,235500,222550,218958,227638,257564,26861153
2019/01/18,233000,238500,230000,232500,▲500,＋0.22%,234600,221275,218725,227567,339781,26809497
2019/01/17,240000,240000,231000,232000,▼8000,－3.33%,234300,219775,218842,227467,368565,26813118
2019/01/16,236500,240000,233500,240000,▲3500,＋1.48%,233300,218525,219158,227467,279141,26781530
2019/01/15,232000,238000,231000,236500,▲4500,＋1.94%,230600,216800,219367,227425,309743,26744697
2019/01/14,229500,234000,228000,232000,▲1000,＋0.43%,227000,215775,219633,227346,192426,26691735
2019/01/11,227500,232000,226500,231000,▲4000,＋1.76%,224000,214600,219942,227317,246538,26657997
2019/01/10,226000,228500,224000,227000,▲500,＋0.22%,218000,213225,220150,227300,277278,26586464
2019/01/09,220500,227000,219000,226500,▲8000,＋3.66%,213200,212075,220425,227383,455066,26492011
2019/01/08,218000,219500,213000,218500,▲1500,＋0.69%,210000,211150,220717,227442,310061,26344480
2019/01/07,209000,219500,208500,217000,▲16000,＋7.96%,210100,210625,220858,227496,549913,26339685
2019/01/04,201500,204000,194000,201000,▼2000,－0.99%,210800,210600,221217,227592,474274,26227355
2019/01/03,209000,209500,202000,203000,▼7500,－3.56%,214200,211475,221850,227854,484354,26240469
2019/01/02,222000,224000,208500,210500,▼8500,－3.88%,217300,212375,222417,228088,345548,26266429
2018/12/28,221000,223000,216000,219000,▼1500,－0.68%,219400,212175,222975,228125,195928,26300928
2018/12/27,226000,226500,219000,220500,▲2500,＋1.15%,217600,211700,223492,228075,311555,26306265
2018/12/26,213500,224500,213500,218000,▼500,－0.23%,215700,211125,224025,228008,440953,26344507
2018/12/24,222000,223000,215000,218500,▼2500,－1.13%,212600,210700,224700,227975,309873,26419141
2018/12/21,211500,222500,211500,221000,▲11000,＋5.24%,210300,210075,225408,227938,706872,26512282
2018/12/20,209000,213000,207000,210000,▼1000,－0.47%,207200,209100,225992,227929,294353,26533466
2018/12/19,204000,213000,203500,211000,▲8500,＋4.20%,208400,209025,226717,228058,336919,26540256
2018/12/18,202500,207000,201500,202500,▼4500,－2.17%,207900,209000,227475,228167,229498,26511353
2018/12/17,204500,208000,201500,207000,▲1500,＋0.73%,208100,209325,228350,228358,282481,26532342
2018/12/14,215000,215500,203000,205500,▼10500,－4.86%,207500,210100,229008,228525,459055,26476140
2018/12/13,211000,218000,209500,216000,▲7500,＋3.60%,208000,210825,229667,228696,656263,26490036
2018/12/12,206500,210500,203500,208500,▲5000,＋2.46%,206400,211125,230042,228804,421767,26457114
2018/12/11,206000,207500,202000,203500,▼500,－0.25%,208000,211575,230692,228867,278367,26469354
2018/12/10,204500,206000,201000,204000,▼4000,－1.92%,211000,212200,231458,229029,266379,26446769
2018/12/07,210000,212000,207500,208000,0.0,0.00%,214400,212950,232125,229292,205321,26420828
2018/12/06,216500,217000,206000,208000,▼8500,－3.93%,214100,213375,232642,229450,376562,26413098
