[일시]삼성전기,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,113000,116000,111000,112000,▼1500,－1.32%,108000,98645,108148,125220,2358963,16068262
2019/01/29,106000,114500,103500,113500,▲7500,＋7.08%,104880,98045,108532,125591,3658161,16027343
2019/01/28,109500,110000,106000,106000,▼3500,－3.20%,101220,97545,108823,125941,1720123,15865459
2019/01/25,101000,110000,100500,109500,▲10500,＋10.61%,99480,97420,109023,126337,4169300,16100384
2019/01/24,97000,99100,95700,99000,▲2600,＋2.70%,96500,96870,109215,126699,1388831,15584118
2019/01/23,94600,98400,94600,96400,▲1200,＋1.26%,95420,96970,109440,127233,1475595,15510328
2019/01/22,97400,98000,94500,95200,▼2100,－2.16%,95340,97325,109700,127788,1047310,15570551
2019/01/21,95500,98400,94700,97300,▲2700,＋2.85%,95720,97740,110055,128315,1779370,15725629
2019/01/18,94200,95400,92400,94600,▲1000,＋1.07%,95080,98050,110442,128829,1197321,15750943
2019/01/17,95500,96800,93600,93600,▼2400,－2.50%,95780,98370,111007,129274,1435354,15855088
2019/01/16,97500,98000,94500,96000,▼1100,－1.13%,96500,98865,111722,129748,1171185,16087879
2019/01/15,94200,97300,94200,97100,▲3000,＋3.19%,97040,99140,112422,130232,1186102,16173868
2019/01/14,97200,97300,93700,94100,▼4000,－4.08%,96240,99735,113087,130702,1506639,15807450
2019/01/11,98300,100500,97100,98100,▲900,＋0.93%,96520,100630,113835,131222,1321347,15894523
2019/01/10,98000,98500,96100,97200,▼1500,－1.52%,95300,101175,114458,131729,1152720,16022727
2019/01/09,93800,99300,93400,98700,▲5600,＋6.02%,94660,101840,115047,132273,1995921,16018008
2019/01/08,94400,95400,92900,93100,▼2400,－2.51%,94920,102730,115602,132751,1372173,16043704
2019/01/07,94500,96500,93800,95500,▲3500,＋3.80%,97000,103800,116133,133267,1487041,16085745
2019/01/04,93700,94200,90100,92000,▼2000,－2.13%,98600,104950,116733,133758,3078738,15698159
2019/01/03,99800,99900,94000,94000,▼6000,－6.00%,99900,106375,117408,134283,2242797,15901732
2019/01/02,104500,105500,99800,100000,▼3500,－3.38%,101300,107950,118092,134738,1052757,15844967
2018/12/28,104000,105500,102000,103500,0.0,0.00%,102000,108975,118733,135096,838230,15238353
2018/12/27,102500,104000,101000,103500,▲5000,＋5.08%,102000,109875,119308,135421,1338258,15452491
2018/12/26,98400,100500,98200,98500,▼2500,－2.48%,102000,110850,119883,135821,1589646,15867449
2018/12/24,103000,103000,100500,101000,▼2500,－2.42%,102500,111875,120558,136238,868098,15601519
2018/12/21,102000,106000,101500,103500,0.0,0.00%,103000,112625,121242,136633,1305460,15577002
2018/12/20,101000,104000,99500,103500,0.0,0.00%,102600,113050,121933,137017,1637191,15549894
2018/12/19,101000,104500,101000,103500,▲2500,＋2.48%,103700,113475,122642,137396,1217885,15512387
2018/12/18,100500,102500,99800,101000,▼2500,－2.42%,105400,113925,123433,137767,1568909,15435150
2018/12/17,101000,104500,101000,103500,▲2000,＋1.97%,107000,114325,124275,138204,1590920,15408848
2018/12/14,108500,108500,101000,101500,▼7500,－6.88%,108400,114875,125083,138600,3174288,15026502
2018/12/13,112000,112500,107000,109000,▼3000,－2.68%,111400,115425,125925,139042,2359249,15219739
2018/12/12,109500,112500,109500,112000,▲3000,＋2.75%,112500,115800,126525,139400,1302999,15491675
2018/12/11,112000,112500,108000,109000,▼1500,－1.36%,113800,115800,127100,139650,1331768,15391025
2018/12/10,114000,114500,109500,110500,▼6000,－5.15%,116100,115950,127833,139925,1792137,15581946
2018/12/07,116000,117500,114500,116500,▲2000,＋1.75%,119100,116175,128542,140225,772029,16029166
2018/12/06,118000,120500,113000,114500,▼4000,－3.38%,119900,116350,129208,140471,1540336,15955597
2018/12/05,116500,119500,116500,118500,▼2000,－1.66%,121300,116875,130000,140725,1199030,15923260
2018/12/04,125000,125500,119000,120500,▼5000,－3.98%,122200,117175,130683,140950,1461071,15819342
2018/12/03,123500,126000,123000,125500,▲5000,＋4.15%,121900,117425,131392,141163,1492039,15836244
2018/11/30,122500,123500,120500,120500,▼1000,－0.82%,120000,117850,131942,141325,1405050,15841966
2018/11/29,127000,127500,121000,121500,▼1500,－1.22%,118300,118575,132617,141479,1954070,16000064
2018/11/28,119500,123500,117500,123000,▲4000,＋3.36%,116400,119050,133283,141638,1631587,15915613
2018/11/27,118500,120500,116000,119000,▲3000,＋2.59%,114300,118800,133908,141767,1819233,15772282
2018/11/26,113000,117000,112000,116000,▲4000,＋3.57%,112300,118900,134517,141892,1381064,15730613
2018/11/23,113000,116000,111000,112000,0.0,0.00%,112000,118725,135233,141988,987069,15708186
2018/11/22,112500,114000,111000,112000,▼500,－0.44%,112100,118725,135908,142129,948825,15814121
2018/11/21,106500,113500,104500,112500,▲3500,＋3.21%,113000,118950,136500,142279,2381954,15859729
2018/11/20,111000,112500,108500,109000,▼5500,－4.80%,112900,119350,137058,142425,1630336,15744787
2018/11/19,113500,116000,113000,114500,▲2000,＋1.78%,113500,120325,137633,142592,1005743,15668518
2018/11/16,117500,118000,112500,112500,▼4000,－3.43%,113600,121425,137950,142704,1673062,15740469
2018/11/15,111500,117000,111000,116500,▲4500,＋4.02%,115100,122700,138367,142813,1483985,16147090
2018/11/14,112000,115500,111000,112000,0.0,0.00%,116800,123725,138767,142842,1471367,16177738
2018/11/13,111500,112500,109000,112000,▼3000,－2.61%,119300,125075,139233,142896,2179772,16498922
2018/11/12,117500,120000,114000,115000,▼5000,－4.17%,122000,126250,139683,142992,2153274,16800416
2018/11/09,123500,124000,118500,120000,▼5000,－4.00%,125800,127125,140092,143079,2377256,16991266
2018/11/08,128500,130000,125000,125000,▲500,＋0.40%,128800,127725,140558,143121,1393179,17005579
2018/11/07,126000,128000,123500,124500,▼1000,－0.80%,130000,127725,140967,143113,1574456,17025399
2018/11/06,133000,133500,124000,125500,▼8500,－6.34%,128700,128075,141450,143100,3259269,17042086
2018/11/05,132500,136000,132000,134000,▼1000,－0.74%,127800,128425,141883,143067,1162907,17330682
2018/11/02,132000,138000,129000,135000,▲4000,＋3.05%,123500,128475,142292,142917,3156029,17305458
2018/11/01,120000,131000,119500,131000,▲13000,＋11.02%,118900,128650,142650,142750,4171021,16634674
2018/10/31,122500,123000,114000,118000,▼3000,－2.48%,116000,129000,143058,142579,3231703,15341728
2018/10/30,111500,122000,110500,121000,▲8500,＋7.56%,116500,130000,143650,142571,3146241,15626569
2018/10/29,114000,118000,111000,112500,▲500,＋0.45%,118000,130900,144183,142550,2835687,15838783
2018/10/26,119000,119500,107000,112000,▼4500,－3.86%,122800,132375,145025,142625,3929471,16104864
2018/10/25,115000,119000,111000,116500,▼4000,－3.32%,128000,134025,145875,142679,3720983,16448263
2018/10/24,130500,132500,119000,120500,▼8000,－6.23%,132100,135500,146575,142688,3548987,16808198
2018/10/23,136000,136000,127000,128500,▼8000,－5.86%,135800,137025,147217,142658,1939614,17379167
2018/10/22,136500,138000,135000,136500,▼1500,－1.09%,137200,138175,147542,142617,788334,17633869
2018/10/19,135000,139000,134000,138000,▲1000,＋0.73%,136400,138950,147775,142496,1002656,17756281
2018/10/18,138500,141000,136000,137000,▼2000,－1.44%,135200,139650,148042,142379,901966,17845276
2018/10/17,140500,143500,137000,139000,▲3500,＋2.58%,132800,140050,148317,142304,2227189,18062148
2018/10/16,134500,137500,133500,135500,▲3000,＋2.26%,131300,140425,148608,142213,992036,18108438
2018/10/15,132500,134500,128500,132500,▲500,＋0.38%,130700,141300,149000,142133,1392038,17999192
2018/10/12,126000,133000,125500,132000,▲7000,＋5.60%,131200,142325,149500,142017,2083832,18149525
2018/10/11,125500,129500,124500,125000,▼6500,－4.94%,132500,143550,149900,141879,2211351,18406043
2018/10/10,132500,133000,126500,131500,▼1000,－0.75%,135100,145400,150400,141738,2535201,18410948
2018/10/08,134000,136500,131500,132500,▼2500,－1.85%,136400,146800,150783,141550,1490608,18977928
2018/10/05,139000,139500,134000,135000,▼3500,－2.53%,137700,148325,151158,141329,1877423,19235898
2018/10/04,141000,144000,137500,138500,▲500,＋0.36%,139100,149500,151383,141088,1630130,19834959
2018/10/02,138000,139500,136500,138000,0.0,0.00%,140400,150625,151458,140813,1090831,20326249
2018/10/01,139500,141500,137000,138000,▼1000,－0.72%,142000,151800,151533,140521,1109954,20655890
2018/09/28,142500,143000,136000,139000,▼3000,－2.11%,144600,152925,151758,140258,2249039,20939955
2018/09/27,145500,147500,142000,142000,▼3000,－2.07%,147100,153750,151917,139958,1041738,21560014
2018/09/21,148500,148500,142500,145000,▼1000,－0.68%,149100,154600,152025,139654,988039,21676747
2018/09/20,152000,152000,145000,146000,▼5000,－3.31%,150500,154975,152100,139338,1055119,21916225
2018/09/19,153500,154000,147500,151000,▼500,－0.33%,150300,155050,152150,138992,650384,22006720
2018/09/18,150500,155000,149000,151500,▼500,－0.33%,149400,154800,152100,138629,610960,22078364
2018/09/17,153500,154000,149500,152000,0.0,0.00%,149700,154400,152133,138238,636250,22156534
2018/09/14,148000,152000,147500,152000,▲7000,＋4.83%,149900,153475,152117,137813,873332,22294700
2018/09/13,146000,149000,144500,145000,▼1500,－1.02%,150800,152750,152158,137408,1062975,22273256
2018/09/12,153500,155000,144000,146500,▼6500,－4.25%,154200,152525,152275,137042,1756437,22312708
2018/09/11,153500,154500,147000,153000,0.0,0.00%,156800,152200,152200,136658,1151449,22733303
2018/09/10,155000,158500,151500,153000,▼3500,－2.24%,158800,151500,152017,136210,847051,22962345
2018/09/07,160500,161000,153500,156500,▼5500,－3.40%,159900,150825,151908,135748,931114,23152450
2018/09/06,160000,163000,158000,162000,▲2500,＋1.57%,160800,150400,151733,135250,607370,23245229
2018/09/05,163500,164000,159000,159500,▼3500,－2.15%,160700,149775,151450,134705,445305,23213587
2018/09/04,158000,164000,158000,163000,▲4500,＋2.84%,160900,149475,151217,134165,552977,23223294
2018/09/03,161500,163000,157000,158500,▼2500,－1.55%,159400,148900,150933,133609,582151,23103433
2018/08/31,160500,162500,157500,161000,▼500,－0.31%,159500,148900,150708,133087,426252,23075916
2018/08/30,161500,164500,159000,161500,▲1000,＋0.62%,157800,148675,150342,132515,565770,23061937
2018/08/29,158000,162500,156500,160500,▲5000,＋3.22%,155000,148375,149992,131933,776381,22979710
2018/08/28,160000,160500,155000,155500,▼3500,－2.20%,152100,148025,149625,131363,698522,22798334
2018/08/27,153500,159500,152500,159000,▲6500,＋4.26%,149700,147900,149267,130808,872233,22794350
2018/08/24,147000,154000,145500,152500,▲5000,＋3.39%,144600,148100,148742,130242,707898,22454023
2018/08/23,147500,148000,143500,147500,▲1500,＋1.03%,141600,148625,148350,129743,411030,22375261
