[일시]삼성제약,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,2690,2735,2675,2700,▲20,＋0.75%,2704,2615,2651,2877,157064,2728694
2019/01/29,2705,2735,2660,2680,▼30,－1.11%,2696,2606,2651,2880,158745,2744623
2019/01/28,2720,2750,2700,2710,0.0,0.00%,2701,2598,2650,2884,195288,2754518
2019/01/25,2725,2760,2685,2710,▼10,－0.37%,2693,2585,2648,2886,265543,2744285
2019/01/24,2660,2740,2660,2720,▲60,＋2.26%,2671,2568,2645,2888,258596,2763864
2019/01/23,2700,2710,2655,2660,▼45,－1.66%,2644,2554,2642,2890,128443,2728004
2019/01/22,2670,2710,2635,2705,▲35,＋1.31%,2629,2546,2641,2892,162456,2759579
2019/01/21,2600,2745,2590,2670,▲70,＋2.69%,2603,2538,2643,2894,336429,2771439
2019/01/18,2595,2610,2565,2600,▲15,＋0.58%,2584,2531,2646,2897,125982,2773694
2019/01/17,2565,2620,2565,2585,0.0,0.00%,2580,2529,2651,2900,199372,2765839
2019/01/16,2575,2590,2550,2585,▲10,＋0.39%,2583,2528,2658,2904,236646,2734487
2019/01/15,2550,2600,2550,2575,0.0,0.00%,2581,2532,2665,2908,115269,2706852
2019/01/14,2600,2610,2555,2575,▼5,－0.19%,2572,2538,2671,2912,131236,2700273
2019/01/11,2610,2635,2560,2580,▼20,－0.77%,2567,2544,2677,2918,162196,2685762
2019/01/10,2580,2615,2570,2600,▲25,＋0.97%,2557,2546,2683,2923,126690,2695527
2019/01/09,2545,2580,2540,2575,▲45,＋1.78%,2529,2548,2688,2928,124181,2748641
2019/01/08,2550,2590,2510,2530,▼20,－0.78%,2516,2554,2694,2933,144855,2735227
2019/01/07,2535,2590,2535,2550,▲20,＋0.79%,2516,2562,2700,2938,151192,2714586
2019/01/04,2425,2530,2390,2530,▲70,＋2.85%,2495,2573,2708,2942,131435,2735510
2019/01/03,2510,2555,2430,2460,▼50,－1.99%,2465,2587,2718,2947,153473,2718701
2019/01/02,2520,2595,2510,2510,▼20,－0.79%,2459,2605,2730,2951,198372,2737376
2018/12/28,2450,2545,2450,2530,▲85,＋3.48%,2458,2617,2744,2954,220717,2700705
2018/12/27,2405,2480,2405,2445,▲65,＋2.73%,2459,2628,2758,2956,186177,2683578
2018/12/26,2350,2410,2340,2380,▼50,－2.06%,2477,2644,2777,2959,238807,2683347
2018/12/24,2505,2505,2430,2430,▼75,－2.99%,2512,2666,2798,2962,213904,2704204
2018/12/21,2510,2545,2500,2505,▼30,－1.18%,2542,2684,2815,2965,201309,2717722
2018/12/20,2515,2560,2490,2535,0.0,0.00%,2572,2696,2828,2967,159495,2709734
2018/12/19,2525,2545,2500,2535,▼20,－0.78%,2606,2712,2840,2972,195870,2699134
2018/12/18,2560,2560,2510,2555,▼25,－0.97%,2635,2725,2850,2977,192236,2699482
2018/12/17,2650,2650,2510,2580,▼75,－2.82%,2650,2736,2863,2982,253769,2874556
2018/12/14,2685,2710,2630,2655,▼50,－1.85%,2662,2745,2875,2986,175064,2932085
2018/12/13,2690,2705,2645,2705,▲25,＋0.93%,2669,2745,2886,2989,139580,2972854
2018/12/12,2625,2690,2600,2680,▲50,＋1.90%,2667,2742,2894,2993,179163,2943301
2018/12/11,2645,2700,2630,2630,▼10,－0.38%,2684,2742,2903,2995,141767,2811520
2018/12/10,2690,2695,2610,2640,▼50,－1.86%,2720,2743,2914,3000,153613,2821138
2018/12/07,2710,2720,2665,2690,▼5,－0.19%,2755,2742,2923,3005,131399,2811752
2018/12/06,2755,2810,2665,2695,▼70,－2.53%,2769,2742,2932,3010,260571,2781458
2018/12/05,2775,2805,2750,2765,▼45,－1.60%,2780,2744,2941,3015,153289,2816132
2018/12/04,2815,2850,2795,2810,▼5,－0.18%,2781,2742,2950,3019,123719,2799376
2018/12/03,2780,2840,2780,2815,▲55,＋1.99%,2782,2738,2959,3024,166715,2780253
2018/11/30,2735,2805,2735,2760,▲10,＋0.36%,2777,2734,2967,3028,115845,2710741
2018/11/29,2810,2820,2740,2750,▼20,－0.72%,2773,2732,2977,3032,133944,2673164
2018/11/28,2820,2830,2745,2770,▼45,－1.60%,2794,2725,2986,3036,139536,2651696
2018/11/27,2810,2825,2765,2815,▲25,＋0.90%,2800,2715,2996,3042,114740,2651235
2018/11/26,2740,2815,2740,2790,▲50,＋1.82%,2791,2702,3005,3046,133391,2656395
2018/11/23,2855,2875,2720,2740,▼115,－4.03%,2785,2687,3014,3050,193662,2593552
2018/11/22,2800,2960,2800,2855,▲55,＋1.96%,2770,2682,3023,3054,407073,2635120
2018/11/21,2770,2810,2705,2800,▲30,＋1.08%,2728,2678,3028,3057,199729,2630617
2018/11/20,2750,2795,2710,2770,▲10,＋0.36%,2704,2681,3033,3060,236501,2602532
2018/11/19,2665,2770,2665,2760,▲95,＋3.56%,2680,2688,3040,3065,295752,2589055
2018/11/16,2670,2690,2620,2665,▲20,＋0.76%,2649,2702,3045,3071,176940,2475792
2018/11/15,2670,2680,2575,2645,▼35,－1.31%,2655,2717,3052,3078,278921,2411926
2018/11/14,2650,2715,2610,2680,▲30,＋1.13%,2674,2733,3057,3086,178936,2463312
2018/11/13,2565,2655,2530,2650,▲45,＋1.73%,2682,2747,3063,3093,249175,2404236
2018/11/12,2690,2700,2600,2605,▼90,－3.34%,2700,2760,3068,3101,234622,2338298
2018/11/09,2750,2750,2670,2695,▼45,－1.64%,2724,2775,3076,3109,207695,2351028
2018/11/08,2780,2790,2700,2740,▲20,＋0.74%,2729,2788,3083,3117,186952,2376647
2018/11/07,2745,2795,2700,2720,▼20,－0.73%,2704,2795,3088,3124,267979,2393107
2018/11/06,2745,2770,2650,2740,▲15,＋0.55%,2675,2810,3094,3132,150315,2431147
2018/11/05,2705,2780,2650,2725,▲5,＋0.18%,2636,2830,3098,3140,187498,2420859
2018/11/02,2615,2730,2615,2720,▲105,＋4.02%,2591,2853,3104,3148,240478,2393174
2018/11/01,2495,2670,2495,2615,▲40,＋1.55%,2573,2883,3109,3156,379183,2374224
2018/10/31,2595,2605,2500,2575,▲30,＋1.18%,2607,2920,3117,3166,267284,2324542
2018/10/30,2430,2560,2320,2545,▲45,＋1.80%,2663,2972,3124,3176,577199,2353009
2018/10/29,2650,2745,2490,2500,▼130,－4.94%,2736,3027,3131,3185,588844,2253560
2018/10/26,2845,2845,2585,2630,▼155,－5.57%,2843,3073,3138,3195,518480,2271194
2018/10/25,2770,2840,2725,2785,▼70,－2.45%,2912,3105,3144,3203,283300,2270984
2018/10/24,2915,2975,2840,2855,▼55,－1.89%,2945,3129,3145,3210,241632,2248103
2018/10/23,3055,3055,2895,2910,▼125,－4.12%,2966,3145,3147,3217,278418,2294915
2018/10/22,2970,3045,2935,3035,▲60,＋2.02%,2968,3166,3148,3223,215249,2333232
2018/10/19,2920,2990,2875,2975,▲25,＋0.85%,2941,3180,3150,3230,217978,2330149
2018/10/18,2975,3005,2925,2950,▼10,－0.34%,2937,3194,3152,3236,249927,2341184
2018/10/17,2970,2990,2935,2960,▲40,＋1.37%,2925,3207,3154,3245,306622,2333155
2018/10/16,2895,2950,2895,2920,▲20,＋0.69%,2934,3221,3158,3254,270645,2334172
2018/10/15,3000,3040,2895,2900,▼55,－1.86%,2978,3238,3163,3263,446315,2325865
2018/10/12,2800,2970,2760,2955,▲65,＋2.25%,3037,3254,3168,3278,561366,2398464
2018/10/11,2925,2990,2825,2890,▼115,－3.83%,3110,3267,3171,3291,720438,2414319
2018/10/10,3105,3140,3005,3005,▼135,－4.30%,3201,3285,3175,3306,656719,2460636
2018/10/08,3125,3220,3125,3140,▼55,－1.72%,3326,3300,3177,3320,543996,2511541
2018/10/05,3265,3325,3155,3195,▼125,－3.77%,3424,3309,3175,3332,825733,2645711
2018/10/04,3360,3390,3250,3320,▼25,－0.75%,3469,3314,3171,3343,718579,2806667
2018/10/02,3635,3685,3345,3345,▼285,－7.85%,3462,3315,3163,3352,1394983,2767329
2018/10/01,3650,3740,3570,3630,0.0,0.00%,3444,3315,3155,3362,1602766,2874499
2018/09/28,3480,3750,3450,3630,▲210,＋6.14%,3355,3300,3140,3369,6123623,2966878
2018/09/27,3275,3465,3235,3420,▲135,＋4.11%,3292,3286,3125,3373,1466831,3374999
2018/09/21,3300,3305,3235,3285,▲30,＋0.92%,3271,3282,3115,3379,356304,3182512
2018/09/20,3190,3365,3185,3255,▲70,＋2.20%,3268,3282,3107,3386,994373,3221810
2018/09/19,3350,3355,3165,3185,▼130,－3.92%,3259,3277,3104,3391,741479,2948499
2018/09/18,3340,3390,3290,3315,0.0,0.00%,3269,3274,3103,3399,591431,3182327
2018/09/17,3315,3425,3280,3315,▲45,＋1.38%,3258,3266,3100,3405,1327596,3211946
2018/09/14,3230,3310,3145,3270,▲60,＋1.87%,3238,3255,3096,3410,450733,3279857
2018/09/13,3250,3250,3185,3210,▼25,－0.77%,3227,3244,3093,3417,252826,3223479
2018/09/12,3255,3280,3220,3235,▼25,－0.77%,3234,3231,3092,3425,314126,3260735
2018/09/11,3210,3260,3150,3260,▲45,＋1.40%,3250,3220,3088,3431,496936,3222142
2018/09/10,3280,3280,3185,3215,0.0,0.00%,3262,3206,3085,3436,382472,3090004
2018/09/07,3240,3290,3200,3215,▼30,－0.92%,3278,3200,3087,3443,325251,3110984
2018/09/06,3315,3330,3240,3245,▼70,－2.11%,3304,3194,3088,3450,346002,3069558
2018/09/05,3325,3375,3245,3315,▼5,－0.15%,3322,3184,3089,3457,524299,3078686
