[일시]삼성화재,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,270000,273000,266000,273000,▲3000,＋1.11%,272200,270925,275150,273625,98064,23595146
2019/01/29,274000,274500,268500,270000,▼1500,－0.55%,271700,270500,275217,273575,71005,23594063
2019/01/28,272000,274000,269500,271500,▼3000,－1.09%,271500,270450,275258,273600,63638,23588781
2019/01/25,270000,276500,269500,274500,▲2500,＋0.92%,271200,270275,275375,273613,76325,23574041
2019/01/24,268500,274000,268500,272000,▲1500,＋0.55%,270400,270475,275375,273617,76798,23561318
2019/01/23,268500,271000,268500,270500,▲1500,＋0.56%,270300,271000,275550,273604,68189,23543062
2019/01/22,268500,270500,267000,269000,▼1000,－0.37%,271200,271350,275733,273604,71247,23562926
2019/01/21,270000,272000,269000,270000,▼500,－0.18%,271700,271825,275942,273621,37311,23583418
2019/01/18,273000,273000,268500,270500,▼1000,－0.37%,271200,272400,276133,273638,57927,23582301
2019/01/17,273000,275000,271500,271500,▼3500,－1.27%,270500,272475,276258,273663,56377,23578343
2019/01/16,271000,275000,269500,275000,▲3500,＋1.29%,270000,272450,276500,273629,61328,23574081
2019/01/15,269000,271500,267500,271500,▲4000,＋1.50%,269000,272550,276558,273533,57272,23540389
2019/01/14,266000,269500,265000,267500,▲500,＋0.19%,268700,272650,276667,273475,65622,23525158
2019/01/11,267500,268500,265500,267000,▼2000,－0.74%,270100,272850,276875,273433,72422,23515454
2019/01/10,268500,272000,267000,269000,▼1000,－0.37%,271100,273225,276975,273408,90963,23513787
2019/01/09,269000,272000,268000,270000,0.0,0.00%,271200,273375,277067,273383,86849,23495472
2019/01/08,276500,276500,269500,270000,▼4500,－1.64%,270100,273450,277100,273338,59184,23467896
2019/01/07,275000,276000,271000,274500,▲2500,＋0.92%,269900,273750,277225,273308,65923,23439651
2019/01/04,270500,272500,265500,272000,▲2500,＋0.93%,268600,273750,277408,273263,69272,23410867
2019/01/03,265500,271000,263000,269500,▲5000,＋1.89%,269900,273750,277608,273292,72799,23397235
2019/01/02,268000,269000,263000,264500,▼4500,－1.67%,272500,273800,277833,273333,49598,23378674
2018/12/28,268500,270000,266000,269000,▲1000,＋0.37%,275100,274200,278167,273358,57623,23376525
2018/12/27,271500,271500,265500,268000,▼10500,－3.77%,277000,274625,278433,273346,105748,23372267
