[일시]삼양식품,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,60300,64500,59500,63800,▲4500,＋7.59%,60340,58080,58035,67021,162999,402551
2019/01/29,61800,61800,58700,59300,▼2100,－3.42%,59280,57395,58052,67193,80988,403578
2019/01/28,58600,62800,57200,61400,▲2600,＋4.42%,59160,57030,58130,67419,160283,427404
2019/01/25,58700,59200,57600,58800,▲400,＋0.68%,58620,56490,58118,67613,47996,416071
2019/01/24,58200,59000,57500,58400,▼100,－0.17%,58320,56060,58165,67831,52876,413632
2019/01/23,58200,59500,58200,58500,▼200,－0.34%,58200,55780,58202,68043,35223,406239
2019/01/22,59100,59700,58000,58700,0.0,0.00%,58380,55595,58230,68286,27708,411454
2019/01/21,57700,59800,57600,58700,▲1400,＋2.44%,58600,55410,58265,68527,57579,419118
2019/01/18,58300,58800,57000,57300,▼500,－0.87%,58920,55270,58312,68770,40722,425824
2019/01/17,59400,59900,57100,57800,▼1600,－2.69%,59660,55210,58425,69023,50189,424525
2019/01/16,59800,60900,58900,59400,▼400,－0.67%,60300,55125,58575,69313,49639,427527
2019/01/15,61900,61900,58900,59800,▼500,－0.83%,60000,54970,58668,69592,74849,425032
2019/01/14,61100,63100,59800,60300,▼700,－1.15%,59880,54875,58753,69887,59470,425886
2019/01/11,61700,63400,60700,61000,0.0,0.00%,58500,54715,58838,70188,101486,421805
2019/01/10,57900,61500,57900,61000,▲3100,＋5.35%,56120,54500,58907,70463,132460,427246
2019/01/09,59200,62000,57600,57900,▼1300,－2.20%,53480,54360,58962,70763,157035,432479
2019/01/08,53400,63300,52800,59200,▲5800,＋10.86%,51920,54460,59093,71071,347192,442930
2019/01/07,49900,54500,49750,53400,▲4300,＋8.76%,50480,54450,59160,71375,110011,476775
2019/01/04,47200,49350,47200,49100,▲1300,＋2.72%,49920,54875,59380,71740,47825,454573
2019/01/03,50100,50100,47600,47800,▼2300,－4.59%,50140,55485,59745,72163,84919,432119
2019/01/02,52200,52200,50100,50100,▼1900,－3.65%,51140,56165,60187,72623,27202,421858
2018/12/28,50600,52100,50500,52000,▲1400,＋2.77%,52080,56690,60612,73098,32682,425679
2018/12/27,50700,51800,50200,50600,▲400,＋0.80%,52680,57155,61028,73602,39015,426775
2018/12/26,51600,52200,50100,50200,▼2600,－4.92%,53740,57765,61488,74084,48191,411816
2018/12/24,54800,55300,52600,52800,▼2000,－3.65%,54920,58260,61948,74578,42860,402601
