[일시]삼호,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,14600,15500,14600,15300,▲600,＋4.08%,14930,14730,14205,14016,9628,267767
2019/01/29,14750,14950,14550,14700,▲50,＋0.34%,14860,14668,14160,14006,6055,262816
2019/01/28,15450,15900,14500,14650,▼450,－2.98%,14910,14653,14115,14000,21319,261134
2019/01/25,14850,15150,14850,15100,▲200,＋1.34%,14970,14650,14073,13992,2100,260814
2019/01/24,15150,15500,14750,14900,▼50,－0.33%,14960,14615,14020,13978,3388,260814
2019/01/23,15000,15000,14700,14950,0.0,0.00%,14910,14595,13963,13965,761,259956
2019/01/22,14950,15000,14050,14950,0.0,0.00%,14840,14580,13909,13951,6027,259956
2019/01/21,14900,15000,14750,14950,▼100,－0.66%,14770,14583,13860,13933,1085,259956
2019/01/18,14850,15050,14800,15050,▲400,＋2.73%,14680,14585,13816,13918,7189,259957
2019/01/17,14850,14850,14500,14650,▲50,＋0.34%,14580,14573,13778,13900,4683,253484
2019/01/16,14700,14900,14600,14600,0.0,0.00%,14560,14575,13746,13893,2622,253484
2019/01/15,14550,14800,14200,14600,▲100,＋0.69%,14550,14575,13724,13883,3634,251484
2019/01/14,14550,14650,14400,14500,▼50,－0.34%,14550,14590,13700,13873,346,249484
2019/01/11,14350,14600,14350,14550,0.0,0.00%,14590,14593,13671,13860,266,249262
2019/01/10,14700,14750,14150,14550,0.0,0.00%,14580,14595,13648,13846,2010,249262
2019/01/09,14800,14800,14350,14550,▼50,－0.34%,14520,14598,13625,13834,1124,249399
2019/01/08,14750,14850,14550,14600,▼100,－0.68%,14420,14598,13594,13825,548,245562
2019/01/07,14500,14750,14350,14700,▲200,＋1.38%,14380,14588,13557,13812,2933,245564
2019/01/04,14250,14500,13800,14500,▲250,＋1.75%,14360,14568,13534,13798,813,245564
2019/01/03,14050,14350,13550,14250,▲200,＋1.42%,14340,14543,13526,13785,2035,245465
2019/01/02,14400,14400,14000,14050,▼350,－2.43%,14390,14535,13533,13778,805,245484
2018/12/28,14400,14650,14150,14400,▼200,－1.37%,14510,14558,13528,13767,1545,245634
2018/12/27,14400,14700,14150,14600,▲200,＋1.39%,14630,14558,13522,13751,1496,245835
2018/12/26,14650,14650,13950,14400,▼100,－0.69%,14710,14548,13502,13733,8657,245985
2018/12/24,14600,15000,14300,14500,▼150,－1.02%,14790,14533,13493,13715,7256,243168
2018/12/21,14750,14950,14350,14650,▼350,－2.33%,14830,14500,13489,13702,1705,240233
2018/12/20,15150,15200,14600,15000,0.0,0.00%,14820,14448,13483,13687,792,240195
2018/12/19,15200,15200,14700,15000,▲200,＋1.35%,14800,14353,13468,13668,550,240143
2018/12/18,15000,15000,14700,14800,▲100,＋0.68%,14710,14295,13455,13650,762,240049
2018/12/17,14250,14900,14250,14700,▲100,＋0.68%,14670,14253,13445,13641,6541,245390
2018/12/14,14900,14900,14350,14600,▼300,－2.01%,14650,14218,13442,13629,5259,239575
2018/12/13,14550,14950,14350,14900,▲350,＋2.41%,14640,14175,13445,13621,3112,238114
2018/12/12,14450,14750,14000,14550,▼50,－0.34%,14540,14080,13445,13613,11260,235691
2018/12/11,14950,14950,14250,14600,0.0,0.00%,14490,13995,13445,13605,2742,232069
2018/12/10,14700,14700,14150,14600,▲50,＋0.34%,14370,13888,13447,13602,3708,231647
2018/12/07,14400,14600,14350,14550,▲150,＋1.04%,14270,13805,13447,13605,1418,230885
2018/12/06,14550,14550,14050,14400,▲100,＋0.70%,14260,13720,13438,13607,742,230939
2018/12/05,13950,14300,13950,14300,▲300,＋2.14%,14260,13620,13429,13611,2407,230810
2018/12/04,14350,14350,13950,14000,▼100,－0.71%,14280,13520,13425,13620,1625,229492
2018/12/03,14900,14900,13750,14100,▼400,－2.76%,14300,13443,13426,13633,18464,229354
2018/11/30,14100,14650,14100,14500,▲100,＋0.69%,14250,13350,13427,13646,261,230485
2018/11/29,14600,14650,13800,14400,0.0,0.00%,14070,13255,13426,13653,1018,230355
2018/11/28,14250,14450,14100,14400,▲300,＋2.13%,13810,13135,13429,13663,6124,229781
2018/11/27,13950,14100,13750,14100,▲250,＋1.81%,13700,13020,13433,13678,11156,223993
2018/11/26,13600,13950,13550,13850,▲250,＋1.84%,13670,12913,13444,13697,3996,213049
2018/11/23,13100,13650,13100,13600,▲500,＋3.82%,13700,12795,13455,13711,4314,210408
