[일시]샘표,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,34150,34500,33950,34400,▲250,＋0.73%,34540,33840,37128,38202,6392,166213
2019/01/29,34500,34700,34050,34150,▼750,－2.15%,34530,33780,37204,38213,11800,165222
2019/01/28,35050,35100,34500,34900,▼50,－0.14%,34540,33745,37268,38211,11167,167282
2019/01/25,34350,35200,34150,34950,▲650,＋1.90%,34420,33635,37318,38207,18610,168386
2019/01/24,34100,34500,33700,34300,▼50,－0.15%,34370,33513,37356,38195,13967,167795
2019/01/23,34200,34500,34000,34350,▲150,＋0.44%,34310,33490,37392,38187,5542,166529
2019/01/22,34300,34750,34150,34200,▼100,－0.29%,34440,33500,37485,38179,6777,167162
2019/01/21,34950,34950,34000,34300,▼400,－1.15%,34440,33530,37619,38186,12899,166339
2019/01/18,34000,35000,33700,34700,▲700,＋2.06%,34350,33563,37793,38178,10852,167544
2019/01/17,35200,35200,33700,34000,▼1000,－2.86%,34040,33553,37996,38167,13773,166469
2019/01/16,34500,35200,34250,35000,▲800,＋2.34%,33830,33623,38252,38187,16032,167984
2019/01/15,34500,34500,33700,34200,▲350,＋1.03%,33630,33675,38508,38194,15162,166773
2019/01/14,33050,34150,33050,33850,▲700,＋2.11%,33440,33825,38825,38222,11194,168868
2019/01/11,33350,33600,32850,33150,▲200,＋0.61%,33160,33973,39151,38276,11806,167257
2019/01/10,34200,34200,32900,32950,▼1050,－3.09%,32970,34095,39470,38325,18286,166822
2019/01/09,33500,34350,33300,34000,▲750,＋2.26%,32680,34260,39804,38388,15962,168253
2019/01/08,32750,33350,32100,33250,▲800,＋2.47%,32520,34440,40073,38464,13387,167037
2019/01/07,32300,32900,32200,32450,▲250,＋0.78%,32560,34660,40410,38567,12549,164803
2019/01/04,31500,32450,31050,32200,▲700,＋2.22%,32610,35023,40678,38697,14025,163287
2019/01/03,32850,33250,31500,31500,▼1700,－5.12%,32670,35380,40925,38831,31020,158071
2019/01/02,33700,34200,33200,33200,▼250,－0.75%,33140,35790,41208,38879,9285,157907
2018/12/28,32700,33900,32700,33450,▲750,＋2.29%,33410,36150,41451,38849,12983,156949
2018/12/27,32850,33400,32650,32700,▲200,＋0.62%,33680,36543,41726,38810,15614,154422
2018/12/26,33350,33550,32450,32500,▼1350,－3.99%,34130,36898,41998,38778,21097,149693
2018/12/24,34150,34250,33800,33850,▼700,－2.03%,34530,37283,42251,38751,22812,152495
2018/12/21,34600,34950,34400,34550,▼250,－0.72%,34840,37545,42332,38718,8315,155028
2018/12/20,34900,35350,34250,34800,▼150,－0.43%,35140,37750,42381,38680,12006,155153
2018/12/19,34400,35350,34400,34950,▲450,＋1.30%,35620,37990,42427,38640,17835,156223
2018/12/18,34850,35300,34400,34500,▼900,－2.54%,35990,38288,42508,38600,22093,154625
2018/12/17,35650,36150,35100,35400,▼650,－1.80%,36210,38648,42623,38563,13458,151926
2018/12/14,36950,37300,35600,36050,▼1150,－3.09%,36380,38990,42788,38519,15382,153002
