[일시]선창산업,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,5750,5890,5700,5880,▲130,＋2.26%,5898,5598,5429,5905,12789,348834
2019/01/29,5900,5980,5720,5750,▼220,－3.69%,5888,5562,5419,5912,15186,348157
2019/01/28,6010,6010,5850,5970,▲50,＋0.84%,5902,5539,5405,5921,12434,349400
2019/01/25,6000,6010,5900,5920,▼50,－0.84%,5860,5503,5386,5926,17855,350286
2019/01/24,5830,5970,5800,5970,▲140,＋2.40%,5840,5470,5368,5934,36074,350573
2019/01/23,5820,5860,5780,5830,▲10,＋0.17%,5796,5441,5345,5940,6794,351325
2019/01/22,5750,5830,5720,5820,▲60,＋1.04%,5800,5424,5332,5948,6669,351246
2019/01/21,5820,5820,5710,5760,▼60,－1.03%,5806,5405,5323,5954,9326,350214
2019/01/18,5830,5850,5740,5820,▲70,＋1.22%,5778,5391,5320,5962,16307,348685
2019/01/17,5950,5950,5710,5750,▼100,－1.71%,5688,5372,5316,5966,17206,347773
2019/01/16,5870,5910,5700,5850,0.0,0.00%,5576,5357,5317,5972,31549,347792
2019/01/15,5700,6260,5700,5850,▲230,＋4.09%,5444,5340,5317,5978,278103,345436
2019/01/14,5360,5700,5360,5620,▲250,＋4.66%,5298,5324,5317,5985,54529,349403
2019/01/11,5210,5370,5190,5370,▲180,＋3.47%,5206,5312,5321,5993,9857,349232
2019/01/10,5200,5210,5140,5190,0.0,0.00%,5140,5306,5326,6005,4604,349267
2019/01/09,5120,5190,5010,5190,▲70,＋1.37%,5122,5314,5333,6019,4095,349282
2019/01/08,5190,5270,5090,5120,▼40,－0.78%,5116,5329,5342,6032,7981,349119
2019/01/07,5040,5180,4980,5160,▲120,＋2.38%,5150,5342,5351,6046,7154,349232
2019/01/04,5030,5080,4925,5040,▼60,－1.18%,5168,5360,5365,6058,10632,349750
2019/01/03,5100,5290,5050,5100,▼60,－1.16%,5212,5385,5389,6070,5009,351118
2019/01/02,5230,5300,5160,5160,▼130,－2.46%,5270,5405,5412,6084,7447,352030
2018/12/28,5270,5570,5210,5290,▲40,＋0.76%,5334,5415,5436,6096,4340,352742
2018/12/27,5300,5340,5110,5250,▼10,－0.19%,5366,5420,5460,6112,2520,357917
2018/12/26,5250,5380,5150,5260,▼130,－2.41%,5412,5428,5484,6128,24771,358262
2018/12/24,5450,5450,5330,5390,▼90,－1.64%,5448,5436,5508,6145,6534,370308
2018/12/21,5450,5500,5410,5480,▲30,＋0.55%,5460,5438,5532,6162,5769,370222
2018/12/20,5480,5480,5400,5450,▼30,－0.55%,5464,5433,5555,6175,5604,369856
2018/12/19,5470,5490,5400,5480,▲40,＋0.74%,5480,5433,5580,6188,13349,369768
2018/12/18,5430,5500,5400,5440,▼10,－0.18%,5460,5433,5607,6208,3531,369330
2018/12/17,5470,5550,5350,5450,▼50,－0.91%,5424,5433,5635,6230,6523,369218
2018/12/14,5490,5560,5380,5500,▼30,－0.54%,5404,5429,5665,6249,11375,369334
2018/12/13,5430,5540,5350,5530,▲150,＋2.79%,5400,5413,5692,6270,6752,370567
2018/12/12,5260,5390,5210,5380,▲120,＋2.28%,5372,5391,5717,6293,3078,369918
2018/12/11,5310,5390,5200,5260,▼90,－1.68%,5400,5377,5746,6316,7033,347454
2018/12/10,5470,5470,5290,5350,▼130,－2.37%,5456,5364,5776,6342,7079,347441
2018/12/07,5390,5520,5380,5480,▲90,＋1.67%,5486,5356,5806,6362,6577,346823
2018/12/06,5490,5510,5340,5390,▼130,－2.36%,5460,5340,5832,6380,9388,346992
2018/12/05,5460,5540,5450,5520,▼20,－0.36%,5462,5332,5865,6402,7819,346152
2018/12/04,5540,5550,5390,5540,▲40,＋0.73%,5438,5314,5881,6424,11145,345506
2018/12/03,5440,5500,5370,5500,▲150,＋2.80%,5416,5298,5898,6445,9074,345660
2018/11/30,5390,5390,5310,5350,▼50,－0.93%,5400,5285,5914,6467,1492,342347
2018/11/29,5510,5510,5390,5400,0.0,0.00%,5408,5279,5934,6492,12797,342334
2018/11/28,5440,5490,5390,5400,▼30,－0.55%,5418,5255,5952,6515,5453,338316
2018/11/27,5460,5460,5390,5430,▲10,＋0.18%,5432,5228,5970,6540,4463,336711
2018/11/26,5540,5540,5350,5420,▲30,＋0.56%,5434,5197,5987,6571,4617,336896
2018/11/23,5350,5470,5350,5390,▼60,－1.10%,5426,5156,6004,6599,7447,335751
2018/11/22,5500,5600,5330,5450,▼20,－0.37%,5384,5138,6026,6625,14119,334093
2018/11/21,5300,5510,5250,5470,▲30,＋0.55%,5312,5131,6046,6650,8889,334184
2018/11/20,5270,5580,5270,5440,▲60,＋1.12%,5238,5136,6067,6665,19260,336663
2018/11/19,5170,5400,5110,5380,▲200,＋3.86%,5150,5144,6089,6685,17714,336392
2018/11/16,5090,5190,5060,5180,▲90,＋1.77%,5112,5165,6111,6706,8172,329747
2018/11/15,5090,5130,5000,5090,▼10,－0.20%,5108,5198,6137,6728,12304,327248
2018/11/14,5040,5150,4950,5100,▲100,＋2.00%,5134,5235,6163,6751,13529,325337
2018/11/13,5170,5170,4965,5000,▼190,－3.66%,5148,5274,6188,6773,8719,322718
2018/11/12,5040,5190,5040,5190,▲30,＋0.58%,5192,5309,6215,6796,7559,326309
2018/11/09,5240,5240,5150,5160,▼60,－1.15%,5202,5330,6242,6824,8700,325332
