[일시]성신양회,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,12300,14850,12300,14200,▲2050,＋16.87%,12940,12523,11211,11113,9420654,2619318
2019/01/29,12700,12750,12050,12150,▼500,－3.95%,12660,12373,11135,11075,496448,2318318
2019/01/28,12850,12850,12500,12650,▼150,－1.17%,12740,12360,11081,11053,287288,2266060
2019/01/25,13000,13050,12700,12800,▼100,－0.78%,12660,12308,11016,11026,301787,2255802
2019/01/24,12950,13250,12750,12900,▲100,＋0.78%,12620,12228,10950,11001,611455,2250009
2019/01/23,12450,12950,12350,12800,▲250,＋1.99%,12550,12173,10869,10974,386206,2241078
2019/01/22,12300,12700,12250,12550,▲300,＋2.45%,12600,12110,10800,10948,319893,2266586
2019/01/21,12750,12800,12250,12250,▼350,－2.78%,12710,12058,10744,10919,418083,2214918
2019/01/18,12650,12850,12450,12600,▲50,＋0.40%,12840,11973,10695,10891,332070,2163717
2019/01/17,13250,13250,12400,12550,▼500,－3.83%,12870,11870,10648,10850,643632,2116272
2019/01/16,13250,13450,13050,13050,▼50,－0.38%,12820,11765,10605,10814,584312,2091848
2019/01/15,12800,13450,12600,13100,▲200,＋1.55%,12730,11668,10567,10775,1193456,2091529
2019/01/14,12950,13050,12550,12900,▲150,＋1.18%,12560,11563,10528,10737,635831,2162740
2019/01/11,12300,12800,12250,12750,▲450,＋3.66%,12300,11443,10493,10705,738795,2199226
2019/01/10,12750,13100,12250,12300,▼300,－2.38%,11980,11365,10453,10677,844668,2168734
2019/01/09,12450,12650,12200,12600,▲350,＋2.86%,11780,11330,10415,10651,667663,2283846
2019/01/08,11750,12800,11600,12250,▲650,＋5.60%,11500,11283,10378,10620,1561456,2367399
2019/01/07,11550,11800,11300,11600,▲450,＋4.04%,11430,11210,10342,10592,419191,2169601
2019/01/04,11250,11400,10900,11150,▼150,－1.33%,11430,11203,10323,10567,370392,2138392
2019/01/03,11300,11850,10950,11300,▲100,＋0.89%,11440,11223,10348,10545,782419,2177020
2019/01/02,12200,12250,11050,11200,▼700,－5.88%,11540,11230,10373,10534,926302,2098303
2018/12/28,11750,12050,11600,11900,▲300,＋2.59%,11610,11200,10409,10520,465771,2205556
2018/12/27,11450,12000,11300,11600,▲400,＋3.57%,11530,11143,10431,10504,528609,2238567
2018/12/26,11500,11800,11100,11200,▼600,－5.08%,11320,11090,10458,10492,641108,2081559
2018/12/24,11700,12150,11550,11800,▲250,＋2.16%,11190,11068,10484,10479,901704,2156029
2018/12/21,11650,11950,11400,11550,▲50,＋0.43%,10920,10995,10506,10469,585246,2201408
2018/12/20,10600,11700,10550,11500,▲950,＋9.00%,10830,10940,10538,10452,1140292,2270212
2018/12/19,10650,10800,10350,10550,0.0,0.00%,10730,10908,10558,10440,287852,2098217
2018/12/18,10150,10750,10000,10550,▲100,＋0.96%,10720,10918,10587,10440,420670,2089759
2018/12/17,10950,11150,10400,10450,▼650,－5.86%,10850,10913,10623,10445,488842,2051343
2018/12/14,11100,11300,10750,11100,▲100,＋0.91%,11080,10893,10674,10450,442201,2044856
2018/12/13,10550,11000,10350,11000,▲500,＋4.76%,11190,10812,10718,10451,644097,2000023
2018/12/12,10900,11300,10200,10500,▼700,－6.25%,11150,10734,10758,10463,1145246,1860751
2018/12/11,11700,11700,11000,11200,▼400,－3.45%,11340,10650,10812,10477,698732,1947485
2018/12/10,11350,12200,11150,11600,▼50,－0.43%,11410,10536,10843,10483,1053725,2067503
2018/12/07,11050,11900,10950,11650,▲850,＋7.87%,11380,10399,10865,10483,677662,2144765
2018/12/06,11350,11600,10600,10800,▼650,－5.68%,11170,10268,10859,10480,585005,2005497
