[일시]세아제강지주,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,52300,52500,51100,52400,▲400,＋0.77%,52240,50053,50353,53637,6975,313866
2019/01/29,52000,53000,51100,52000,▼500,－0.95%,51840,49823,50323,53680,8969,314422
2019/01/28,52600,53300,51800,52500,▼500,－0.94%,51680,49688,50275,53742,4819,314944
2019/01/25,52200,53100,51300,53000,▲1700,＋3.31%,51640,49563,50218,53793,9808,314523
2019/01/24,50400,51900,50100,51300,▲900,＋1.79%,51300,49380,50153,53846,14783,312775
2019/01/23,51300,51300,50300,50400,▼800,－1.56%,51060,49258,50127,53912,4531,312393
2019/01/22,53000,53000,50600,51200,▼1100,－2.10%,51300,49165,50117,53998,9717,312204
2019/01/21,52000,53100,51600,52300,▲1000,＋1.95%,51000,49088,50100,54061,11551,313226
2019/01/18,50000,51700,49600,51300,▲1200,＋2.40%,50150,48958,50046,54112,7636,312730
2019/01/17,51600,51600,50100,50100,▼1500,－2.91%,49690,48818,50023,54144,6067,312867
2019/01/16,50200,51700,48400,51600,▲1900,＋3.82%,49440,48753,50060,54187,13019,313257
2019/01/15,48500,49700,48050,49700,▲1650,＋3.43%,48820,48618,50058,54240,10709,313547
2019/01/14,49000,49000,48050,48050,▼950,－1.94%,48420,48603,50102,54300,7054,311360
2019/01/11,48850,49100,48200,49000,▲150,＋0.31%,48480,48685,50163,54387,11377,312745
2019/01/10,49150,49150,48100,48850,▲350,＋0.72%,47880,48733,50203,54467,3030,312372
2019/01/09,47700,49250,47700,48500,▲800,＋1.68%,47470,48810,50227,54554,9643,311977
2019/01/08,48550,48550,47600,47700,▼650,－1.34%,47330,48970,50292,54638,1910,309164
2019/01/07,46100,48400,46100,48350,▲2350,＋5.11%,47650,49240,50352,54723,11824,308897
2019/01/04,46800,47000,45600,46000,▼800,－1.71%,47980,49488,50456,54809,6861,307977
2019/01/03,47200,47700,46600,46800,▼1000,－2.09%,48650,49853,50583,54916,9315,308135
2019/01/02,49300,49300,47800,47800,▼1500,－3.04%,49060,50188,50736,55042,8113,297397
2018/12/28,49700,50600,49300,49300,▼700,－1.40%,49210,50358,50913,55141,2895,299600
2018/12/27,48800,52000,48800,50000,▲650,＋1.32%,49280,50478,51064,55234,8980,301908
2018/12/26,48300,49450,48300,49350,▲500,＋1.02%,49220,50533,51204,55329,12082,299274
2018/12/24,48550,48950,48300,48850,▲300,＋0.62%,49050,50610,51355,55429,8561,297162
2018/12/21,48950,50100,48550,48550,▼1100,－2.22%,49040,50708,51514,55563,13808,293409
2018/12/20,49050,50400,49000,49650,▼50,－0.10%,49110,50815,51679,55707,10642,295650
2018/12/19,48500,50000,48300,49700,▲1200,＋2.47%,49060,50868,51825,55841,12353,291969
2018/12/18,48600,49050,48500,48500,▼300,－0.61%,49060,50933,51970,56006,19147,286900
2018/12/17,48950,49700,48800,48800,▼100,－0.20%,49350,51093,52135,56195,10432,287300
2018/12/14,50000,50300,48900,48900,▼500,－1.01%,49670,51213,52295,56364,19499,290775
2018/12/13,49900,50900,49400,49400,▼300,－0.60%,50230,51308,52453,56549,57982,292530
2018/12/12,49300,50400,49300,49700,▼250,－0.50%,50970,51368,52603,56759,13546,256550
2018/12/11,50300,50800,49550,49950,▼450,－0.89%,51690,51380,52748,56970,15421,248236
2018/12/10,50600,52000,50200,50400,▼1300,－2.51%,52360,51380,52889,57229,9547,249836
2018/12/07,53000,53500,51600,51700,▼1400,－2.64%,52980,51360,53022,57478,9688,250143
2018/12/06,54000,54000,52400,53100,▼200,－0.38%,52880,51275,53134,57681,6490,256617
2018/12/05,52900,53800,52600,53300,0.0,0.00%,52600,51145,53223,57929,12758,257234
2018/12/04,53400,53900,52800,53300,▼200,－0.37%,52160,50953,53308,58181,9171,249355
2018/12/03,51300,53700,51300,53500,▲2300,＋4.49%,51680,50963,53393,58427,19272,251481
2018/11/30,51300,52000,51000,51200,▼500,－0.97%,51140,50818,53474,58699,8533,248644
2018/11/29,51200,52100,50500,51700,▲600,＋1.17%,51040,50788,53594,58964,11095,249022
2018/11/28,51000,51100,50300,51100,▲200,＋0.39%,50840,50660,53706,59206,6048,245591
2018/11/27,50600,51200,49750,50900,▲100,＋0.20%,50820,50560,53828,59434,10790,247127
2018/11/26,50900,51500,50000,50800,▲100,＋0.20%,50980,50470,53956,59649,11720,245727
2018/11/23,51500,51500,50300,50700,0.0,0.00%,51060,50415,54081,59855,7323,246671
2018/11/22,51000,51900,50500,50700,▼300,－0.59%,51080,50370,54245,60058,4303,246875
2018/11/21,52300,52300,50600,51000,▼700,－1.35%,51060,50345,54456,60270,6617,248286
2018/11/20,51000,52000,50500,51700,▲500,＋0.98%,50850,50248,54686,60422,11759,250415
2018/11/19,50400,51400,50400,51200,▲400,＋0.79%,50500,50160,54920,60601,6375,249565
2018/11/16,50600,51200,50100,50800,▲200,＋0.40%,50260,50215,55139,60785,5632,249497
2018/11/15,49950,50700,49300,50600,▲650,＋1.30%,50100,50250,55361,60992,12497,247630
2018/11/14,49900,51200,49450,49950,0.0,0.00%,50080,50335,55569,61225,10301,248226
2018/11/13,49900,50000,49000,49950,▼50,－0.10%,49980,50423,55795,61445,8273,248965
2018/11/12,49400,50300,49150,50000,0.0,0.00%,50690,50495,55966,61655,9831,246897
2018/11/09,51000,51700,50000,50000,▼500,－0.99%,50810,50510,56125,61889,13572,247403
2018/11/08,50200,51600,49950,50500,▲1050,＋2.12%,50930,50630,56289,62127,20855,247559
2018/11/07,53800,53900,49150,49450,▼4050,－7.57%,50660,50670,56448,62356,41555,256569
2018/11/06,50100,53500,50100,53500,▲2900,＋5.73%,50590,50928,56645,62575,27878,270403
2018/11/05,50800,51900,48950,50600,0.0,0.00%,49710,50933,56775,62738,16937,271738
2018/11/02,49550,51100,49250,50600,▲1450,＋2.95%,49530,51203,56921,62939,20394,276816
2018/11/01,49450,50200,49150,49150,▲50,＋0.10%,49370,51593,57037,63162,13504,274499
2018/10/31,49200,50900,49100,49100,0.0,0.00%,49580,52055,57209,63389,19071,276967
2018/10/30,49000,51300,48700,49100,▼600,－1.21%,49570,52520,57367,63628,26287,298331
2018/10/29,49800,51000,48350,49700,▼100,－0.20%,49740,52986,57538,63880,17667,293419
2018/10/26,49650,50700,47850,49800,▼400,－0.80%,50260,53421,57697,64069,14341,291291
2018/10/25,47800,50900,46800,50200,▲1150,＋2.34%,50600,53851,57879,64265,13130,311266
2018/10/24,50500,51000,48800,49050,▼900,－1.80%,51020,54261,58021,64449,19517,308840
2018/10/23,51700,52300,49600,49950,▼2350,－4.49%,51550,54729,58177,64641,18893,307546
2018/10/22,51900,52800,50500,52300,▲800,＋1.55%,51840,55151,58264,64846,17982,308042
2018/10/19,51700,52800,51500,51500,▼800,－1.53%,51440,55457,58315,64986,21085,309415
2018/10/18,51500,53200,51200,52300,▲600,＋1.16%,51620,55802,58421,65128,23354,314958
2018/10/17,51500,52600,51200,51700,▲300,＋0.58%,51420,56107,58499,65236,17992,321527
2018/10/16,51000,52500,50400,51400,▲1100,＋2.19%,52000,56442,58612,65341,32154,321526
2018/10/15,51500,52300,50200,50300,▼2100,－4.01%,52440,56792,58732,65434,24290,315620
2018/10/12,50900,53000,50800,52400,▲1100,＋2.14%,53580,57197,58881,65539,39158,314809
2018/10/11,53000,54600,51100,51300,▼3300,－6.04%,54781,57497,58984,65639,47639,311748
2018/10/10,54900,56100,52200,54600,▲1000,＋1.87%,56201,57853,59094,65738,62833,308227
2018/10/08,56800,57400,53600,53600,▼2400,－4.29%,56962,58043,59161,65818,44616,311868
2018/10/05,58400,73600,53800,56000,▼2403,－4.11%,57922,58283,59250,65904,327380,315245
2018/10/04,58403,58403,58403,58403,0.0,0.00%,58403,58403,59348,65987,0,615642
2018/10/02,58403,58403,58403,58403,0.0,0.00%,58403,58403,59369,66056,0,615642
2018/10/01,58403,58403,58403,58403,0.0,0.00%,58403,58403,59403,66126,0,615642
2018/09/28,58403,58403,58403,58403,0.0,0.00%,58403,58403,59455,66211,0,615642
2018/09/27,58403,58403,58403,58403,0.0,0.00%,58403,58412,59503,66299,0,615642
2018/09/21,58403,58403,58403,58403,0.0,0.00%,58403,58407,59611,66404,0,615642
2018/09/20,58403,58403,58403,58403,0.0,0.00%,58403,58514,59735,66513,0,615642
2018/09/19,58403,58403,58403,58403,0.0,0.00%,58403,58761,59857,66621,0,615642
2018/09/18,58403,58403,58403,58403,0.0,0.00%,58403,59081,60042,66734,0,615642
2018/09/17,58403,58403,58403,58403,0.0,0.00%,58403,59448,60256,66864,0,615642
2018/09/14,58403,58403,58403,58403,0.0,0.00%,58403,59746,60434,66981,0,615642
2018/09/13,58403,58403,58403,58403,0.0,0.00%,58403,60032,60644,67129,0,615642
2018/09/12,58403,58403,58403,58403,0.0,0.00%,58403,60266,60915,67282,0,615642
2018/09/11,58403,58403,58403,58403,0.0,0.00%,58403,60522,61193,67427,0,615642
2018/09/10,58403,58403,58403,58403,0.0,0.00%,58403,60611,61569,67581,0,615642
2018/09/07,58403,58403,58403,58403,0.0,0.00%,58403,60667,61933,67694,0,615642
2018/09/06,58403,58403,58403,58403,0.0,0.00%,58403,60739,62228,67809,0,615642
2018/09/05,58403,58403,58403,58403,0.0,0.00%,58403,60820,62635,67934,0,615642
