[일시]수출포장,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,19400,19500,19200,19500,▲100,＋0.52%,19450,19195,19878,21894,6800,190325
2019/01/29,19250,19400,19150,19400,0.0,0.00%,19420,19190,19906,21913,3613,190723
2019/01/28,19350,19500,19250,19400,▼50,－0.26%,19440,19193,19922,21927,3414,190657
2019/01/25,19450,19700,19150,19450,▼50,－0.26%,19460,19198,19938,21939,14512,183625
2019/01/24,19350,19500,19300,19500,▲150,＋0.78%,19430,19208,19953,21950,14143,182896
2019/01/23,19450,19600,19050,19350,▼150,－0.77%,19390,19225,19963,21962,19581,181005
2019/01/22,19400,19550,19300,19500,0.0,0.00%,19390,19243,19980,21977,3969,181906
2019/01/21,19200,19500,19200,19500,▲200,＋1.04%,19380,19250,20009,21986,2891,182268
2019/01/18,19250,19450,19050,19300,0.0,0.00%,19300,19263,20046,21998,6637,182445
2019/01/17,19550,19550,19200,19300,▼50,－0.26%,19280,19290,20094,22019,2802,182989
2019/01/16,19500,19500,19200,19350,▼100,－0.51%,19260,19320,20157,22035,2886,183505
2019/01/15,19100,19550,19100,19450,▲350,＋1.83%,19180,19348,20215,22055,11497,183563
2019/01/14,19100,19500,19100,19100,▼100,－0.52%,19020,19385,20273,22067,7292,183379
2019/01/11,19200,19450,19100,19200,0.0,0.00%,18940,19423,20341,22085,5338,190053
2019/01/10,18950,19200,18800,19200,▲250,＋1.32%,18780,19473,20408,22105,8901,190181
2019/01/09,18650,18950,18550,18950,▲300,＋1.61%,18680,19525,20468,22123,18563,189916
2019/01/08,18650,18800,18450,18650,▼50,－0.27%,18770,19590,20525,22143,4715,190754
2019/01/07,18550,19150,18500,18700,▲300,＋1.63%,18930,19683,20578,22160,5837,191113
2019/01/04,18700,18850,18100,18400,▼300,－1.60%,19090,19780,20642,22179,10833,191164
2019/01/03,19400,19400,18600,18700,▼700,－3.61%,19340,19915,20732,22200,5348,191518
2019/01/02,19500,19700,19150,19400,▼50,－0.26%,19570,20018,20817,22220,5063,192341
2018/12/28,19500,19550,19250,19450,▼50,－0.26%,19630,20060,20891,22233,3051,193192
