[일시]신일산업,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,1460,1475,1415,1430,▼20,－1.38%,1435,1387,1330,1327,1499423,2967649
2019/01/29,1450,1490,1435,1450,▲10,＋0.69%,1431,1380,1328,1328,1932615,3213537
2019/01/28,1430,1450,1420,1440,▲10,＋0.70%,1421,1373,1325,1328,854315,3337694
2019/01/25,1430,1435,1415,1430,▲5,＋0.35%,1420,1365,1323,1329,348986,3271416
2019/01/24,1410,1430,1405,1425,▲15,＋1.06%,1418,1358,1318,1330,504338,3273338
2019/01/23,1400,1435,1395,1410,▲10,＋0.71%,1418,1351,1314,1330,885517,3245138
2019/01/22,1440,1440,1400,1400,▼35,－2.44%,1422,1346,1311,1331,707681,3093487
2019/01/21,1420,1440,1410,1435,▲15,＋1.06%,1417,1341,1308,1332,664938,3090795
2019/01/18,1425,1435,1410,1420,▼5,－0.35%,1404,1335,1306,1334,649064,3044694
2019/01/17,1435,1440,1400,1425,▼5,－0.35%,1394,1328,1303,1336,904402,2987680
2019/01/16,1375,1435,1370,1430,▲55,＋4.00%,1377,1321,1302,1338,2068717,3014243
2019/01/15,1370,1385,1365,1375,▲5,＋0.36%,1359,1314,1300,1340,437690,2870027
2019/01/14,1380,1390,1360,1370,0.0,0.00%,1352,1310,1299,1345,848906,2858485
2019/01/11,1345,1370,1330,1370,▲30,＋2.24%,1340,1306,1298,1350,965074,2847449
2019/01/10,1340,1350,1325,1340,0.0,0.00%,1326,1301,1295,1354,645474,2782742
2019/01/09,1345,1345,1325,1340,0.0,0.00%,1318,1298,1293,1355,500904,2826421
2019/01/08,1310,1340,1305,1340,▲30,＋2.29%,1308,1297,1291,1356,820220,2840273
2019/01/07,1310,1325,1295,1310,▲10,＋0.77%,1301,1296,1288,1356,546449,2675183
2019/01/04,1290,1300,1275,1300,0.0,0.00%,1296,1298,1288,1357,619149,2586796
2019/01/03,1300,1315,1290,1300,▲10,＋0.78%,1292,1302,1288,1357,415533,2513493
2019/01/02,1315,1315,1290,1290,▼15,－1.15%,1291,1305,1288,1358,597846,2465439
2018/12/28,1295,1310,1295,1305,▲20,＋1.56%,1293,1308,1289,1358,305908,2443144
2018/12/27,1305,1305,1275,1285,▲5,＋0.39%,1295,1308,1290,1359,370532,2377903
2018/12/26,1270,1285,1260,1280,▼15,－1.16%,1298,1309,1291,1359,1011510,2381994
2018/12/24,1290,1305,1275,1295,▼5,－0.38%,1299,1311,1292,1360,614673,2419772
2018/12/21,1315,1325,1290,1300,▼15,－1.14%,1298,1311,1292,1361,668387,2467079
2018/12/20,1295,1330,1295,1315,▲15,＋1.15%,1296,1312,1292,1362,805006,2584612
2018/12/19,1280,1310,1275,1300,▲15,＋1.17%,1293,1312,1292,1363,623272,2562790
2018/12/18,1270,1290,1265,1285,▼5,－0.39%,1290,1313,1292,1364,537213,2514570
2018/12/17,1280,1305,1270,1290,0.0,0.00%,1286,1315,1292,1366,464770,2967975
2018/12/14,1300,1310,1280,1290,▼10,－0.77%,1284,1317,1293,1367,577906,3031235
2018/12/13,1290,1305,1285,1300,▲15,＋1.17%,1290,1318,1294,1368,524970,3094970
2018/12/12,1270,1295,1270,1285,▲20,＋1.58%,1295,1316,1295,1369,389053,3003607
2018/12/11,1280,1290,1255,1265,▼15,－1.17%,1308,1315,1295,1370,813514,2986681
2018/12/10,1300,1320,1275,1280,▼40,－3.03%,1329,1315,1296,1371,1052700,2978182
2018/12/07,1335,1350,1295,1320,▼5,－0.38%,1346,1316,1297,1373,1415121,3009619
2018/12/06,1350,1355,1310,1325,▼25,－1.85%,1353,1315,1297,1375,1144002,3019165
2018/12/05,1345,1365,1340,1350,▼20,－1.46%,1349,1313,1297,1377,700497,2963604
2018/12/04,1365,1375,1355,1370,▲5,＋0.37%,1341,1310,1298,1379,844252,2925530
2018/12/03,1360,1370,1335,1365,▲10,＋0.74%,1328,1304,1298,1380,1575369,2921727
2018/11/30,1315,1360,1295,1355,▲50,＋3.83%,1317,1299,1297,1381,3275714,3126930
2018/11/29,1325,1325,1305,1305,▼5,－0.38%,1308,1296,1298,1383,518921,2769621
2018/11/28,1315,1320,1300,1310,▲5,＋0.38%,1312,1296,1299,1385,483041,2723811
2018/11/27,1310,1320,1300,1305,▼5,－0.38%,1314,1293,1299,1387,374599,2693188
2018/11/26,1305,1330,1300,1310,0.0,0.00%,1318,1287,1300,1389,563938,2663365
2018/11/23,1320,1330,1295,1310,▼15,－1.13%,1320,1279,1300,1391,649142,2660895
2018/11/22,1320,1335,1315,1325,▲5,＋0.38%,1321,1276,1301,1392,501968,2768021
2018/11/21,1310,1330,1295,1320,▼5,－0.38%,1309,1272,1301,1394,652042,2761782
2018/11/20,1300,1330,1295,1325,▲5,＋0.38%,1296,1269,1302,1396,563216,2761184
2018/11/19,1330,1340,1310,1320,▲5,＋0.38%,1285,1267,1303,1398,980033,2749243
2018/11/16,1270,1315,1265,1315,▲50,＋3.95%,1281,1268,1303,1401,1610237,2717331
2018/11/15,1250,1275,1235,1265,▲10,＋0.80%,1276,1268,1304,1404,775957,2252395
2018/11/14,1275,1275,1245,1255,▼15,－1.18%,1283,1271,1306,1407,974582,2175666
2018/11/13,1275,1295,1250,1270,▼30,－2.31%,1287,1272,1308,1410,1697737,2143326
2018/11/12,1360,1360,1290,1300,▲10,＋0.78%,1284,1270,1309,1413,3396758,2286901
2018/11/09,1290,1310,1265,1290,▼10,－0.77%,1278,1266,1311,1417,854683,2833033
2018/11/08,1290,1305,1285,1300,▲25,＋1.96%,1280,1262,1313,1420,767449,2872246
2018/11/07,1270,1310,1255,1275,▲20,＋1.59%,1278,1256,1315,1424,1511778,2943576
2018/11/06,1280,1300,1255,1255,▼15,－1.18%,1276,1255,1318,1427,949665,2886788
2018/11/05,1290,1315,1270,1270,▼30,－2.31%,1259,1259,1321,1430,719648,2761191
