[일시]신한,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,4750,4750,4610,4730,▼5,－0.11%,4774,4222,3868,4187,14206,189735
2019/01/29,4680,4735,4550,4735,▲10,＋0.21%,4780,4156,3852,4185,24160,190550
2019/01/28,4850,4850,4540,4725,▼125,－2.58%,4741,4091,3835,4184,58086,193271
2019/01/25,4835,4865,4755,4850,▲20,＋0.41%,4692,4024,3815,4182,38628,191337
2019/01/24,4760,4830,4715,4830,▲70,＋1.47%,4624,3948,3793,4181,31210,192978
2019/01/23,4550,4760,4550,4760,▲220,＋4.85%,4563,3881,3770,4180,50282,192701
2019/01/22,4480,4540,4420,4540,▲60,＋1.34%,4493,3823,3753,4179,19615,182468
2019/01/21,4520,4550,4380,4480,▼30,－0.67%,4427,3772,3742,4179,56661,181901
2019/01/18,4540,4550,4435,4510,▼15,－0.33%,4351,3719,3735,4179,47832,177484
2019/01/17,4410,4555,4350,4525,▲115,＋2.61%,4245,3662,3729,4179,38856,177172
2019/01/16,4230,4450,4160,4410,▲200,＋4.75%,4119,3608,3724,4179,79424,177230
2019/01/15,4060,4275,4060,4210,▲110,＋2.68%,3973,3566,3722,4181,65355,177335
2019/01/14,3995,4130,3975,4100,▲120,＋3.02%,3833,3538,3724,4182,30604,178834
2019/01/11,3855,3980,3790,3980,▲85,＋2.18%,3675,3513,3727,4186,45271,179982
2019/01/10,3690,3980,3670,3895,▲215,＋5.84%,3534,3496,3730,4191,61128,177445
2019/01/09,3540,3680,3460,3680,▲170,＋4.84%,3431,3479,3733,4197,45434,176697
2019/01/08,3340,4030,3310,3510,▲200,＋6.04%,3379,3476,3741,4205,526201,175235
2019/01/07,3275,3390,3275,3310,▲35,＋1.07%,3361,3485,3751,4216,7465,178412
2019/01/04,3325,3375,3270,3275,▼105,－3.11%,3377,3508,3768,4227,15891,177464
2019/01/03,3405,3420,3325,3380,▼40,－1.17%,3389,3534,3788,4239,8081,178171
2019/01/02,3450,3455,3380,3420,0.0,0.00%,3411,3555,3807,4251,7747,178874
2018/12/28,3390,3440,3350,3420,▲30,＋0.88%,3445,3572,3826,4261,10004,179046
2018/12/27,3335,3400,3260,3390,▲55,＋1.65%,3465,3592,3845,4270,26157,177507
2018/12/26,3440,3460,3305,3335,▼155,－4.44%,3472,3612,3864,4280,10300,176623
2018/12/24,3590,3590,3460,3490,▼100,－2.79%,3480,3637,3886,4291,14028,177880
2018/12/21,3545,3590,3500,3590,▲70,＋1.99%,3470,3656,3906,4304,6577,178853
2018/12/20,3425,3545,3425,3520,▲95,＋2.77%,3467,3666,3924,4314,21290,178251
2018/12/19,3410,3485,3300,3425,▲50,＋1.48%,3492,3683,3944,4327,47348,179802
2018/12/18,3460,3510,3375,3375,▼65,－1.89%,3527,3707,3968,4342,10651,180431
2018/12/17,3575,3575,3350,3440,▼135,－3.78%,3580,3733,3993,4359,8801,202840
2018/12/14,3645,3645,3400,3575,▼70,－1.92%,3603,3755,4015,4375,11952,204017
2018/12/13,3605,3650,3530,3645,▲45,＋1.25%,3613,3766,4037,4392,11660,204641
2018/12/12,3645,3680,3595,3600,▼40,－1.10%,3621,3771,4060,4410,5324,204275
2018/12/11,3545,3640,3485,3640,▲85,＋2.39%,3655,3778,4083,4430,6080,203368
2018/12/10,3605,3650,3525,3555,▼70,－1.93%,3685,3786,4105,4453,5888,203730
2018/12/07,3655,3740,3600,3625,▼60,－1.63%,3736,3803,4130,4479,8914,203899
2018/12/06,3705,3770,3670,3685,▼85,－2.25%,3761,3814,4151,4503,12091,203514
2018/12/05,3750,3770,3620,3770,▼20,－0.53%,3788,3823,4171,4530,8322,204263
2018/12/04,3825,3830,3750,3790,▼20,－0.52%,3792,3827,4191,4552,7722,205078
2018/12/03,3775,3820,3750,3810,▲60,＋1.60%,3802,3828,4210,4575,3167,205321
2018/11/30,3785,3850,3740,3750,▼70,－1.83%,3815,3826,4230,4586,14052,205203
2018/11/29,3790,3850,3775,3820,▲30,＋0.79%,3824,3829,4260,4597,2642,205349
2018/11/28,3840,3870,3780,3790,▼50,－1.30%,3830,3822,4272,4607,9858,205000
2018/11/27,3900,3900,3780,3840,▼35,－0.90%,3854,3810,4284,4619,12527,207448
2018/11/26,3835,3880,3780,3875,▲80,＋2.11%,3866,3795,4295,4630,5582,207951
2018/11/23,3870,3880,3760,3795,▼55,－1.43%,3865,3774,4305,4641,11085,208449
2018/11/22,3910,3930,3850,3850,▼60,－1.53%,3865,3771,4321,4654,13733,208189
2018/11/21,3845,3920,3820,3910,▲10,＋0.26%,3843,3772,4335,4668,6009,208756
2018/11/20,3835,3900,3795,3900,▲30,＋0.78%,3809,3778,4351,4677,17628,208594
2018/11/19,3795,3950,3795,3870,▲75,＋1.98%,3789,3791,4366,4688,29539,210252
2018/11/16,3740,3830,3730,3795,▲55,＋1.47%,3795,3810,4380,4700,7327,207644
2018/11/15,3740,3775,3650,3740,0.0,0.00%,3807,3834,4396,4713,12806,207444
2018/11/14,3830,3830,3730,3740,▼60,－1.58%,3832,3864,4412,4726,12071,206976
2018/11/13,3800,3875,3750,3800,▼100,－2.56%,3853,3890,4425,4742,11158,207472
2018/11/12,3855,3900,3760,3900,▲45,＋1.17%,3855,3908,4438,4758,12542,208578
2018/11/09,3815,3865,3760,3855,▼10,－0.26%,3830,3917,4451,4777,6017,208909
2018/11/08,3835,3880,3815,3865,▲20,＋0.52%,3820,3932,4462,4796,6478,210737
2018/11/07,3820,3920,3730,3845,▲35,＋0.92%,3784,3946,4473,4814,25811,210879
2018/11/06,3745,3880,3745,3810,▲35,＋0.93%,3725,3970,4483,4828,11603,213148
2018/11/05,3805,3815,3725,3775,▼30,－0.79%,3668,4004,4494,4840,16507,213196
2018/11/02,3680,3810,3680,3805,▲120,＋3.26%,3604,4041,4506,4853,25698,211737
2018/11/01,3580,3750,3485,3685,▲135,＋3.80%,3593,4078,4518,4867,23717,209252
2018/10/31,3525,3570,3385,3550,▲25,＋0.71%,3630,4121,4532,4882,12863,207230
2018/10/30,3250,3590,3250,3525,▲70,＋2.03%,3724,4171,4549,4899,12991,206471
2018/10/29,3680,3795,3400,3455,▼295,－7.87%,3853,4226,4568,4915,39472,206598
2018/10/26,3900,3905,3665,3750,▼120,－3.10%,4012,4287,4590,4929,21649,209301
2018/10/25,3995,3995,3760,3870,▼150,－3.73%,4116,4336,4605,4941,63434,211318
2018/10/24,4120,4245,4020,4020,▼150,－3.60%,4209,4378,4616,4951,17517,207857
2018/10/23,4260,4265,4105,4170,▼80,－1.88%,4258,4419,4623,4961,9445,211728
2018/10/22,4260,4260,4155,4250,▼20,－0.47%,4256,4454,4628,4969,3280,215522
2018/10/19,4335,4335,4195,4270,▼65,－1.50%,4222,4480,4634,4977,8993,217116
2018/10/18,4225,4450,4220,4335,▲70,＋1.64%,4198,4512,4639,4984,41143,218104
2018/10/17,4150,4300,4150,4265,▲105,＋2.52%,4161,4545,4641,4989,24631,218657
2018/10/16,4055,4180,4055,4160,▲80,＋1.96%,4173,4580,4646,4992,14667,215938
2018/10/15,4090,4160,4035,4080,▼70,－1.69%,4237,4621,4653,4998,10411,212819
2018/10/12,4145,4170,3900,4150,0.0,0.00%,4326,4670,4661,5004,17193,222743
2018/10/11,4055,4290,4005,4150,▼175,－4.05%,4406,4707,4670,5009,39278,224587
2018/10/10,4430,4550,4230,4325,▼155,－3.46%,4485,4743,4680,5014,47980,222141
2018/10/08,4525,4540,4445,4480,▼45,－0.99%,4527,4775,4687,5017,25300,229098
2018/10/05,4550,4610,4450,4525,▼25,－0.55%,4558,4799,4691,5019,28447,229391
2018/10/04,4580,4600,4480,4550,▲5,＋0.11%,4588,4824,4694,5021,23795,230315
2018/10/02,4545,4595,4530,4545,▲10,＋0.22%,4622,4871,4695,5022,15608,233167
2018/10/01,4635,4650,4500,4535,▼100,－2.16%,4655,4871,4695,5024,54328,233958
2018/09/28,4690,4695,4595,4635,▼40,－0.86%,4716,4870,4696,5027,26296,232938
2018/09/27,4695,4745,4620,4675,▼45,－0.95%,4765,4864,4697,5029,32757,234418
2018/09/21,4660,4760,4620,4720,▲10,＋0.21%,4785,4855,4702,5031,18948,229999
2018/09/20,4850,4890,4630,4710,▼130,－2.69%,4820,4855,4704,5032,77443,223971
2018/09/19,4915,4970,4805,4840,▼40,－0.82%,4878,4856,4711,5033,23089,234020
2018/09/18,4775,4925,4775,4880,▲105,＋2.20%,4904,4857,4717,5035,43655,234901
2018/09/17,4875,4930,4750,4775,▼120,－2.45%,4925,4854,4725,5034,43090,228111
2018/09/14,5020,5020,4860,4895,▼105,－2.10%,4980,4851,4734,5034,39222,219173
2018/09/13,4940,5010,4930,5000,▲30,＋0.60%,4981,4841,4748,5034,25274,217456
2018/09/12,4985,5060,4935,4970,▼15,－0.30%,4955,4827,4761,5034,37477,215584
2018/09/11,5020,5060,4955,4985,▼65,－1.29%,4951,4806,4777,5036,24576,218796
2018/09/10,4900,5090,4850,5050,▲150,＋3.06%,4946,4784,4801,5038,72890,217767
2018/09/07,4915,5050,4850,4900,▲30,＋0.62%,4942,4767,4827,5045,67176,201487
2018/09/06,4950,5060,4810,4870,▼80,－1.62%,5062,4747,4854,5053,52617,196340
2018/09/05,4945,5000,4925,4950,▼10,－0.20%,4996,4729,4889,5061,38694,196763
2018/09/04,5060,5110,4915,4960,▼70,－1.39%,4909,4705,4914,5069,163232,195033
2018/09/03,5060,5200,4985,5030,▼470,－8.55%,4820,4681,4941,5077,367040,190017
2018/08/31,4545,5500,4540,5500,▲960,＋21.15%,4712,4655,4941,5084,579078,187457
2018/08/30,4515,4550,4480,4540,▲25,＋0.55%,4558,4603,4934,5087,11758,187638
2018/08/29,4560,4560,4470,4515,0.0,0.00%,4596,4605,4943,5099,15313,184262
2018/08/28,4550,4600,4495,4515,▲25,＋0.56%,4662,4608,4954,5110,12321,183796
2018/08/27,4770,4770,4445,4490,▼240,－5.07%,4723,4614,4965,5122,47292,181853
2018/08/24,4730,4770,4680,4730,0.0,0.00%,4768,4628,4977,5133,6963,182361
2018/08/23,4850,4850,4730,4730,▼115,－2.37%,4763,4625,4988,5143,11376,182646
2018/08/22,4820,4865,4750,4845,▲25,＋0.52%,4761,4615,5001,5153,11050,182604
