[일시]쌍용차,시가,고가,저가,종가,대비,대비율,<가격이동평균>5,20,60,120,[거래량],[외국인_보유량]
2019/01/30,4845,4900,4760,4885,▲70,＋1.45%,4717,4410,4072,4249,287867,107446974
2019/01/29,4685,4825,4640,4815,▲130,＋2.77%,4655,4368,4054,4247,248531,107395770
2019/01/28,4640,4695,4570,4685,▲45,＋0.97%,4590,4326,4036,4247,187450,107337150
2019/01/25,4525,4660,4505,4640,▲80,＋1.75%,4543,4288,4020,4247,143148,107143333
2019/01/24,4580,4585,4495,4560,▼15,－0.33%,4476,4248,4006,4247,156143,107114121
2019/01/23,4485,4585,4460,4575,▲85,＋1.89%,4424,4215,3993,4248,206560,107088214
2019/01/22,4450,4545,4410,4490,▲40,＋0.90%,4357,4183,3982,4248,175368,107042356
2019/01/21,4290,4455,4290,4450,▲145,＋3.37%,4285,4165,3974,4248,337922,107020820
2019/01/18,4345,4350,4220,4305,▲5,＋0.12%,4240,4150,3968,4249,171308,106896838
2019/01/17,4265,4395,4210,4300,▲60,＋1.42%,4232,4143,3962,4250,450860,106852667
2019/01/16,4170,5170,4085,4240,▲110,＋2.66%,4228,4131,3959,4251,2132789,106458581
2019/01/15,4205,4315,4130,4130,▼95,－2.25%,4248,4124,3956,4252,172678,106577384
2019/01/14,4265,4270,4205,4225,▼40,－0.94%,4277,4121,3954,4255,68828,106572670
2019/01/11,4220,4300,4205,4265,▼15,－0.35%,4290,4112,3951,4258,67124,106560098
2019/01/10,4280,4350,4250,4280,▼60,－1.38%,4294,4098,3948,4261,56021,106551842
2019/01/09,4255,4365,4250,4340,▲65,＋1.52%,4271,4079,3944,4264,121939,106546674
2019/01/08,4290,4325,4150,4275,▼15,－0.35%,4213,4057,3940,4266,78215,106488830
2019/01/07,4345,4345,4210,4290,▲5,＋0.12%,4150,4042,3936,4270,100437,106486218
2019/01/04,4180,4300,4155,4285,▲120,＋2.88%,4080,4025,3935,4272,202159,106494053
2019/01/03,4055,4195,4020,4165,▲115,＋2.84%,3991,4008,3935,4274,120762,106463586
2019/01/02,3960,4060,3955,4050,▲90,＋2.27%,3936,3998,3939,4278,56446,106451227
2018/12/28,3940,4020,3940,3960,▲20,＋0.51%,3914,3993,3944,4281,52607,106452248
2018/12/27,3845,4040,3845,3940,▲100,＋2.60%,3947,3991,3953,4285,116101,106449899
2018/12/26,3810,3920,3810,3840,▼50,－1.29%,3988,3988,3963,4290,82124,106427970
2018/12/24,3965,4030,3890,3890,▼50,－1.27%,4053,3987,3975,4297,142567,106438593
2018/12/21,4100,4170,3940,3940,▼185,－4.48%,4087,3986,3986,4302,203228,106421670
2018/12/20,4185,4185,4090,4125,▼20,－0.48%,4122,3977,3996,4308,98389,106432527
2018/12/19,4170,4190,4090,4145,▼20,－0.48%,4110,3966,4002,4312,54447,106251131
2018/12/18,4090,4190,4075,4165,▲105,＋2.59%,4091,3952,4009,4316,104119,106242285
2018/12/17,4150,4215,4050,4060,▼55,－1.34%,4052,3939,4015,4320,66922,106212610
2018/12/14,4065,4135,4050,4115,▲50,＋1.23%,4023,3933,4023,4324,106732,106198612
2018/12/13,4015,4095,3995,4065,▲15,＋0.37%,3978,3920,4032,4328,126224,106154762
2018/12/12,3970,4055,3970,4050,▲80,＋2.02%,3959,3901,4039,4333,85633,106137608
2018/12/11,3905,4080,3855,3970,▲55,＋1.40%,3940,3877,4047,4339,103148,106111761
